,X2600.HK.Equity,X486.HK.Equity,AA.Equity,AWC.AU.Equity,HNDL.IN.Equity,Y
1,-2.8501,-1.4553,-1.4706,-6.0976,-0.4392,0
2,-2.8501,-1.4553,-1.4706,-6.0976,-0.4392,0
3,-2.8501,-1.4553,-1.4706,-6.0976,-0.4392,0
4,0.3827,-1.0549,4.9489,1.6234,1.3912,1
5,1.1436,-0.3198,2.3204,4.4728,1.1044,1
6,2.6382,1.8182,-1.0997,1.5291,3.4426,1
7,-3.672,-1.1555,-4.2995,-0.6024,-6.464,0
8,-5.972,-3.6132,2.0914,-5.4545,-5.4738,0
9,-5.972,-3.6132,2.0914,-5.4545,2.2439,0
10,-5.972,-3.6132,2.0914,-5.4545,2.2439,0
11,-2.027,-4.5204,-0.9105,2.5641,-3.5752,0
12,1.1034,0.4619,1.6845,-0.9375,-1.3216,1
13,1.5007,0.8046,-0.9036,2.8391,1.5625,1
14,1.4785,-1.2543,3.1915,2.454,1.2821,1
15,-1.3245,-2.194,-2.2091,-1.5151,1.2821,0
16,-1.3245,-2.194,-2.2091,-1.5151,1.2821,0
17,-1.3245,-2.194,-2.2091,-1.5151,1.2821,0
18,-1.3245,-2.194,-2.2091,-2.1538,1.8807,0
19,-1.3245,-2.194,3.4639,-2.5157,3.2304,0
20,2.6846,-5.4309,-1.0189,7.0968,5.055,1
21,-2.7451,-6.7416,0.0735,-1.506,-0.0982,0
22,-4.1667,0.4016,-0.5878,-0.9174,-1.7693,0
23,-4.1667,0.4016,-0.5878,-0.9174,-1.7693,0
24,-4.1667,0.4016,-0.5878,-0.9174,-1.7693,0
25,3.5063,6.9333,0.0739,0.6173,2.8352,1
26,2.3035,3.4913,-2.6588,-0.9202,0.4217,1
27,-1.457,-1.0843,-0.9105,-2.7864,0.1292,0
28,-0.4032,-2.9233,1.9142,-3.8217,-1.0645,0
29,1.3495,-1.5056,-0.0751,-0.3311,6.0646,1
30,1.3495,-1.5056,-0.0751,-0.3311,6.0646,1
31,1.3495,-1.5056,-0.0751,-0.3311,6.0646,1
32,3.5952,-0.7643,0.0752,4.3189,6.0646,1
33,0.5141,-2.6958,-0.5259,0.9554,4.0578,1
34,0.8951,5.9367,0.7553,1.8927,1.2999,1
35,-2.2814,6.2267,0.6747,0.3096,-1.3123,0
36,2.0752,-0.3517,3.0529,1.2346,-0.7092,1
37,2.0752,-0.3517,3.0529,1.2346,-0.7092,1
38,2.0752,-0.3517,3.0529,1.2346,-0.7092,1
39,4.1931,-2.2353,-0.4335,4.2683,-1.0714,1
40,-0.8537,2.5271,-0.7983,-1.7544,-2.4669,0
41,-0.246,5.9859,-0.7315,0.2976,0.3701,0
42,-0.8631,-1.5504,0.5158,-1.7804,-1.8132,0
43,0.6219,-0.6749,-0.2933,1.2085,3.3177,1
44,0.6219,-0.6749,-0.2933,1.2085,3.3177,1
45,0.6219,-0.6749,-0.2933,1.2085,3.3177,1
46,-2.4722,-1.9253,-0.6618,-0.2985,0.3635,0
47,-0.6337,-1.5012,2.1466,0.2994,2.3544,0
48,4.2092,2.2274,4.7826,3.8806,2.3002,1
49,-0.4896,-0.344,-1.1065,-1.1494,1.672,0
50,3.321,2.6467,-0.2797,0.8721,-0.4253,1
51,3.321,2.6467,-0.2797,0.8721,-0.4253,1
52,3.321,2.6467,-0.2797,0.8721,-0.4253,1
53,-4.0476,0.3363,0.561,-2.3055,-3.6162,0
54,-0.3722,2.3464,1.1158,0.885,0.709,0
55,0.4981,-1.5284,-1.2414,1.462,0.709,1
56,-1.9827,-1.8847,-1.4665,-4.0346,4.2241,0
57,0.6321,-0.678,1.1339,1.8018,0.5629,1
58,0.6321,-0.678,1.1339,1.8018,0.5629,1
59,0.6321,-0.678,1.1339,1.8018,0.5629,1
60,-0.5025,0.1138,1.1913,0,3.1346,0
61,2.6515,1.1364,-0.277,1.7699,-0.1628,1
62,-1.353,1.1236,-1.1111,0,-1.4678,0
63,1.2469,0.5556,3.2303,2.3188,1.3793,1
64,1.2469,0.5556,3.2303,2.3188,1.3793,1
65,1.2469,0.5556,3.2303,2.3188,1.3793,1
66,1.2469,0.5556,3.2303,2.3188,1.3793,1
67,1.2469,0.5556,0.2041,2.3188,1.9048,1
68,1.2469,0.5556,2.0367,3.966,-1.4152,1
69,4.064,5.1934,-1.9295,-0.2725,0,1
70,-0.2367,-0.2101,0.882,0.2732,-4.3879,0
71,5.5753,-1.0526,-3.228,1.3624,1.3031,1
72,5.5753,-1.0526,-3.228,1.3624,1.3031,1
73,5.5753,-1.0526,-3.228,1.3624,1.3031,1
74,0.4494,0.8511,1.2509,1.0753,0.811,1
75,-2.6846,-0.8439,-1.5786,-5.5851,-1.0541,0
76,-1.1494,1.0638,0.6276,-0.8451,-1.0541,0
77,2.5581,2.1053,-0.8316,-1.9886,-0.8971,1
78,-4.5351,1.134,-2.7952,-2.029,-1.273,0
79,-4.5351,1.134,-2.7952,-2.029,-1.273,0
80,-4.5351,1.134,-2.7952,-2.029,-1.273,0
81,-3.3254,-3.16,-1.3659,-0.2959,2.1203,0
82,1.9656,2.5263,0.2187,-1.7804,1.9641,1
83,-0.7229,-0.5133,-0.2909,2.719,-1.0457,0
84,-1.0922,-3.4056,1.0212,-1.4706,-0.0278,0
85,-1.8405,-4.2735,1.8773,0.597,-0.8623,0
86,-1.8405,-4.2735,1.8773,0.597,-0.8623,0
87,-1.8405,-4.2735,1.8773,0.597,-0.8623,0
88,1.625,-2.0089,-0.4252,0.597,3.3389,1
89,-3.198,-2.6196,-4.3416,-2.0772,-0.2172,0
90,-2.7954,-5.0292,0.9673,-4.2424,-2.4218,0
91,-1.5686,-2.7094,1.1054,-1.2658,0.5577,0
92,2.7888,5.3165,-2.1137,0,-0.9983,1
93,2.7888,5.3165,-2.1137,0,-0.9983,1
94,2.7888,5.3165,-2.1137,0,-0.9983,1
95,-2.1964,2.1635,-2.0849,0.641,-3.1092,0
96,-2.2457,-1.6471,-4.3346,-3.1847,-5.782,0
97,-3.2432,-1.6746,-0.7171,2.9605,0.4296,0
98,-1.9553,-2.5547,-4.1734,1.278,0.2139,0
