Date,7201 JP
7/16/2010,628
7/20/2010,613
7/21/2010,607
7/22/2010,607
7/23/2010,625
7/26/2010,629
7/27/2010,634
7/28/2010,657
7/29/2010,669
7/30/2010,664
8/2/2010,663
8/3/2010,677
8/4/2010,648
8/5/2010,666
8/6/2010,669
8/9/2010,665
8/10/2010,662
8/11/2010,638
8/12/2010,639
8/13/2010,646
8/16/2010,641
8/17/2010,637
8/18/2010,655
8/19/2010,675
8/20/2010,659
8/23/2010,655
8/24/2010,637
8/25/2010,627
8/26/2010,631
8/27/2010,651
8/30/2010,654
8/31/2010,642
9/1/2010,645
9/2/2010,664
9/3/2010,667
9/6/2010,681
9/7/2010,669
9/8/2010,654
9/9/2010,659
9/10/2010,666
9/13/2010,679
9/14/2010,677
9/15/2010,702
9/16/2010,714
9/17/2010,718
9/21/2010,713
9/22/2010,702
9/24/2010,698
9/27/2010,715
9/28/2010,725
9/29/2010,744
9/30/2010,729
10/1/2010,744
10/4/2010,749
10/5/2010,749
10/6/2010,731
10/7/2010,741
10/8/2010,740
10/12/2010,727
10/13/2010,741
10/14/2010,753
10/15/2010,754
10/18/2010,748
10/19/2010,746
10/20/2010,741
10/21/2010,730
10/22/2010,732
10/25/2010,733
10/26/2010,726
10/27/2010,730
10/28/2010,732
10/29/2010,710
11/1/2010,694
11/2/2010,694
11/4/2010,721
11/5/2010,764
11/8/2010,779
11/9/2010,775
11/10/2010,790
11/11/2010,791
11/12/2010,773
11/15/2010,785
11/16/2010,783
11/17/2010,794
11/18/2010,800
11/19/2010,802
11/22/2010,804
11/24/2010,787
11/25/2010,797
11/26/2010,785
11/29/2010,797
11/30/2010,785
12/1/2010,800
12/2/2010,825
12/3/2010,822
12/6/2010,821
12/7/2010,808
12/8/2010,815
12/9/2010,825
12/10/2010,814
12/13/2010,807
12/14/2010,809
12/15/2010,808
12/16/2010,807
12/17/2010,795
12/20/2010,789
12/21/2010,796
12/22/2010,795
12/24/2010,785
12/27/2010,791
12/28/2010,781
12/29/2010,785
12/30/2010,773
1/4/2011,806
1/5/2011,814
1/6/2011,825
1/7/2011,861
1/11/2011,855
1/12/2011,853
1/13/2011,858
1/14/2011,846
1/17/2011,837
1/18/2011,844
1/19/2011,849
1/20/2011,835
1/21/2011,824
1/24/2011,830
1/25/2011,846
1/26/2011,835
1/27/2011,843
1/28/2011,849
1/31/2011,830
2/1/2011,837
2/2/2011,863
2/3/2011,862
2/4/2011,867
2/7/2011,867
2/8/2011,871
2/9/2011,893
2/10/2011,868
2/14/2011,880
2/15/2011,883
2/16/2011,875
2/17/2011,885
2/18/2011,885
2/21/2011,877
2/22/2011,859
2/23/2011,841
2/24/2011,832
2/25/2011,838
2/28/2011,835
3/1/2011,857
3/2/2011,843
3/3/2011,840
3/4/2011,851
3/7/2011,829
3/8/2011,819
3/9/2011,814
3/10/2011,816
3/11/2011,798
3/14/2011,722
3/15/2011,698
3/16/2011,741
3/17/2011,733
3/18/2011,725
3/22/2011,724
3/23/2011,703
3/24/2011,671
3/25/2011,681
3/28/2011,705
3/29/2011,704
3/30/2011,731
3/31/2011,738
4/1/2011,729
4/4/2011,731
4/5/2011,715
4/6/2011,712
4/7/2011,720
4/8/2011,714
4/11/2011,697
4/12/2011,696
4/13/2011,716
4/14/2011,727
4/15/2011,723
4/18/2011,715
4/19/2011,709
4/20/2011,723
4/21/2011,746
4/22/2011,773
4/25/2011,759
4/26/2011,761
4/27/2011,778
4/28/2011,774
5/2/2011,795
5/6/2011,777
5/9/2011,767
5/10/2011,769
5/11/2011,784
5/12/2011,795
5/13/2011,823
5/16/2011,803
5/17/2011,809
5/18/2011,812
5/19/2011,804
5/20/2011,779
5/23/2011,783
5/24/2011,781
5/25/2011,791
5/26/2011,800
5/27/2011,796
5/30/2011,794
5/31/2011,814
6/1/2011,807
6/2/2011,781
6/3/2011,773
6/6/2011,767
6/7/2011,782
6/8/2011,778
6/9/2011,778
6/10/2011,793
6/13/2011,784
6/14/2011,804
6/15/2011,810
6/16/2011,794
6/17/2011,800
6/20/2011,795
6/21/2011,820
6/22/2011,828
6/23/2011,839
6/24/2011,844
6/27/2011,845
6/28/2011,825
6/29/2011,847
6/30/2011,842
7/1/2011,850
7/4/2011,859
7/5/2011,858
7/6/2011,877
7/7/2011,863
7/8/2011,870
7/11/2011,871
7/12/2011,852
7/13/2011,840
7/14/2011,846
7/15/2011,848
7/19/2011,835
7/20/2011,838
7/21/2011,847
7/22/2011,861
7/25/2011,851
7/26/2011,864
7/27/2011,848
7/28/2011,830
7/29/2011,822
8/1/2011,833
8/2/2011,820
8/3/2011,797
8/4/2011,793
8/5/2011,769
8/8/2011,748
8/9/2011,733
8/10/2011,735
8/11/2011,709
8/12/2011,693
8/15/2011,716
8/16/2011,720
8/17/2011,709
8/18/2011,683
8/19/2011,653
8/22/2011,626
8/23/2011,645
8/24/2011,629
8/25/2011,673
8/26/2011,674
8/29/2011,674
8/30/2011,679
8/31/2011,697
9/1/2011,715
9/2/2011,703
9/5/2011,677
9/6/2011,655
9/7/2011,672
9/8/2011,673
9/9/2011,667
9/12/2011,647
9/13/2011,657
9/14/2011,648
9/15/2011,666
9/16/2011,689
9/20/2011,665
9/21/2011,662
9/22/2011,643
9/26/2011,620
9/27/2011,648
9/28/2011,665
9/29/2011,690
9/30/2011,693
10/3/2011,686
10/4/2011,679
10/5/2011,658
10/6/2011,686
10/7/2011,701
10/11/2011,711
10/12/2011,722
10/13/2011,725
10/14/2011,713
10/17/2011,728
10/18/2011,716
10/19/2011,709
10/20/2011,697
10/21/2011,692
10/24/2011,698
10/25/2011,691
10/26/2011,690
10/27/2011,719
10/28/2011,723
10/31/2011,735
11/1/2011,721
11/2/2011,701
11/4/2011,735
11/7/2011,723
11/8/2011,713
11/9/2011,727
11/10/2011,701
11/11/2011,705
11/14/2011,719
11/15/2011,711
11/16/2011,694
11/17/2011,690
11/18/2011,673
11/21/2011,653
11/22/2011,665
11/24/2011,657
11/25/2011,656
11/28/2011,675
11/29/2011,693
11/30/2011,690
12/1/2011,701
12/2/2011,709
12/5/2011,710
12/6/2011,699
12/7/2011,708
12/8/2011,693
12/9/2011,687
12/12/2011,697
12/13/2011,690
12/14/2011,689
12/15/2011,670
12/16/2011,668
12/19/2011,682
12/20/2011,689
12/21/2011,698
12/22/2011,692
12/26/2011,696
12/27/2011,684
12/28/2011,686
12/29/2011,692
12/30/2011,692
1/4/2012,699
1/5/2012,691
1/6/2012,676
1/10/2012,675
1/11/2012,679
1/12/2012,669
1/13/2012,686
1/16/2012,689
1/17/2012,702
1/18/2012,694
1/19/2012,704
1/20/2012,721
1/23/2012,717
1/24/2012,721
1/25/2012,739
1/26/2012,734
1/27/2012,728
1/30/2012,726
1/31/2012,719
2/1/2012,728
2/2/2012,734
2/3/2012,731
2/6/2012,755
2/7/2012,756
2/8/2012,774
2/9/2012,766
2/10/2012,757
2/13/2012,759
2/14/2012,766
2/15/2012,787
2/16/2012,777
2/17/2012,793
2/20/2012,808
2/21/2012,796
2/22/2012,814
2/23/2012,827
2/24/2012,829
2/27/2012,837
2/28/2012,828
2/29/2012,832
3/1/2012,827
3/2/2012,818
3/5/2012,810
3/6/2012,799
3/7/2012,800
3/8/2012,817
3/9/2012,836
3/12/2012,843
3/13/2012,841
3/14/2012,873
3/15/2012,888
3/16/2012,887
3/19/2012,891
3/21/2012,865
3/22/2012,878
3/23/2012,855
3/26/2012,876
3/27/2012,894
3/28/2012,893
3/29/2012,877
3/30/2012,881
4/2/2012,898
4/3/2012,900
4/4/2012,878
4/5/2012,869
4/6/2012,856
4/9/2012,827
4/10/2012,832
4/11/2012,833
4/12/2012,830
4/13/2012,825
4/16/2012,805
4/17/2012,804
4/18/2012,838
4/19/2012,840
4/20/2012,844
4/23/2012,836
4/24/2012,831
4/25/2012,840
4/26/2012,831
4/27/2012,836
5/1/2012,802
5/2/2012,808
5/7/2012,766
5/8/2012,790
5/9/2012,777
5/10/2012,778
5/11/2012,804
5/14/2012,788
5/15/2012,769
5/16/2012,752
5/17/2012,777
5/18/2012,752
5/21/2012,743
5/22/2012,776
5/23/2012,766
5/24/2012,755
5/25/2012,755
5/28/2012,754
5/29/2012,757
5/30/2012,767
5/31/2012,758
6/1/2012,735
6/4/2012,709
6/5/2012,723
6/6/2012,741
6/7/2012,764
6/8/2012,745
6/11/2012,773
6/12/2012,759
6/13/2012,750
6/14/2012,745
6/15/2012,740
6/18/2012,762
6/19/2012,746
6/20/2012,748
6/21/2012,762
6/22/2012,748
6/25/2012,728
6/26/2012,720
6/27/2012,721
6/28/2012,734
6/29/2012,748
7/2/2012,743
7/3/2012,750
7/4/2012,757
7/5/2012,750
7/6/2012,746
7/9/2012,728
7/10/2012,719
7/11/2012,723
7/12/2012,708
7/13/2012,711
7/17/2012,700
7/18/2012,713
7/19/2012,728
7/20/2012,727
7/23/2012,717
7/24/2012,717
7/25/2012,699
7/26/2012,707
7/27/2012,727
7/30/2012,736
7/31/2012,744
8/1/2012,733
8/2/2012,750
8/3/2012,738
8/6/2012,754
8/7/2012,768
8/8/2012,778
8/9/2012,778
8/10/2012,773
8/13/2012,771
8/14/2012,768
8/15/2012,769
8/16/2012,783
8/17/2012,795
8/20/2012,789
8/21/2012,791
8/22/2012,782
8/23/2012,777
8/24/2012,765
8/27/2012,767
8/28/2012,751
8/29/2012,750
8/30/2012,741
8/31/2012,730
9/3/2012,729
9/4/2012,736
9/5/2012,722
9/6/2012,722
9/7/2012,751
9/10/2012,748
9/11/2012,741
9/12/2012,740
9/13/2012,736
9/14/2012,738
9/18/2012,701
9/19/2012,727
9/20/2012,702
9/21/2012,701
9/24/2012,682
9/25/2012,682
9/26/2012,664
9/27/2012,663
9/28/2012,665
10/1/2012,655
10/2/2012,660
10/3/2012,646
10/4/2012,679
10/5/2012,669
10/9/2012,656
10/10/2012,664
10/11/2012,656
10/12/2012,666
10/15/2012,675
10/16/2012,682
10/17/2012,675
10/18/2012,698
10/19/2012,709
10/22/2012,704
10/23/2012,702
10/24/2012,690
10/25/2012,703
10/26/2012,685
10/29/2012,670
10/30/2012,653
10/31/2012,668
11/1/2012,672
11/2/2012,686
11/5/2012,691
11/6/2012,677
11/7/2012,705
11/8/2012,697
11/9/2012,698
11/12/2012,688
11/13/2012,687
11/14/2012,684
11/15/2012,702
11/16/2012,738
11/19/2012,751
11/20/2012,750
11/21/2012,766
11/22/2012,788
11/26/2012,806
11/27/2012,783
11/28/2012,773
11/29/2012,792
11/30/2012,799
12/3/2012,807
12/4/2012,777
12/5/2012,780
12/6/2012,775
12/7/2012,776
12/10/2012,770
12/11/2012,765
12/12/2012,771
12/13/2012,788
12/14/2012,785
12/17/2012,799
12/18/2012,800
12/19/2012,844
12/20/2012,782
12/21/2012,763
12/25/2012,766
12/26/2012,782
12/27/2012,798
12/28/2012,811
1/4/2013,854
1/7/2013,851
1/8/2013,842
1/9/2013,847
1/10/2013,854
1/11/2013,873
1/15/2013,883
1/16/2013,866
1/17/2013,868
1/18/2013,878
1/21/2013,865
1/22/2013,866
1/23/2013,842
1/24/2013,852
1/25/2013,874
1/28/2013,895
1/29/2013,934
1/30/2013,932
1/31/2013,936
2/1/2013,935
2/4/2013,975
2/5/2013,955
2/6/2013,996
2/7/2013,993
2/8/2013,987
2/12/2013,950
2/13/2013,950
2/14/2013,933
2/15/2013,932
2/18/2013,950
2/19/2013,940
2/20/2013,938
2/21/2013,940
2/22/2013,939
2/25/2013,940
2/26/2013,916
2/27/2013,902
2/28/2013,937
3/1/2013,944
3/4/2013,945
3/5/2013,943
3/6/2013,947
3/7/2013,934
3/8/2013,962
3/11/2013,993
3/12/2013,993
3/13/2013,999
3/14/2013,992
3/15/2013,985
3/18/2013,951
3/19/2013,957
3/21/2013,975
3/22/2013,946
3/25/2013,945
3/26/2013,927
3/27/2013,922
3/28/2013,907
3/29/2013,905
4/1/2013,887
4/2/2013,856
4/3/2013,889
4/4/2013,912
4/5/2013,968
4/8/2013,979
4/9/2013,987
4/10/2013,999
4/11/2013,1043
