Date,Last Price 
8/5/2013,1402
8/6/2013,1414
8/7/2013,1365
8/8/2013,1350
8/9/2013,1354
8/12/2013,1343
8/13/2013,1358
8/14/2013,1378
8/15/2013,1359
8/16/2013,1335
8/19/2013,1351
8/20/2013,1330
8/21/2013,1315
8/22/2013,1330
8/23/2013,1373
8/26/2013,1364
8/27/2013,1336
8/28/2013,1315
8/29/2013,1319
8/30/2013,1318
9/2/2013,1325
9/3/2013,1379
9/4/2013,1368
9/5/2013,1385
9/6/2013,1383
9/9/2013,1419
9/10/2013,1453
9/11/2013,1453
9/12/2013,1474
9/13/2013,1469
9/17/2013,1453
9/18/2013,1446
9/19/2013,1465
9/20/2013,1458
9/24/2013,1420
9/25/2013,1420
9/26/2013,1476
9/27/2013,1428
9/30/2013,1400
10/1/2013,1404
10/2/2013,1377
10/3/2013,1371
10/4/2013,1333
10/7/2013,1292
10/8/2013,1288
10/9/2013,1329
10/10/2013,1329
10/11/2013,1344
10/15/2013,1335
10/16/2013,1349
10/17/2013,1377
10/18/2013,1357
10/21/2013,1360
10/22/2013,1381
10/23/2013,1358
10/24/2013,1365
10/25/2013,1357
10/28/2013,1376
10/29/2013,1382
10/30/2013,1407
10/31/2013,1396
11/1/2013,1371
11/5/2013,1364
11/6/2013,1381
11/7/2013,1390
11/8/2013,1354
11/11/2013,1371
11/12/2013,1420
11/13/2013,1425
11/14/2013,1447
11/15/2013,1542
11/18/2013,1547
11/19/2013,1528
11/20/2013,1519
11/21/2013,1548
11/22/2013,1573
11/25/2013,1588
11/26/2013,1562
11/27/2013,1578
11/28/2013,1607
11/29/2013,1605
12/2/2013,1609
12/3/2013,1635
12/4/2013,1573
12/5/2013,1555
12/6/2013,1600
12/9/2013,1621
12/10/2013,1608
12/11/2013,1570
12/12/2013,1570
12/13/2013,1584
12/16/2013,1561
12/17/2013,1620
12/18/2013,1644
12/19/2013,1685
12/20/2013,1687
12/24/2013,1672
12/25/2013,1698
12/26/2013,1752
12/27/2013,1751
12/30/2013,1757
1/6/2014,1736
1/7/2014,1744
1/8/2014,1762
1/9/2014,1782
1/10/2014,1769
1/14/2014,1695
1/15/2014,1769
1/16/2014,1777
1/17/2014,1730
1/20/2014,1728
1/21/2014,1762
1/22/2014,1759
1/23/2014,1738
1/24/2014,1650
1/27/2014,1558
1/28/2014,1571
1/29/2014,1639
1/30/2014,1569
1/31/2014,1559
2/3/2014,1524
2/4/2014,1420
2/5/2014,1458
2/6/2014,1463
2/7/2014,1533
2/10/2014,1516
2/12/2014,1533
2/13/2014,1510
2/14/2014,1527
2/17/2014,1532
2/18/2014,1579
2/19/2014,1567
2/20/2014,1513
2/21/2014,1552
2/24/2014,1534
2/25/2014,1546
2/26/2014,1516
2/27/2014,1471
2/28/2014,1484
3/3/2014,1480
3/4/2014,1505
3/5/2014,1534
3/6/2014,1556
3/7/2014,1551
3/10/2014,1517
3/11/2014,1555
3/12/2014,1522
3/13/2014,1514
3/14/2014,1449
3/17/2014,1454
3/18/2014,1455
3/19/2014,1462
3/20/2014,1428
3/24/2014,1414
3/25/2014,1415
3/26/2014,1448
3/27/2014,1405
3/28/2014,1462
3/31/2014,1500
4/1/2014,1512
4/2/2014,1507
4/3/2014,1523
4/4/2014,1542
4/7/2014,1485
4/8/2014,1425
4/9/2014,1396
4/10/2014,1369
4/11/2014,1331
4/14/2014,1342
4/15/2014,1355
4/16/2014,1407
4/17/2014,1401
4/18/2014,1409
4/21/2014,1404
4/22/2014,1383
4/23/2014,1408
4/24/2014,1420
4/25/2014,1439
4/28/2014,1410
4/30/2014,1414
5/1/2014,1454
5/2/2014,1461
5/7/2014,1438
5/8/2014,1459
5/9/2014,1467
5/12/2014,1468
5/13/2014,1500
5/14/2014,1505
5/15/2014,1483
5/16/2014,1467
5/19/2014,1442
5/20/2014,1440
5/21/2014,1436
5/22/2014,1477
5/23/2014,1495
5/26/2014,1507
5/27/2014,1508
5/28/2014,1527
5/29/2014,1525
5/30/2014,1508
6/2/2014,1433
6/3/2014,1447
6/4/2014,1499
6/5/2014,1500
6/6/2014,1519
6/9/2014,1511
6/10/2014,1505
6/11/2014,1535
6/12/2014,1542
6/13/2014,1536
6/16/2014,1539
6/17/2014,1514
6/18/2014,1503
6/19/2014,1534
6/20/2014,1543
6/23/2014,1529
6/24/2014,1535
6/25/2014,1499
6/26/2014,1505
6/27/2014,1494
6/30/2014,1509
7/1/2014,1529
7/2/2014,1537
7/3/2014,1502
7/4/2014,1479
7/7/2014,1492
7/8/2014,1469
7/9/2014,1440
7/10/2014,1428
7/11/2014,1398
7/14/2014,1421
7/15/2014,1445
7/16/2014,1426
7/17/2014,1426
7/18/2014,1413
7/22/2014,1416
7/23/2014,1424
7/24/2014,1440
7/25/2014,1457
7/28/2014,1456.5
7/29/2014,1447.5
7/30/2014,1454.5
7/31/2014,1473
8/1/2014,1459.5
8/4/2014,1455.5
8/5/2014,1432.5
8/6/2014,1420
8/7/2014,1428
8/8/2014,1387
8/11/2014,1426.5
8/12/2014,1429
8/13/2014,1439
8/14/2014,1438
8/15/2014,1440
8/18/2014,1443.5
8/19/2014,1451.5
8/20/2014,1450
8/21/2014,1470.5
8/22/2014,1489
8/25/2014,1491.5
8/26/2014,1475.5
8/27/2014,1497
8/28/2014,1489.5
8/29/2014,1490.5
9/1/2014,1494
9/2/2014,1512
9/3/2014,1531.5
9/4/2014,1546
9/5/2014,1560
9/8/2014,1556
9/9/2014,1588.5
9/10/2014,1598
9/11/2014,1631.5
9/12/2014,1629.5
9/16/2014,1607
9/17/2014,1582
9/18/2014,1614.5
9/19/2014,1656.5
9/22/2014,1653
9/24/2014,1616.5
9/25/2014,1650.5
9/26/2014,1629.5
9/29/2014,1642
9/30/2014,1628
10/1/2014,1609
10/2/2014,1548.5
10/3/2014,1544.5
10/6/2014,1555
10/7/2014,1569
10/8/2014,1540
10/9/2014,1518
10/10/2014,1484.5
10/14/2014,1452
10/15/2014,1471
10/16/2014,1448.5
10/17/2014,1412.5
10/20/2014,1469.5
10/21/2014,1448.5
10/22/2014,1478
10/23/2014,1470.5
10/24/2014,1480.5
10/27/2014,1504
10/28/2014,1497.5
10/29/2014,1537
10/30/2014,1552.5
10/31/2014,1650
11/4/2014,1689
11/5/2014,1712
11/6/2014,1677
11/7/2014,1688.5
11/10/2014,1686
11/11/2014,1715.5
11/12/2014,1723.5
11/13/2014,1746.5
11/14/2014,1755
11/17/2014,1671
11/18/2014,1717.5
11/19/2014,1711.5
11/20/2014,1707
11/21/2014,1703.5
11/25/2014,1747
11/26/2014,1740
11/27/2014,1694.5
11/28/2014,1721.5
12/1/2014,1744
12/2/2014,1772
12/3/2014,1758.5
12/4/2014,1813
12/5/2014,1830
12/8/2014,1803.5
12/9/2014,1775
12/10/2014,1788.5
12/11/2014,1787
12/12/2014,1793.5
12/15/2014,1750.5
12/16/2014,1720.5
12/17/2014,1729.5
12/18/2014,1783
12/19/2014,1861
12/22/2014,1883
12/24/2014,1876
12/25/2014,1871.5
12/26/2014,1879.5
12/29/2014,1882
12/30/2014,1841
1/5/2015,1804
1/6/2015,1722
1/7/2015,1720.5
1/8/2015,1731.5
1/9/2015,1730
1/13/2015,1678.5
1/14/2015,1605.5
1/15/2015,1614.5
1/16/2015,1562
1/19/2015,1579.5
1/20/2015,1626.5
1/21/2015,1572
1/22/2015,1588
1/23/2015,1672
1/26/2015,1635.5
1/27/2015,1656.5
1/28/2015,1637
1/29/2015,1590.5
1/30/2015,1594
2/2/2015,1545
2/3/2015,1561.5
2/4/2015,1668
2/5/2015,1669
2/6/2015,1657
2/9/2015,1720
2/10/2015,1735.5
2/12/2015,1770.5
2/13/2015,1769
2/16/2015,1814
2/17/2015,1765.5
2/18/2015,1783.5
2/19/2015,1800
2/20/2015,1822
2/23/2015,1761
2/24/2015,1756.5
2/25/2015,1742.5
2/26/2015,1776.5
2/27/2015,1808.5
3/2/2015,1825.5
3/3/2015,1819
3/4/2015,1767.5
3/5/2015,1781
3/6/2015,1794.5
3/9/2015,1759.5
3/10/2015,1747
3/11/2015,1762
3/12/2015,1798
3/13/2015,1805.5
3/16/2015,1766.5
3/17/2015,1780.5
3/18/2015,1772
3/19/2015,1738.5
3/20/2015,1762.5
3/23/2015,1793
3/24/2015,1777.5
3/25/2015,1767.5
3/26/2015,1740
3/27/2015,1733.5
3/30/2015,1765.5
3/31/2015,1745.5
4/1/2015,1788.5
4/2/2015,1800
4/3/2015,1818
4/6/2015,1797.5
4/7/2015,1826
4/8/2015,1823
4/9/2015,1839
4/10/2015,1836
4/13/2015,1830
4/14/2015,1838
4/15/2015,1846
4/16/2015,1884
4/17/2015,1911.5
4/20/2015,1898
4/21/2015,1950
4/22/2015,2008.5
4/23/2015,1996
4/24/2015,1997
4/27/2015,1991
4/28/2015,2025
4/30/2015,1974
5/1/2015,1978
5/7/2015,2048.5
5/8/2015,2065
5/11/2015,2033.5
