,Ticker,name,Nxt_dt,Last_dt,Country,Industry,L_Px,5d,rel_5d,1m,rel_1m,S,S_h,S_l,s_4w %,EPS,EPS_h,EPS_l,eps_4w %,eps_gaap_4w %,NI,NI_h,NI_l,net_4w %,OP,OP_h,OP_l,op_4w %,EBITDA,EBITDA_h,EBITDA_l,ebitda_4w %,ROA,ROA_h,ROA_l,roa_4w %,ROE,ROE_h,ROE_l,roe_4w %,Q_Y,S_0FQ,OP_0FQ,EPS_0FQ,S_1FQ,OP_1FQ,EPS_1FQ,S_2FQ,OP_2FQ,EPS_2FQ,S_3FQ,OP_3FQ,EPS_3FQ,S_4FQ,OP_4FQ,EPS_4FQ,S_mean,OP_mean,EPS_mean,S_trend_th,OP_trend_th,EPS_trend_th
1,005490 KS Equity,POSCO,7/24/2015,4/21/2015,SOUTH KOREA,Iron/Steel,225000,-1.75,-0.98,-13.13,-10.83,15974200.8,17093000,14743432,0.44,5123.67,7497.59,3069,-5.3,-5.3,438966.86,6.00E+05,267600,-4.33,812251.25,985533,651432,-0.2,1639097.78,1774752,1502400,-1.35,NA,NA,NA,NA,4.3,4.3,4.3,0,Q,-4.079486394,-12.76300814,-6.75323559,0.703841432,-16.96493191,NA,2.450572234,-0.032239444,-54.01825096,5.46914022,3.673075734,-15.04548599,0.015373026,2.17123574,-82.02831852,0.91,-4.78,-39.46,0,--0++,-NA---
2,015760 KS Equity,KOREA ELEC POWER,8/7/2015,5/11/2015,SOUTH KOREA,Electric,43500,-2.9,-2.15,-7.84,-5.4,13237363.5,13490000,12846000,0.19,1205.9,1863.38,672.98,-8.75,-8.75,665930.82,1160270,110000,-3.19,1428904,1992199,843000,8.39,3286543.75,4291014,1555000,2.02,NA,NA,NA,NA,NA,NA,NA,NA,Q,-0.87419498,6.95209396,5.112687585,1.510766251,-23.95593168,-3.587024205,-2.265613185,4.112717022,2.71878991,0.886781081,54.97488895,303.4147975,-1.024990933,-9.351179057,2.5681627,-0.35,6.55,62.05,0+-0-,+-++-,+-+++
3,034220 KS Equity,LG DISPLAY CO LT,7/23/2015,4/22/2015,SOUTH KOREA,Electronics,26750,-7.12,-6.4,-8.7,-6.29,6855175.93,7311000,6483518,-0.01,1024.18,1257.38,814,0.75,0.75,362390.55,449912,291220,-0.75,529160.38,640877,402000,-0.31,1382643.67,1487000,1269985,-0.72,2,2,2,0,14.23,14.6,13.87,0,Q,-2.017349901,36.26774769,15.60470829,8.3709051,-1.931403705,-18.96594792,-1.768186831,4.763186105,7.689326204,0.121486975,-8.660732118,138.9733507,-6.724970045,160.7080882,NA,-0.4,38.23,35.83,-+-0-,+-+-+,#NAME?
4,055550 KS Equity,SHINHAN FINANCIA,7/24/2015,4/22/2015,SOUTH KOREA,Diversified Finan Serv,41600,3.74,4.55,-7.25,-4.79,2108752.3,2174000,2051200,-0.24,1137.51,1210.55,1080.55,-4.5,0.11,562198,612000,512396,0,783607.27,997800,706000,-0.71,769269,769269,769269,0,0.18,0.18,0.18,0,5.73,7.8,2.05,0,Q,NA,-3.558118333,4.072820633,178.3672033,-43.69000593,-3.297910518,NA,10.47036,13.00864021,NA,0.891988824,8.819404118,NA,3.433850478,NA,178.37,-6.49,5.65,NA+NANANA,--+0+,#NAME?
5,1055 HK Equity,CHINA SOUTHERN-H,8/14/2015,4/22/2015,CHINA,Airlines,8.47,5.88,5.8,20.31,22.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Q,NA,NA,NA,NA,NA,NA,1.40089323,NA,0,-5.23046875,NA,-245,NA,NA,NA,-1.91,NA,-122.5,NANA+-NA,NANANANANA,NANA0-NA
6,105560 KS Equity,KB FINANCIAL GRO,7/27/2015,5/15/2015,SOUTH KOREA,Diversified Finan Serv,39050,1.83,2.62,-5.9,-3.41,1809437.3,1881000,1712429,-0.48,1044.59,1186.3,914.08,0,0,400164.73,458329,363400,0.75,540718.11,593005,472000,1.06,542640,542640,542640,0,0.12,0.12,0.12,0,4.31,5.8,1.44,0,Q,49.54454447,5.849744734,21.05104067,49.52059204,83.96911878,-45.43817396,47.99539835,53.57189147,9.955896606,48.49497296,60.42059551,3.249296011,44.05570728,-7.596034653,-7.466832703,47.92,39.24,-3.73,+++++,++++-,+-++-
7,1088 HK Equity,CHINA SHENHUA-H,8/21/2015,4/24/2015,CHINA,Coal,19.14,0.21,0.13,-1.03,0.93,40325,40325,40325,0,0.38,0.42,0.33,0,NA,6606,6606,6606,0,11553,11553,11553,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Q,-26.41523882,-20.02161161,-23.73333333,-1.021384198,2.444821732,-24.68513854,-0.472118591,-6.793842035,-3.095238095,-6.171142692,-1.158003088,-5.92,-7.264619037,-3.861186782,0,-8.27,-5.88,-11.49,--0--,-+---,0
8,1171 HK Equity,YANZHOU COAL-H,8/14/2015,4/28/2015,CHINA,Coal,7.08,-0.84,-0.91,-2.07,-0.13,NA,NA,NA,NA,0.13,0.13,0.13,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Q,NA,NA,-67.27272727,NA,NA,NA,NA,NA,225.7142857,NA,NA,42.5,NA,NA,-45.63106796,NA,NA,38.83,NANANANANA,NANANANANA,-NA++-
9,1398 HK Equity,ICBC-H,8/14/2015,4/29/2015,CHINA,Banks,6.68,0.91,0.83,3.25,5.3,NA,NA,NA,NA,0.21,0.21,0.21,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Q,NA,-42.2343014,0,-6.193664013,-8.189374497,-14.77272727,NA,2.335227644,NA,NA,2.142714874,-2.325581395,-0.844819358,NA,0,-3.52,-11.49,-4.27,NA-NANA0,#NAME?,0-NA-0
10,2318 HK Equity,PING AN-H,8/20/2015,4/29/2015,CHINA,Insurance,114.9,3.33,3.25,6,8.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Q,NA,NA,NA,4.045045726,NA,20.38961039,NA,NA,36.84210526,NA,NA,-19.21212121,NA,NA,26.85185185,4.05,NA,16.22,NA+NANANA,NANANANANA,NA++-+
