,2333 HK Equity,,1128 HK Equity,,1211 HK Equity,,489 HK Equity,,2282 HK Equity,,2238 HK Equity,,3333 HK Equity,,670 HK Equity,,1055 HK Equity,,2313 HK Equity,,3383 HK Equity,,3308 HK Equity,,2020 HK Equity,,1833 HK Equity,,881 HK Equity,,425 HK Equity,,3918 HK Equity,,1293 HK Equity,,921 HK Equity,,3669 HK Equity,,210 HK Equity,,3368 HK Equity,,1728 HK Equity,,3818 HK Equity,,2006 HK Equity,,848 HK Equity,,1028 HK Equity,,1628 HK Equity,,2331 HK Equity,,2698 HK Equity,,1966 HK Equity,,331 HK Equity,,1234 HK Equity,,1899 HK Equity,,2200 HK Equity,,811 HK Equity,,1146 HK Equity,,2355 HK Equity,,1698 HK Equity,,672 HK Equity,,2722 HK Equity,,1086 HK Equity,,946 HK Equity,,1968 HK Equity,,2083 HK Equity,,496 HK Equity,,3666 HK Equity,,873 HK Equity,,238 HK Equity,,837 HK Equity,,1863 HK Equity
5/2/2008,0.48132,10/8/2009,1.30063,5/2/2008,1.73,5/2/2008,0.54521,6/2/2011,1.97,8/30/2010,1.18137,11/4/2009,0.45,5/2/2008,0.47722,5/2/2008,0.47,5/2/2008,0.28222,5/2/2008,1.50,5/2/2008,1.02627,5/2/2008,1.19,5/2/2008,0.76457,3/25/2010,1.29,5/2/2008,1.10324,5/2/2008,0.25,12/13/2011,1.09278,5/2/2008,0.11,7/12/2012,0.85336,5/2/2008,0.60,5/2/2008,1.94864,12/9/2010,0.94,5/2/2008,0.45669,5/2/2008,0.31,5/2/2008,0.39768,9/22/2011,0.29485,10/30/2009,0.24193,5/2/2008,3.16862,5/2/2008,1.18791,2/4/2010,0.33469,12/14/2009,0.25156,9/24/2009,0.50321,5/2/2008,0.2245,12/15/2011,0.20562,5/2/2008,0.47722,12/8/2011,0.21091,5/2/2008,0.64783,9/28/2010,0.64194,5/2/2008,0.39127,6/12/2008,0.16637,11/23/2010,0.63157,12/23/2009,0.27729,9/28/2009,0.529,5/25/2011,0.37905,5/2/2008,0.15138,7/4/2012,0.19341,6/10/2010,0.26436,11/3/2010,0.59346,12/28/2009,0.33265,4/28/2010,0.42227
5/5/2008,0.45319,10/9/2009,1.39095,5/5/2008,1.66,5/5/2008,0.55943,6/3/2011,2.01,8/31/2010,1.17245,11/5/2009,0.61,5/5/2008,0.49528,5/5/2008,0.49,5/5/2008,0.2887,5/5/2008,1.49,5/5/2008,1.01494,5/5/2008,1.20,5/5/2008,0.78269,3/26/2010,1.38,5/5/2008,1.12913,5/5/2008,0.26,12/14/2011,0.93772,5/5/2008,0.11,7/13/2012,0.8508,5/5/2008,0.63,5/5/2008,1.95545,12/10/2010,0.95,5/5/2008,0.48116,5/5/2008,0.31,5/5/2008,0.39006,9/23/2011,0.25124,11/2/2009,0.24014,5/5/2008,3.1821,5/5/2008,1.18815,2/5/2010,0.35003,12/15/2009,0.32889,9/25/2009,0.49934,5/5/2008,0.24251,12/16/2011,0.20555,5/5/2008,0.48758,12/9/2011,0.19146,5/5/2008,0.68261,9/29/2010,0.90494,5/5/2008,0.39028,6/13/2008,0.13436,11/24/2010,0.74759,12/24/2009,0.25397,9/29/2009,0.4387,5/26/2011,0.37762,5/5/2008,0.15141,7/5/2012,0.18053,6/11/2010,0.21436,11/4/2010,0.74815,12/29/2009,0.50676,4/29/2010,0.47392
5/6/2008,0.46707,10/12/2009,1.38835,5/6/2008,1.64,5/6/2008,0.56972,6/7/2011,1.95,9/1/2010,1.17311,11/6/2009,0.59,5/6/2008,0.4876,5/6/2008,0.47,5/6/2008,0.28871,5/6/2008,1.44,5/6/2008,1.02652,5/6/2008,1.20,5/6/2008,0.77887,3/29/2010,1.42,5/6/2008,1.10608,5/6/2008,0.28,12/15/2011,0.92144,5/6/2008,0.11,7/16/2012,0.85593,5/6/2008,0.61,5/6/2008,1.95168,12/13/2010,0.99,5/6/2008,0.49273,5/6/2008,0.34,5/6/2008,0.38495,9/26/2011,0.24999,11/3/2009,0.23386,5/6/2008,3.13089,5/6/2008,1.1959,2/8/2010,0.34617,12/16/2009,0.32375,9/28/2009,0.47352,5/6/2008,0.24123,12/19/2011,0.20681,5/6/2008,0.51198,12/12/2011,0.18117,5/6/2008,0.63516,9/30/2010,0.96394,5/6/2008,0.39029,6/16/2008,0.12933,11/25/2010,0.76164,12/28/2009,0.26174,9/30/2009,0.45806,5/27/2011,0.37897,5/6/2008,0.16168,7/6/2012,0.18187,6/14/2010,0.21304,11/5/2010,0.73672,12/30/2009,0.58804,4/30/2010,0.50105
5/7/2008,0.46548,10/13/2009,1.40385,5/7/2008,1.60,5/7/2008,0.54785,6/8/2011,1.94,9/2/2010,1.26895,11/9/2009,0.61,5/7/2008,0.44649,5/7/2008,0.43,5/7/2008,0.28868,5/7/2008,1.34,5/7/2008,1.00974,5/7/2008,1.12,5/7/2008,0.77879,3/30/2010,1.51,5/7/2008,1.09057,5/7/2008,0.27,12/16/2011,0.96865,5/7/2008,0.11,7/17/2012,0.85858,5/7/2008,0.62,5/7/2008,1.86038,12/14/2010,0.96,5/7/2008,0.45804,5/7/2008,0.32,5/7/2008,0.40415,9/27/2011,0.25909,11/4/2009,0.23297,5/7/2008,2.95737,5/7/2008,1.15344,2/9/2010,0.33977,12/17/2009,0.30428,9/29/2009,0.4387,5/7/2008,0.22453,12/20/2011,0.19531,5/7/2008,0.48627,12/13/2011,0.19027,5/7/2008,0.64279,10/4/2010,0.96032,5/7/2008,0.39239,6/17/2008,0.12932,11/26/2010,0.73409,12/29/2009,0.25531,10/2/2009,0.45676,5/30/2011,0.3805,5/7/2008,0.17449,7/9/2012,0.17665,6/15/2010,0.20664,11/8/2010,0.75091,12/31/2009,0.55846,5/3/2010,0.48305
5/8/2008,0.47826,10/14/2009,1.4374,5/8/2008,1.63,5/8/2008,0.52598,6/9/2011,1.87,9/3/2010,1.34598,11/10/2009,0.59,5/8/2008,0.43489,5/8/2008,0.43,5/8/2008,0.28223,5/8/2008,1.31,5/8/2008,1.01988,5/8/2008,1.16,5/8/2008,0.76331,3/31/2010,1.48,5/8/2008,1.08788,5/8/2008,0.26,12/19/2011,0.95824,5/8/2008,0.11,7/18/2012,0.85094,5/8/2008,0.61,5/8/2008,1.82425,12/15/2010,0.95,5/8/2008,0.44901,5/8/2008,0.32,5/8/2008,0.41437,9/28/2011,0.24891,11/5/2009,0.2267,5/8/2008,2.96344,5/8/2008,1.15972,2/10/2010,0.33977,12/18/2009,0.30422,9/30/2009,0.47741,5/8/2008,0.22579,12/21/2011,0.18633,5/8/2008,0.49519,12/14/2011,0.18498,5/8/2008,0.64144,10/5/2010,0.96441,5/8/2008,0.39235,6/18/2008,0.12682,11/29/2010,0.7623,12/30/2009,0.25275,10/5/2009,0.45546,5/31/2011,0.38059,5/8/2008,0.17447,7/10/2012,0.17667,6/17/2010,0.21192,11/9/2010,0.74052,1/4/2010,0.52608,5/4/2010,0.48167
5/9/2008,0.4869,10/15/2009,1.34706,5/9/2008,1.55,5/9/2008,0.52846,6/10/2011,1.87,9/6/2010,1.35473,11/11/2009,0.57,5/9/2008,0.43354,5/9/2008,0.42,5/9/2008,0.29629,5/9/2008,1.28,5/9/2008,1.01202,5/9/2008,1.16,5/9/2008,0.77857,4/1/2010,1.55,5/9/2008,1.09026,5/9/2008,0.26,12/20/2011,0.95728,5/9/2008,0.11,7/19/2012,0.85099,5/9/2008,0.58,5/9/2008,1.85986,12/16/2010,0.90,5/9/2008,0.43739,5/9/2008,0.31,5/9/2008,0.40532,9/30/2011,0.25559,11/6/2009,0.22132,5/9/2008,2.96294,5/9/2008,1.13515,2/11/2010,0.34109,12/21/2009,0.303,10/2/2009,0.47096,5/9/2008,0.22318,12/22/2011,0.18376,5/9/2008,0.49639,12/15/2011,0.18634,5/9/2008,0.64133,10/6/2010,0.94,5/9/2008,0.39335,6/19/2008,0.11271,11/30/2010,0.75588,12/31/2009,0.25279,10/6/2009,0.45806,6/1/2011,0.37928,5/9/2008,0.17701,7/11/2012,0.18182,6/18/2010,0.20559,11/10/2010,0.7328,1/5/2010,0.52598,5/5/2010,0.48152
5/13/2008,0.48228,10/16/2009,1.37025,5/13/2008,1.61,5/13/2008,0.52076,6/13/2011,1.84,9/7/2010,1.34655,11/12/2009,0.57,5/13/2008,0.42584,5/13/2008,0.41,5/13/2008,0.27577,5/13/2008,1.30,5/13/2008,1.01074,5/13/2008,1.16,5/13/2008,0.75933,4/7/2010,1.61,5/13/2008,1.05306,5/13/2008,0.28,12/21/2011,0.95737,5/13/2008,0.11,7/20/2012,0.85086,5/13/2008,0.60,5/13/2008,1.83677,12/17/2010,0.91,5/13/2008,0.47202,5/13/2008,0.31,5/13/2008,0.40532,10/3/2011,0.24911,11/9/2009,0.22043,5/13/2008,3.14252,5/13/2008,1.11976,2/12/2010,0.33847,12/22/2009,0.31597,10/5/2009,0.48127,5/13/2008,0.22575,12/23/2011,0.19289,5/13/2008,0.47715,12/16/2011,0.18499,5/13/2008,0.62979,10/7/2010,0.91433,5/13/2008,0.39869,6/20/2008,0.11788,12/1/2010,0.77396,1/4/2010,0.26175,10/7/2009,0.46193,6/2/2011,0.37275,5/13/2008,0.17188,7/12/2012,0.18047,6/21/2010,0.20461,11/11/2010,0.7522,1/6/2010,0.52999,5/6/2010,0.45668
5/14/2008,0.48315,10/19/2009,1.37801,5/14/2008,1.63,5/14/2008,0.52315,6/14/2011,1.80,9/8/2010,1.4233,11/13/2009,0.56,5/14/2008,0.44365,5/14/2008,0.43,5/14/2008,0.26927,5/14/2008,1.30,5/14/2008,1.00014,5/14/2008,1.14,5/14/2008,0.75652,4/8/2010,1.65,5/14/2008,0.99501,5/14/2008,0.28,12/22/2011,0.96505,5/14/2008,0.11,7/23/2012,0.85086,5/14/2008,0.60,5/14/2008,1.86052,12/20/2010,0.91,5/14/2008,0.4693,5/14/2008,0.31,5/14/2008,0.40519,10/4/2011,0.24278,11/10/2009,0.21236,5/14/2008,3.13506,5/14/2008,1.09118,2/17/2010,0.34116,12/23/2009,0.34436,10/6/2009,0.48774,5/14/2008,0.22439,12/28/2011,0.19033,5/14/2008,0.48725,12/19/2011,0.18625,5/14/2008,0.62958,10/8/2010,0.94098,5/14/2008,0.39856,6/23/2008,0.11401,12/2/2010,0.80862,1/5/2010,0.30166,10/8/2009,0.46064,6/3/2011,0.37545,5/14/2008,0.17182,7/13/2012,0.18176,6/22/2010,0.1915,11/12/2010,0.74954,1/7/2010,0.49906,5/7/2010,0.43178
5/15/2008,0.48051,10/20/2009,1.37289,5/15/2008,1.63,5/15/2008,0.51026,6/15/2011,1.79,9/9/2010,1.38496,11/16/2009,0.56,5/15/2008,0.44231,5/15/2008,0.42,5/15/2008,0.26923,5/15/2008,1.29,5/15/2008,0.99872,5/15/2008,1.16,5/15/2008,0.76795,4/9/2010,1.83,5/15/2008,0.95769,5/15/2008,0.29,12/23/2011,0.97087,5/15/2008,0.11,7/24/2012,0.85072,5/15/2008,0.60,5/15/2008,1.90897,12/21/2010,0.91,5/15/2008,0.48974,5/15/2008,0.30,5/15/2008,0.40513,10/6/2011,0.2493,11/11/2009,0.21684,5/15/2008,3.20513,5/15/2008,1.09744,2/18/2010,0.33995,12/24/2009,0.34293,10/7/2009,0.48645,5/15/2008,0.23333,12/29/2011,0.18913,5/15/2008,0.4859,12/20/2011,0.18375,5/15/2008,0.61538,10/11/2010,0.93964,5/15/2008,0.3985,6/24/2008,0.11015,12/3/2010,0.79496,1/6/2010,0.29272,10/9/2009,0.45935,6/7/2011,0.37405,5/15/2008,0.17308,7/16/2012,0.17789,6/23/2010,0.18645,11/15/2010,0.72753,1/8/2010,0.50288,5/10/2010,0.44984
5/16/2008,0.49282,10/21/2009,1.37289,5/16/2008,1.58,5/16/2008,0.51282,6/16/2011,1.67,9/10/2010,1.37752,11/17/2009,0.58,5/16/2008,0.44615,5/16/2008,0.42,5/16/2008,0.26795,5/16/2008,1.29,5/16/2008,0.99872,5/16/2008,1.14,5/16/2008,0.76282,4/12/2010,1.64,5/16/2008,0.96154,5/16/2008,0.28,12/28/2011,0.96965,5/16/2008,0.11,7/25/2012,0.85068,5/16/2008,0.61,5/16/2008,1.87436,12/22/2010,0.91,5/16/2008,0.48462,5/16/2008,0.31,5/16/2008,0.39231,10/7/2011,0.25702,11/12/2009,0.21505,5/16/2008,3.19872,5/16/2008,1.10897,2/19/2010,0.33864,12/28/2009,0.35199,10/8/2009,0.48257,5/16/2008,0.23718,12/30/2011,0.19313,5/16/2008,0.40897,12/21/2011,0.18248,5/16/2008,0.60256,10/12/2010,0.93306,5/16/2008,0.39744,6/25/2008,0.11527,12/6/2010,0.76282,1/7/2010,0.29789,10/12/2009,0.47354,6/8/2011,0.36753,5/16/2008,0.17564,7/17/2012,0.18048,6/24/2010,0.18258,11/16/2010,0.69245,1/11/2010,0.49515,5/11/2010,0.42291
