,857 HK Equity,,386 HK Equity,,883 HK Equity,,1088 HK Equity,,2883 HK Equity,,1898 HK Equity,,1171 HK Equity,,384 HK Equity,,3337 HK Equity,,956 HK Equity,,196 HK Equity,,568 HK Equity,,975 HK Equity,,1393 HK Equity,,951 HK Equity,,686 HK Equity,,712 HK Equity,,839 HK Equity,,866 HK Equity,,3303 HK Equity,,842 HK Equity,,,,,,,,,
5/2/2008,1.54967,5/2/2008,0.86,5/2/2008,1.71388,5/2/2008,4.64,5/2/2008,1.9063,5/2/2008,2.14,5/2/2008,1.87551,5/2/2008,0.31,5/2/2008,0.21295,10/12/2010,0.34,5/2/2008,0.39896,5/2/2008,0.65,10/13/2010,0.94715,5/2/2008,1.46244,7/6/2010,0.28,5/2/2008,0.21,10/29/2009,0.27095,5/2/2008,0.32,7/2/2009,0.16258,5/2/2008,0.24,11/15/2010,0.69012,,,,,,,,,
5/5/2008,1.55256,5/5/2008,0.86,5/5/2008,1.73219,5/5/2008,4.61,5/5/2008,1.95288,5/5/2008,2.15,5/5/2008,1.8836,5/5/2008,0.31,5/5/2008,0.20915,10/13/2010,0.34,5/5/2008,0.40418,5/5/2008,0.66,10/14/2010,1.00028,5/5/2008,1.42938,7/7/2010,0.25,5/5/2008,0.21,10/30/2009,0.25548,5/5/2008,0.31,7/3/2009,0.1729,5/5/2008,0.23,11/16/2010,0.60218,,,,,,,,,
5/6/2008,1.55518,5/6/2008,0.84,5/6/2008,1.78358,5/6/2008,4.61,5/6/2008,2.03765,5/6/2008,2.15,5/6/2008,1.94783,5/6/2008,0.31,5/6/2008,0.20787,10/14/2010,0.34,5/6/2008,0.40163,5/6/2008,0.67,10/15/2010,1.05706,5/6/2008,1.44996,7/8/2010,0.26,5/6/2008,0.21,11/2/2009,0.23354,5/6/2008,0.32,7/6/2009,0.18967,5/6/2008,0.21,11/17/2010,0.5788,,,,,,,,,
5/7/2008,1.47034,5/7/2008,0.80,5/7/2008,1.78083,5/7/2008,4.48,5/7/2008,1.99638,5/7/2008,2.06,5/7/2008,1.88604,5/7/2008,0.30,5/7/2008,0.21426,10/15/2010,0.34,5/7/2008,0.42853,5/7/2008,0.70,10/18/2010,1.08799,5/7/2008,1.50883,7/9/2010,0.26,5/7/2008,0.21,11/3/2009,0.23225,5/7/2008,0.31,7/7/2009,0.18064,5/7/2008,0.21,11/18/2010,0.5804,,,,,,,,,
5/8/2008,1.43425,5/8/2008,0.78,5/8/2008,1.79859,5/8/2008,4.40,5/8/2008,1.98845,5/8/2008,2.01,5/8/2008,1.88069,5/8/2008,0.29,5/8/2008,0.21552,10/18/2010,0.32,5/8/2008,0.44259,5/8/2008,0.65,10/19/2010,1.241,5/8/2008,1.4984,7/12/2010,0.28,5/8/2008,0.21,11/4/2009,0.22838,5/8/2008,0.32,7/8/2009,0.1787,5/8/2008,0.20,11/19/2010,0.55328,,,,,,,,,
5/9/2008,1.4058,5/9/2008,0.75,5/9/2008,1.80598,5/9/2008,4.25,5/9/2008,1.98556,5/9/2008,1.98,5/9/2008,1.91373,5/9/2008,0.29,5/9/2008,0.21677,10/19/2010,0.34,5/9/2008,0.46176,5/9/2008,0.64,10/20/2010,1.16078,5/9/2008,1.50071,7/13/2010,0.29,5/9/2008,0.21,11/5/2009,0.22451,5/9/2008,0.31,7/9/2009,0.18773,5/9/2008,0.21,11/22/2010,0.56994,,,,,,,,,
5/13/2008,1.4058,5/13/2008,0.76,5/13/2008,1.83933,5/13/2008,4.24,5/13/2008,2.0266,5/13/2008,2.08,5/13/2008,1.94708,5/13/2008,0.29,5/13/2008,0.23473,10/20/2010,0.35,5/13/2008,0.45534,5/13/2008,0.64,10/21/2010,1.18355,5/13/2008,1.5161,7/14/2010,0.28,5/13/2008,0.21,11/6/2009,0.21419,5/13/2008,0.31,7/10/2009,0.17934,5/13/2008,0.21,11/23/2010,0.55423,,,,,,,,,
5/14/2008,1.39763,5/14/2008,0.74,5/14/2008,1.89257,5/14/2008,4.23,5/14/2008,1.97464,5/14/2008,2.10,5/14/2008,1.97207,5/14/2008,0.29,5/14/2008,0.23208,10/21/2010,0.35,5/14/2008,0.46032,5/14/2008,0.65,10/22/2010,1.15924,5/14/2008,1.54124,7/15/2010,0.27,5/14/2008,0.24,11/9/2009,0.24129,5/14/2008,0.32,7/13/2009,0.17289,5/14/2008,0.21,11/24/2010,0.55682,,,,,,,,,
5/15/2008,1.42821,5/15/2008,0.73,5/15/2008,1.90769,5/15/2008,4.15,5/15/2008,1.98205,5/15/2008,2.10,5/15/2008,2.02564,5/15/2008,0.31,5/15/2008,0.22949,10/22/2010,0.34,5/15/2008,0.4359,5/15/2008,0.63,10/25/2010,1.10987,5/15/2008,1.57949,7/16/2010,0.26,5/15/2008,0.25,11/10/2009,0.24903,5/15/2008,0.35,7/14/2009,0.17419,5/15/2008,0.21,11/25/2010,0.55931,,,,,,,,,
5/16/2008,1.47692,5/16/2008,0.76,5/16/2008,1.91026,5/16/2008,4.36,5/16/2008,2.08205,5/16/2008,2.20,5/16/2008,2.01795,5/16/2008,0.30,5/16/2008,0.23462,10/25/2010,0.35,5/16/2008,0.42949,5/16/2008,0.62,10/26/2010,1.06974,5/16/2008,1.58205,7/19/2010,0.27,5/16/2008,0.25,11/11/2009,0.24516,5/16/2008,0.35,7/15/2009,0.17935,5/16/2008,0.21,11/26/2010,0.54091,,,,,,,,,
5/19/2008,1.49229,5/19/2008,0.75,5/19/2008,1.97433,5/19/2008,4.66,5/19/2008,2.03844,5/19/2008,2.31,5/19/2008,2.13074,5/19/2008,0.35,5/19/2008,0.25128,10/26/2010,0.36,5/19/2008,0.42564,5/19/2008,0.61,10/27/2010,1.10193,5/19/2008,1.63844,7/20/2010,0.26,5/19/2008,0.24,11/12/2009,0.24387,5/19/2008,0.35,7/16/2009,0.17612,5/19/2008,0.22,11/29/2010,0.52923,,,,,,,,,
5/20/2008,1.4257,5/20/2008,0.72,5/20/2008,1.92572,5/20/2008,4.58,5/20/2008,1.95905,5/20/2008,2.28,5/20/2008,2.12316,5/20/2008,0.36,5/20/2008,0.24232,10/27/2010,0.36,5/20/2008,0.42438,5/20/2008,0.60,10/28/2010,1.10879,5/20/2008,1.65904,7/21/2010,0.27,5/20/2008,0.24,11/13/2009,0.28387,5/20/2008,0.33,7/17/2009,0.1858,5/20/2008,0.22,11/30/2010,0.52796,,,,,,,,,
5/21/2008,1.4563,5/21/2008,0.75,5/21/2008,2.0383,5/21/2008,4.66,5/21/2008,1.97677,5/21/2008,2.34,5/21/2008,2.21009,5/21/2008,0.35,5/21/2008,0.25511,10/28/2010,0.34,5/21/2008,0.44227,5/21/2008,0.59,10/29/2010,1.0824,5/21/2008,1.68192,7/22/2010,0.28,5/21/2008,0.23,11/16/2009,0.28129,5/21/2008,0.33,7/20/2009,0.18258,5/21/2008,0.23,12/1/2010,0.53572,,,,,,,,,
5/22/2008,1.43333,5/22/2008,0.72,5/22/2008,2.02564,5/22/2008,4.65,5/22/2008,1.92821,5/22/2008,2.34,5/22/2008,2.24872,5/22/2008,0.34,5/22/2008,0.24872,10/29/2010,0.34,5/22/2008,0.46282,5/22/2008,0.59,11/1/2010,1.11329,5/22/2008,1.71795,7/23/2010,0.27,5/22/2008,0.22,11/17/2009,0.28128,5/22/2008,0.32,7/21/2009,0.18387,5/22/2008,0.22,12/2/2010,0.53178,,,,,,,,,
5/23/2008,1.40486,5/23/2008,0.71,5/23/2008,1.89194,5/23/2008,4.59,5/23/2008,1.90989,5/23/2008,2.31,5/23/2008,2.16625,5/23/2008,0.34,5/23/2008,0.24098,11/1/2010,0.34,5/23/2008,0.4371,5/23/2008,0.60,11/2/2010,1.11209,5/23/2008,1.7048,7/26/2010,0.26,5/23/2008,0.23,11/18/2009,0.28645,5/23/2008,0.33,7/22/2009,0.17871,5/23/2008,0.22,12/3/2010,0.52954,,,,,,,,,
5/26/2008,1.36086,5/26/2008,0.69,5/26/2008,1.84779,5/26/2008,4.36,5/26/2008,1.85805,5/26/2008,2.18,5/26/2008,2.01694,5/26/2008,0.34,5/26/2008,0.23578,11/2/2010,0.33,5/26/2008,0.44849,5/26/2008,0.58,11/3/2010,1.09662,5/26/2008,1.62483,7/27/2010,0.27,5/26/2008,0.23,11/19/2009,0.28516,5/26/2008,0.30,7/23/2009,0.18064,5/26/2008,0.21,12/6/2010,0.5283,,,,,,,,,
