,939 HK Equity,,3988 HK Equity,,2628 HK Equity,,3328 HK Equity,,2318 HK Equity,,998 HK Equity,,2328 HK Equity,,2007 HK Equity,,960 HK Equity,,2777 HK Equity,,410 HK Equity,,3618 HK Equity,,3900 HK Equity,,3377 HK Equity,,272 HK Equity,,1918 HK Equity,,588 HK Equity,,1387 HK Equity,,1638 HK Equity,,337 HK Equity,,1777 HK Equity,,2868 HK Equity,,1238 HK Equity,,832 HK Equity,,3883 HK Equity,,2118 HK Equity,,8207 HK Equity,,733 HK Equity,,
5/2/2008,0.89477,5/2/2008,0.4994,5/2/2008,4.50919,5/2/2008,1.2682,5/2/2008,9.78807,5/2/2008,0.6553,5/2/2008,0.9117,5/2/2008,0.8425,11/18/2009,0.9123,5/2/2008,2.9313,5/2/2008,0.64014,12/15/2010,0.6752,5/2/2008,1.18663,5/2/2008,0.8326,5/2/2008,0.8524,10/6/2010,0.44873,5/2/2008,0.43617,10/21/2008,0.1457,12/8/2009,0.4451,5/2/2008,0.50062,11/24/2009,0.2813,5/2/2008,0.41949,10/13/2009,0.3548,6/5/2008,0.34348,5/2/2008,0.3951,7/14/2010,0.18017,11/18/2010,0.0806,5/2/2008,0.39943,,
5/5/2008,0.88873,5/5/2008,0.4995,5/5/2008,4.53577,5/5/2008,1.2729,5/5/2008,9.79008,5/5/2008,0.6406,5/5/2008,0.9201,5/5/2008,0.85613,11/19/2009,1.0335,5/5/2008,2.8998,5/5/2008,0.65053,12/16/2010,0.6686,5/5/2008,1.18431,5/5/2008,0.8699,5/5/2008,0.8590,10/7/2010,0.4346,5/5/2008,0.4401,10/22/2008,0.1522,12/9/2009,0.4438,5/5/2008,0.50072,11/25/2009,0.2877,5/5/2008,0.41958,10/14/2009,0.3613,6/6/2008,0.33344,5/5/2008,0.3991,7/15/2010,0.18792,11/19/2010,0.1150,5/5/2008,0.39854,,
5/6/2008,0.89623,5/6/2008,0.4959,5/6/2008,4.52312,5/6/2008,1.2530,5/6/2008,9.68139,5/6/2008,0.6357,5/6/2008,0.9178,5/6/2008,0.85983,11/20/2009,1.0464,5/6/2008,2.8422,5/6/2008,0.65313,12/17/2010,0.6763,5/6/2008,1.20488,5/6/2008,0.9110,5/6/2008,0.8214,10/8/2010,0.41893,5/6/2008,0.43884,10/23/2008,0.1612,12/10/2009,0.4451,5/6/2008,0.49824,11/26/2009,0.2774,5/6/2008,0.42472,10/15/2009,0.3548,6/10/2008,0.31591,5/6/2008,0.4003,7/16/2010,0.17374,11/22/2010,0.1214,5/6/2008,0.39758,,
5/7/2008,0.86752,5/7/2008,0.4860,5/7/2008,4.35586,5/7/2008,1.1998,5/7/2008,9.23776,5/7/2008,0.6108,5/7/2008,0.8768,5/7/2008,0.82061,11/23/2009,1.0387,5/7/2008,2.7136,5/7/2008,0.66717,12/20/2010,0.6623,5/7/2008,1.18038,5/7/2008,0.8853,5/7/2008,0.7912,10/11/2010,0.39184,5/7/2008,0.42468,10/24/2008,0.1651,12/11/2009,0.4464,5/7/2008,0.48943,11/27/2009,0.2568,5/7/2008,0.40159,10/16/2009,0.3432,6/11/2008,0.31595,5/7/2008,0.3913,7/19/2010,0.18005,11/23/2010,0.1364,5/7/2008,0.39754,,
5/8/2008,0.86493,5/8/2008,0.4847,5/8/2008,4.24631,5/8/2008,1.1819,5/8/2008,8.91597,5/8/2008,0.6008,5/8/2008,0.8627,5/8/2008,0.80339,11/24/2009,1.0774,5/8/2008,2.5978,5/8/2008,0.65427,12/21/2010,0.6599,5/8/2008,1.18153,5/8/2008,0.8659,5/8/2008,0.8019,10/12/2010,0.37245,5/8/2008,0.41437,10/27/2008,0.1470,12/14/2009,0.4386,5/8/2008,0.48812,11/30/2009,0.2606,5/8/2008,0.40026,10/19/2009,0.3393,6/12/2008,0.30452,5/8/2008,0.3823,7/20/2010,0.18007,11/24/2010,0.1332,5/8/2008,0.36931,,
5/9/2008,0.84487,5/9/2008,0.4772,5/9/2008,4.1943,5/9/2008,1.1729,5/9/2008,8.96579,5/9/2008,0.5933,5/9/2008,0.8450,5/9/2008,0.77636,11/25/2009,1.0516,5/9/2008,2.5320,5/9/2008,0.63107,12/22/2010,0.6710,5/9/2008,1.16722,5/9/2008,0.8645,5/9/2008,0.7845,10/13/2010,0.40721,5/9/2008,0.4143,10/28/2008,0.1509,12/15/2009,0.4089,5/9/2008,0.49054,12/1/2009,0.2748,5/9/2008,0.39762,10/20/2009,0.3639,6/13/2008,0.28076,5/9/2008,0.3681,7/21/2010,0.1826,11/25/2010,0.1235,5/9/2008,0.3984,,
5/13/2008,0.88594,5/13/2008,0.4908,5/13/2008,4.25843,5/13/2008,1.1972,5/13/2008,9.08764,5/13/2008,0.6119,5/13/2008,0.8181,5/13/2008,0.77392,11/26/2009,1.0219,5/13/2008,2.6038,5/13/2008,0.62466,12/23/2010,0.6648,5/13/2008,1.23007,5/13/2008,0.8825,5/13/2008,0.7738,10/14/2010,0.4112,5/13/2008,0.4066,10/29/2008,0.1484,12/16/2009,0.4050,5/13/2008,0.48804,12/2/2009,0.2826,5/13/2008,0.39378,10/21/2009,0.3523,6/16/2008,0.26224,5/13/2008,0.3668,7/22/2010,0.1801,11/26/2010,0.1170,5/13/2008,0.3984,,
5/14/2008,0.89435,5/14/2008,0.4943,5/14/2008,4.23778,5/14/2008,1.1924,5/14/2008,9.03333,5/14/2008,0.6129,5/14/2008,0.8132,5/14/2008,0.76266,11/27/2009,0.9948,5/14/2008,2.6286,5/14/2008,0.63727,12/24/2010,0.6632,5/14/2008,1.22838,5/14/2008,0.8681,5/14/2008,0.7810,10/15/2010,0.41122,5/14/2008,0.40519,10/30/2008,0.1484,12/17/2009,0.4010,5/14/2008,0.49163,12/3/2009,0.2865,5/14/2008,0.39365,10/22/2009,0.3394,6/17/2008,0.26222,5/14/2008,0.3834,7/23/2010,0.18283,11/29/2010,0.1256,5/14/2008,0.39827,,
5/15/2008,0.8992,5/15/2008,0.4991,5/15/2008,4.21154,5/15/2008,1.1944,5/15/2008,9.05128,5/15/2008,0.6116,5/15/2008,0.8189,5/15/2008,0.75644,11/30/2009,1.0245,5/15/2008,2.5462,5/15/2008,0.62179,12/28/2010,0.6568,5/15/2008,1.21282,5/15/2008,0.8359,5/15/2008,0.7702,10/18/2010,0.40606,5/15/2008,0.39872,10/31/2008,0.1484,12/18/2009,0.3880,5/15/2008,0.49406,12/4/2009,0.2890,5/15/2008,0.38974,10/23/2009,0.3419,6/18/2008,0.28108,5/15/2008,0.3731,7/26/2010,0.18286,11/30/2010,0.1223,5/15/2008,0.40793,,
5/16/2008,0.87681,5/16/2008,0.5016,5/16/2008,4.23718,5/16/2008,1.1944,5/16/2008,9.04487,5/16/2008,0.6277,5/16/2008,0.8072,5/16/2008,0.75766,12/1/2009,1.0335,5/16/2008,2.4513,5/16/2008,0.61154,12/29/2010,0.6604,5/16/2008,1.17692,5/16/2008,0.8192,5/16/2008,0.7605,10/19/2010,0.40336,5/16/2008,0.40256,11/3/2008,0.1510,12/21/2009,0.3739,5/16/2008,0.50031,12/7/2009,0.2839,5/16/2008,0.37179,10/27/2009,0.3471,6/19/2008,0.28102,5/16/2008,0.3680,7/27/2010,0.1828,12/1/2010,0.1223,5/16/2008,0.3885,,
