,1099 HK Equity,,1066 HK Equity,,874 HK Equity,,460 HK Equity,,867 HK Equity,,1666 HK Equity,,2877 HK Equity,,853 HK Equity,,325 HK Equity,,8058 HK Equity,,8231 HK Equity,,963 HK Equity
9/22/2009,2.0644,5/2/2008,0.41,5/2/2008,0.84539,10/27/2010,0.5929,9/27/2010,0.34785,5/2/2008,0.4943,5/2/2008,0.67862,9/22/2010,0.7863,6/28/2010,0.45234,5/2/2008,0.4554,5/2/2008,0.07825,10/2/2008,0.12869
9/23/2009,2.3895,5/5/2008,0.42,5/5/2008,0.85968,10/28/2010,0.7439,9/28/2010,0.38774,5/5/2008,0.5124,5/5/2008,0.67748,9/24/2010,1.0687,6/29/2010,0.49207,5/5/2008,0.4555,5/5/2008,0.07699,10/3/2008,0.13381
9/24/2009,2.578,5/6/2008,0.42,5/6/2008,0.87254,10/29/2010,0.7263,9/29/2010,0.35888,5/6/2008,0.5090,5/6/2008,0.66467,9/27/2010,1.0505,6/30/2010,0.46234,5/6/2008,0.4735,5/6/2008,0.07956,10/6/2008,0.12874
9/25/2009,2.5806,5/7/2008,0.43,5/7/2008,0.85578,11/1/2010,0.7689,9/30/2010,0.37389,5/7/2008,0.4918,5/7/2008,0.66204,9/28/2010,1.0957,7/2/2010,0.45547,5/7/2008,0.4657,5/7/2008,0.07955,10/8/2008,0.1236
9/28/2009,2.4592,5/8/2008,0.43,5/8/2008,0.86081,11/2/2010,0.7754,10/4/2010,0.37536,5/8/2008,0.4918,5/8/2008,0.66068,9/29/2010,1.0455,7/5/2010,0.46965,5/8/2008,0.5170,5/8/2008,0.0898,10/9/2008,0.12754
9/29/2009,2.5161,5/9/2008,0.44,5/9/2008,0.8504,11/3/2010,0.7702,10/5/2010,0.35964,5/9/2008,0.4917,5/9/2008,0.65544,9/30/2010,1.1147,7/6/2010,0.46606,5/9/2008,0.5195,5/9/2008,0.08979,10/10/2008,0.11993
9/30/2009,2.5342,5/13/2008,0.43,5/13/2008,0.91325,11/4/2010,0.7507,10/6/2010,0.36311,5/13/2008,0.5173,5/13/2008,0.65544,10/4/2010,1.1421,7/7/2010,0.45568,5/13/2008,0.5285,5/13/2008,0.07439,10/13/2008,0.10696
10/2/2009,2.5935,5/14/2008,0.46,5/14/2008,0.88987,11/5/2010,0.7458,10/7/2010,0.35352,5/14/2008,0.5172,5/14/2008,0.66548,10/5/2010,1.1333,7/8/2010,0.44816,5/14/2008,0.5129,5/14/2008,0.0795,10/14/2008,0.11601
10/5/2009,2.6837,5/15/2008,0.47,5/15/2008,0.88333,11/8/2010,0.7651,10/8/2010,0.34855,5/15/2008,0.5043,5/15/2008,0.6641,10/6/2010,1.1089,7/9/2010,0.45541,5/15/2008,0.5013,5/15/2008,0.07692,10/15/2008,0.10443
10/6/2009,2.6387,5/16/2008,0.46,5/16/2008,0.8859,11/9/2010,0.7534,10/11/2010,0.33341,5/16/2008,0.5000,5/16/2008,0.6641,10/7/2010,1.082,7/12/2010,0.44908,5/16/2008,0.5051,5/16/2008,0.07692,10/16/2008,0.11477
