,1800 HK Equity,,1186 HK Equity,,390 HK Equity,,2338 HK Equity,,1919 HK Equity,,177 HK Equity,,552 HK Equity,,576 HK Equity,,2866 HK Equity,,2357 HK Equity,,694 HK Equity,,3898 HK Equity,,1882 HK Equity,,1138 HK Equity,,1333 HK Equity,,2880 HK Equity,,3808 HK Equity,,107 HK Equity,,2382 HK Equity,,38 HK Equity,,1308 HK Equity,,2222 HK Equity,,995 HK Equity,,1133 HK Equity,,631 HK Equity,,598 HK Equity,,3339 HK Equity,,1101 HK Equity,,1893 HK Equity,,1685 HK Equity,,826 HK Equity,,187 HK Equity,,357 HK Equity,,6888 HK Equity,,3378 HK Equity,,1080 HK Equity,,1708 HK Equity,,569 HK Equity,,2345 HK Equity
5/2/2008,2.4477,5/2/2008,1.5882,5/2/2008,0.96598,5/2/2008,1.4933,5/2/2008,3.18786,5/2/2008,0.9621,5/2/2008,0.79308,5/2/2008,1.0391,5/2/2008,0.47337,5/2/2008,0.1565,5/2/2008,1.04936,5/2/2008,1.0263,5/2/2008,0.5054,5/2/2008,3.48291,5/8/2009,0.8555,5/2/2008,0.6581,5/2/2008,1.22383,5/2/2008,0.3438,5/2/2008,0.2360,5/2/2008,0.51314,10/5/2010,0.6163,5/19/2010,0.26923,5/2/2008,0.7774,5/2/2008,1.8319,11/24/2009,0.4129,5/2/2008,0.3515,5/2/2008,0.29537,11/18/2010,1.03182,5/2/2008,0.93647,10/19/2010,0.82218,5/2/2008,0.14175,5/2/2008,0.24374,5/2/2008,1.07117,5/2/2008,0.01116,5/2/2008,0.33482,12/17/2009,0.28365,5/2/2008,0.44386,5/2/2008,0.31558,5/2/2008,0.25785
5/5/2008,2.4764,5/5/2008,1.6141,5/5/2008,0.95848,5/5/2008,1.5003,5/5/2008,3.14361,5/5/2008,0.9059,5/5/2008,0.81584,5/5/2008,1.0008,5/5/2008,0.48501,5/5/2008,0.1630,5/5/2008,1.124,5/5/2008,1.0919,5/5/2008,0.5055,5/5/2008,3.45797,5/11/2009,0.8619,5/5/2008,0.65823,5/5/2008,1.22152,5/5/2008,0.349,5/5/2008,0.2387,5/5/2008,0.50554,10/6/2010,0.58412,5/20/2010,0.26144,5/5/2008,0.78013,5/5/2008,1.84767,11/25/2009,0.60472,5/5/2008,0.35029,5/5/2008,0.29287,11/19/2010,1.02659,5/5/2008,0.98927,10/20/2010,0.93404,5/5/2008,0.13858,5/5/2008,0.25534,5/5/2008,1.08936,5/5/2008,0.01065,5/5/2008,0.33104,12/18/2009,0.23976,5/5/2008,0.45935,5/5/2008,0.31564,5/5/2008,0.26304
5/6/2008,2.4585,5/6/2008,1.6322,5/6/2008,0.9829,5/6/2008,1.4937,5/6/2008,3.23355,5/6/2008,0.8969,5/6/2008,0.82842,5/6/2008,1.0086,5/6/2008,0.48247,5/6/2008,0.1604,5/6/2008,1.12789,5/6/2008,1.0676,5/6/2008,0.5081,5/6/2008,3.50942,5/12/2009,0.9123,5/6/2008,0.65056,5/6/2008,1.21001,5/6/2008,0.34517,5/6/2008,0.2477,5/6/2008,0.50941,10/7/2010,0.5713,5/24/2010,0.25893,5/6/2008,0.76604,5/6/2008,1.8965,11/26/2009,0.66665,5/6/2008,0.34389,5/6/2008,0.28646,11/22/2010,1.02125,5/6/2008,1.00343,10/21/2010,0.95946,5/6/2008,0.1389,5/6/2008,0.26305,5/6/2008,1.10351,5/6/2008,0.01155,5/6/2008,0.32592,12/21/2009,0.26818,5/6/2008,0.4491,5/6/2008,0.31309,5/6/2008,0.25663
5/7/2008,2.3325,5/7/2008,1.5550,5/7/2008,0.95842,5/7/2008,1.4868,5/7/2008,3.11133,5/7/2008,0.8802,5/7/2008,0.78943,5/7/2008,0.9854,5/7/2008,0.44777,5/7/2008,0.1514,5/7/2008,1.08929,5/7/2008,1.0521,5/7/2008,0.5440,5/7/2008,3.42567,5/13/2009,0.9032,5/7/2008,0.62355,5/7/2008,1.17396,5/7/2008,0.33487,5/7/2008,0.2309,5/7/2008,0.50294,10/8/2010,0.5517,5/25/2010,0.23842,5/7/2008,0.74928,5/7/2008,1.83472,11/27/2009,0.63652,5/7/2008,0.33102,5/7/2008,0.26559,11/23/2010,0.95766,5/7/2008,0.94559,10/22/2010,0.93641,5/7/2008,0.13792,5/7/2008,0.25276,5/7/2008,1.10981,5/7/2008,0.01026,5/7/2008,0.31691,12/22/2009,0.27341,5/7/2008,0.44906,5/7/2008,0.31306,5/7/2008,0.24377
5/8/2008,2.3066,5/8/2008,1.5625,5/8/2008,0.94804,5/8/2008,1.4766,5/8/2008,3.18153,5/8/2008,0.8287,5/8/2008,0.7931,5/8/2008,0.9493,5/8/2008,0.43489,5/8/2008,0.1565,5/8/2008,1.07633,5/8/2008,1.0314,5/8/2008,0.5516,5/8/2008,3.36113,5/14/2009,0.8890,5/8/2008,0.61706,5/8/2008,1.15459,5/8/2008,0.32328,5/8/2008,0.2373,5/8/2008,0.50674,10/11/2010,0.51944,5/26/2010,0.24445,5/8/2008,0.76074,5/8/2008,1.79346,11/30/2009,0.64171,5/8/2008,0.32328,5/8/2008,0.25786,11/24/2010,0.9087,5/8/2008,0.94035,10/25/2010,0.91393,5/8/2008,0.14529,5/8/2008,0.25144,5/8/2008,1.18666,5/8/2008,0.00872,5/8/2008,0.32072,12/23/2009,0.27342,5/8/2008,0.44901,5/8/2008,0.30789,5/8/2008,0.25016
5/9/2008,2.2524,5/9/2008,1.5418,5/9/2008,0.92865,5/9/2008,1.4564,5/9/2008,3.11045,5/9/2008,0.8325,5/9/2008,0.79673,5/9/2008,0.9453,5/9/2008,0.43867,5/9/2008,0.1539,5/9/2008,1.06076,5/9/2008,1.0069,5/9/2008,0.5374,5/9/2008,3.20024,5/15/2009,0.8992,5/9/2008,0.64133,5/9/2008,1.16722,5/9/2008,0.33349,5/9/2008,0.2399,5/9/2008,0.49639,10/12/2010,0.52968,5/27/2010,0.25419,5/9/2008,0.76318,5/9/2008,1.73416,12/1/2009,0.63225,5/9/2008,0.32451,5/9/2008,0.25493,11/25/2010,0.90984,5/9/2008,0.92352,10/26/2010,0.9473,5/9/2008,0.12987,5/9/2008,0.2514,5/9/2008,1.18646,5/9/2008,0.00808,5/9/2008,0.31553,12/24/2009,0.26944,5/9/2008,0.44893,5/9/2008,0.30143,5/9/2008,0.24371
5/13/2008,2.3088,5/13/2008,1.5751,5/13/2008,0.95943,5/13/2008,1.4547,5/13/2008,3.11686,5/13/2008,0.8594,5/13/2008,0.80677,5/13/2008,0.9723,5/13/2008,0.44893,5/13/2008,0.1591,5/13/2008,1.07615,5/13/2008,1.0005,5/13/2008,0.5464,5/13/2008,3.44394,5/18/2009,0.8810,5/13/2008,0.64518,5/13/2008,1.23135,5/13/2008,0.31297,5/13/2008,0.2309,5/13/2008,0.49254,10/13/2010,0.53221,5/28/2010,0.26328,5/13/2008,0.75292,5/13/2008,1.8342,12/2/2009,0.64085,5/13/2008,0.3258,5/13/2008,0.26647,11/26/2010,0.90023,5/13/2008,1.01971,10/27/2010,0.9563,5/13/2008,0.14366,5/13/2008,0.25012,5/13/2008,1.20955,5/13/2008,0.01,5/13/2008,0.32195,12/28/2009,0.28495,5/13/2008,0.45534,5/13/2008,0.30784,5/13/2008,0.24627
5/14/2008,2.3080,5/14/2008,1.5695,5/14/2008,0.95398,5/14/2008,1.4225,5/14/2008,3.15429,5/14/2008,0.8835,5/14/2008,0.80525,5/14/2008,0.9642,5/14/2008,0.45391,5/14/2008,0.1552,5/14/2008,1.08092,5/14/2008,1.0348,5/14/2008,0.5385,5/14/2008,3.38509,5/19/2009,0.8811,5/14/2008,0.65137,5/14/2008,1.26941,5/14/2008,0.34877,5/14/2008,0.2347,5/14/2008,0.48597,10/14/2010,0.54397,5/31/2010,0.262,5/14/2008,0.78857,5/14/2008,1.86949,12/3/2009,0.63999,5/14/2008,0.32184,5/14/2008,0.28369,11/29/2010,0.95158,5/14/2008,1.00783,10/28/2010,0.9515,5/14/2008,0.13976,5/14/2008,0.25388,5/14/2008,1.21171,5/14/2008,0.01077,5/14/2008,0.32569,12/29/2009,0.28239,5/14/2008,0.45135,5/14/2008,0.31286,5/14/2008,0.25004
5/15/2008,2.3026,5/15/2008,1.5846,5/15/2008,0.95513,5/15/2008,1.4690,5/15/2008,3.32692,5/15/2008,0.8680,5/15/2008,0.80764,5/15/2008,0.9500,5/15/2008,0.51538,5/15/2008,0.1500,5/15/2008,1.08718,5/15/2008,1.0500,5/15/2008,0.5308,5/15/2008,3.50641,5/20/2009,0.8811,5/15/2008,0.62564,5/15/2008,1.26282,5/15/2008,0.33462,5/15/2008,0.2346,5/15/2008,0.48974,10/15/2010,0.54013,6/1/2010,0.26956,5/15/2008,0.77692,5/15/2008,1.96923,12/4/2009,0.68902,5/15/2008,0.34615,5/15/2008,0.28013,11/30/2010,0.97221,5/15/2008,1,10/29/2010,0.96887,5/15/2008,0.13942,5/15/2008,0.25,5/15/2008,1.23718,5/15/2008,0.0109,5/15/2008,0.33205,12/30/2009,0.27339,5/15/2008,0.45897,5/15/2008,0.31026,5/15/2008,0.27308
5/16/2008,2.3256,5/16/2008,1.6103,5/16/2008,0.93333,5/16/2008,1.4690,5/16/2008,3.42949,5/16/2008,0.8577,5/16/2008,0.80639,5/16/2008,0.9013,5/16/2008,0.55385,5/16/2008,0.1539,5/16/2008,1.08974,5/16/2008,1.0500,5/16/2008,0.5269,5/16/2008,3.55128,5/21/2009,0.8849,5/16/2008,0.63462,5/16/2008,1.24231,5/16/2008,0.34615,5/16/2008,0.2321,5/16/2008,0.48718,10/18/2010,0.53239,6/2/2010,0.27331,5/16/2008,0.76923,5/16/2008,2.09744,12/7/2009,0.70191,5/16/2008,0.36538,5/16/2008,0.27372,12/1/2010,0.96455,5/16/2008,1.01538,11/1/2010,1.00106,5/16/2008,0.13558,5/16/2008,0.25385,5/16/2008,1.23718,5/16/2008,0.01128,5/16/2008,0.33718,12/31/2009,0.27472,5/16/2008,0.46154,5/16/2008,0.30769,5/16/2008,0.28205
