,914 HK Equity,,2899 HK Equity,,358 HK Equity,,2600 HK Equity,,3993 HK Equity,,656 HK Equity,,3323 HK Equity,,2009 HK Equity,,3983 HK Equity,,1818 HK Equity,,2128 HK Equity,,691 HK Equity,,930 HK Equity,,2626 HK Equity,,246 HK Equity,,468 HK Equity,,189 HK Equity,,906 HK Equity,,743 HK Equity,,2233 HK Equity,,1053 HK Equity,,1768 HK Equity,,2198 HK Equity,,3868 HK Equity,,3833 HK Equity,,1091 HK Equity,,1938 HK Equity,,769 HK Equity,,1266 HK Equity,,609 HK Equity,,3330 HK Equity,,1090 HK Equity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/2/2008,2.7025,5/2/2008,0.6055,5/2/2008,2.4374,5/2/2008,1.7216,5/2/2008,1.1122,5/2/2008,0.7979,5/2/2008,1.2726,7/28/2009,0.8232,5/2/2008,0.5773,5/2/2008,0.7543,6/22/2010,0.3342,7/3/2008,0.3590,12/2/2009,0.2671,5/2/2008,0.3849,2/23/2009,0.8062,12/8/2010,0.5536,5/2/2008,0.2155,11/13/2009,0.6955,5/19/2008,0.6346,8/20/2010,0.2173,5/2/2008,0.4131,12/7/2010,0.8502,9/15/2010,0.4352,5/2/2008,0.2981,5/2/2008,0.7261,11/17/2010,0.3545,2/9/2010,0.5792,5/2/2008,0.2348,2/22/2012,0.3417,5/2/2008,0.0257,5/2/2008,0.4901,11/30/2010,0.2704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/5/2008,2.7865,5/5/2008,0.6082,5/5/2008,2.3968,5/5/2008,1.7117,5/5/2008,1.1702,5/5/2008,0.7865,5/5/2008,1.2664,7/29/2009,1.2864,5/5/2008,0.5902,5/5/2008,0.7865,6/23/2010,0.3343,7/4/2008,0.3847,12/3/2009,0.2684,5/5/2008,0.3978,2/24/2009,0.7171,12/9/2010,0.6329,5/5/2008,0.2143,11/16/2009,0.7884,5/20/2008,0.8757,8/23/2010,0.2495,5/5/2008,0.4234,12/8/2010,0.8368,9/16/2010,0.4287,5/5/2008,0.3036,5/5/2008,0.7314,11/18/2010,0.3766,2/10/2010,0.5804,5/5/2008,0.2425,2/23/2012,0.2746,5/5/2008,0.0247,5/5/2008,0.4966,12/1/2010,0.2730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/6/2008,2.9170,5/6/2008,0.6373,5/6/2008,2.4200,5/6/2008,1.7477,5/6/2008,1.1933,5/6/2008,0.7853,5/6/2008,1.2588,7/30/2009,1.3058,5/6/2008,0.6069,5/6/2008,0.8045,6/24/2010,0.3356,7/7/2008,0.3845,12/4/2009,0.2658,5/6/2008,0.3978,2/25/2009,0.6757,12/10/2010,0.6393,5/6/2008,0.2117,11/17/2009,0.8155,5/21/2008,0.8987,8/24/2010,0.2688,5/6/2008,0.4363,12/9/2010,0.8503,9/17/2010,0.4173,5/6/2008,0.3046,5/6/2008,0.7673,11/19/2010,0.3676,2/11/2010,0.5882,5/6/2008,0.2451,2/24/2012,0.2734,5/6/2008,0.0247,5/6/2008,0.5017,12/2/2010,0.2859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/7/2008,2.7328,5/7/2008,0.6159,5/7/2008,2.3325,5/7/2008,1.6808,5/7/2008,1.1342,5/7/2008,0.7531,5/7/2008,1.1778,7/31/2009,1.3032,5/7/2008,0.5940,5/7/2008,0.7801,6/25/2010,0.3240,7/8/2008,0.3678,12/7/2009,0.2735,5/7/2008,0.3823,2/26/2009,0.6384,12/13/2010,0.7032,5/7/2008,0.2091,11/18/2009,0.8039,5/22/2008,0.9039,8/25/2010,0.2649,5/7/2008,0.4298,12/10/2010,0.8876,9/20/2010,0.4392,5/7/2008,0.2991,5/7/2008,0.7288,11/22/2010,0.3649,2/12/2010,0.6564,5/7/2008,0.2451,2/27/2012,0.2721,5/7/2008,0.0260,5/7/2008,0.4965,12/3/2010,0.2822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/8/2008,2.7111,5/8/2008,0.6072,5/8/2008,2.2938,5/8/2008,1.6164,5/8/2008,1.1148,5/8/2008,0.7620,5/8/2008,1.1302,8/3/2009,1.3161,5/8/2008,0.5953,5/8/2008,0.7569,6/28/2010,0.3238,7/9/2008,0.3845,12/8/2009,0.2671,5/8/2008,0.3785,2/27/2009,0.6769,12/14/2010,0.7127,5/8/2008,0.2117,11/19/2009,0.8232,5/23/2008,0.8639,8/26/2010,0.2558,5/8/2008,0.4208,12/13/2010,0.9333,9/21/2010,0.4290,5/8/2008,0.2972,5/8/2008,0.7338,11/23/2010,0.3545,2/17/2010,0.6334,5/8/2008,0.2438,2/28/2012,0.2708,5/8/2008,0.0257,5/8/2008,0.4875,12/6/2010,0.2822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/9/2008,2.6722,5/9/2008,0.5977,5/9/2008,2.2447,5/9/2008,1.5982,5/9/2008,1.0890,5/9/2008,0.7696,5/9/2008,1.1198,8/4/2009,1.3084,5/9/2008,0.5772,5/9/2008,0.7658,6/29/2010,0.3148,7/10/2008,0.3845,12/9/2009,0.2606,5/9/2008,0.3733,3/2/2009,0.6484,12/15/2010,0.6765,5/9/2008,0.2129,11/20/2009,0.8942,5/26/2008,0.8547,8/27/2010,0.2610,5/9/2008,0.4156,12/14/2010,0.9353,9/22/2010,0.4254,5/9/2008,0.2899,5/9/2008,0.7350,11/24/2010,0.3583,2/18/2010,0.6052,5/9/2008,0.2424,2/29/2012,0.2630,5/9/2008,0.0257,5/9/2008,0.4784,12/7/2010,0.2963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/13/2008,2.8133,5/13/2008,0.5969,5/13/2008,2.3191,5/13/2008,1.6982,5/13/2008,1.1018,5/13/2008,0.7683,5/13/2008,1.1993,8/5/2009,1.2877,5/13/2008,0.5682,5/13/2008,0.7670,6/30/2010,0.3134,7/11/2008,0.3844,12/10/2009,0.2503,5/13/2008,0.3733,3/3/2009,0.5800,12/16/2010,0.6763,5/13/2008,0.2078,11/23/2009,0.9290,5/27/2008,0.8455,8/30/2010,0.2661,5/13/2008,0.4156,12/15/2010,0.9878,9/24/2010,0.4216,5/13/2008,0.2935,5/13/2008,0.7298,11/25/2010,0.3660,2/19/2010,0.6026,5/13/2008,0.2373,3/1/2012,0.2682,5/13/2008,0.0257,5/13/2008,0.4720,12/8/2010,0.2948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/14/2008,2.8978,5/14/2008,0.5830,5/14/2008,2.3414,5/14/2008,1.7413,5/14/2008,1.1066,5/14/2008,0.7732,5/14/2008,1.2168,8/6/2009,1.2296,5/14/2008,0.5706,5/14/2008,0.7629,7/2/2010,0.2938,7/14/2008,0.3883,12/11/2009,0.2542,5/14/2008,0.3731,3/4/2009,0.5915,12/17/2010,0.6699,5/14/2008,0.2090,11/24/2009,0.9484,5/28/2008,0.8417,8/31/2010,0.2738,5/14/2008,0.4911,12/16/2010,0.9515,9/27/2010,0.4073,5/14/2008,0.2943,5/14/2008,0.7309,11/26/2010,0.3593,2/22/2010,0.5810,5/14/2008,0.2513,3/2/2012,0.2745,5/14/2008,0.0256,5/14/2008,0.4680,12/9/2010,0.3074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/15/2008,2.9081,5/15/2008,0.5769,5/15/2008,2.3410,5/15/2008,1.7462,5/15/2008,1.1115,5/15/2008,0.7680,5/15/2008,1.2397,8/7/2009,1.1702,5/15/2008,0.5923,5/15/2008,0.7692,7/5/2010,0.2823,7/15/2008,0.3873,12/14/2009,0.2645,5/15/2008,0.3682,3/5/2009,0.6020,12/20/2010,0.6584,5/15/2008,0.2090,11/25/2009,0.9226,5/29/2008,0.8624,9/1/2010,0.2766,5/15/2008,0.4936,12/17/2010,0.9464,9/28/2010,0.4086,5/15/2008,0.2997,5/15/2008,0.6872,11/29/2010,0.3618,2/23/2010,0.5836,5/15/2008,0.2487,3/5/2012,0.2666,5/15/2008,0.0263,5/15/2008,0.4731,12/10/2010,0.3113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/16/2008,2.9957,5/16/2008,0.6103,5/16/2008,2.3385,5/16/2008,1.7641,5/16/2008,1.1474,5/16/2008,0.7628,5/16/2008,1.2692,8/10/2009,1.1961,5/16/2008,0.6423,5/16/2008,0.7705,7/6/2010,0.2927,7/16/2008,0.3795,12/15/2009,0.2670,5/16/2008,0.4269,3/6/2009,0.6576,12/21/2010,0.6586,5/16/2008,0.2026,11/26/2009,0.8903,5/30/2008,0.9072,9/2/2010,0.2728,5/16/2008,0.4910,12/20/2010,0.9002,9/29/2010,0.4048,5/16/2008,0.3052,5/16/2008,0.7090,11/30/2010,0.3606,2/24/2010,0.5936,5/16/2008,0.2513,3/6/2012,0.2641,5/16/2008,0.0256,5/16/2008,0.4897,12/13/2010,0.3111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/19/2008,3.1367,5/19/2008,0.6564,5/19/2008,2.4282,5/19/2008,1.8436,5/19/2008,1.3026,5/19/2008,0.7692,5/19/2008,1.3942,8/11/2009,1.2644,5/19/2008,0.6667,5/19/2008,0.8205,7/7/2010,0.2875,7/17/2008,0.4193,12/16/2009,0.2618,5/19/2008,0.4179,3/9/2009,0.6756,12/22/2010,0.6556,5/19/2008,0.2154,11/27/2009,0.9032,6/2/2008,0.9021,9/3/2010,0.2805,5/19/2008,0.5256,12/21/2010,0.9004,9/30/2010,0.3879,5/19/2008,0.3334,5/19/2008,0.7756,12/1/2010,0.3567,2/25/2010,0.5860,5/19/2008,0.2603,3/7/2012,0.2602,5/19/2008,0.0256,5/19/2008,0.5051,12/14/2010,0.3229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/20/2008,3.1882,5/20/2008,0.6351,5/20/2008,2.3616,5/20/2008,1.8514,5/20/2008,1.2847,5/20/2008,0.7616,5/20/2008,1.2821,8/12/2009,1.2102,5/20/2008,0.6449,5/20/2008,0.8064,7/8/2010,0.2915,7/18/2008,0.4129,12/17/2009,0.2566,5/20/2008,0.3975,3/10/2009,0.6343,12/23/2010,0.6443,5/20/2008,0.2192,11/30/2009,1.0245,6/3/2008,0.8674,9/6/2010,0.2910,5/20/2008,0.5180,12/22/2010,0.9050,10/4/2010,0.3803,5/20/2008,0.3334,5/20/2008,0.7398,12/2/2010,0.3580,2/26/2010,0.5914,5/20/2008,0.2616,3/8/2012,0.2734,5/20/2008,0.0240,5/20/2008,0.4975,12/15/2010,0.3215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/21/2008,3.0169,5/21/2008,0.6743,5/21/2008,2.3537,5/21/2008,1.8306,5/21/2008,1.2743,5/21/2008,0.8051,5/21/2008,1.2512,8/13/2009,1.2141,5/21/2008,0.6269,5/21/2008,0.8897,7/9/2010,0.2997,7/21/2008,0.4091,12/18/2009,0.2501,5/21/2008,0.4102,3/11/2009,0.6267,12/24/2010,0.6375,5/21/2008,0.2218,12/1/2009,1.0219,6/4/2008,0.8582,9/7/2010,0.3012,5/21/2008,0.5423,12/23/2010,0.9259,10/5/2010,0.4049,5/21/2008,0.3442,5/21/2008,0.7371,12/3/2010,0.3569,3/1/2010,0.5898,5/21/2008,0.2602,3/9/2012,0.2824,5/21/2008,0.0240,5/21/2008,0.5051,12/16/2010,0.3189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/22/2008,2.9124,5/22/2008,0.6539,5/22/2008,2.3256,5/22/2008,1.7769,5/22/2008,1.2462,5/22/2008,0.8000,5/22/2008,1.2167,8/14/2009,1.1986,5/22/2008,0.6282,5/22/2008,0.8795,7/12/2010,0.3024,7/22/2008,0.4028,12/21/2009,0.2656,5/22/2008,0.3987,3/12/2009,0.6320,12/28/2010,0.6503,5/22/2008,0.2205,12/2/2009,1.0464,6/5/2008,0.8569,9/8/2010,0.3037,5/22/2008,0.5308,12/24/2010,0.9099,10/6/2010,0.3959,5/22/2008,0.3306,5/22/2008,0.7333,12/6/2010,0.3505,3/2/2010,0.5849,5/22/2008,0.2564,3/12/2012,0.2797,5/22/2008,0.0240,5/22/2008,0.4987,12/17/2010,0.3112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/23/2008,2.7730,5/23/2008,0.6495,5/23/2008,2.2996,5/23/2008,1.7458,5/23/2008,1.1844,5/23/2008,0.7832,5/23/2008,1.1626,8/17/2009,1.1586,5/23/2008,0.6640,5/23/2008,0.8550,7/13/2010,0.3165,7/23/2008,0.4026,12/22/2009,0.2657,5/23/2008,0.3935,3/13/2009,0.6282,12/29/2010,0.6566,5/23/2008,0.2192,12/3/2009,1.1006,6/6/2008,0.8580,9/9/2010,0.3025,5/23/2008,0.5140,12/28/2010,0.9113,10/7/2010,0.4204,5/23/2008,0.3251,5/23/2008,0.7178,12/7/2010,0.3556,3/3/2010,0.5836,5/23/2008,0.2551,3/13/2012,0.3016,5/23/2008,0.0247,5/23/2008,0.4884,12/20/2010,0.3022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/26/2008,2.7529,5/26/2008,0.6578,5/26/2008,2.2399,5/26/2008,1.6787,5/26/2008,1.1225,5/26/2008,0.7740,5/26/2008,1.1020,8/18/2009,1.1288,5/26/2008,0.6548,5/26/2008,0.8534,7/14/2010,0.3192,7/24/2008,0.4078,12/23/2009,0.2657,5/26/2008,0.3857,3/16/2009,0.6256,12/30/2010,0.6618,5/26/2008,0.2191,12/4/2009,1.1858,6/10/2008,0.8169,9/10/2010,0.3064,5/26/2008,0.5010,12/29/2010,0.9110,10/8/2010,0.4073,5/26/2008,0.3168,5/26/2008,0.7009,12/8/2010,0.3527,3/4/2010,0.6119,5/26/2008,0.2460,3/14/2012,0.2950,5/26/2008,0.0253,5/26/2008,0.4805,12/21/2010,0.3139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
