,151 HK Equity,,322 HK Equity,,1044 HK Equity,,220 HK Equity,,1112 HK Equity,,1025 HK Equity,,1230 HK Equity,,829 HK Equity,,1117 HK Equity,,1700 HK Equity,,1068 HK Equity,,1886 HK Equity,,980 HK Equity,,1006 HK Equity,,1007 HK Equity,,1717 HK Equity,,1338 HK Equity,,2218 HK Equity,,814 HK Equity,,,,
5/2/2008,0.3964,5/2/2008,1.34,5/2/2008,3.71,5/2/2008,0.55547,12/16/2010,1.41,5/2/2008,0.89286,10/29/2010,0.54,10/12/2009,0.19999,11/25/2010,0.37,10/20/2010,0.76398,5/2/2008,1.57,5/2/2008,0.80,5/2/2008,0.78,12/17/2009,0.46,10/27/2010,0.56579,10/7/2009,0.52,7/2/2009,0.31,5/2/2008,0.83385,5/2/2008,0.64,,,,
5/5/2008,0.40546,5/5/2008,1.35,5/5/2008,3.73,5/5/2008,0.55943,12/17/2010,1.34,5/5/2008,0.8661,11/1/2010,0.47,10/13/2009,0.27935,11/26/2010,0.32,10/21/2010,0.86029,5/5/2008,1.64,5/5/2008,0.84,5/5/2008,0.78,12/18/2009,0.56,10/28/2010,0.50798,10/8/2009,0.66,7/3/2009,0.39,5/5/2008,0.83402,5/5/2008,0.66,,,,
5/6/2008,0.41061,5/6/2008,1.35,5/6/2008,3.70,5/6/2008,0.56202,12/20/2010,1.41,5/6/2008,0.88281,11/2/2010,0.47,10/14/2009,0.27161,11/29/2010,0.32,10/22/2010,0.85269,5/6/2008,1.69,5/6/2008,0.83,5/6/2008,0.78,12/21/2009,0.54,10/29/2010,0.49669,10/9/2009,0.63,7/6/2009,0.41,5/6/2008,0.85971,5/6/2008,0.66,,,,
5/7/2008,0.41185,5/7/2008,1.33,5/7/2008,3.59,5/7/2008,0.55811,12/21/2010,1.40,5/7/2008,0.87245,11/3/2010,0.46,10/15/2009,0.26322,11/30/2010,0.32,10/25/2010,0.85206,5/7/2008,1.72,5/7/2008,0.79,5/7/2008,0.78,12/22/2009,0.53,11/1/2010,0.50053,10/12/2009,0.65,7/7/2009,0.40,5/7/2008,0.84679,5/7/2008,0.67,,,,
5/8/2008,0.41693,5/8/2008,1.33,5/8/2008,3.59,5/8/2008,0.54907,12/22/2010,1.41,5/8/2008,0.87235,11/4/2010,0.46,10/16/2009,0.26192,12/1/2010,0.31,10/26/2010,0.86352,5/8/2008,1.67,5/8/2008,0.78,5/8/2008,0.77,12/23/2009,0.61,11/2/2010,0.47864,10/13/2009,0.64,7/8/2009,0.39,5/8/2008,0.8467,5/8/2008,0.66,,,,
5/9/2008,0.42584,5/9/2008,1.31,5/9/2008,3.55,5/9/2008,0.53487,12/23/2010,1.48,5/9/2008,0.87221,11/5/2010,0.47,10/19/2009,0.29934,12/2/2010,0.33,10/27/2010,0.85061,5/9/2008,1.67,5/9/2008,0.78,5/9/2008,0.77,12/24/2009,0.67,11/3/2010,0.45671,10/14/2009,0.64,7/9/2009,0.42,5/9/2008,0.85938,5/9/2008,0.67,,,,
5/13/2008,0.41686,5/13/2008,1.28,5/13/2008,3.57,5/13/2008,0.52974,12/24/2010,1.46,5/13/2008,0.87221,11/8/2010,0.47,10/20/2009,0.29483,12/3/2010,0.32,10/28/2010,0.8432,5/13/2008,1.65,5/13/2008,0.78,5/13/2008,0.77,12/28/2009,0.69,11/4/2010,0.47985,10/15/2009,0.63,7/10/2009,0.41,5/13/2008,0.87221,5/13/2008,0.66,,,,
5/14/2008,0.42057,5/14/2008,1.30,5/14/2008,3.53,5/14/2008,0.52956,12/28/2010,1.40,5/14/2008,0.92321,11/9/2010,0.46,10/21/2009,0.29548,12/6/2010,0.32,10/29/2010,0.84115,5/14/2008,1.60,5/14/2008,0.79,5/14/2008,0.76,12/29/2009,0.79,11/5/2010,0.51609,10/16/2009,0.63,7/13/2009,0.40,5/14/2008,0.98732,5/14/2008,0.66,,,,
5/15/2008,0.43974,5/15/2008,1.36,5/15/2008,3.58,5/15/2008,0.55,12/29/2010,1.40,5/15/2008,0.89872,11/10/2010,0.46,10/22/2009,0.28516,12/7/2010,0.33,11/1/2010,0.87206,5/15/2008,1.52,5/15/2008,0.78,5/15/2008,0.77,12/30/2009,0.75,11/8/2010,0.50577,10/19/2009,0.63,7/14/2009,0.41,5/15/2008,1.01282,5/15/2008,0.67,,,,
5/16/2008,0.44359,5/16/2008,1.35,5/16/2008,3.61,5/16/2008,0.54231,12/30/2010,1.40,5/16/2008,0.87179,11/11/2010,0.46,10/23/2009,0.28839,12/8/2010,0.33,11/2/2010,0.86438,5/16/2008,1.51,5/16/2008,0.77,5/16/2008,0.77,12/31/2009,0.80,11/9/2010,0.50572,10/20/2009,0.71,7/15/2009,0.41,5/16/2008,1,5/16/2008,0.66,,,,
