,992 HK Equity,,2018 HK Equity,,2038 HK Equity,,981 HK Equity,,3888 HK Equity,,696 HK Equity,,285 HK Equity,,2369 HK Equity,,354 HK Equity,,268 HK Equity,,1900 HK Equity,,161 HK Equity,,74 HK Equity,,1075 HK Equity,,877 HK Equity
5/2/2008,0.80562,5/2/2008,1.02627,5/2/2008,1.63434,5/2/2008,0.07825,5/2/2008,0.44001,5/2/2008,0.57215,5/2/2008,1.12377,5/2/2008,0.08467,5/2/2008,0.17318,5/2/2008,0.21381,7/14/2010,0.44913,5/2/2008,0.76,5/2/2008,0.22321,5/2/2008,0.04169,4/28/2010,0.37335
5/5/2008,0.78269,5/5/2008,1.0329,5/5/2008,1.66547,5/5/2008,0.08597,5/5/2008,0.44652,5/5/2008,0.57483,5/5/2008,1.124,5/5/2008,0.08468,5/5/2008,0.1668,5/5/2008,0.21091,7/15/2010,0.4492,5/5/2008,0.74548,5/5/2008,0.22711,5/5/2008,0.04555,4/29/2010,0.51384
5/6/2008,0.77374,5/6/2008,1.04705,5/6/2008,1.75792,5/6/2008,0.08212,5/6/2008,0.4491,5/6/2008,0.57485,5/6/2008,1.14586,5/6/2008,0.0911,5/6/2008,0.16809,5/6/2008,0.21038,7/16/2010,0.44272,5/6/2008,0.74423,5/6/2008,0.22455,5/6/2008,0.05004,4/30/2010,0.52295
5/7/2008,0.7403,5/7/2008,1.03925,5/7/2008,1.68589,5/7/2008,0.07698,5/7/2008,0.45804,5/7/2008,0.57479,5/7/2008,1.12906,5/7/2008,0.08468,5/7/2008,0.16038,5/7/2008,0.19272,7/19/2010,0.44754,5/7/2008,0.75057,5/7/2008,0.21811,5/7/2008,0.04811,5/3/2010,0.47146
5/8/2008,0.75305,5/8/2008,1.0263,5/8/2008,1.63951,5/8/2008,0.07697,5/8/2008,0.44259,5/8/2008,0.57473,5/8/2008,1.10455,5/8/2008,0.08595,5/8/2008,0.16292,5/8/2008,0.20045,7/20/2010,0.45018,5/8/2008,0.73765,5/8/2008,0.22065,5/8/2008,0.04747,5/4/2010,0.49069
5/9/2008,0.7991,5/9/2008,1.021,5/9/2008,1.57511,5/9/2008,0.07568,5/9/2008,0.45791,5/9/2008,0.57463,5/9/2008,1.09667,5/9/2008,0.08979,5/9/2008,0.17316,5/9/2008,0.20309,7/21/2010,0.44622,5/9/2008,0.76831,5/9/2008,0.21549,5/9/2008,0.04746,5/5/2010,0.52787
5/13/2008,0.79653,5/13/2008,1.00945,5/13/2008,1.53663,5/13/2008,0.07311,5/13/2008,0.51306,5/13/2008,0.57463,5/13/2008,1.09796,5/13/2008,0.08979,5/13/2008,0.17316,5/13/2008,0.19774,7/22/2010,0.44896,5/13/2008,0.81449,5/13/2008,0.21549,5/13/2008,0.04746,5/6/2010,0.50814
5/14/2008,0.7937,5/14/2008,1.0322,5/14/2008,1.5079,5/14/2008,0.0718,5/14/2008,0.53597,5/14/2008,0.57444,5/14/2008,1.05784,5/14/2008,0.08719,5/14/2008,0.1731,5/14/2008,0.1934,7/23/2010,0.45836,5/14/2008,0.82063,5/14/2008,0.21798,5/14/2008,0.04552,5/7/2010,0.47161
5/15/2008,0.81923,5/15/2008,1,5/15/2008,1.46667,5/15/2008,0.07308,5/15/2008,0.51026,5/15/2008,0.57436,5/15/2008,1.00897,5/15/2008,0.08462,5/15/2008,0.1859,5/15/2008,0.20833,7/26/2010,0.44942,5/15/2008,0.80769,5/15/2008,0.22179,5/15/2008,0.04808,5/10/2010,0.4794
5/16/2008,0.81154,5/16/2008,0.99359,5/16/2008,1.44103,5/16/2008,0.06923,5/16/2008,0.49359,5/16/2008,0.57436,5/16/2008,0.97436,5/16/2008,0.08718,5/16/2008,0.18333,5/16/2008,0.21688,7/27/2010,0.45443,5/16/2008,0.83333,5/16/2008,0.21923,5/16/2008,0.04744,5/11/2010,0.48075
