,902 HK Equity,,991 HK Equity,,916 HK Equity,,2688 HK Equity,,1798 HK Equity,,1600 HK Equity,,1265 HK Equity,,1733 HK Equity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/2/2008,0.8749,5/2/2008,0.7133,12/9/2009,1.0528,5/2/2008,1.7832,12/16/2010,0.2996,11/9/2010,0.2645,5/2/2008,0.2309,10/8/2010,0.4769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/5/2008,0.8815,5/5/2008,0.7378,12/10/2009,1.1522,5/5/2008,1.8143,12/17/2010,0.2816,11/10/2010,0.2761,5/5/2008,0.2310,10/11/2010,0.4357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/6/2008,0.8546,5/6/2008,0.7147,12/11/2009,1.1780,5/6/2008,1.8118,12/20/2010,0.2816,11/11/2010,0.2942,5/6/2008,0.2310,10/12/2010,0.4614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/7/2008,0.8147,5/7/2008,0.6659,12/14/2009,1.2694,5/7/2008,1.8270,12/21/2010,0.2714,11/12/2010,0.2954,5/7/2008,0.2245,10/13/2010,0.4626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/8/2008,0.7838,5/8/2008,0.6504,12/15/2009,1.2640,5/8/2008,1.8371,12/22/2010,0.2571,11/15/2010,0.2915,5/8/2008,0.2078,10/14/2010,0.4782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/9/2008,0.7824,5/9/2008,0.6580,12/16/2009,1.2189,5/9/2008,1.7957,12/23/2010,0.2598,11/16/2010,0.2785,5/9/2008,0.2142,10/15/2010,0.4744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/13/2008,0.7863,5/13/2008,0.6606,12/17/2009,1.1965,5/13/2008,1.7701,12/24/2010,0.2609,11/17/2010,0.2630,5/13/2008,0.2142,10/18/2010,0.4563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/14/2008,0.7693,5/14/2008,0.6527,12/18/2009,1.1614,5/14/2008,1.7874,12/28/2010,0.2558,11/18/2010,0.2734,5/14/2008,0.2180,10/19/2010,0.4562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/15/2008,0.7744,5/15/2008,0.6590,12/21/2009,1.1849,5/15/2008,1.7974,12/29/2010,0.2583,11/19/2010,0.2696,5/15/2008,0.2231,10/20/2010,0.4728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/16/2008,0.8115,5/16/2008,0.6718,12/22/2009,1.2187,5/16/2008,1.7897,12/30/2010,0.2802,11/22/2010,0.2643,5/16/2008,0.2218,10/21/2010,0.4714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/19/2008,0.8038,5/19/2008,0.6756,12/23/2009,1.2884,5/19/2008,1.7923,12/31/2010,0.2740,11/23/2010,0.2629,5/19/2008,0.2218,10/22/2010,0.4843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/20/2008,0.7577,5/20/2008,0.6590,12/24/2009,1.2995,5/20/2008,1.7283,1/3/2011,0.2690,11/24/2010,0.2604,5/20/2008,0.2218,10/25/2010,0.5040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/21/2008,0.7999,5/21/2008,0.6717,12/28/2009,1.3048,5/21/2008,1.7358,1/4/2011,0.2626,11/25/2010,0.2629,5/21/2008,0.2218,10/26/2010,0.5091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/22/2008,0.8167,5/22/2008,0.6487,12/29/2009,1.2895,5/22/2008,1.7308,1/5/2011,0.2638,11/26/2010,0.2640,5/22/2008,0.2218,10/27/2010,0.4910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/23/2008,0.7999,5/23/2008,0.6460,12/30/2009,1.2805,5/23/2008,1.7304,1/6/2011,0.2637,11/29/2010,0.2640,5/23/2008,0.2218,10/28/2010,0.4925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/26/2008,0.7522,5/26/2008,0.6369,12/31/2009,1.2949,5/26/2008,1.7094,1/7/2011,0.2625,11/30/2010,0.2550,5/26/2008,0.2217,10/29/2010,0.4864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/27/2008,0.7686,5/27/2008,0.6456,1/4/2010,1.3255,5/27/2008,1.7422,1/10/2011,0.2610,12/1/2010,0.2563,5/27/2008,0.2242,11/1/2010,0.5057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/28/2008,0.8007,5/28/2008,0.6547,1/5/2010,1.3098,5/28/2008,1.7270,1/11/2011,0.2611,12/2/2010,0.2601,5/28/2008,0.2204,11/2/2010,0.4993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/29/2008,0.8137,5/29/2008,0.6817,1/6/2010,1.3153,5/29/2008,1.7863,1/12/2011,0.2586,12/3/2010,0.2564,5/29/2008,0.2089,11/3/2010,0.4980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/30/2008,0.8483,5/30/2008,0.7265,1/7/2010,1.3798,5/30/2008,1.6145,1/13/2011,0.2624,12/6/2010,0.2564,5/30/2008,0.2153,11/4/2010,0.4837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/2/2008,0.8842,6/2/2008,0.7663,1/8/2010,1.3874,6/2/2008,1.7529,1/14/2011,0.2676,12/7/2010,0.2564,6/2/2008,0.2114,11/5/2010,0.4735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/3/2008,0.8469,6/3/2008,0.7431,1/11/2010,1.4055,6/3/2008,1.7374,1/17/2011,0.2649,12/8/2010,0.2575,6/3/2008,0.2217,11/8/2010,0.4813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/4/2008,0.8710,6/4/2008,0.7762,1/12/2010,1.3952,6/4/2008,1.7035,1/18/2011,0.2623,12/9/2010,0.2508,6/4/2008,0.2216,11/9/2010,0.4941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/5/2008,0.8684,6/5/2008,0.7621,1/13/2010,1.3949,6/5/2008,1.7163,1/19/2011,0.2623,12/10/2010,0.2367,6/5/2008,0.2216,11/10/2010,0.5212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/6/2008,0.8644,6/6/2008,0.7632,1/14/2010,1.4051,6/6/2008,1.7211,1/20/2011,0.2608,12/13/2010,0.2353,6/6/2008,0.2215,11/11/2010,0.5471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/10/2008,0.7964,6/10/2008,0.7055,1/15/2010,1.3995,6/10/2008,1.6236,1/21/2011,0.2593,12/14/2010,0.2277,6/10/2008,0.2215,11/12/2010,0.5380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/11/2008,0.8093,6/11/2008,0.7146,1/18/2010,1.3963,6/11/2008,1.6314,1/24/2011,0.2591,12/15/2010,0.2457,6/11/2008,0.2177,11/15/2010,0.5392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/12/2008,0.8178,6/12/2008,0.7167,1/19/2010,1.3784,6/12/2008,1.6867,1/25/2011,0.2580,12/16/2010,0.2392,6/12/2008,0.2112,11/16/2010,0.5197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/13/2008,0.8113,6/13/2008,0.7012,1/20/2010,1.3671,6/13/2008,1.6762,1/26/2011,0.2569,12/17/2010,0.2456,6/13/2008,0.2163,11/17/2010,0.4886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/16/2008,0.8387,6/16/2008,0.7209,1/21/2010,1.3126,6/16/2008,1.6595,1/27/2011,0.2568,12/20/2010,0.2469,6/16/2008,0.2164,11/18/2010,0.5198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/17/2008,0.8284,6/17/2008,0.7145,1/22/2010,1.3333,6/17/2008,1.6671,1/28/2011,0.2566,12/21/2010,0.2508,6/17/2008,0.2164,11/19/2010,0.5314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/18/2008,0.8698,6/18/2008,0.7430,1/25/2010,1.3182,6/18/2008,1.6704,1/31/2011,0.2528,12/22/2010,0.2417,6/18/2008,0.2165,11/22/2010,0.5300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/19/2008,0.8453,6/19/2008,0.7224,1/26/2010,1.2554,6/19/2008,1.6804,2/1/2011,0.2541,12/23/2010,0.2392,6/19/2008,0.2049,11/23/2010,0.5104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/20/2008,0.8226,6/20/2008,0.7047,1/27/2010,1.2345,6/20/2008,1.7298,2/2/2011,0.2555,12/24/2010,0.2416,6/20/2008,0.2050,11/24/2010,0.5117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/23/2008,0.7929,6/23/2008,0.6725,1/28/2010,1.2386,6/23/2008,1.7293,2/7/2011,0.2467,12/28/2010,0.2391,6/23/2008,0.2050,11/25/2010,0.5219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/24/2008,0.7314,6/24/2008,0.6417,1/29/2010,1.2364,6/24/2008,1.7291,2/8/2011,0.2467,12/29/2010,0.2416,6/24/2008,0.2011,11/26/2010,0.5190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/25/2008,0.7301,6/25/2008,0.6647,2/1/2010,1.2013,6/25/2008,1.7778,2/9/2011,0.2428,12/30/2010,0.2416,6/25/2008,0.2011,11/29/2010,0.5176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/26/2008,0.7239,6/26/2008,0.6534,2/2/2010,1.1959,6/26/2008,1.7143,2/10/2011,0.2426,12/31/2010,0.2342,6/26/2008,0.2012,11/30/2010,0.5164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/27/2008,0.6921,6/27/2008,0.6190,2/3/2010,1.2386,6/27/2008,1.7097,2/11/2011,0.2399,1/3/2011,0.2433,6/27/2008,0.2012,12/1/2010,0.5396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/30/2008,0.6938,6/30/2008,0.5937,2/4/2010,1.2049,6/30/2008,1.7158,2/14/2011,0.2412,1/4/2011,0.2445,6/30/2008,0.2013,12/2/2010,0.5279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/2/2008,0.6719,7/2/2008,0.5693,2/5/2010,1.1814,7/2/2008,1.6925,2/15/2011,0.2399,1/5/2011,0.2458,7/2/2008,0.2013,12/3/2010,0.5218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/3/2008,0.6347,7/3/2008,0.5360,2/8/2010,1.1479,7/3/2008,1.6977,2/16/2011,0.2529,1/6/2011,0.2483,7/3/2008,0.2013,12/6/2010,0.5360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/4/2008,0.6348,7/4/2008,0.5437,2/9/2010,1.1596,7/4/2008,1.6670,2/17/2011,0.2812,1/7/2011,0.2483,7/4/2008,0.2013,12/7/2010,0.5758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/7/2008,0.6498,7/7/2008,0.5716,2/10/2010,1.1519,7/7/2008,1.6739,2/18/2011,0.2736,1/10/2011,0.2417,7/7/2008,0.2153,12/8/2010,0.5780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/8/2008,0.6319,7/8/2008,0.5511,2/11/2010,1.1893,7/8/2008,1.6482,2/21/2011,0.2801,1/11/2011,0.2392,7/8/2008,0.2051,12/9/2010,0.5686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/9/2008,0.6664,7/9/2008,0.5677,2/12/2010,1.2072,7/9/2008,1.6635,2/22/2011,0.2823,1/12/2011,0.2354,7/9/2008,0.2051,12/10/2010,0.5686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/10/2008,0.6792,7/10/2008,0.5946,2/17/2010,1.2050,7/10/2008,1.6532,2/23/2011,0.2797,1/13/2011,0.2354,7/10/2008,0.2051,12/13/2010,0.5579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/11/2008,0.6983,7/11/2008,0.6189,2/18/2010,1.1692,7/11/2008,1.6503,2/24/2011,0.2578,1/14/2011,0.2393,7/11/2008,0.2050,12/14/2010,0.5596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/14/2008,0.6945,7/14/2008,0.6202,2/19/2010,1.1576,7/14/2008,1.6146,2/25/2011,0.2656,1/17/2011,0.2354,7/14/2008,0.2050,12/15/2010,0.5736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/15/2008,0.6516,7/15/2008,0.5797,2/22/2010,1.1787,7/15/2008,1.6161,2/28/2011,0.2735,1/18/2011,0.2404,7/15/2008,0.2052,12/16/2010,0.5709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/16/2008,0.6411,7/16/2008,0.5693,2/23/2010,1.1775,7/16/2008,1.6411,3/1/2011,0.2760,1/19/2011,0.2417,7/16/2008,0.2013,12/17/2010,0.5979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/17/2008,0.6553,7/17/2008,0.5681,2/24/2010,1.2026,7/17/2008,1.6029,3/2/2011,0.2721,1/20/2011,0.2351,7/17/2008,0.1988,12/20/2010,0.5851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/18/2008,0.6963,7/18/2008,0.5899,2/25/2010,1.2170,7/18/2008,1.6030,3/3/2011,0.2722,1/21/2011,0.2298,7/18/2008,0.1988,12/21/2010,0.5814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/21/2008,0.7259,7/21/2008,0.6143,2/26/2010,1.2202,7/21/2008,1.6160,3/4/2011,0.2697,1/24/2011,0.2219,7/21/2008,0.2001,12/22/2010,0.5772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/22/2008,0.7311,7/22/2008,0.6131,3/1/2010,1.2389,7/22/2008,1.6162,3/7/2011,0.2646,1/25/2011,0.2195,7/22/2008,0.1988,12/23/2010,0.5722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/23/2008,0.7565,7/23/2008,0.6488,3/2/2010,1.2122,7/23/2008,1.6181,3/8/2011,0.2696,1/26/2011,0.2260,7/23/2008,0.1923,12/24/2010,0.5771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/24/2008,0.7373,7/24/2008,0.6514,3/3/2010,1.2651,7/24/2008,1.6823,3/9/2011,0.2697,1/27/2011,0.2273,7/24/2008,0.1859,12/28/2010,0.5745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/25/2008,0.6821,7/25/2008,0.6128,3/4/2010,1.2469,7/25/2008,1.6949,3/10/2011,0.2683,1/28/2011,0.2233,7/25/2008,0.1859,12/29/2010,0.5885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/28/2008,0.6808,7/28/2008,0.6167,3/5/2010,1.2585,7/28/2008,1.6692,3/11/2011,0.2671,1/31/2011,0.2156,7/28/2008,0.1923,12/30/2010,0.5937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/29/2008,0.6728,7/29/2008,0.5985,3/8/2010,1.2541,7/29/2008,1.6404,3/14/2011,0.2683,2/1/2011,0.2182,7/29/2008,0.1922,12/31/2010,0.6008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/30/2008,0.6971,7/30/2008,0.6010,3/9/2010,1.2500,7/30/2008,1.6736,3/15/2011,0.2744,2/2/2011,0.2196,7/30/2008,0.1922,1/3/2011,0.6153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/31/2008,0.7101,7/31/2008,0.5947,3/10/2010,1.2554,7/31/2008,1.6790,3/16/2011,0.2911,2/7/2011,0.2146,7/31/2008,0.1743,1/4/2011,0.6075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/1/2008,0.6817,8/1/2008,0.6048,3/11/2010,1.2334,8/1/2008,1.6786,3/17/2011,0.2909,2/8/2011,0.2133,8/1/2008,0.1704,1/5/2011,0.6151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/4/2008,0.6791,8/4/2008,0.5869,3/12/2010,1.2246,8/4/2008,1.6453,3/18/2011,0.2949,2/9/2011,0.2042,8/4/2008,0.1691,1/6/2011,0.6072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/5/2008,0.6624,8/5/2008,0.5830,3/15/2010,1.1986,8/5/2008,1.6324,3/21/2011,0.2821,2/10/2011,0.2054,8/5/2008,0.1640,1/7/2011,0.6022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/7/2008,0.6702,8/7/2008,0.5664,3/16/2010,1.1880,8/7/2008,1.6940,3/22/2011,0.2938,2/11/2011,0.1988,8/7/2008,0.1640,1/10/2011,0.5876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/8/2008,0.6887,8/8/2008,0.5735,3/17/2010,1.2073,8/8/2008,1.6640,3/23/2011,0.2913,2/14/2011,0.2052,8/8/2008,0.1638,1/11/2011,0.6007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/11/2008,0.7159,8/11/2008,0.5776,3/18/2010,1.2138,8/11/2008,1.6469,3/24/2011,0.2862,2/15/2011,0.1976,8/11/2008,0.1601,1/12/2011,0.6187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/12/2008,0.7274,8/12/2008,0.5891,3/19/2010,1.2656,8/12/2008,1.6853,3/25/2011,0.2784,2/16/2011,0.1977,8/12/2008,0.1498,1/13/2011,0.6097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/13/2008,0.7415,8/13/2008,0.5955,3/22/2010,1.2395,8/13/2008,1.6392,3/28/2011,0.2833,2/17/2011,0.1926,8/13/2008,0.1511,1/14/2011,0.6020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/14/2008,0.7362,8/14/2008,0.6031,3/23/2010,1.2084,8/14/2008,1.6722,3/29/2011,0.3016,2/18/2011,0.1927,8/14/2008,0.1293,1/17/2011,0.5890,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/15/2008,0.7461,8/15/2008,0.6168,3/24/2010,1.2201,8/15/2008,1.6687,3/30/2011,0.3032,2/21/2011,0.1850,8/15/2008,0.1152,1/18/2011,0.5992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/18/2008,0.7181,8/18/2008,0.5978,3/25/2010,1.2022,8/18/2008,1.6666,3/31/2011,0.2983,2/22/2011,0.1925,8/18/2008,0.1088,1/19/2011,0.6184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
