Date2,Price2
7/8/2010,3814.95
7/9/2010,3880.31
7/12/2010,3909.47
7/13/2010,3889.76
7/14/2010,3897.21
7/15/2010,3849.15
7/16/2010,3827.56
7/19/2010,3834.73
7/20/2010,3889.91
7/21/2010,3958.48
7/22/2010,3970.27
7/23/2010,4012.01
7/26/2010,3984.86
7/27/2010,4006.58
7/28/2010,4021.64
7/29/2010,4013.56
7/30/2010,4020.02
8/2/2010,4117.03
8/3/2010,4122
8/4/2010,4117.18
8/5/2010,4094.63
8/6/2010,4103.12
8/9/2010,4113.55
8/10/2010,4034.56
8/11/2010,3985.33
8/12/2010,3962.24
8/13/2010,4001.4
8/16/2010,4021.87
8/17/2010,4024.43
8/18/2010,4008.56
8/19/2010,4028.58
8/20/2010,4013.55
8/23/2010,3984.13
8/24/2010,3971.77
8/25/2010,3954.23
8/26/2010,3940.52
8/27/2010,3952.69
8/30/2010,3995.5
8/31/2010,3990.47
9/1/2010,4014.26
9/2/2010,4065.59
9/3/2010,4085.41
9/6/2010,4158.46
9/7/2010,4162.98
9/8/2010,4094.61
9/9/2010,4097.62
9/10/2010,4121.74
9/13/2010,4200.72
9/14/2010,4224.69
9/15/2010,4203.12
9/16/2010,4205.59
9/17/2010,4251.05
9/20/2010,4254.04
9/21/2010,4264.91
9/22/2010,4236.51
9/24/2010,4232.75
9/27/2010,4269.85
9/28/2010,4213.28
9/29/2010,4245.29
9/30/2010,4207.65
10/4/2010,4266.21
10/5/2010,4260.74
10/6/2010,4337.32
10/7/2010,4296.42
10/8/2010,4280.97
10/11/2010,4312.44
10/12/2010,4291.96
10/13/2010,4365.92
10/14/2010,4412.6
10/15/2010,4393.61
10/18/2010,4346.32
10/19/2010,4383.75
10/20/2010,4301.49
10/21/2010,4314.26
10/22/2010,4272.45
10/25/2010,4302.92
10/26/2010,4277.48
10/27/2010,4197.54
10/28/2010,4198.86
10/29/2010,4205.07
11/1/2010,4268.02
11/2/2010,4275.53
11/3/2010,4328.55
11/4/2010,4357.76
11/5/2010,4411.53
11/8/2010,4482.34
11/9/2010,4436.84
11/10/2010,4377.92
11/11/2010,4426.5
11/12/2010,4337.35
11/15/2010,4291.88
11/16/2010,4231.49
11/17/2010,4151.93
11/18/2010,4213.2
11/19/2010,4221.43
11/22/2010,4223.56
11/23/2010,4131.91
11/24/2010,4136.82
11/25/2010,4148.28
11/26/2010,4116.45
11/29/2010,4151.82
11/30/2010,4109.98
12/1/2010,4153.01
12/2/2010,4211.6
12/3/2010,4240.59
12/6/2010,4239.07
12/7/2010,4261.92
12/8/2010,4201.32
12/9/2010,4213.56
12/10/2010,4194.25
12/13/2010,4222.95
12/14/2010,4235.25
12/15/2010,4176.29
12/16/2010,4093.72
12/17/2010,4085.48
12/20/2010,4081.83
12/21/2010,4154.13
12/22/2010,4176.26
12/23/2010,4158.71
12/24/2010,4146.35
12/28/2010,4083.5
12/29/2010,4130.92
12/30/2010,4140.72
12/31/2010,4170.15
1/3/2011,4233.26
1/4/2011,4303.12
1/5/2011,4291.12
1/6/2011,4275.57
1/7/2011,4275.38
1/10/2011,4225.05
1/11/2011,4231.2
1/12/2011,4286.29
1/13/2011,4266.83
1/14/2011,4270.93
1/17/2011,4234.01
1/18/2011,4229.76
1/19/2011,4295.14
1/20/2011,4227.86
1/21/2011,4215.45
1/24/2011,4179.65
1/25/2011,4195.5
1/26/2011,4211.1
1/27/2011,4218.65
1/28/2011,4168.97
1/31/2011,4152.62
2/1/2011,4152.25
2/2/2011,4210.34
2/7/2011,4137.15
2/8/2011,4131.35
2/9/2011,4058.21
2/10/2011,3953.43
2/11/2011,3979.47
2/14/2011,4070.14
2/15/2011,4043.34
2/16/2011,4064.62
2/17/2011,4062.89
2/18/2011,4101.57
2/21/2011,4091.3
2/22/2011,3988.48
2/23/2011,3959.8
2/24/2011,3897.04
2/25/2011,3961.44
2/28/2011,3998.32
3/1/2011,4071.1
3/2/2011,4030.29
3/3/2011,4056.01
3/4/2011,4105.61
3/7/2011,4082.41
3/8/2011,4136.35
3/9/2011,4143.12
3/10/2011,4118.13
3/11/2011,4041.69
3/14/2011,4044.76
3/15/2011,3946.51
3/16/2011,3965.79
3/17/2011,3897.08
3/18/2011,3957.06
3/21/2011,4051.36
3/22/2011,4126.48
3/23/2011,4109.43
3/24/2011,4117.16
3/25/2011,4163.18
3/28/2011,4147.2
3/29/2011,4142.1
3/30/2011,4195.66
3/31/2011,4244.39
4/1/2011,4332.83
4/4/2011,4393
4/6/2011,4384.59
4/7/2011,4392.19
4/8/2011,4437.67
4/11/2011,4408.33
4/12/2011,4364.11
4/13/2011,4404.3
4/14/2011,4405.59
4/15/2011,4409.53
