,4502 JP Equity,,4503 JP Equity,,4578 JP Equity,,4523 JP Equity,,4568 JP Equity,,4519 JP Equity,,4543 JP Equity,,7741 JP Equity,,7733 JP Equity,,4528 JP Equity,,4507 JP Equity,,4508 JP Equity,,6869 JP Equity,,4151 JP Equity,,4530 JP Equity,,4506 JP Equity,,4536 JP Equity,,7459 JP Equity,,6965 JP Equity,,2784 JP Equity,,9987 JP Equity,,4974 JP Equity,,4544 JP Equity,,7701 JP Equity,,4555 JP Equity,,6849 JP Equity,,8086 JP Equity,,4569 JP Equity,,4527 JP Equity,,4534 JP Equity,,4521 JP Equity,,3360 JP Equity,,8129 JP Equity,,4516 JP Equity,,4547 JP Equity,,6376 JP Equity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/1/2008,52.9744,5/1/2008,40.0422,12/14/2010,25.1738,5/1/2008,34.9650,5/1/2008,27.4452,5/1/2008,13.4496,5/1/2008,50.1964,5/1/2008,27.3494,5/1/2008,33.0491,5/1/2008,52.8786,5/1/2008,18.5458,5/1/2008,11.6295,5/1/2008,20.2127,5/1/2008,8.8706,5/1/2008,37.3599,5/1/2008,7.6253,5/1/2008,23.7571,5/1/2008,16.8694,5/1/2008,30.2711,5/1/2008,69.8343,5/1/2008,38.7968,5/1/2008,6.3703,5/1/2008,23.9966,5/1/2008,9.9052,5/1/2008,40.9043,5/1/2008,20.1648,5/1/2008,8.5449,5/1/2008,10.8056,5/1/2008,10.8535,5/1/2008,9.3687,5/1/2008,7.2325,5/1/2008,5.1633,5/1/2008,20.5480,5/1/2008,11.6774,5/1/2008,21.0269,5/1/2008,6.5619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/2/2008,53.6020,5/2/2008,40.1064,12/15/2010,25.4671,5/2/2008,35.9247,5/2/2008,27.7514,5/2/2008,13.5050,5/2/2008,50.9409,5/2/2008,28.6067,5/2/2008,34.5942,5/2/2008,52.9367,5/2/2008,18.5611,5/2/2008,11.7278,5/2/2008,20.3383,5/2/2008,8.8957,5/2/2008,37.1602,5/2/2008,7.6031,5/2/2008,24.0449,5/2/2008,16.8884,5/2/2008,30.6026,5/2/2008,71.0892,5/2/2008,38.7759,5/2/2008,6.2963,5/2/2008,24.0449,5/2/2008,10.1217,5/2/2008,41.5320,5/2/2008,20.1483,5/2/2008,8.8291,5/2/2008,10.8059,5/2/2008,10.8344,5/2/2008,9.5229,5/2/2008,7.2705,5/2/2008,5.5978,5/2/2008,20.3859,5/2/2008,11.6898,5/2/2008,21.0987,5/2/2008,6.6242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/7/2008,54.7268,5/7/2008,41.2352,12/16/2010,23.7467,5/7/2008,35.6295,5/7/2008,27.6010,5/7/2008,13.9477,5/7/2008,49.8812,5/7/2008,29.0736,5/7/2008,33.8242,5/7/2008,52.8266,5/7/2008,18.1853,5/7/2008,12.2185,5/7/2008,20.4276,5/7/2008,8.8551,5/7/2008,38.0048,5/7/2008,7.8100,5/7/2008,24.5131,5/7/2008,17.1687,5/7/2008,30.4038,5/7/2008,70.3088,5/7/2008,38.7649,5/7/2008,6.5083,5/7/2008,23.7055,5/7/2008,10.2423,5/7/2008,42.5653,5/7/2008,19.8100,5/7/2008,8.5748,5/7/2008,10.9644,5/7/2008,10.6793,5/7/2008,9.6152,5/7/2008,7.3539,5/7/2008,5.3967,5/7/2008,20.3801,5/7/2008,11.5344,5/7/2008,20.9976,5/7/2008,6.8219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/8/2008,54.4054,5/8/2008,40.8281,12/17/2010,23.5322,5/8/2008,35.6283,5/8/2008,27.6360,5/8/2008,14.1550,5/8/2008,50.3611,5/8/2008,28.6952,5/8/2008,33.3173,5/8/2008,53.4425,5/8/2008,18.5364,5/8/2008,12.4218,5/8/2008,20.2215,5/8/2008,9.1382,5/8/2008,38.6134,5/8/2008,7.8575,5/8/2008,26.0953,5/8/2008,17.3327,5/8/2008,30.6211,5/8/2008,72.0270,5/8/2008,38.9023,5/8/2008,6.9331,5/8/2008,24.0732,5/8/2008,10.3033,5/8/2008,44.1021,5/8/2008,20.1252,5/8/2008,8.8734,5/8/2008,11.1700,5/8/2008,10.8233,5/8/2008,9.5908,5/8/2008,7.4145,5/8/2008,4.9880,5/8/2008,20.8474,5/8/2008,11.6803,5/8/2008,21.0400,5/8/2008,7.7131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/9/2008,53.2803,5/9/2008,39.6933,12/20/2010,23.6362,5/9/2008,34.8408,5/9/2008,27.5621,5/9/2008,14.3051,5/9/2008,50.1747,5/9/2008,27.6592,5/9/2008,31.6382,5/9/2008,52.6009,5/9/2008,18.6238,5/9/2008,12.0536,5/9/2008,20.0893,5/9/2008,9.0547,5/9/2008,37.5582,5/9/2008,7.8513,5/9/2008,25.2329,5/9/2008,17.5078,5/9/2008,30.6677,5/9/2008,71.2345,5/9/2008,39.0140,5/9/2008,6.8905,5/9/2008,23.9228,5/9/2008,10.0058,5/9/2008,48.0396,5/9/2008,19.7496,5/9/2008,8.6423,5/9/2008,10.8987,5/9/2008,10.8599,5/9/2008,9.4818,5/9/2008,7.3370,5/9/2008,4.8622,5/9/2008,20.6231,5/9/2008,11.5392,5/9/2008,20.5745,5/9/2008,7.4340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/12/2008,54.7840,5/12/2008,39.2554,12/21/2010,23.9971,5/12/2008,35.1080,5/12/2008,27.5367,5/12/2008,14.3422,5/12/2008,50.1543,5/12/2008,27.7778,5/12/2008,31.0571,5/12/2008,52.8549,5/12/2008,18.8850,5/12/2008,11.9502,5/12/2008,19.7724,5/12/2008,9.0278,5/12/2008,37.4228,5/12/2008,7.9475,5/12/2008,25.3183,5/12/2008,17.5154,5/12/2008,30.1890,5/12/2008,71.5664,5/12/2008,38.9661,5/12/2008,6.7033,5/12/2008,24.1127,5/12/2008,9.9826,5/12/2008,47.6466,5/12/2008,19.9653,5/12/2008,8.7240,5/12/2008,10.9472,5/12/2008,10.9664,5/12/2008,9.4811,5/12/2008,7.7643,5/12/2008,5.0058,5/12/2008,20.7369,5/12/2008,11.5644,5/12/2008,20.5440,5/12/2008,7.3785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/13/2008,55.8584,5/13/2008,39.8852,12/22/2010,24.3001,5/13/2008,35.7724,5/13/2008,26.1597,5/13/2008,14.3950,5/13/2008,50.6935,5/13/2008,28.5509,5/13/2008,31.9464,5/13/2008,52.1282,5/13/2008,19.3687,5/13/2008,12.0038,5/13/2008,19.3209,5/13/2008,8.9718,5/13/2008,38.2592,5/13/2008,7.8240,5/13/2008,25.2511,5/13/2008,17.2549,5/13/2008,30.1291,5/13/2008,69.1535,5/13/2008,38.9287,5/13/2008,6.7671,5/13/2008,24.1990,5/13/2008,9.9761,5/13/2008,45.6241,5/13/2008,17.7045,5/13/2008,8.6131,5/13/2008,10.8178,5/13/2008,11.0569,5/13/2008,9.5074,5/13/2008,7.6710,5/13/2008,5.0311,5/13/2008,19.8948,5/13/2008,11.4395,5/13/2008,20.4687,5/13/2008,7.4510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/14/2008,56.1520,5/14/2008,40.8551,12/24/2010,24.9155,5/14/2008,36.3896,5/14/2008,26.6033,5/14/2008,14.2898,5/14/2008,49.6912,5/14/2008,27.6960,5/14/2008,31.6390,5/14/2008,51.4964,5/14/2008,19.5725,5/14/2008,12.2280,5/14/2008,18.8599,5/14/2008,9.0831,5/14/2008,38.5748,5/14/2008,8.0000,5/14/2008,25.4157,5/14/2008,17.3492,5/14/2008,29.4537,5/14/2008,71.3539,5/14/2008,38.9549,5/14/2008,6.4846,5/14/2008,24.4181,5/14/2008,9.7862,5/14/2008,43.6105,5/14/2008,17.7007,5/14/2008,8.6983,5/14/2008,11.2304,5/14/2008,11.3064,5/14/2008,9.5107,5/14/2008,7.8385,5/14/2008,5.0641,5/14/2008,19.9525,5/14/2008,11.2874,5/14/2008,20.1900,5/14/2008,7.7055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/15/2008,56.1273,5/15/2008,42.3099,12/27/2010,24.9638,5/15/2008,37.3547,5/15/2008,27.3490,5/15/2008,14.5798,5/15/2008,49.1710,5/15/2008,27.7301,5/15/2008,32.5901,5/15/2008,52.2203,5/15/2008,19.8209,5/15/2008,12.4929,5/15/2008,18.7250,5/15/2008,9.2243,5/15/2008,39.0699,5/15/2008,8.1666,5/15/2008,26.2055,5/15/2008,17.5720,5/15/2008,29.7313,5/15/2008,71.5647,5/15/2008,39.5464,5/15/2008,6.6705,5/15/2008,24.6331,5/15/2008,9.7103,5/15/2008,43.0722,5/15/2008,17.9245,5/15/2008,8.9289,5/15/2008,12.0259,5/15/2008,11.6066,5/15/2008,9.5864,5/15/2008,7.9093,5/15/2008,5.5556,5/15/2008,19.9638,5/15/2008,11.4923,5/15/2008,20.2973,5/15/2008,7.9760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/16/2008,56.2025,5/16/2008,43.3067,12/28/2010,25.1552,5/16/2008,37.1475,5/16/2008,28.0531,5/16/2008,14.9168,5/16/2008,49.1772,5/16/2008,26.8020,5/16/2008,32.7206,5/16/2008,54.3740,5/16/2008,19.5843,5/16/2008,12.4820,5/16/2008,18.9106,5/16/2008,9.2291,5/16/2008,39.2648,5/16/2008,8.2572,5/16/2008,26.6577,5/16/2008,17.6114,5/16/2008,29.0636,5/16/2008,71.2155,5/16/2008,39.4572,5/16/2008,6.5201,5/16/2008,24.4924,5/16/2008,10.0087,5/16/2008,41.7669,5/16/2008,18.0926,5/16/2008,8.8249,5/16/2008,11.9430,5/16/2008,11.7602,5/16/2008,9.9028,5/16/2008,7.9107,5/16/2008,6.0918,5/16/2008,20.3060,5/16/2008,11.4618,5/16/2008,20.4023,5/16/2008,8.1705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/19/2008,56.5496,5/19/2008,42.1012,12/29/2010,25.2383,5/19/2008,37.1256,5/19/2008,28.0834,5/19/2008,14.8024,5/19/2008,49.9474,5/19/2008,26.5046,5/19/2008,32.9155,5/19/2008,53.5834,5/19/2008,19.6632,5/19/2008,12.3529,5/19/2008,18.8977,5/19/2008,9.3101,5/19/2008,39.2307,5/19/2008,8.2480,5/19/2008,26.0262,5/19/2008,17.2328,5/19/2008,27.6529,5/19/2008,70.7109,5/19/2008,38.9436,5/19/2008,6.4109,5/19/2008,24.3039,5/19/2008,10.1617,5/19/2008,41.8142,5/19/2008,18.6011,5/19/2008,8.7647,5/19/2008,12.2189,5/19/2008,11.6544,5/19/2008,9.9034,5/19/2008,7.8653,5/19/2008,6.5353,5/19/2008,19.8067,5/19/2008,11.5491,5/19/2008,20.3330,5/19/2008,8.0471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
