,6954 JP Equity,,6501 JP Equity,,6301 JP Equity,,6503 JP Equity,,7011 JP Equity,,6861 JP Equity,,6326 JP Equity,,6981 JP Equity,,8053 JP Equity,,6273 JP Equity,,6367 JP Equity,,9064 JP Equity,,1963 JP Equity,,7205 JP Equity,,6645 JP Equity,,7013 JP Equity,,6806 JP Equity,,6471 JP Equity,,9062 JP Equity,,9104 JP Equity,,9101 JP Equity,,1801 JP Equity,,6305 JP Equity,,1802 JP Equity,,1812 JP Equity,,1803 JP Equity,,6841 JP Equity,,6506 JP Equity,,6366 JP Equity,,6481 JP Equity,,6113 JP Equity,,6370 JP Equity,,6302 JP Equity,,6504 JP Equity,,6268 JP Equity,,9301 JP Equity,,6361 JP Equity,,6465 JP Equity,,9962 JP Equity,,9364 JP Equity,,6146 JP Equity,,1881 JP Equity,,1944 JP Equity,,9107 JP Equity,,6395 JP Equity,,1721 JP Equity,,9076 JP Equity,,6754 JP Equity,,6472 JP Equity,,9086 JP Equity,,9075 JP Equity,,5801 JP Equity,,7458 JP Equity,,6845 JP Equity,,1883 JP Equity,,6856 JP Equity,,6961 JP Equity,,6136 JP Equity,,1983 JP Equity,,6269 JP Equity,,6141 JP Equity,,9375 JP Equity,,9706 JP Equity,,7003 JP Equity,,1951 JP Equity,,6103 JP Equity,,9065 JP Equity,,1414 JP Equity,,7004 JP Equity,,9303 JP Equity,,9072 JP Equity,,6755 JP Equity,,6474 JP Equity,,6371 JP Equity,,6005 JP Equity,,6383 JP Equity
5/1/2008,105.75726,5/1/2008,6.57151,5/1/2008,30.84587,5/1/2008,10.69068,5/1/2008,4.46403,5/1/2008,209.0856,5/1/2008,6.93553,5/1/2008,50.29217,5/1/2008,13.26755,5/1/2008,115.6241,5/1/2008,49.04684,5/1/2008,14.06265,5/1/2008,18.1914,5/1/2008,6.21707,5/1/2008,20.54795,5/1/2008,2.13622,5/1/2008,117.15682,5/1/2008,8.2096,5/1/2008,5.51777,5/1/2008,13.76569,5/1/2008,9.83811,5/1/2008,2.57688,5/1/2008,31.03746,5/1/2008,4.51193,5/1/2008,3.2666,5/1/2008,4.58856,5/1/2008,10.87269,5/1/2008,9.78063,5/1/2008,7.15586,5/1/2008,22.03276,5/1/2008,8.2096,5/1/2008,34.67765,5/1/2008,8.26708,5/1/2008,3.95632,5/1/2008,14.33087,5/1/2008,13.01849,5/1/2008,3.51566,12/9/2008,8.12656,5/1/2008,19.12061,5/1/2008,7.53904,5/1/2008,46.36459,5/1/2008,5.37408,5/1/2008,9.22502,5/1/2008,10.2596,5/1/2008,9.99138,5/1/2008,8.96638,5/1/2008,6.61941,5/1/2008,3.45819,5/1/2008,7.74021,5/1/2008,11.64863,5/1/2008,3.43903,5/1/2008,3.5444,5/1/2008,9.72315,5/1/2008,28.69049,5/1/2008,7.68273,5/1/2008,34.48606,5/1/2008,10.38414,5/1/2008,13.4783,5/1/2008,8.34371,5/1/2008,34.10288,5/1/2008,17.94233,5/1/2008,24.42763,5/1/2008,19.68579,5/1/2008,3.15164,5/1/2008,7.71147,5/1/2008,11.08344,5/1/2008,5.18249,5/1/2008,11.09302,5/1/2008,1.05374,5/1/2008,4.85679,5/1/2008,13.5262,5/1/2008,4.51193,5/1/2008,4.10001,5/1/2008,6.41824,5/1/2008,24.04445,5/1/2008,12.04138
5/2/2008,108.81962,5/2/2008,6.70975,5/2/2008,30.9827,5/2/2008,11.32864,5/2/2008,4.50485,5/2/2008,203.98033,5/2/2008,7.16594,5/2/2008,51.98631,5/2/2008,13.22942,5/2/2008,117.65824,5/2/2008,50.37065,5/2/2008,14.02775,5/2/2008,18.55161,5/2/2008,6.28208,5/2/2008,20.95609,5/2/2008,2.10987,5/2/2008,121.74492,5/2/2008,8.525,5/2/2008,5.45524,5/2/2008,13.67611,5/2/2008,9.94108,5/2/2008,2.62308,5/2/2008,31.55294,5/2/2008,4.61889,5/2/2008,3.37388,5/2/2008,4.71393,5/2/2008,11.63277,5/2/2008,10.31173,5/2/2008,7.77419,5/2/2008,21.90648,5/2/2008,8.42045,5/2/2008,35.63961,5/2/2008,8.51549,5/2/2008,3.91561,5/2/2008,14.68352,5/2/2008,13.07736,5/2/2008,3.61148,12/10/2008,7.56972,5/2/2008,19.67307,5/2/2008,7.52709,5/2/2008,48.46987,5/2/2008,5.43623,5/2/2008,9.28531,5/2/2008,10.26421,5/2/2008,10.36875,5/2/2008,9.03821,5/2/2008,6.51017,5/2/2008,3.49743,5/2/2008,7.66014,5/2/2008,11.62327,5/2/2008,3.52595,5/2/2008,3.6685,5/2/2008,9.64646,5/2/2008,29.17696,5/2/2008,7.75518,5/2/2008,35.06938,5/2/2008,10.57784,5/2/2008,13.08687,5/2/2008,8.56301,5/2/2008,34.68922,5/2/2008,19.29291,5/2/2008,25.56548,5/2/2008,20.0057,5/2/2008,3.19331,5/2/2008,7.7932,5/2/2008,11.26212,5/2/2008,5.22714,5/2/2008,11.10055,5/2/2008,1.06444,5/2/2008,4.91351,5/2/2008,13.35297,5/2/2008,4.49534,5/2/2008,4.12469,5/2/2008,6.48166,5/2/2008,24.61509,5/2/2008,12.37407
5/7/2008,107.26841,5/7/2008,6.60333,5/7/2008,30.87886,5/7/2008,10.76485,5/7/2008,4.56057,5/7/2008,206.35637,5/7/2008,7.46793,5/7/2008,51.49644,5/7/2008,13.90974,5/7/2008,116.86461,5/7/2008,49.21615,5/7/2008,14.28979,5/7/2008,19.2399,5/7/2008,6.22328,5/7/2008,20.8076,5/7/2008,2.19477,5/7/2008,122.18527,5/7/2008,8.29454,5/7/2008,5.39667,5/7/2008,14.3943,5/7/2008,9.98575,5/7/2008,2.66033,5/7/2008,32.87411,5/7/2008,4.68409,5/7/2008,3.46793,5/7/2008,4.74109,5/7/2008,11.58195,5/7/2008,10.56532,5/7/2008,8.16152,5/7/2008,23.13539,5/7/2008,8.52257,5/7/2008,36.38955,5/7/2008,8.62708,5/7/2008,3.94299,5/7/2008,15.11639,5/7/2008,13.12114,5/7/2008,3.59145,12/11/2008,8.39611,5/7/2008,19.1924,5/7/2008,7.61045,5/7/2008,48.07601,5/7/2008,5.52969,5/7/2008,9.38717,5/7/2008,10.55582,5/7/2008,10.86936,5/7/2008,9.09264,5/7/2008,6.63183,5/7/2008,3.44893,5/7/2008,7.65796,5/7/2008,11.73397,5/7/2008,3.57245,5/7/2008,3.67696,5/7/2008,9.90024,5/7/2008,28.59857,5/7/2008,7.74347,5/7/2008,34.3943,5/7/2008,10.66983,5/7/2008,13.33967,5/7/2008,8.62708,5/7/2008,36.29454,5/7/2008,19.47743,5/7/2008,27.12589,5/7/2008,20,5/7/2008,3.46793,5/7/2008,7.80048,5/7/2008,11.40143,5/7/2008,5.23515,5/7/2008,11.69596,5/7/2008,1.18765,5/7/2008,4.98812,5/7/2008,13.47268,5/7/2008,4.59857,5/7/2008,4.13302,5/7/2008,6.52732,5/7/2008,25.32067,5/7/2008,12.7886
5/8/2008,106.59605,5/8/2008,6.67309,5/8/2008,30.90997,5/8/2008,11.18922,5/8/2008,4.52576,5/8/2008,208.89952,5/8/2008,7.38565,5/8/2008,52.961,5/8/2008,13.69283,5/8/2008,116.32162,5/8/2008,49.39817,5/8/2008,14.23207,5/8/2008,19.59557,5/8/2008,6.19162,5/8/2008,20.84738,5/8/2008,2.27251,5/8/2008,123.63987,5/8/2008,8.2234,5/8/2008,5.25758,5/8/2008,14.54983,5/8/2008,10.10111,5/8/2008,2.64805,5/8/2008,32.25806,5/8/2008,4.74723,5/8/2008,3.3895,5/8/2008,4.7376,5/8/2008,11.79586,5/8/2008,10.89071,5/8/2008,8.00193,5/8/2008,23.49543,5/8/2008,8.54117,5/8/2008,36.78382,5/8/2008,8.57005,5/8/2008,4.02504,5/8/2008,15.05055,5/8/2008,13.15359,5/8/2008,3.62061,12/12/2008,8.60804,5/8/2008,19.54742,5/8/2008,7.58787,5/8/2008,50.07222,5/8/2008,5.61387,5/8/2008,9.60039,5/8/2008,10.56331,5/8/2008,11.00626,5/8/2008,9.25373,5/8/2008,6.93308,5/8/2008,3.45691,5/8/2008,7.60713,5/8/2008,11.89215,5/8/2008,3.62061,5/8/2008,3.63987,5/8/2008,10.25518,5/8/2008,28.35821,5/8/2008,7.84786,5/8/2008,33.99133,5/8/2008,11.18922,5/8/2008,13.38469,5/8/2008,9.09966,5/8/2008,37.65046,5/8/2008,18.83486,5/8/2008,27.58787,5/8/2008,20.07703,5/8/2008,3.49543,5/8/2008,8.00193,5/8/2008,11.03515,5/8/2008,5.30573,5/8/2008,11.93067,5/8/2008,1.24218,5/8/2008,5.01685,5/8/2008,13.38469,5/8/2008,4.64131,5/8/2008,4.32354,5/8/2008,6.53828,5/8/2008,26.09533,5/8/2008,12.97063
5/9/2008,106.75466,5/9/2008,6.46351,5/9/2008,30.37655,5/9/2008,10.71429,5/9/2008,4.46429,5/9/2008,201.55857,5/9/2008,7.17197,5/9/2008,52.40683,5/9/2008,13.69371,5/9/2008,114.71273,5/9/2008,49.10714,5/9/2008,14.19837,5/9/2008,19.07026,5/9/2008,6.13354,5/9/2008,20.96273,5/9/2008,2.19332,5/9/2008,120.34161,5/9/2008,8.02601,5/9/2008,5.24068,5/9/2008,14.22748,5/9/2008,9.86995,5/9/2008,2.59123,5/9/2008,31.8323,5/9/2008,4.63898,5/9/2008,3.28028,5/9/2008,4.64868,5/9/2008,10.79193,5/9/2008,10.49107,5/9/2008,7.78339,5/9/2008,22.56405,5/9/2008,8.27834,5/9/2008,36.29658,5/9/2008,8.10365,5/9/2008,3.85287,5/9/2008,13.95575,5/9/2008,12.73292,5/9/2008,3.50349,12/15/2008,8.98963,5/9/2008,19.39053,5/9/2008,7.43401,5/9/2008,47.2632,5/9/2008,5.25039,5/9/2008,9.67585,5/9/2008,10.30668,5/9/2008,10.12228,5/9/2008,9.33618,5/9/2008,6.79348,5/9/2008,3.34821,5/9/2008,7.44371,5/9/2008,11.73331,5/9/2008,3.56172,5/9/2008,3.50349,5/9/2008,10.29697,5/9/2008,27.46506,5/9/2008,7.74457,5/9/2008,32.6087,5/9/2008,10.70458,5/9/2008,13.35404,5/9/2008,8.91887,5/9/2008,37.46118,5/9/2008,18.38121,5/9/2008,27.17391,5/9/2008,19.65256,5/9/2008,3.29969,5/9/2008,7.85132,5/9/2008,10.69488,5/9/2008,5.24068,5/9/2008,11.89829,5/9/2008,1.24224,5/9/2008,4.90101,5/9/2008,12.87849,5/9/2008,4.45458,5/9/2008,4.14402,5/9/2008,6.2597,5/9/2008,25.42702,5/9/2008,12.65528
5/12/2008,104.93827,5/12/2008,6.549,5/12/2008,29.89969,5/12/2008,10.96644,5/12/2008,4.40779,5/12/2008,210.358,5/12/2008,7.29167,5/12/2008,52.08333,5/12/2008,13.65741,5/12/2008,114.96914,5/12/2008,49.67207,5/12/2008,14.07215,5/12/2008,19.25154,5/12/2008,6.20177,5/12/2008,21.36381,5/12/2008,2.16049,5/12/2008,119.40586,5/12/2008,7.92824,5/12/2008,5.0733,5/12/2008,14.04321,5/12/2008,9.79938,5/12/2008,2.6331,5/12/2008,31.34645,5/12/2008,4.80324,5/12/2008,3.3179,5/12/2008,4.63927,5/12/2008,9.90548,5/12/2008,10.43596,5/12/2008,7.93789,5/12/2008,22.37654,5/12/2008,8.10185,5/12/2008,35.59028,5/12/2008,7.94753,5/12/2008,3.84838,5/12/2008,13.24267,5/12/2008,12.62539,5/12/2008,3.49151,12/16/2008,8.71641,5/12/2008,18.87539,5/12/2008,7.36883,5/12/2008,46.6821,5/12/2008,5.28549,5/12/2008,9.53897,5/12/2008,10.26235,5/12/2008,9.81867,5/12/2008,9.30748,5/12/2008,6.61651,5/12/2008,3.38542,5/12/2008,7.41705,5/12/2008,11.59336,5/12/2008,3.50116,5/12/2008,3.52045,5/12/2008,10.40702,5/12/2008,28.06713,5/12/2008,7.78356,5/12/2008,32.31096,5/12/2008,10.70602,5/12/2008,12.9919,5/12/2008,8.97955,5/12/2008,36.74769,5/12/2008,17.64082,5/12/2008,26.28279,5/12/2008,19.6277,5/12/2008,3.26968,5/12/2008,7.99576,5/12/2008,10.82176,5/12/2008,4.99614,5/12/2008,12.01775,5/12/2008,1.20563,5/12/2008,4.86111,5/12/2008,12.91474,5/12/2008,4.46566,5/12/2008,4.09915,5/12/2008,6.18248,5/12/2008,25.12539,5/12/2008,12.43248
5/13/2008,102.63032,5/13/2008,6.87709,5/13/2008,30.79866,5/13/2008,11.2769,5/13/2008,4.38068,5/13/2008,208.76563,5/13/2008,7.34577,5/13/2008,50.69345,5/13/2008,13.78288,5/13/2008,116.88187,5/13/2008,49.54567,5/13/2008,14.1846,5/13/2008,19.65567,5/13/2008,6.19799,5/13/2008,21.32951,5/13/2008,2.1999,5/13/2008,120.99474,5/13/2008,8.6944,5/13/2008,5.21282,5/13/2008,14.3472,5/13/2008,9.95696,5/13/2008,2.66858,5/13/2008,32.71162,5/13/2008,4.89718,5/13/2008,3.36681,5/13/2008,4.70588,5/13/2008,10.04304,5/13/2008,10.69345,5/13/2008,7.79531,5/13/2008,21.75992,5/13/2008,8.16834,5/13/2008,35.77236,5/13/2008,8.07269,5/13/2008,3.85462,5/13/2008,13.35246,5/13/2008,12.36729,5/13/2008,3.53898,12/17/2008,8.77093,5/13/2008,19.27308,5/13/2008,7.37446,5/13/2008,47.72836,5/13/2008,5.16499,5/13/2008,9.7561,5/13/2008,10.61693,5/13/2008,9.98565,5/13/2008,9.4022,5/13/2008,6.74319,5/13/2008,3.33812,5/13/2008,7.50837,5/13/2008,11.86035,5/13/2008,3.46246,5/13/2008,3.51985,5/13/2008,10.21521,5/13/2008,28.16834,5/13/2008,7.77618,5/13/2008,32.61597,5/13/2008,10.42563,5/13/2008,12.90292,5/13/2008,8.86657,5/13/2008,36.63319,5/13/2008,17.85748,5/13/2008,26.54232,5/13/2008,18.84266,5/13/2008,3.15638,5/13/2008,8.64658,5/13/2008,10.89431,5/13/2008,5.02152,5/13/2008,11.96557,5/13/2008,1.23386,5/13/2008,4.71545,5/13/2008,13.10378,5/13/2008,4.38068,5/13/2008,4.2659,5/13/2008,6.1406,5/13/2008,24.62936,5/13/2008,12.40555
5/14/2008,105.46318,5/14/2008,6.81235,5/14/2008,30.21378,5/14/2008,11.02138,5/14/2008,4.36105,5/14/2008,202.74435,5/14/2008,7.14489,5/14/2008,49.50119,5/14/2008,13.85273,5/14/2008,113.72922,5/14/2008,50.26128,5/14/2008,14.12827,5/14/2008,20.42755,5/14/2008,6.08076,5/14/2008,21.75772,5/14/2008,2.23278,5/14/2008,115.72447,5/14/2008,8.86461,5/14/2008,5.19715,5/14/2008,14.69834,5/14/2008,10.11876,5/14/2008,2.68884,5/14/2008,33.82423,5/14/2008,5.09264,5/14/2008,3.45843,5/14/2008,4.73159,5/14/2008,9.76722,5/14/2008,10.78385,5/14/2008,8.26603,5/14/2008,21.52019,5/14/2008,8.97862,5/14/2008,35.91449,5/14/2008,7.94299,5/14/2008,3.79097,5/14/2008,13.90974,5/14/2008,12.64608,5/14/2008,3.59145,12/18/2008,8.46531,5/14/2008,18.58432,5/14/2008,7.38242,5/14/2008,48.17102,5/14/2008,5.74822,5/14/2008,9.94774,5/14/2008,10.68884,5/14/2008,10.30879,5/14/2008,9.03563,5/14/2008,6.90736,5/14/2008,3.2399,5/14/2008,7.14489,5/14/2008,11.62945,5/14/2008,3.51544,5/14/2008,3.62945,5/14/2008,10.04276,5/14/2008,26.98337,5/14/2008,8.0285,5/14/2008,27.64846,5/14/2008,10.65083,5/14/2008,13.07363,5/14/2008,8.98812,5/14/2008,36.67458,5/14/2008,18.59382,5/14/2008,27.83848,5/14/2008,18.50831,5/14/2008,3.1734,5/14/2008,8.38005,5/14/2008,11.82898,5/14/2008,4.8266,5/14/2008,11.962,5/14/2008,1.25416,5/14/2008,4.85511,5/14/2008,13.53919,5/14/2008,4.69359,5/14/2008,4.41805,5/14/2008,6.44181,5/14/2008,25.36817,5/14/2008,12.87411
5/15/2008,105.01239,5/15/2008,6.80389,5/15/2008,30.49362,5/15/2008,11.2064,5/15/2008,4.4311,5/15/2008,199.32681,5/15/2008,7.45188,5/15/2008,52.12502,5/15/2008,14.22718,5/15/2008,121.87917,5/15/2008,51.36268,5/15/2008,14.09377,5/15/2008,20.53554,5/15/2008,6.19402,5/15/2008,22.4414,5/15/2008,2.25843,5/15/2008,114.35106,5/15/2008,9.09091,5/15/2008,5.2125,5/15/2008,15.06575,5/15/2008,10.30112,5/15/2008,2.7349,5/15/2008,33.92415,5/15/2008,5.08862,5/15/2008,3.49724,5/15/2008,4.53593,5/15/2008,9.60549,5/15/2008,11.00629,5/15/2008,8.94797,5/15/2008,22.63198,5/15/2008,8.78597,5/15/2008,36.49705,5/15/2008,7.90928,5/15/2008,3.84029,5/15/2008,14.12236,5/15/2008,13.12178,5/15/2008,3.421,12/19/2008,8.40673,5/15/2008,18.60111,5/15/2008,7.46141,5/15/2008,50.12388,5/15/2008,5.7652,5/15/2008,9.9009,5/15/2008,11.33981,5/15/2008,10.49171,5/15/2008,8.88127,5/15/2008,7.004,5/15/2008,3.30665,5/15/2008,7.25176,5/15/2008,11.7591,5/15/2008,3.80217,5/15/2008,3.66876,5/15/2008,10.10101,5/15/2008,26.77721,5/15/2008,7.77587,5/15/2008,28.30189,5/15/2008,11.24452,5/15/2008,13.16943,5/15/2008,9.10997,5/15/2008,36.49705,5/15/2008,18.67734,5/15/2008,27.92072,5/15/2008,18.86792,5/15/2008,3.23995,5/15/2008,8.69068,5/15/2008,11.61616,5/15/2008,4.97427,5/15/2008,12.19745,5/15/2008,1.29598,5/15/2008,5.2125,5/15/2008,13.30284,5/15/2008,4.80274,5/15/2008,4.39299,5/15/2008,6.64189,5/15/2008,25.87193,5/15/2008,13.39813
5/16/2008,105.47589,5/16/2008,6.83284,5/16/2008,31.3733,5/16/2008,11.14426,5/16/2008,4.45578,5/16/2008,197.96216,5/16/2008,7.51612,5/16/2008,52.73795,5/16/2008,14.89751,5/16/2008,126.26311,5/16/2008,51.77558,5/16/2008,14.30084,5/16/2008,20.49851,5/16/2008,6.25541,5/16/2008,22.37513,5/16/2008,2.28082,5/16/2008,116.06198,5/16/2008,9.20027,5/16/2008,5.24492,5/16/2008,15.85026,5/16/2008,10.71119,5/16/2008,2.82937,5/16/2008,34.35665,5/16/2008,5.24492,5/16/2008,3.92647,5/16/2008,4.78299,5/16/2008,9.22914,5/16/2008,11.0384,5/16/2008,9.5371,5/16/2008,21.31652,5/16/2008,9.08478,5/16/2008,36.37763,5/16/2008,7.74709,5/16/2008,3.83024,5/16/2008,14.53181,5/16/2008,13.17486,5/16/2008,3.47416,12/22/2008,8.33703,5/16/2008,18.00597,5/16/2008,7.99731,5/16/2008,50.33202,5/16/2008,5.75498,5/16/2008,9.5371,5/16/2008,11.90453,5/16/2008,10.75931,5/16/2008,8.59398,5/16/2008,7.12155,5/16/2008,3.31056,5/16/2008,7.40064,5/16/2008,12.18362,5/16/2008,3.99384,5/16/2008,3.72438,5/16/2008,10.52834,5/16/2008,26.80204,5/16/2008,7.85295,5/16/2008,29.44856,5/16/2008,10.91329,5/16/2008,13.29997,5/16/2008,8.89231,5/16/2008,35.89645,5/16/2008,18.88172,5/16/2008,29.73727,5/16/2008,18.72775,5/16/2008,3.32018,5/16/2008,8.59398,5/16/2008,11.47147,5/16/2008,5.20643,5/16/2008,12.32798,5/16/2008,1.27033,5/16/2008,5.31229,5/16/2008,13.39621,5/16/2008,4.90809,5/16/2008,4.47503,5/16/2008,6.62111,5/16/2008,25.69531,5/16/2008,12.75142
