,4063 JP Equity,,5401 JP Equity,,5411 JP Equity,,6988 JP Equity,,8015 JP Equity,,3407 JP Equity,,5201 JP Equity,,4188 JP Equity,,5713 JP Equity,,4005 JP Equity,,3405 JP Equity,,4185 JP Equity,,5486 JP Equity,,5711 JP Equity,,3861 JP Equity,,5406 JP Equity,,5233 JP Equity,,4182 JP Equity,,4613 JP Equity,,5901 JP Equity,,4217 JP Equity,,4612 JP Equity,,4202 JP Equity,,5714 JP Equity,,4088 JP Equity,,4091 JP Equity,,4205 JP Equity,,4183 JP Equity,,4021 JP Equity,,4272 JP Equity,,4118 JP Equity,,5471 JP Equity,,4631 JP Equity,,5463 JP Equity,,1911 JP Equity,,4042 JP Equity,,5631 JP Equity,,5444 JP Equity,,3401 JP Equity,,4114 JP Equity,,4004 JP Equity,,4208 JP Equity,,8012 JP Equity,,4061 JP Equity,,3863 JP Equity,,4634 JP Equity,,7947 JP Equity,,7966 JP Equity,,5232 JP Equity,,3941 JP Equity,,4206 JP Equity,,5706 JP Equity,,5803 JP Equity,,4095 JP Equity,,4043 JP Equity,,4045 JP Equity,,4401 JP Equity,,4403 JP Equity,,4201 JP Equity,,4186 JP Equity,,4203 JP Equity
5/1/2008,60.7338,5/1/2008,5.5561,5/1/2008,54.6029,5/1/2008,45.4067,5/1/2008,21.458,5/1/2008,5.6231,5/1/2008,12.1947,5/1/2008,6.5715,5/1/2008,17.4059,5/1/2008,6.4182,5/1/2008,12.233,5/1/2008,22.1286,5/1/2008,14.8386,5/1/2008,4.6269,5/1/2008,4.3778,5/1/2008,2.9409,5/1/2008,2.2512,5/1/2008,6.7439,5/1/2008,6.8206,5/1/2008,19.3505,5/1/2008,20.1169,5/1/2008,3.6977,5/1/2008,5.8243,5/1/2008,6.5811,5/1/2008,9.8285,5/1/2008,8.1425,5/1/2008,4.9238,5/1/2008,5.968,5/1/2008,12.7407,5/1/2008,6.8781,5/1/2008,6.7631,5/1/2008,5.422,5/1/2008,3.2283,5/1/2008,35.7314,5/1/2008,6.993,5/1/2008,3.7647,5/1/2008,18.1818,5/1/2008,47.0352,5/1/2008,3.8414,5/1/2008,7.1846,5/1/2008,3.5636,5/1/2008,3.4582,5/1/2008,10.4991,5/1/2008,3.6498,4/1/2013,15.4844,5/1/2008,3.554,5/1/2008,23.7571,5/1/2008,13.0855,5/1/2008,2.1554,5/1/2008,5.5369,5/1/2008,9.6561,5/1/2008,3.2762,5/1/2008,4.3395,5/1/2008,15.2984,5/1/2008,8.84184,5/1/2008,3.87968,5/1/2008,9.67526,5/1/2008,4.53109,5/1/2008,5.82431,5/1/2008,21.88907,5/1/2008,5.54651
5/2/2008,63.8662,5/2/2008,5.7404,5/2/2008,54.3623,5/2/2008,48.85,5/2/2008,21.954,5/2/2008,5.6548,5/2/2008,12.4311,5/2/2008,6.7383,5/2/2008,17.2021,5/2/2008,6.5102,5/2/2008,12.6687,5/2/2008,23.3321,5/2/2008,14.655,5/2/2008,4.6284,5/2/2008,4.5429,5/2/2008,3.0222,5/2/2008,2.2049,5/2/2008,6.9283,5/2/2008,6.9664,5/2/2008,19.4355,5/2/2008,20.9086,5/2/2008,3.7445,5/2/2008,5.8069,5/2/2008,6.5957,5/2/2008,10.0456,5/2/2008,8.3254,5/2/2008,4.9515,5/2/2008,6.0445,5/2/2008,12.8968,5/2/2008,6.8713,5/2/2008,6.9093,5/2/2008,5.4457,5/2/2008,3.3169,5/2/2008,35.9247,5/2/2008,7.4035,5/2/2008,3.7635,5/2/2008,18.371,5/2/2008,46.6641,5/2/2008,3.7731,5/2/2008,7.4606,5/2/2008,3.5925,5/2/2008,3.564,5/2/2008,10.5588,5/2/2008,3.6685,4/2/2013,14.1604,5/2/2008,3.5925,5/2/2008,22.9519,5/2/2008,13.6476,5/2/2008,2.1574,5/2/2008,5.7689,5/2/2008,10.0551,5/2/2008,3.2218,5/2/2008,4.4288,5/2/2008,15.5199,5/2/2008,8.97168,5/2/2008,3.85858,5/2/2008,9.96008,5/2/2008,4.54286,5/2/2008,6.36761,5/2/2008,22.52423,5/2/2008,5.51226
5/7/2008,63.943,5/7/2008,5.9192,5/7/2008,54.7268,5/7/2008,48.7411,5/7/2008,21.8052,5/7/2008,5.7387,5/7/2008,12.5036,5/7/2008,6.8504,5/7/2008,17.9763,5/7/2008,6.5178,5/7/2008,12.7221,5/7/2008,22.9454,5/7/2008,14.7839,5/7/2008,4.6936,5/7/2008,4.5226,5/7/2008,3.0499,5/7/2008,2.2518,5/7/2008,7.2399,5/7/2008,6.9644,5/7/2008,19.3824,5/7/2008,20.8551,5/7/2008,3.7625,5/7/2008,5.9097,5/7/2008,6.9739,5/7/2008,9.8907,5/7/2008,8.4086,5/7/2008,5.3017,5/7/2008,6.1948,5/7/2008,12.7791,5/7/2008,6.8219,5/7/2008,6.9454,5/7/2008,5.5487,5/7/2008,3.3064,5/7/2008,35.9145,5/7/2008,7.3064,5/7/2008,3.8765,5/7/2008,18.3848,5/7/2008,49.3112,5/7/2008,3.943,5/7/2008,7.3919,5/7/2008,3.5059,5/7/2008,3.4774,5/7/2008,10.7553,5/7/2008,3.7625,4/3/2013,14.2673,5/7/2008,3.582,5/7/2008,22.8504,5/7/2008,13.5107,5/7/2008,2.1663,5/7/2008,5.7862,5/7/2008,10.1948,5/7/2008,3.3539,5/7/2008,4.6461,5/7/2008,15.1544,5/7/2008,9.24466,5/7/2008,3.78147,5/7/2008,9.90974,5/7/2008,4.62708,5/7/2008,6.47031,5/7/2008,22.47031,5/7/2008,5.53919
5/8/2008,62.6866,5/8/2008,5.8739,5/8/2008,54.7906,5/8/2008,49.4945,5/8/2008,21.9066,5/8/2008,5.5561,5/8/2008,12.5855,5/8/2008,7.0871,5/8/2008,17.9201,5/8/2008,6.4612,5/8/2008,12.8647,5/8/2008,22.6288,5/8/2008,14.7809,5/8/2008,4.6991,5/8/2008,4.5932,5/8/2008,2.9851,5/8/2008,2.3495,5/8/2008,7.222,5/8/2008,7.0583,5/8/2008,19.5474,5/8/2008,20.7992,5/8/2008,3.8325,5/8/2008,5.7968,5/8/2008,7.0101,5/8/2008,10.0433,5/8/2008,8.3678,5/8/2008,5.3635,5/8/2008,6.1531,5/8/2008,12.7299,5/8/2008,6.8272,5/8/2008,7.0486,5/8/2008,5.5368,5/8/2008,3.3317,5/8/2008,36.0135,5/8/2008,7.9153,5/8/2008,3.8806,5/8/2008,18.5267,5/8/2008,50.3611,5/8/2008,3.8517,5/8/2008,7.5494,5/8/2008,3.1295,5/8/2008,3.4665,5/8/2008,10.8522,5/8/2008,3.7554,4/4/2013,13.9337,5/8/2008,3.6688,5/8/2008,22.7251,5/8/2008,13.895,5/8/2008,2.1955,5/8/2008,6.1146,5/8/2008,10.2841,5/8/2008,3.4858,5/8/2008,4.4776,5/8/2008,15.3394,5/8/2008,9.1767,5/8/2008,3.76505,5/8/2008,9.99519,5/8/2008,4.62205,5/8/2008,6.42273,5/8/2008,22.43621,5/8/2008,5.97978
5/9/2008,62.1118,5/9/2008,5.9006,5/9/2008,53.6685,5/9/2008,48.3308,5/9/2008,22.37,5/9/2008,5.6677,5/9/2008,12.4903,5/9/2008,6.7741,5/9/2008,17.9057,5/9/2008,6.2888,5/9/2008,12.5971,5/9/2008,22.0303,5/9/2008,14.6933,5/9/2008,4.6293,5/9/2008,4.5128,5/9/2008,2.9018,5/9/2008,2.271,5/9/2008,7.2981,5/9/2008,6.7353,5/9/2008,19.507,5/9/2008,20.526,5/9/2008,3.7364,5/9/2008,5.6095,5/9/2008,6.8808,5/9/2008,9.7729,5/9/2008,8.0939,5/9/2008,5.0272,5/9/2008,5.92,5/9/2008,12.4709,5/9/2008,6.7741,5/9/2008,6.8711,5/9/2008,5.4736,5/9/2008,3.2415,5/9/2008,35.7143,5/9/2008,8.1328,5/9/2008,3.979,5/9/2008,18.9344,5/9/2008,48.913,5/9/2008,3.7558,5/9/2008,7.5117,5/9/2008,3.1153,5/9/2008,3.6005,5/9/2008,10.6464,5/9/2008,3.6103,4/5/2013,12.4112,5/9/2008,3.5811,5/9/2008,22.8552,5/9/2008,13.8199,5/9/2008,2.1545,5/9/2008,5.823,5/9/2008,10.5978,5/9/2008,3.4064,5/9/2008,4.4546,5/9/2008,14.8486,5/9/2008,8.63742,5/9/2008,3.76553,5/9/2008,10.21933,5/9/2008,4.51281,5/9/2008,5.56095,5/9/2008,21.78766,5/9/2008,5.8521
5/12/2008,60.4745,5/12/2008,5.7292,5/12/2008,52.9514,5/12/2008,48.6111,5/12/2008,23.2928,5/12/2008,5.5749,5/12/2008,12.4807,5/12/2008,6.713,5/12/2008,17.4286,5/12/2008,6.2886,5/12/2008,12.5675,5/12/2008,21.7978,5/12/2008,14.3904,5/12/2008,4.5139,5/12/2008,4.4946,5/12/2008,2.8549,5/12/2008,2.228,5/12/2008,6.9927,5/12/2008,6.684,5/12/2008,19.4348,5/12/2008,20.8333,5/12/2008,3.7134,5/12/2008,5.7485,5/12/2008,6.7805,5/12/2008,9.7512,5/12/2008,8.0826,5/12/2008,5.0251,5/12/2008,5.8063,5/12/2008,12.2782,5/12/2008,6.7708,5/12/2008,6.8576,5/12/2008,5.3337,5/12/2008,3.289,5/12/2008,35.3974,5/12/2008,7.7836,5/12/2008,4.0509,5/12/2008,18.0941,5/12/2008,47.4537,5/12/2008,3.6651,5/12/2008,7.2917,5/12/2008,3.0575,5/12/2008,3.5301,5/12/2008,10.2624,5/12/2008,3.7326,4/8/2013,12.7505,5/12/2008,3.6265,5/12/2008,23.4375,5/12/2008,13.9468,5/12/2008,2.1509,5/12/2008,6.0764,5/12/2008,9.9634,5/12/2008,3.4047,5/12/2008,4.4367,5/12/2008,14.7762,5/12/2008,8.52623,5/12/2008,3.7037,5/12/2008,10.10802,5/12/2008,4.43673,5/12/2008,5.42052,5/12/2008,21.70139,5/12/2008,5.89313
5/13/2008,61.406,5/13/2008,5.5954,5/13/2008,52.2238,5/13/2008,47.2501,5/13/2008,23.3381,5/13/2008,5.5476,5/13/2008,12.3386,5/13/2008,6.8388,5/13/2008,17.3888,5/13/2008,6.131,5/13/2008,12.5299,5/13/2008,21.999,5/13/2008,14.3855,5/13/2008,4.7155,5/13/2008,4.4572,5/13/2008,2.8312,5/13/2008,2.2382,5/13/2008,6.9632,5/13/2008,6.8867,5/13/2008,19.5122,5/13/2008,20.373,5/13/2008,4.199,5/13/2008,5.8345,5/13/2008,6.791,5/13/2008,9.737,5/13/2008,8.2353,5/13/2008,5.098,5/13/2008,5.7293,5/13/2008,12.4438,5/13/2008,6.791,5/13/2008,6.8675,5/13/2008,5.2128,5/13/2008,3.1468,5/13/2008,35.0072,5/13/2008,7.8049,5/13/2008,4.2181,5/13/2008,18.6418,5/13/2008,48.111,5/13/2008,3.6155,5/13/2008,7.2214,5/13/2008,3.0225,5/13/2008,3.6729,5/13/2008,10.2726,5/13/2008,3.7016,4/9/2013,12.6084,5/13/2008,3.6729,5/13/2008,24.0077,5/13/2008,13.5438,5/13/2008,2.1617,5/13/2008,6.265,5/13/2008,9.5839,5/13/2008,3.3668,5/13/2008,4.8111,5/13/2008,14.902,5/13/2008,8.13965,5/13/2008,3.73027,5/13/2008,10.19608,5/13/2008,4.4285,5/13/2008,5.4615,5/13/2008,21.85557,5/13/2008,6.09278
5/14/2008,60.9026,5/14/2008,5.6912,5/14/2008,53.3967,5/14/2008,47.1259,5/14/2008,24.2755,5/14/2008,5.6627,5/14/2008,12.171,5/14/2008,6.9264,5/14/2008,17.7387,5/14/2008,6.0333,5/14/2008,12.5511,5/14/2008,22.0903,5/14/2008,14.1758,5/14/2008,4.8551,5/14/2008,4.5226,5/14/2008,2.9264,5/14/2008,2.1473,5/14/2008,6.9549,5/14/2008,7.1639,5/14/2008,19.4774,5/14/2008,21.1877,5/14/2008,4.266,5/14/2008,6.1188,5/14/2008,7.0974,5/14/2008,10.2708,5/14/2008,8.4086,5/14/2008,5.1591,5/14/2008,5.8242,5/14/2008,12.4371,5/14/2008,6.8789,5/14/2008,7.0119,5/14/2008,5.3872,5/14/2008,3.1734,5/14/2008,34.7744,5/14/2008,7.791,5/14/2008,4.2375,5/14/2008,18.5463,5/14/2008,51.4964,5/14/2008,3.6865,5/14/2008,7.4299,5/14/2008,3.0309,5/14/2008,3.7245,5/14/2008,10.8124,5/14/2008,3.7055,4/10/2013,12.9236,5/14/2008,3.7625,5/14/2008,24.7506,5/14/2008,15.3539,5/14/2008,2.1473,5/14/2008,6.5938,5/14/2008,9.3682,5/14/2008,3.3729,5/14/2008,4.6271,5/14/2008,14.8124,5/14/2008,8.10451,5/14/2008,3.82898,5/14/2008,10.45131,5/14/2008,4.53207,5/14/2008,5.36817,5/14/2008,22.09026,5/14/2008,6.07126
5/15/2008,60.2249,5/15/2008,6.1083,5/15/2008,56.4132,5/15/2008,46.8839,5/15/2008,24.4902,5/15/2008,5.8319,5/15/2008,12.2642,5/15/2008,7.0707,5/15/2008,18.1056,5/15/2008,6.2226,5/15/2008,12.6263,5/15/2008,21.9649,5/15/2008,14.0557,5/15/2008,5.0219,5/15/2008,4.6217,5/15/2008,3.0589,5/15/2008,2.2775,5/15/2008,7.166,5/15/2008,7.1184,5/15/2008,19.7256,5/15/2008,21.7267,5/15/2008,4.1833,5/15/2008,6.2035,5/15/2008,7.5853,5/15/2008,10.7109,5/15/2008,8.6526,5/15/2008,5.203,5/15/2008,5.8605,5/15/2008,13.0551,5/15/2008,6.9182,5/15/2008,7.2232,5/15/2008,5.7271,5/15/2008,3.2304,5/15/2008,34.9724,5/15/2008,7.7854,5/15/2008,4.3835,5/15/2008,18.4582,5/15/2008,52.7921,5/15/2008,3.6878,5/15/2008,7.5758,5/15/2008,3.097,5/15/2008,3.7069,5/15/2008,11.1492,5/15/2008,3.8022,4/11/2013,12.83,5/15/2008,3.9165,5/15/2008,25.9672,5/15/2008,15.7614,5/15/2008,2.2299,5/15/2008,6.4418,5/15/2008,9.1481,5/15/2008,3.4496,5/15/2008,4.7075,5/15/2008,14.9514,5/15/2008,8.32857,5/15/2008,3.90699,5/15/2008,10.83476,5/15/2008,4.55498,5/15/2008,5.32685,5/15/2008,20.05908,5/15/2008,6.17496
5/16/2008,60.9181,5/16/2008,6.3132,5/16/2008,58.031,5/16/2008,47.7336,5/16/2008,25.0217,5/16/2008,5.8224,5/16/2008,12.4531,5/16/2008,7.2948,5/16/2008,18.4775,5/16/2008,6.5634,5/16/2008,12.7418,5/16/2008,21.7977,5/16/2008,14.4837,5/16/2008,5.1872,5/16/2008,4.6675,5/16/2008,3.1662,5/16/2008,2.2904,5/16/2008,7.6412,5/16/2008,7.4006,5/16/2008,19.5361,5/16/2008,21.1241,5/16/2008,4.3499,5/16/2008,6.3228,5/16/2008,7.7856,5/16/2008,10.9807,5/16/2008,8.8442,5/16/2008,5.2642,5/16/2008,5.8993,5/16/2008,13.3096,5/16/2008,7.1312,5/16/2008,7.3621,5/16/2008,5.9763,5/16/2008,3.3298,5/16/2008,35.5115,5/16/2008,7.8048,5/16/2008,4.3788,5/16/2008,18.6315,5/16/2008,53.7003,5/16/2008,3.7244,5/16/2008,7.7952,5/16/2008,3.1277,5/16/2008,3.6859,5/16/2008,11.1058,5/16/2008,3.7821,4/12/2013,13.1643,5/16/2008,3.8302,5/16/2008,25.5028,5/16/2008,16.2833,5/16/2008,2.2231,5/16/2008,6.3613,5/16/2008,9.1618,5/16/2008,3.5704,5/16/2008,4.6386,5/16/2008,15.4942,5/16/2008,8.43037,5/16/2008,3.9361,5/16/2008,9.97979,5/16/2008,4.58089,5/16/2008,5.35078,5/16/2008,20.30603,5/16/2008,6.20729
