,7751 JP Equity,,6758 JP Equity,,6971 JP Equity,,6502 JP Equity,,6752 JP Equity,,7974 JP Equity,,4901 JP Equity,,3765 JP Equity,,9613 JP Equity,,6594 JP Equity,,7731 JP Equity,,7752 JP Equity,,8035 JP Equity,,6702 JP Equity,,4307 JP Equity,,6701 JP Equity,,6753 JP Equity,,4716 JP Equity,,6762 JP Equity,,6963 JP Equity,,4704 JP Equity,,4902 JP Equity,,7832 JP Equity,,4768 JP Equity,,6857 JP Equity,,6448 JP Equity,,8036 JP Equity,,9766 JP Equity,,3436 JP Equity,,4684 JP Equity,,6724 JP Equity,,6952 JP Equity,,4739 JP Equity,,5214 JP Equity,,4062 JP Equity,,9719 JP Equity,,6592 JP Equity,,6723 JP Equity,,6976 JP Equity,,6727 JP Equity,,6925 JP Equity,,3668 JP Equity,,6588 JP Equity,,6457 JP Equity,,6967 JP Equity,,6479 JP Equity,,6703 JP Equity,,3774 JP Equity,,6770 JP Equity,,7735 JP Equity,,3105 JP Equity,,9684 JP Equity,,4733 JP Equity,,6256 JP Equity,,6756 JP Equity,,1973 JP Equity,,7732 JP Equity,,9697 JP Equity,,2327 JP Equity,,3626 JP Equity
5/1/2008,50.1964,5/1/2008,45.7898,5/1/2008,91.0049,5/1/2008,8.1521,5/1/2008,23.9487,5/1/2008,536.4499,5/1/2008,39.6590,5/1/2008,31.8996,5/1/2008,4100.0096,5/1/2008,73.5703,5/1/2008,28.7384,5/1/2008,17.1760,5/1/2008,64.7572,5/1/2008,6.3608,5/1/2008,23.8529,5/1/2008,4.7035,5/1/2008,16.5916,5/1/2008,45.4067,5/1/2008,65.2361,5/1/2008,68.3016,5/1/2008,37.2641,5/1/2008,14.5799,5/1/2008,12.2138,5/1/2008,75.9651,5/1/2008,26.6788,5/1/2008,12.8269,5/1/2008,20.2606,5/1/2008,35.9230,5/1/2008,25.4335,5/1/2008,186.0331,5/1/2008,25.5293,5/1/2008,14.5512,5/1/2008,32.9534,5/1/2008,17.3676,5/1/2008,44.1613,5/1/2008,19.0631,5/1/2008,49.4300,5/1/2008,19.5900,5/1/2008,11.0451,5/1/2008,5.9632,5/1/2008,18.5171,12/12/2012,7.2176,5/1/2008,6.9547,5/1/2008,22.4638,5/1/2008,13.6603,5/1/2008,6.0734,5/1/2008,2.1841,5/1/2008,16.1414,5/1/2008,9.1388,5/1/2008,4.2437,5/1/2008,10.7865,5/1/2008,32.3786,5/1/2008,50.8669,5/1/2008,814.2542,5/1/2008,9.2825,5/1/2008,13.6795,5/1/2008,8.2192,5/1/2008,30.2711,5/1/2008,22.7512,5/1/2008,20.4043
5/2/2008,51.3210,5/2/2008,46.7592,5/2/2008,91.3325,5/2/2008,8.4680,5/2/2008,23.6647,5/2/2008,539.8213,5/2/2008,39.3461,5/2/2008,29.5571,5/2/2008,4143.6989,5/2/2008,76.0312,5/2/2008,29.4621,5/2/2008,17.0500,5/2/2008,64.8166,5/2/2008,6.5197,5/2/2008,22.6668,5/2/2008,4.8470,5/2/2008,16.9074,5/2/2008,45.7137,5/2/2008,67.1926,5/2/2008,68.9983,5/2/2008,37.9206,5/2/2008,15.1967,5/2/2008,13.5240,5/2/2008,76.5064,5/2/2008,27.6563,5/2/2008,12.8778,5/2/2008,20.9086,5/2/2008,36.1148,5/2/2008,25.7080,5/2/2008,183.5202,5/2/2008,24.7577,5/2/2008,13.5811,5/2/2008,35.8297,5/2/2008,17.8578,5/2/2008,45.2386,5/2/2008,19.0553,5/2/2008,49.8004,5/2/2008,19.8156,5/2/2008,11.2526,5/2/2008,6.1300,5/2/2008,19.1979,12/13/2012,11.1657,5/2/2008,6.9188,5/2/2008,22.1916,5/2/2008,15.0352,5/2/2008,6.1775,5/2/2008,2.1764,5/2/2008,16.4893,5/2/2008,9.2758,5/2/2008,4.3528,5/2/2008,10.9675,5/2/2008,32.9785,5/2/2008,50.3707,5/2/2008,804.9800,5/2/2008,9.3233,5/2/2008,13.9897,5/2/2008,8.6390,5/2/2008,31.5529,5/2/2008,23.1420,5/2/2008,20.1958
5/7/2008,51.9715,5/7/2008,47.0309,5/7/2008,91.1164,5/7/2008,8.4181,5/7/2008,23.4204,5/7/2008,555.8195,5/7/2008,39.2399,5/7/2008,32.8741,5/7/2008,4057.0071,5/7/2008,77.9097,5/7/2008,28.5986,5/7/2008,17.4157,5/7/2008,64.3230,5/7/2008,6.5843,5/7/2008,22.3278,5/7/2008,5.0831,5/7/2008,16.9786,5/7/2008,45.2257,5/7/2008,67.4584,5/7/2008,70.3088,5/7/2008,36.1045,5/7/2008,14.7268,5/7/2008,14.0238,5/7/2008,74.4893,5/7/2008,27.6485,5/7/2008,13.0641,5/7/2008,21.0926,5/7/2008,35.3444,5/7/2008,27.6485,5/7/2008,182.5178,5/7/2008,24.3706,5/7/2008,13.3967,5/7/2008,34.7744,5/7/2008,18.4513,5/7/2008,45.6057,5/7/2008,18.8884,5/7/2008,50.9264,5/7/2008,19.8100,5/7/2008,11.2114,5/7/2008,6.1520,5/7/2008,19.0499,12/14/2012,11.9832,5/7/2008,7.1259,5/7/2008,23.4204,5/7/2008,15.0119,5/7/2008,6.1948,5/7/2008,2.1378,5/7/2008,15.9145,5/7/2008,9.5107,5/7/2008,4.5321,5/7/2008,10.9169,5/7/2008,33.0641,5/7/2008,50.2613,5/7/2008,779.0974,5/7/2008,9.1687,5/7/2008,13.6437,5/7/2008,9.1687,5/7/2008,31.7340,5/7/2008,22.6128,5/7/2008,19.4299
5/8/2008,51.9981,5/8/2008,45.9316,5/8/2008,94.0780,5/8/2008,8.3101,5/8/2008,23.1103,5/8/2008,557.5349,5/8/2008,38.4208,5/8/2008,34.2802,5/8/2008,4034.6654,5/8/2008,77.5157,5/8/2008,28.2619,5/8/2008,18.2282,5/8/2008,66.1531,5/8/2008,6.6635,5/8/2008,23.0140,5/8/2008,5.0361,5/8/2008,16.9764,5/8/2008,45.4502,5/8/2008,69.9085,5/8/2008,74.0491,5/8/2008,36.2061,5/8/2008,14.5884,5/8/2008,14.1550,5/8/2008,72.5084,5/8/2008,28.1175,5/8/2008,13.1921,5/8/2008,21.5214,5/8/2008,35.1469,5/8/2008,26.8657,5/8/2008,179.3934,5/8/2008,24.2176,5/8/2008,13.7121,5/8/2008,34.6654,5/8/2008,18.5171,5/8/2008,47.3760,5/8/2008,19.1815,5/8/2008,51.9981,5/8/2008,20.2696,5/8/2008,11.3625,5/8/2008,6.5479,5/8/2008,18.9697,12/17/2012,12.1747,5/8/2008,7.1160,5/8/2008,23.5436,5/8/2008,15.4839,5/8/2008,6.1627,5/8/2008,2.2244,5/8/2008,16.1772,5/8/2008,9.5041,5/8/2008,4.7376,5/8/2008,11.2181,5/8/2008,32.6432,5/8/2008,50.2648,5/8/2008,794.4150,5/8/2008,9.3115,5/8/2008,13.9336,5/8/2008,9.5619,5/8/2008,31.9692,5/8/2008,22.2436,5/8/2008,20.7029
5/9/2008,51.0481,5/9/2008,44.8370,5/9/2008,92.6825,5/9/2008,8.3075,5/9/2008,22.4185,5/9/2008,559.0062,5/9/2008,38.2376,5/9/2008,33.2880,5/9/2008,4095.4969,5/9/2008,74.8253,5/9/2008,27.1254,5/9/2008,17.4592,5/9/2008,66.3820,5/9/2008,6.5023,5/9/2008,22.2244,5/9/2008,4.9689,5/9/2008,16.7411,5/9/2008,45.4193,5/9/2008,67.5466,5/9/2008,71.1374,5/9/2008,36.3936,5/9/2008,14.4701,5/9/2008,12.8882,5/9/2008,72.1079,5/9/2008,26.9313,5/9/2008,13.0920,5/9/2008,21.1568,5/9/2008,34.7438,5/9/2008,26.6401,5/9/2008,174.5924,5/9/2008,23.5831,5/9/2008,13.7034,5/9/2008,34.2585,5/9/2008,18.2065,5/9/2008,45.4193,5/9/2008,18.7209,5/9/2008,50.3688,5/9/2008,19.7496,5/9/2008,10.9181,5/9/2008,6.2112,5/9/2008,18.5365,12/18/2012,14.1481,5/9/2008,6.6188,5/9/2008,23.7287,5/9/2008,14.6254,5/9/2008,6.3568,5/9/2008,2.1739,5/9/2008,15.5765,5/9/2008,10.1417,5/9/2008,4.6875,5/9/2008,11.0248,5/9/2008,32.9969,5/9/2008,50.1747,5/9/2008,794.8370,5/9/2008,9.0256,5/9/2008,13.8975,5/9/2008,9.4721,5/9/2008,30.6677,5/9/2008,22.1273,5/9/2008,19.7496
5/12/2008,50.7330,5/12/2008,44.8495,5/12/2008,94.0394,5/12/2008,8.4587,5/12/2008,22.5694,5/12/2008,553.6265,5/12/2008,37.8086,5/12/2008,37.9051,5/12/2008,4301.6975,5/12/2008,76.6782,5/12/2008,27.3438,5/12/2008,17.1296,5/12/2008,66.7438,5/12/2008,6.5876,5/12/2008,22.3283,5/12/2008,5.0347,5/12/2008,16.9560,5/12/2008,45.5247,5/12/2008,68.6728,5/12/2008,63.6574,5/12/2008,35.9761,5/12/2008,16.1265,5/12/2008,12.6640,5/12/2008,72.8202,5/12/2008,27.0062,5/12/2008,13.1173,5/12/2008,21.3156,5/12/2008,35.2045,5/12/2008,26.4757,5/12/2008,175.8295,5/12/2008,23.6786,5/12/2008,13.8310,5/12/2008,34.7222,5/12/2008,18.0363,5/12/2008,45.7176,5/12/2008,18.6921,5/12/2008,51.0224,5/12/2008,19.7724,5/12/2008,11.1690,5/12/2008,6.3899,5/12/2008,18.5089,12/19/2012,12.9086,5/12/2008,6.6937,5/12/2008,23.5822,5/12/2008,14.9595,5/12/2008,6.2211,5/12/2008,2.1509,5/12/2008,15.4321,5/12/2008,10.5421,5/12/2008,4.5332,5/12/2008,11.0050,5/12/2008,33.3719,5/12/2008,50.6366,5/12/2008,810.1852,5/12/2008,8.8735,5/12/2008,13.8214,5/12/2008,9.4522,5/12/2008,30.9607,5/12/2008,22.1354,5/12/2008,20.7369
5/13/2008,51.7456,5/13/2008,45.8154,5/13/2008,94.5959,5/13/2008,8.6083,5/13/2008,22.8121,5/13/2008,553.8020,5/13/2008,38.4505,5/13/2008,38.0679,5/13/2008,4304.1607,5/13/2008,74.1272,5/13/2008,30.5117,5/13/2008,17.5514,5/13/2008,65.3276,5/13/2008,7.3936,5/13/2008,22.1425,5/13/2008,4.9737,5/13/2008,17.0827,5/13/2008,44.6676,5/13/2008,69.6318,5/13/2008,64.4668,5/13/2008,35.1985,5/13/2008,16.8532,5/13/2008,12.6925,5/13/2008,72.9794,5/13/2008,26.8293,5/13/2008,13.2568,5/13/2008,20.7078,5/13/2008,35.9637,5/13/2008,26.3032,5/13/2008,173.6012,5/13/2008,24.1511,5/13/2008,13.8881,5/13/2008,34.8159,5/13/2008,18.2401,5/13/2008,45.3372,5/13/2008,18.9383,5/13/2008,51.6499,5/13/2008,19.7991,5/13/2008,11.0378,5/13/2008,6.3845,5/13/2008,18.1253,12/20/2012,12.0731,5/13/2008,6.7528,5/13/2008,23.5294,5/13/2008,14.6915,5/13/2008,6.1597,5/13/2008,2.1330,5/13/2008,16.0210,5/13/2008,10.5213,5/13/2008,4.4572,5/13/2008,10.9613,5/13/2008,33.2855,5/13/2008,49.3544,5/13/2008,813.0081,5/13/2008,8.8761,5/13/2008,13.9837,5/13/2008,9.7178,5/13/2008,30.7030,5/13/2008,22.2382,5/13/2008,20.5643
5/14/2008,52.5416,5/14/2008,46.0808,5/14/2008,95.6770,5/14/2008,8.4086,5/14/2008,22.0903,5/14/2008,554.8694,5/14/2008,37.8147,5/14/2008,37.7197,5/14/2008,4247.0309,5/14/2008,73.7292,5/14/2008,30.9739,5/14/2008,17.3112,5/14/2008,64.0380,5/14/2008,7.2969,5/14/2008,23.2304,5/14/2008,4.9881,5/14/2008,16.7981,5/14/2008,44.2755,5/14/2008,69.0736,5/14/2008,64.0380,5/14/2008,35.5344,5/14/2008,16.8646,5/14/2008,13.0641,5/14/2008,70.6888,5/14/2008,26.8409,5/14/2008,13.6627,5/14/2008,21.5677,5/14/2008,36.9596,5/14/2008,27.4109,5/14/2008,171.6865,5/14/2008,24.3230,5/14/2008,13.7672,5/14/2008,32.5891,5/14/2008,17.9287,5/14/2008,46.3658,5/14/2008,19.1449,5/14/2008,52.3515,5/14/2008,20.6651,5/14/2008,11.1734,5/14/2008,6.2233,5/14/2008,17.6437,12/21/2012,12.3574,5/14/2008,6.7934,5/14/2008,23.5630,5/14/2008,14.4798,5/14/2008,6.0238,5/14/2008,2.1188,5/14/2008,16.1520,5/14/2008,10.7078,5/14/2008,4.5606,5/14/2008,11.6770,5/14/2008,32.7791,5/14/2008,49.5012,5/14/2008,805.7007,5/14/2008,9.0831,5/14/2008,14.0238,5/14/2008,10.4418,5/14/2008,29.9287,5/14/2008,22.2803,5/14/2008,21.2352
5/15/2008,53.2685,5/15/2008,50.2192,5/15/2008,96.7219,5/15/2008,8.4048,5/15/2008,22.2985,5/15/2008,562.2260,5/15/2008,37.0688,5/15/2008,35.2582,5/15/2008,4297.6939,5/15/2008,72.8988,5/15/2008,31.0654,5/15/2008,17.6005,5/15/2008,64.9895,5/15/2008,7.4328,5/15/2008,23.8231,5/15/2008,5.2506,5/15/2008,17.2289,5/15/2008,44.5969,5/15/2008,69.0871,5/15/2008,64.9895,5/15/2008,35.9253,5/15/2008,17.6958,5/15/2008,13.2743,5/15/2008,71.7553,5/15/2008,27.1584,5/15/2008,13.8555,5/15/2008,21.9649,5/15/2008,35.6394,5/15/2008,28.3019,5/15/2008,175.6242,5/15/2008,24.6331,5/15/2008,13.9222,5/15/2008,33.0665,5/15/2008,18.3438,5/15/2008,46.5028,5/15/2008,19.4873,5/15/2008,53.5544,5/15/2008,23.5849,5/15/2008,11.6733,5/15/2008,6.1464,5/15/2008,17.7625,12/25/2012,12.6313,5/15/2008,6.8706,5/15/2008,23.4420,5/15/2008,14.7036,5/15/2008,6.0416,5/15/2008,2.1250,5/15/2008,16.3903,5/15/2008,10.7395,5/15/2008,4.7456,5/15/2008,11.7782,5/15/2008,32.1136,5/15/2008,50.2192,5/15/2008,903.3734,5/15/2008,9.8151,5/15/2008,14.1033,5/15/2008,10.4250,5/15/2008,29.2548,5/15/2008,21.2979,5/15/2008,21.4408
5/16/2008,53.6041,5/16/2008,49.6584,5/16/2008,97.9694,5/16/2008,8.4111,5/16/2008,22.8563,5/16/2008,577.4228,5/16/2008,37.7250,5/16/2008,33.5868,5/16/2008,4253.6811,5/16/2008,73.8139,5/16/2008,30.7959,5/16/2008,17.7461,5/16/2008,65.4413,5/16/2008,7.6412,5/16/2008,23.7706,5/16/2008,5.1776,5/16/2008,17.3997,5/16/2008,44.8465,5/16/2008,69.2907,5/16/2008,64.4789,5/16/2008,36.0889,5/16/2008,17.5152,5/16/2008,13.4443,5/16/2008,71.7929,5/16/2008,27.5719,5/16/2008,13.8197,5/16/2008,21.5571,5/16/2008,38.0137,5/16/2008,27.0908,5/16/2008,176.2102,5/16/2008,24.4924,5/16/2008,13.6753,5/16/2008,33.9717,5/16/2008,18.8240,5/16/2008,47.2524,5/16/2008,19.2955,5/16/2008,53.5078,5/16/2008,22.6638,5/16/2008,11.8949,5/16/2008,6.1351,5/16/2008,17.5152,12/26/2012,12.9032,5/16/2008,6.8521,5/16/2008,23.9630,5/16/2008,14.9264,5/16/2008,6.1303,5/16/2008,2.1461,5/16/2008,16.5528,5/16/2008,10.9229,5/16/2008,4.8792,5/16/2008,11.9912,5/16/2008,31.6620,5/16/2008,49.4659,5/16/2008,856.5104,5/16/2008,9.8643,5/16/2008,14.0506,5/16/2008,10.1530,5/16/2008,29.7373,5/16/2008,21.9421,5/16/2008,21.1241
