,9531 JP Equity,,9503 JP Equity,,9502 JP Equity,,9501 JP Equity,,9532 JP Equity,,9508 JP Equity,,9506 JP Equity,,9504 JP Equity,,9513 JP Equity,,9507 JP Equity,,9505 JP Equity,,9509 JP Equity,,9533 JP Equity,,8088 JP Equity,,9536 JP Equity,,9793 JP Equity,,9511 JP Equity,,8174 JP Equity,,9543 JP Equity,,6332 JP Equity,,9539 JP Equity,,9534 JP Equity,,9535 JP Equity,,7568 JP Equity,,9537 JP Equity,,9540 JP Equity,,2766 JP Equity,,3361 JP Equity,,9541 JP Equity,,9818 JP Equity,,1981 JP Equity,,1783 JP Equity,,9542 JP Equity,,1875 JP Equity,,1844 JP Equity,,9544 JP Equity
5/1/2008,3.7743,5/1/2008,23.1823,5/1/2008,22.7512,5/1/2008,24.8108,5/1/2008,3.4869,5/1/2008,22.2723,5/1/2008,22.6075,5/1/2008,21.4101,5/1/2008,36.4978,5/1/2008,28.2594,5/1/2008,23.5176,5/1/2008,20.8353,5/1/2008,4.7035,5/1/2008,2.9122,5/1/2008,2.4044,5/1/2008,29.8879,5/1/2008,41.6707,5/1/2008,11.5241,5/1/2008,5.8722,5/1/2008,7.9605,5/8/2008,4.728,5/1/2008,2.4332,5/1/2008,2.8068,5/19/2008,6.1334,5/2/2008,2.8512,5/1/2008,2.5865,5/1/2008,4061.6917,5/1/2008,2.1266,5/1/2008,6.514,5/1/2008,6.0063,5/7/2008,3.734,5/1/2008,1.1495,5/12/2008,3.8194,5/1/2008,2.8738,5/1/2008,0.182,5/1/2008,3.3528
5/2/2008,3.7731,5/2/2008,23.1895,5/2/2008,23.142,5/2/2008,25.1378,5/2/2008,3.545,5/2/2008,22.2866,5/2/2008,22.6668,5/2/2008,21.7639,5/2/2008,36.7801,5/2/2008,28.8919,5/2/2008,23.6647,5/2/2008,20.9561,5/2/2008,4.809,5/2/2008,2.9652,5/2/2008,2.471,5/2/2008,31.648,5/2/2008,44.0981,5/2/2008,11.4902,5/2/2008,5.997,5/2/2008,8.0973,5/9/2008,4.5808,5/2/2008,2.433,5/2/2008,3.0888,5/23/2008,6.5004,5/7/2008,2.8979,5/2/2008,2.5185,5/2/2008,4010.6444,5/2/2008,2.1004,5/2/2008,6.6052,5/2/2008,6.0065,5/19/2008,3.7317,5/2/2008,1.1405,5/16/2008,3.7533,5/2/2008,2.8512,5/2/2008,0.1901,5/9/2008,3.3967
5/7/2008,3.8195,5/7/2008,23.4679,5/7/2008,23.563,5/7/2008,25.6532,5/7/2008,3.5915,5/7/2008,22.4703,5/7/2008,22.7078,5/7/2008,22.2328,5/7/2008,38.5748,5/7/2008,29.2637,5/7/2008,23.753,5/7/2008,21.1401,5/7/2008,5.0926,5/7/2008,3.0879,5/7/2008,2.4608,5/7/2008,31.1639,5/7/2008,44.4656,5/7/2008,11.3634,5/7/2008,5.8432,5/7/2008,8.2375,5/12/2008,4.5814,5/7/2008,2.4703,5/7/2008,2.8979,5/26/2008,6.4747,5/9/2008,2.9115,5/7/2008,2.5178,5/7/2008,4161.5202,5/7/2008,2.1188,5/7/2008,6.6508,5/7/2008,5.7387,5/23/2008,3.7838,5/7/2008,1.1401,5/20/2008,3.7605,5/7/2008,2.8979,5/7/2008,0.19,5/15/2008,3.3829
5/8/2008,3.8517,5/8/2008,23.3510,5/8/2008,23.5917,5/8/2008,25.1806,5/8/2008,3.5051,5/8/2008,22.3399,5/8/2008,22.6769,5/8/2008,22.3399,5/8/2008,38.4208,5/8/2008,28.8878,5/8/2008,23.8806,5/8/2008,21.2807,5/8/2008,5.1131,5/8/2008,3.091,5/8/2008,2.4844,5/8/2008,31.6803,5/8/2008,45.1613,5/8/2008,11.4685,5/8/2008,5.8931,5/8/2008,8.2908,5/13/2008,4.5433,5/8/2008,2.494,5/8/2008,2.908,5/30/2008,6.4443,5/14/2008,2.8504,5/9/2008,2.5621,5/8/2008,4323.5436,5/8/2008,2.1377,5/9/2008,6.7353,5/8/2008,5.7776,5/29/2008,3.7391,5/8/2008,1.1555,5/23/2008,3.6771,5/8/2008,2.9369,5/8/2008,0.1926,5/23/2008,3.3958
5/9/2008,3.8626,5/9/2008,23.4860,5/9/2008,23.5346,5/9/2008,25.3785,5/9/2008,3.5423,5/9/2008,22.3214,5/9/2008,22.6126,5/9/2008,22.3214,5/9/2008,37.9464,5/9/2008,29.1149,5/9/2008,23.9713,5/9/2008,21.3995,5/9/2008,5.066,5/9/2008,3.0862,5/9/2008,2.4262,5/9/2008,31.6382,5/9/2008,45.1281,5/9/2008,11.4422,5/9/2008,5.2116,5/9/2008,8.2201,5/14/2008,4.5606,5/9/2008,2.4651,5/12/2008,3.0864,6/2/2008,6.5726,5/15/2008,2.9064,5/14/2008,2.3943,5/9/2008,4386.646,5/9/2008,2.1448,5/12/2008,6.6937,5/9/2008,5.8036,5/30/2008,3.8855,5/9/2008,1.1646,5/26/2008,3.6625,5/9/2008,2.96,5/9/2008,0.1844,5/30/2008,3.3074
5/12/2008,3.7809,5/12/2008,23.2928,5/12/2008,23.0035,5/12/2008,24.8843,5/12/2008,3.5205,5/12/2008,21.9425,5/12/2008,22.3283,5/12/2008,21.9425,5/12/2008,36.2654,5/12/2008,28.887,5/12/2008,23.5822,5/12/2008,21.1709,5/12/2008,4.919,5/12/2008,3.1443,5/12/2008,2.363,5/12/2008,31.9252,5/12/2008,43.7886,5/12/2008,11.2461,5/12/2008,4.9479,5/12/2008,8.1308,5/15/2008,4.7551,5/12/2008,2.4402,5/14/2008,3.0974,6/3/2008,6.5571,5/16/2008,2.9352,5/15/2008,2.5157,5/12/2008,4214.892,5/12/2008,2.1123,5/16/2008,6.7847,5/12/2008,5.9703,6/6/2008,3.871,5/12/2008,1.061,5/27/2008,3.6414,5/12/2008,2.9417,5/12/2008,0.1833,6/6/2008,3.3302
5/13/2008,3.7972,5/13/2008,23.0512,5/13/2008,22.8599,5/13/2008,25.012,5/13/2008,3.4816,5/13/2008,21.7599,5/13/2008,22.1425,5/13/2008,21.7599,5/13/2008,36.4419,5/13/2008,28.6466,5/13/2008,23.3859,5/13/2008,20.9469,5/13/2008,4.945,5/13/2008,3.1086,5/13/2008,2.3434,5/13/2008,31.7551,5/13/2008,45.3372,5/13/2008,11.1047,5/13/2008,5.0311,5/13/2008,7.9866,5/16/2008,4.8022,5/13/2008,2.4103,5/15/2008,3.0494,6/10/2008,6.3135,5/19/2008,2.8897,5/16/2008,2.5022,5/13/2008,4361.5495,5/13/2008,2.1138,5/21/2008,7.06,5/13/2008,5.9206,6/10/2008,3.7303,5/13/2008,1.0521,6/2/2008,3.4926,5/13/2008,2.9173,5/13/2008,0.1913,6/11/2008,3.2729
5/14/2008,3.8955,5/14/2008,22.8029,5/14/2008,22.7078,5/14/2008,24.5131,5/14/2008,3.6295,5/14/2008,21.7102,5/14/2008,21.8052,5/14/2008,21.5677,5/14/2008,36.5796,5/14/2008,28.5036,5/14/2008,23.2304,5/14/2008,20.6176,5/14/2008,5.0356,5/14/2008,3.1829,5/14/2008,2.3753,5/14/2008,32.114,5/14/2008,47.886,5/14/2008,11.3634,5/14/2008,5.0166,5/14/2008,8.19,5/19/2008,4.8799,5/14/2008,2.4228,5/16/2008,3.0315,6/11/2008,6.0875,5/20/2008,2.9505,5/19/2008,2.4782,5/14/2008,4389.5487,5/14/2008,2.0998,5/22/2008,6.9493,5/14/2008,6.0618,6/13/2008,3.797,5/14/2008,1.0451,6/3/2008,3.4496,5/14/2008,2.9454,5/14/2008,0.209,6/12/2008,3.1583
5/15/2008,3.9642,5/15/2008,22.7273,5/15/2008,22.7273,5/15/2008,25.1572,5/15/2008,3.6592,5/15/2008,21.7744,5/15/2008,21.6791,5/15/2008,21.822,5/15/2008,37.45,5/15/2008,28.7784,5/15/2008,23.7755,5/15/2008,20.3926,5/15/2008,5.2506,5/15/2008,3.2209,5/15/2008,2.449,5/15/2008,31.6371,5/15/2008,48.218,5/15/2008,11.4256,5/15/2008,5.3554,5/15/2008,8.4239,5/20/2008,4.9176,5/15/2008,2.449,5/19/2008,3.0619,6/17/2008,6.03,5/21/2008,2.9594,5/21/2008,2.5048,5/15/2008,4173.8136,5/15/2008,2.0964,5/23/2008,7.0147,5/15/2008,6.0987,6/17/2008,3.7514,5/15/2008,1.0482,6/4/2008,3.3658,5/15/2008,2.9541,5/15/2008,0.2001,6/13/2008,3.1858
5/16/2008,3.9457,5/16/2008,22.9526,5/16/2008,22.8563,5/16/2008,24.9254,5/16/2008,3.7148,5/16/2008,21.7977,5/16/2008,21.8458,5/16/2008,21.8458,5/16/2008,37.9174,5/16/2008,28.9674,5/16/2008,23.8187,5/16/2008,20.4504,5/16/2008,5.3412,5/16/2008,3.2432,5/16/2008,2.4733,5/16/2008,30.9884,5/16/2008,49.1772,5/16/2008,11.279,5/16/2008,5.2257,5/16/2008,8.3053,5/21/2008,4.9323,5/16/2008,2.4444,5/20/2008,3.1723,6/20/2008,6.2494,5/23/2008,2.9592,5/22/2008,2.499,5/16/2008,4176.6914,5/16/2008,2.0884,5/26/2008,6.9579,5/16/2008,6.1592,6/19/2008,3.751,5/16/2008,0.9624,6/5/2008,3.3623,5/16/2008,2.993,5/16/2008,0.2021,6/17/2008,3.2049
