1995Jan-2013June,,,,,,,,,,
=========================================== ,,,,,,,,,,
price1.zoo = price1.zoo.l1 + factor1.zoo.l1 + factor2.zoo.l1 + factor3.zoo.l1 + factor4.zoo.l1 + factor5.zoo.l1 + factor6.zoo.l1 + const + trend ,,,,,,,,,,
,,,,,,,,,,
,Estimate,Std. Error,t value,Pr(>|t|),,,,,,
price1.zoo.l1,0.92,0.05,19.01,<2e-16,***,TPTRAN Index,,,,
factor1.zoo.l1,0.02,0.04,0.47,0.64,,USDJPY Curncy,,,,
factor2.zoo.l1,-0.09,0.08,-1.24,0.22,,USGG10YR Index,,,,
factor3.zoo.l1,0.1,0.07,1.35,0.18,,GJGB10 Index,,,,
factor4.zoo.l1,-0.06,0.05,-1.41,0.16,,GJGB2 Index,,,,
factor5.zoo.l1,-0.01,0.03,-0.53,0.59,,M2% YOY Index,,,,
factor6.zoo.l1,-0.06,0.03,-2.07,0.04,*,JMNSM2Y Index,,,,
const,0,0.17,-0.02,0.98,,,,,,
trend,0,0,0.13,0.89,,,,,,
---,,,,,,,,,,
Signif. codes:  0 ‘***’ 0.001 ‘**’ 0.01 ‘*’ 0.05 ‘.’ 0.1 ‘ ’ 1 ,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Residual standard error: 0.262 on 148 degrees of freedom,,,,,,,,,,
"Multiple R-Squared: 0.935,      Adjusted R-squared: 0.931 ",,,,,,,,,,
"F-statistic:  265 on 8 and 148 DF,  p-value: <2e-16 ",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
1995Jan-2013June,,,,,,,,,,
=========================================== ,,,,,,,,,,
price1.zoo = price1.zoo.l1 + factor1.zoo.l1 + factor2.zoo.l1 + factor3.zoo.l1 + factor4.zoo.l1 + factor5.zoo.l1 + factor6.zoo.l1 + factor7.zoo.l1 + const + trend ,,,,,,,,,,
,,,,,,,,,,
,Estimate,Std. Error,t value,Pr(>|t|),,,,,,
price1.zoo.l1,0.948712,0.045897,20.67,<2e-16,***,TPTRAN Index,,,,
factor1.zoo.l1,0.011742,0.034949,0.34,0.737,,USDJPY Curncy,,,,
factor2.zoo.l1,-0.115555,0.068807,-1.68,0.095,.,USGG10YR Index,,,,
factor3.zoo.l1,0.085655,0.0691,1.24,0.217,,GJGB10 Index,,,,
factor4.zoo.l1,-0.047088,0.043122,-1.09,0.277,,GJGB2 Index,,,,
factor5.zoo.l1,-0.00177,0.027024,-0.07,0.948,,M2% YOY Index,,,,
factor6.zoo.l1,-0.041603,0.027108,-1.53,0.127,,JMNSM2Y Index,,,,
factor7.zoo.l1,0.000447,0.018237,0.02,0.98,,JNTBYOY Index,,,,
const,0.059999,0.162097,0.37,0.712,,,,,,
trend,-0.000471,0.002004,-0.23,0.815,,,,,,
---,,,,,,,,,,
Signif. codes:  0 ‘***’ 0.001 ‘**’ 0.01 ‘*’ 0.05 ‘.’ 0.1 ‘ ’ 1 ,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
2002Jan-2013June,,,,,,,,,,
=========================================== ,,,,,,,,,,
price1.zoo = price1.zoo.l1 + factor1.zoo.l1 + factor2.zoo.l1 + factor3.zoo.l1 + factor4.zoo.l1 + factor5.zoo.l1 + factor8.zoo.l1 + const + trend ,,,,,,,,,,
,,,,,,,,,,
,Estimate,Std. Error,t value,Pr(>|t|),,,,,,
price1.zoo.l1,0.996012,0.084704,11.76,<2e-16,***,,,,,
factor1.zoo.l1,0.160734,0.087174,1.84,0.069,.,,,,,
factor2.zoo.l1,-0.132429,0.138668,-0.96,0.342,,,,,,
factor3.zoo.l1,0.117909,0.146846,0.8,0.424,,,,,,
factor4.zoo.l1,-0.166107,0.086909,-1.91,0.059,.,,,,,
factor5.zoo.l1,0.000416,0.034334,0.01,0.99,,,,,,
factor8.zoo.l1,0.003738,0.047654,0.08,0.938,,,,,,
