Date,USDJPY Curncy,Date,USGG10YR Index,Date,GJGB10 Index,Date,GJGB2 Index,Date,M2% YOY Index,Date,JMNSM2Y Index,Date,JNTBYOY Index,,USGGBE05 Index
1/31/1995,99.55,1/31/1995,7.581,1/31/1995,4.629,1/31/1995,2.713,1/31/1995,0.5,1/31/1995,3.1,1/31/1995,-59.5,1/31/2002,1.2972
2/28/1995,96.69,2/28/1995,7.201,2/28/1995,4.39,2/28/1995,2.538,2/28/1995,0.4,2/28/1995,3.6,2/28/1995,-5.2,2/28/2002,1.3964
3/31/1995,86.55,3/31/1995,7.196,3/31/1995,3.678,3/31/1995,2.03,3/31/1995,0.3,3/31/1995,3.5,3/31/1995,-11.4,3/29/2002,1.8872
4/28/1995,84.34,4/28/1995,7.055,4/28/1995,3.475,4/28/1995,1.809,4/30/1995,0.4,4/30/1995,3.1,4/30/1995,-19.8,4/30/2002,1.8789
5/31/1995,84.62,5/31/1995,6.284,5/31/1995,2.865,5/31/1995,1.123,5/31/1995,0.9,5/31/1995,3.1,5/31/1995,-13,5/31/2002,1.923
6/30/1995,84.63,6/30/1995,6.203,6/30/1995,2.785,6/30/1995,1.179,6/30/1995,1.9,6/30/1995,3.1,6/30/1995,-16.3,6/28/2002,1.6023
7/31/1995,88.45,7/31/1995,6.426,7/31/1995,3.025,7/31/1995,0.916,7/31/1995,2.2,7/31/1995,2.7,7/31/1995,-33.6,7/31/2002,1.3724
8/31/1995,97.46,8/31/1995,6.284,8/31/1995,3.265,8/31/1995,1.019,8/31/1995,2.9,8/31/1995,2.7,8/31/1995,-11.5,8/30/2002,1.5206
9/29/1995,99.73,9/29/1995,6.182,9/29/1995,2.855,9/29/1995,0.657,9/30/1995,3.3,9/30/1995,2.6,9/30/1995,-5.7,9/30/2002,1.3329
10/31/1995,101.96,10/31/1995,6.02,10/31/1995,2.96,10/31/1995,0.583,10/31/1995,3.7,10/31/1995,2.4,10/31/1995,-41,10/31/2002,1.1959
11/30/1995,102.04,11/30/1995,5.741,11/30/1995,2.875,11/30/1995,0.366,11/30/1995,3.8,11/30/1995,3.3,11/30/1995,-19.1,11/29/2002,1.4455
12/29/1995,103.52,12/29/1995,5.572,12/29/1995,3.07,12/29/1995,0.799,12/31/1995,4.1,12/31/1995,3.2,12/31/1995,-14.6,12/31/2002,1.4835
1/31/1996,107.05,1/31/1996,5.58,1/31/1996,3.25,1/31/1996,0.934,1/31/1996,4.4,1/31/1996,3.1,1/31/1996,-77.1,1/31/2003,1.7493
2/29/1996,105.23,2/29/1996,6.098,2/29/1996,3.495,2/29/1996,1.378,2/29/1996,4.9,2/29/1996,2.8,2/29/1996,-42.5,2/28/2003,2.1192
