Date,USGG10YR Index,,USGGBE10 Index,,USGG5YR Index,,USGGBE05 Index,Date,GJGB10 Index,Date,GJGB2 Index,,GJGB5 Index,,JYGGBE05 Index,,USDJPY Curncy
6/30/2009,3.5326,6/30/2009,1.767,6/30/2009,2.5546,6/30/2009,1.3654,6/30/2009,1.359,6/30/2009,0.32,6/30/2009,0.725,6/30/2009,-1.906,6/30/2009,96.36
7/1/2009,3.5365,7/1/2009,1.7358,7/1/2009,2.5078,7/1/2009,1.3503,7/1/2009,1.35,7/1/2009,0.301,7/1/2009,0.71,7/1/2009,-1.844,7/1/2009,96.66
7/2/2009,3.4946,7/2/2009,1.6517,7/2/2009,2.4208,7/2/2009,1.2774,7/2/2009,1.358,7/2/2009,0.284,7/2/2009,0.7,7/2/2009,-1.782,7/2/2009,95.95
7/3/2009,3.4985,7/3/2009,1.6557,7/3/2009,2.424,7/3/2009,1.2812,7/3/2009,1.33,7/3/2009,0.265,7/3/2009,0.68,7/3/2009,-1.724,7/3/2009,96.04
7/6/2009,3.5063,7/6/2009,1.6209,7/6/2009,2.3873,7/6/2009,1.2024,7/6/2009,1.311,7/6/2009,0.264,7/6/2009,0.675,7/6/2009,-1.539,7/6/2009,95.35
7/7/2009,3.4544,7/7/2009,1.621,7/7/2009,2.354,7/7/2009,1.2079,7/7/2009,1.315,7/7/2009,0.268,7/7/2009,0.69,7/7/2009,-1.365,7/7/2009,94.9
7/8/2009,3.3081,7/8/2009,1.536,7/8/2009,2.2314,7/8/2009,1.0998,7/8/2009,1.295,7/8/2009,0.264,7/8/2009,0.678,7/8/2009,-1.402,7/8/2009,92.88
7/9/2009,3.403,7/9/2009,1.5505,7/9/2009,2.3172,7/9/2009,1.0961,7/9/2009,1.301,7/9/2009,0.25,7/9/2009,0.674,7/9/2009,-1.555,7/9/2009,93
7/10/2009,3.3026,7/10/2009,1.5169,7/10/2009,2.2173,7/10/2009,1.0601,7/10/2009,1.305,7/10/2009,0.248,7/10/2009,0.67,7/10/2009,-1.571,7/10/2009,92.55
7/13/2009,3.35,7/13/2009,1.5266,7/13/2009,2.2568,7/13/2009,1.0681,7/13/2009,1.309,7/13/2009,0.252,7/13/2009,0.67,7/13/2009,-1.568,7/13/2009,92.97
7/14/2009,3.4703,7/14/2009,1.6419,7/14/2009,2.353,7/14/2009,1.1423,7/14/2009,1.344,7/14/2009,0.259,7/14/2009,0.689,7/14/2009,-1.553,7/14/2009,93.51
7/15/2009,3.6038,7/15/2009,1.7634,7/15/2009,2.5068,7/15/2009,1.2431,7/15/2009,1.339,7/15/2009,0.267,7/15/2009,0.68,7/15/2009,-1.52,7/15/2009,94.23
7/16/2009,3.5689,7/16/2009,1.7765,7/16/2009,2.4463,7/16/2009,1.2782,7/16/2009,1.344,7/16/2009,0.27,7/16/2009,0.68,7/16/2009,-1.51,7/16/2009,93.93
7/17/2009,3.6433,7/17/2009,1.8594,7/17/2009,2.4965,7/17/2009,1.3593,7/17/2009,1.325,7/17/2009,0.269,7/17/2009,0.675,7/17/2009,-1.433,7/17/2009,94.2
7/20/2009,3.6063,7/20/2009,1.8855,7/20/2009,2.456,7/20/2009,1.3844,7/20/2009,1.325,7/20/2009,0.267,7/20/2009,0.71,7/20/2009,-1.398,7/20/2009,94.19
7/21/2009,3.4824,7/21/2009,1.787,7/21/2009,2.3386,7/21/2009,1.302,7/21/2009,1.37,7/21/2009,0.279,7/21/2009,0.7,7/21/2009,-1.39,7/21/2009,93.75
7/22/2009,3.5443,7/22/2009,1.8168,7/22/2009,2.3954,7/22/2009,1.3048,7/22/2009,1.391,7/22/2009,0.285,7/22/2009,0.715,7/22/2009,-1.377,7/22/2009,93.68
7/23/2009,3.6555,7/23/2009,1.9042,7/23/2009,2.5299,7/23/2009,1.3618,7/23/2009,1.391,7/23/2009,0.284,7/23/2009,0.701,7/23/2009,-1.403,7/23/2009,94.93
7/24/2009,3.6578,7/24/2009,1.881,7/24/2009,2.5298,7/24/2009,1.3391,7/24/2009,1.383,7/24/2009,0.276,7/24/2009,0.685,7/24/2009,-1.427,7/24/2009,94.79
7/27/2009,3.7189,7/27/2009,1.8942,7/27/2009,2.5874,7/27/2009,1.3624,7/27/2009,1.397,7/27/2009,0.271,7/27/2009,0.68,7/27/2009,-1.343,7/27/2009,95.19
7/28/2009,3.6856,7/28/2009,1.8488,7/28/2009,2.6009,7/28/2009,1.3294,7/28/2009,1.396,7/28/2009,0.27,7/28/2009,0.679,7/28/2009,-1.301,7/28/2009,94.55
7/29/2009,3.6582,7/29/2009,1.8369,7/29/2009,2.6316,7/29/2009,1.3416,7/29/2009,1.382,7/29/2009,0.274,7/29/2009,0.686,7/29/2009,-1.284,7/29/2009,94.99
7/30/2009,3.6074,7/30/2009,1.8768,7/30/2009,2.625,7/30/2009,1.3336,7/30/2009,1.396,7/30/2009,0.275,7/30/2009,0.692,7/30/2009,-1.268,7/30/2009,95.56
7/31/2009,3.4796,7/31/2009,1.7728,7/31/2009,2.5144,7/31/2009,1.2756,7/31/2009,1.419,7/31/2009,0.285,7/31/2009,0.714,7/31/2009,-1.256,7/31/2009,94.68
8/3/2009,3.6333,8/3/2009,1.8721,8/3/2009,2.662,8/3/2009,1.3436,8/3/2009,1.445,8/3/2009,0.286,8/3/2009,0.73,8/3/2009,-1.261,8/3/2009,95.27
8/4/2009,3.6845,8/4/2009,1.8754,8/4/2009,2.6957,8/4/2009,1.3796,8/4/2009,1.459,8/4/2009,0.281,8/4/2009,0.725,8/4/2009,-1.345,8/4/2009,95.23
8/5/2009,3.7459,8/5/2009,1.9333,8/5/2009,2.7194,8/5/2009,1.381,8/5/2009,1.44,8/5/2009,0.275,8/5/2009,0.716,8/5/2009,-1.423,8/5/2009,94.97
8/6/2009,3.7501,8/6/2009,1.9151,8/6/2009,2.7059,8/6/2009,1.3429,8/6/2009,1.445,8/6/2009,0.275,8/6/2009,0.725,8/6/2009,-1.615,8/6/2009,95.46
8/7/2009,3.8502,8/7/2009,2.0101,8/7/2009,2.8181,8/7/2009,1.4113,8/7/2009,1.44,8/7/2009,0.273,8/7/2009,0.724,8/7/2009,-1.583,8/7/2009,97.57
8/10/2009,3.7765,8/10/2009,1.9588,8/10/2009,2.7467,8/10/2009,1.3913,8/10/2009,1.464,8/10/2009,0.28,8/10/2009,0.749,8/10/2009,-1.558,8/10/2009,97.15
8/11/2009,3.6677,8/11/2009,1.8948,8/11/2009,2.6654,8/11/2009,1.3367,8/11/2009,1.455,8/11/2009,0.28,8/11/2009,0.75,8/11/2009,-1.529,8/11/2009,96
8/12/2009,3.7172,8/12/2009,1.8979,8/12/2009,2.6756,8/12/2009,1.2991,8/12/2009,1.425,8/12/2009,0.275,8/12/2009,0.729,8/12/2009,-1.571,8/12/2009,96.06
8/13/2009,3.595,8/13/2009,1.8093,8/13/2009,2.554,8/13/2009,1.1876,8/13/2009,1.416,8/13/2009,0.275,8/13/2009,0.725,8/13/2009,-1.574,8/13/2009,95.48
8/14/2009,3.5688,8/14/2009,1.7304,8/14/2009,2.5068,8/14/2009,1.0826,8/14/2009,1.385,8/14/2009,0.27,8/14/2009,0.702,8/14/2009,-1.591,8/14/2009,94.94
8/17/2009,3.4684,8/17/2009,1.692,8/17/2009,2.406,8/17/2009,1.0279,8/17/2009,1.35,8/17/2009,0.266,8/17/2009,0.679,8/17/2009,-1.614,8/17/2009,94.51
8/18/2009,3.5092,8/18/2009,1.7637,8/18/2009,2.4562,8/18/2009,1.0884,8/18/2009,1.35,8/18/2009,0.266,8/18/2009,0.665,8/18/2009,-1.599,8/18/2009,94.69
8/19/2009,3.4517,8/19/2009,1.7763,8/19/2009,2.4058,8/19/2009,1.1425,8/19/2009,1.349,8/19/2009,0.261,8/19/2009,0.655,8/19/2009,-1.573,8/19/2009,94.08
8/20/2009,3.4313,8/20/2009,1.856,8/20/2009,2.409,8/20/2009,1.2324,8/20/2009,1.35,8/20/2009,0.253,8/20/2009,0.66,8/20/2009,-1.551,8/20/2009,94.2
8/21/2009,3.5649,8/21/2009,1.8949,8/21/2009,2.5638,8/21/2009,1.3015,8/21/2009,1.315,8/21/2009,0.251,8/21/2009,0.636,8/21/2009,-1.572,8/21/2009,94.38
8/24/2009,3.4755,8/24/2009,1.8157,8/24/2009,2.4826,8/24/2009,1.2086,8/24/2009,1.33,8/24/2009,0.25,8/24/2009,0.645,8/24/2009,-1.512,8/24/2009,94.56
8/25/2009,3.4348,8/25/2009,1.7409,8/25/2009,2.4421,8/25/2009,1.1243,8/25/2009,1.33,8/25/2009,0.247,8/25/2009,0.636,8/25/2009,-1.489,8/25/2009,94.19
8/26/2009,3.4329,8/26/2009,1.7391,8/26/2009,2.4352,8/26/2009,1.1314,8/26/2009,1.316,8/26/2009,0.245,8/26/2009,0.63,8/26/2009,-1.43,8/26/2009,94.26
