Date,USGG10YR Index,,USGGBE10 Index,,USGG5YR Index,,USGGBE05 Index,Date,GJGB10 Index,Date,GJGB2 Index,,GJGB5 Index,,JYGGBE05 Index,Date,M2% YOY Index,Date,JMNSM2Y Index,,USDJPY Curncy
1/31/1995,7.581,8/31/1998,1.1758,1/31/1995,7.506,1/31/2002,1.2972,1/31/1995,4.629,1/31/1995,2.713,1/31/1995,3.946,6/30/2009,-1.906,1/31/1995,0.5,1/31/1995,3.1,1/31/1995,99.55
2/28/1995,7.201,9/30/1998,0.8509,2/28/1995,7.039,2/28/2002,1.3964,2/28/1995,4.39,2/28/1995,2.538,2/28/1995,3.634,7/31/2009,-1.256,2/28/1995,0.4,2/28/1995,3.6,2/28/1995,96.69
3/31/1995,7.196,10/30/1998,0.9827,3/31/1995,7.071,3/29/2002,1.8872,3/31/1995,3.678,3/31/1995,2.03,3/31/1995,2.785,8/31/2009,-1.316,3/31/1995,0.3,3/31/1995,3.5,3/31/1995,86.55
4/28/1995,7.055,11/30/1998,0.9815,4/28/1995,6.881,4/30/2002,1.8789,4/28/1995,3.475,4/28/1995,1.809,4/28/1995,2.645,9/30/2009,-1.135,4/30/1995,0.4,4/30/1995,3.1,4/28/1995,84.34
5/31/1995,6.284,12/31/1998,0.8019,5/31/1995,6.052,5/31/2002,1.923,5/31/1995,2.865,5/31/1995,1.123,5/31/1995,1.91,10/30/2009,-1.217,5/31/1995,0.9,5/31/1995,3.1,5/31/1995,84.62
6/30/1995,6.203,1/29/1999,0.8823,6/30/1995,5.967,6/28/2002,1.6023,6/30/1995,2.785,6/30/1995,1.179,6/30/1995,1.905,11/30/2009,-1.049,6/30/1995,1.9,6/30/1995,3.1,6/30/1995,84.63
7/31/1995,6.426,2/26/1999,1.4109,7/31/1995,6.155,7/31/2002,1.3724,7/31/1995,3.025,7/31/1995,0.916,7/31/1995,1.955,12/31/2009,-0.847,7/31/1995,2.2,7/31/1995,2.7,7/31/1995,88.45
8/31/1995,6.284,3/31/1999,1.3212,8/31/1995,6.067,8/30/2002,1.5206,8/31/1995,3.265,8/31/1995,1.019,8/31/1995,2.2,1/29/2010,-0.821,8/31/1995,2.9,8/31/1995,2.7,8/31/1995,97.46
9/29/1995,6.182,4/30/1999,1.4695,9/29/1995,6.015,9/30/2002,1.3329,9/29/1995,2.855,9/29/1995,0.657,9/29/1995,1.685,2/26/2010,-1.147,9/30/1995,3.3,9/30/1995,2.6,9/29/1995,99.73
10/31/1995,6.02,5/31/1999,1.7492,10/31/1995,5.809,10/31/2002,1.1959,10/31/1995,2.96,10/31/1995,0.583,10/31/1995,1.765,3/31/2010,-1.067,10/31/1995,3.7,10/31/1995,2.4,10/31/1995,101.96
11/30/1995,5.741,6/30/1999,1.7683,11/30/1995,5.517,11/29/2002,1.4455,11/30/1995,2.875,11/30/1995,0.366,11/30/1995,1.505,4/30/2010,-0.902,11/30/1995,3.8,11/30/1995,3.3,11/30/1995,102.04
12/29/1995,5.572,7/30/1999,1.8672,12/29/1995,5.381,12/31/2002,1.4835,12/29/1995,3.07,12/29/1995,0.799,12/29/1995,1.79,5/31/2010,-1.522,12/31/1995,4.1,12/31/1995,3.2,12/29/1995,103.52
