Date,USGG10YR Index,,USGGBE10 Index,,USGG5YR Index,,USGGBE05 Index,Date,GJGB10 Index,Date,GJGB2 Index,,GJGB5 Index,,JYGGBE05 Index,Date,M2% YOY Index,Date,JMNSM2Y Index,,USDJPY Curncy
2/28/1995,-5.01,9/30/1998,-27.63,2/28/1995,-6.22,2/28/2002,7.65,2/28/1995,-5.16,2/28/1995,-6.45,2/28/1995,-7.91,7/31/2009,34.10,2/28/1995,-20.00,2/28/1995,16.13,2/28/1995,-2.87
3/31/1995,-0.07,10/30/1998,15.49,3/31/1995,0.45,3/29/2002,35.15,3/31/1995,-16.22,3/31/1995,-20.02,3/31/1995,-23.36,8/31/2009,-4.78,3/31/1995,-25.00,3/31/1995,-2.78,3/31/1995,-10.49
4/28/1995,-1.96,11/30/1998,-0.12,4/28/1995,-2.69,4/30/2002,-0.44,4/28/1995,-5.52,4/28/1995,-10.89,4/28/1995,-5.03,9/30/2009,13.75,4/30/1995,33.33,4/30/1995,-11.43,4/28/1995,-2.55
5/31/1995,-10.93,12/31/1998,-18.30,5/31/1995,-12.05,5/31/2002,2.35,5/31/1995,-17.55,5/31/1995,-37.92,5/31/1995,-27.79,10/30/2009,-7.22,5/31/1995,125.00,5/31/1995,0.00,5/31/1995,0.33
6/30/1995,-1.29,1/29/1999,10.03,6/30/1995,-1.40,6/28/2002,-16.68,6/30/1995,-2.79,6/30/1995,4.99,6/30/1995,-0.26,11/30/2009,13.80,6/30/1995,111.11,6/30/1995,0.00,6/30/1995,0.01
7/31/1995,3.60,2/26/1999,59.91,7/31/1995,3.15,7/31/2002,-14.35,7/31/1995,8.62,7/31/1995,-22.31,7/31/1995,2.62,12/31/2009,19.26,7/31/1995,15.79,7/31/1995,-12.90,7/31/1995,4.51
8/31/1995,-2.21,3/31/1999,-6.36,8/31/1995,-1.43,8/30/2002,10.80,8/31/1995,7.93,8/31/1995,11.24,8/31/1995,12.53,1/29/2010,3.07,8/31/1995,31.82,8/31/1995,0.00,8/31/1995,10.19
9/29/1995,-1.62,4/30/1999,11.22,9/29/1995,-0.86,9/30/2002,-12.34,9/29/1995,-12.56,9/29/1995,-35.53,9/29/1995,-23.41,2/26/2010,-39.71,9/30/1995,13.79,9/30/1995,-3.70,9/29/1995,2.33
10/31/1995,-2.62,5/31/1999,19.03,10/31/1995,-3.42,10/31/2002,-10.28,10/31/1995,3.68,10/31/1995,-11.26,10/31/1995,4.75,3/31/2010,6.97,10/31/1995,12.12,10/31/1995,-7.69,10/31/1995,2.24
11/30/1995,-4.63,6/30/1999,1.09,11/30/1995,-5.03,11/29/2002,20.87,11/30/1995,-2.87,11/30/1995,-37.22,11/30/1995,-14.73,4/30/2010,15.46,11/30/1995,2.70,11/30/1995,37.50,11/30/1995,0.08
12/29/1995,-2.94,7/30/1999,5.59,12/29/1995,-2.47,12/31/2002,2.63,12/29/1995,6.78,12/29/1995,118.31,12/29/1995,18.94,5/31/2010,-68.74,12/31/1995,7.89,12/31/1995,-3.03,12/29/1995,1.45
1/31/1996,0.14,8/31/1999,2.81,1/31/1996,-2.69,1/31/2003,17.92,1/31/1996,5.86,1/31/1996,16.90,1/31/1996,15.64,6/30/2010,29.89,1/31/1996,7.32,1/31/1996,-3.13,1/31/1996,3.41
2/29/1996,9.28,9/30/1999,-5.89,2/29/1996,9.45,2/28/2003,21.15,2/29/1996,7.54,2/29/1996,47.54,2/29/1996,14.49,7/30/2010,-4.59,2/29/1996,11.36,2/29/1996,-9.68,2/29/1996,-1.70
3/29/1996,3.76,10/29/1999,6.13,3/29/1996,6.19,3/31/2003,-22.14,3/29/1996,-7.44,3/29/1996,-21.04,3/29/1996,-13.71,8/31/2010,0.09,3/31/1996,14.29,3/31/1996,7.14,3/29/1996,1.93
4/30/1996,5.42,11/30/1999,6.64,4/30/1996,5.37,4/30/2003,-11.44,4/30/1996,6.96,4/30/1996,21.42,4/30/1996,16.63,9/30/2010,14.98,4/30/1996,1.79,4/30/1996,-6.67,4/30/1996,-1.99
5/31/1996,2.73,12/31/1999,3.36,5/31/1996,3.40,5/30/2003,-7.53,5/31/1996,-6.36,5/31/1996,-10.37,5/31/1996,-9.85,10/29/2010,-6.75,5/31/1996,-8.77,5/31/1996,14.29,5/31/1996,2.81
6/28/1996,-2.06,1/31/2000,11.95,6/28/1996,-2.55,6/30/2003,13.56,6/28/1996,-0.31,6/28/1996,-2.96,6/28/1996,3.72,11/30/2010,10.87,6/30/1996,-5.77,6/30/1996,15.63,6/28/1996,1.53
7/31/1996,1.24,2/29/2000,-10.30,7/31/1996,1.61,7/31/2003,16.79,7/31/1996,2.94,7/31/1996,12.36,7/31/1996,3.32,12/31/2010,27.61,7/31/1996,-4.08,7/31/1996,0.00,7/31/1996,-2.65
8/30/1996,2.19,3/31/2000,-5.58,8/30/1996,2.42,8/29/2003,24.25,8/30/1996,-10.83,8/30/1996,-42.14,8/30/1996,-20.79,1/31/2011,20.06,8/31/1996,-8.51,8/31/1996,0.00,8/30/1996,1.95
9/30/1996,-3.46,4/28/2000,12.07,9/30/1996,-3.99,9/30/2003,-5.30,9/30/1996,-1.69,9/30/1996,14.32,9/30/1996,0.82,2/28/2011,2.68,9/30/1996,-2.33,9/30/1996,-8.11,9/30/1996,2.29
10/31/1996,-5.43,5/31/2000,-6.40,10/31/1996,-6.04,10/31/2003,10.48,10/31/1996,-10.46,10/31/1996,-28.34,10/31/1996,-16.58,3/31/2011,-8.27,10/31/1996,2.38,10/31/1996,5.88,10/31/1996,2.41
11/29/1996,-4.65,6/30/2000,-6.54,11/29/1996,-3.87,11/28/2003,-4.04,11/29/1996,-3.26,11/29/1996,-3.59,11/29/1996,-6.19,4/29/2011,37.45,11/30/1996,6.98,11/30/1996,-13.89,11/29/1996,-0.19
12/31/1996,6.19,7/31/2000,2.79,12/31/1996,6.48,12/31/2003,3.31,12/31/1996,9.50,12/31/1996,22.03,12/31/1996,15.28,5/31/2011,50.00,12/31/1996,6.52,12/31/1996,-6.45,12/31/1996,1.62
1/31/1997,1.18,8/31/2000,-14.39,1/31/1997,0.58,1/30/2004,4.86,1/31/1997,-7.63,1/31/1997,-20.14,1/31/1997,-13.55,6/30/2011,2.33,1/31/1997,-2.04,1/31/1997,3.45,1/31/1997,4.84
2/28/1997,0.89,9/29/2000,5.90,2/28/1997,2.26,2/27/2004,-3.03,2/28/1997,0.43,2/28/1997,4.35,2/28/1997,5.23,7/29/2011,-136.90,2/28/1997,-2.08,2/28/1997,-3.33,2/28/1997,-0.76
3/31/1997,5.36,10/31/2000,3.81,3/31/1997,5.71,3/31/2004,-0.84,3/31/1997,-4.48,3/31/1997,19.17,3/31/1997,-1.32,8/31/2011,-12.56,3/31/1997,-6.38,3/31/1997,-6.90,3/31/1997,2.84
4/30/1997,-2.68,11/30/2000,-11.99,4/30/1997,-2.65,4/30/2004,4.05,4/30/1997,3.88,4/30/1997,27.27,4/30/1997,7.38,9/30/2011,24.55,4/30/1997,2.27,4/30/1997,18.52,4/30/1997,2.67
5/30/1997,-0.88,12/29/2000,-17.49,5/30/1997,-1.11,5/31/2004,8.98,5/30/1997,12.42,5/30/1997,23.63,5/30/1997,17.50,10/31/2011,7.40,5/31/1997,2.22,5/31/1997,-3.13,5/30/1997,-8.47
6/30/1997,-2.39,1/31/2001,16.35,6/30/1997,-1.80,6/30/2004,-3.89,6/30/1997,-7.76,6/30/1997,-19.56,6/30/1997,-11.17,11/30/2011,20.45,6/30/1997,0.00,6/30/1997,-6.45,6/30/1997,-1.50
7/31/1997,-7.52,2/28/2001,-3.23,7/31/1997,-7.57,7/30/2004,0.50,7/31/1997,-10.57,7/31/1997,-23.76,7/31/1997,-15.57,12/30/2011,14.86,7/31/1997,2.17,7/31/1997,3.45,7/31/1997,3.46
8/29/1997,5.46,3/30/2001,4.55,8/29/1997,5.47,8/31/2004,-6.11,8/29/1997,-5.72,8/29/1997,-21.01,8/29/1997,-8.51,1/31/2012,64.62,8/31/1997,12.77,8/31/1997,6.67,8/29/1997,2.02
9/30/1997,-3.72,4/30/2001,24.54,9/30/1997,-3.79,9/30/2004,4.41,9/30/1997,-4.72,9/30/1997,11.01,9/30/1997,-0.78,2/29/2012,81.33,9/30/1997,5.66,9/30/1997,-9.38,9/30/1997,-0.36
10/31/1997,-4.46,5/31/2001,4.31,10/31/1997,-4.66,10/29/2004,-4.98,10/31/1997,-14.39,10/31/1997,-16.03,10/31/1997,-12.50,3/30/2012,2078.57,10/31/1997,0.00,10/31/1997,0.00,10/31/1997,-0.02
11/28/1997,0.74,6/29/2001,-7.09,11/28/1997,2.31,11/30/2004,11.78,11/28/1997,7.99,11/28/1997,-13.19,11/28/1997,2.23,4/30/2012,85.92,11/30/1997,1.79,11/30/1997,10.34,11/28/1997,6.12
