Date,USGG10YR Index,,USGGBE10 Index,,USGG5YR Index,,USGGBE05 Index,Date,GJGB10 Index,Date,GJGB2 Index,,GJGB5 Index,,JYGGBE05 Index,,USDJPY Curncy,,TPX Index
6/30/2009,1.6045,6/30/2009,3.7991,6/30/2009,1.3227,6/30/2009,11.7206,6/30/2009,-2.511,6/30/2009,2.564,6/30/2009,1.399,6/30/2009,5.923,6/30/2009,0.31,6/30/2009,1.17685
7/1/2009,0.1117,7/1/2009,-1.7638,7/1/2009,-1.8331,7/1/2009,-1.1039,7/1/2009,-0.662,7/1/2009,-5.937,7/1/2009,-2.069,7/1/2009,3.253,7/1/2009,0.31,7/1/2009,-0.30194
7/2/2009,-1.1871,7/2/2009,-4.8455,7/2/2009,-3.4703,7/2/2009,-5.4049,7/2/2009,0.593,7/2/2009,-5.648,7/2/2009,-1.408,7/2/2009,3.362,7/2/2009,-0.73,7/2/2009,-0.03616
7/3/2009,0.1124,7/3/2009,0.2421,7/3/2009,0.1329,7/3/2009,0.3017,7/3/2009,-2.062,7/3/2009,-6.69,7/3/2009,-2.857,7/3/2009,3.255,7/3/2009,0.09,7/3/2009,-0.28491
7/6/2009,0.2223,7/6/2009,-2.1014,7/6/2009,-1.5156,7/6/2009,-6.1472,7/6/2009,-1.429,7/6/2009,-0.377,7/6/2009,-0.735,7/6/2009,10.731,7/6/2009,-0.72,7/6/2009,-0.02608
7/7/2009,-1.4781,7/7/2009,0.0035,7/7/2009,-1.3921,7/7/2009,0.4513,7/7/2009,0.305,7/7/2009,1.515,7/7/2009,2.222,7/7/2009,11.306,7/7/2009,-0.47,7/7/2009,-0.05593
7/8/2009,-4.2365,7/8/2009,-5.2437,7/8/2009,-5.2111,7/8/2009,-8.9436,7/8/2009,-1.521,7/8/2009,-1.493,7/8/2009,-1.739,7/8/2009,-2.711,7/8/2009,-2.13,7/8/2009,0.44624
7/9/2009,2.8688,7/9/2009,0.9464,7/9/2009,3.8474,7/9/2009,-0.3381,7/9/2009,0.463,7/9/2009,-5.303,7/9/2009,-0.59,7/9/2009,-10.913,7/9/2009,0.13,7/9/2009,-2.48128
7/10/2009,-2.9507,7/10/2009,-2.1722,7/10/2009,-4.3117,7/10/2009,-3.283,7/10/2009,0.307,7/10/2009,-0.8,7/10/2009,-0.593,7/10/2009,-1.029,7/10/2009,-0.48,7/10/2009,0.62785
7/13/2009,1.4347,7/13/2009,0.6456,7/13/2009,1.7818,7/13/2009,0.7474,7/13/2009,0.307,7/13/2009,1.613,7/13/2009,0,7/13/2009,0.191,7/13/2009,0.45,7/13/2009,-2.53362
