Date,USGG10YR Index,,USGGBE10 Index,,USGG5YR Index,,USGGBE05 Index,Date,GJGB10 Index,Date,GJGB2 Index,,GJGB5 Index,,JYGGBE05 Index,,USDJPY Curncy,,TPX Index
1/2/1995,0.1151,8/4/1998,-2.3511,1/2/1995,0.1022,1/14/2002,2.1877,1/4/1995,1.532,1/2/1995,0,1/4/1995,2.604,6/17/2009,-0.393,1/2/1995,0.62,1/4/1995,-2.09534
1/3/1995,0.5619,8/5/1998,2.1378,1/3/1995,0.485,1/15/2002,-0.064,1/5/1995,1.056,1/3/1995,0.556,1/5/1995,0.37,6/18/2009,-0.147,1/3/1995,0.47,1/5/1995,0.01905
1/4/1995,-0.7619,8/6/1998,-0.364,1/4/1995,-0.7748,1/16/2002,-3.7191,1/6/1995,0.64,1/4/1995,0.242,1/6/1995,0.368,6/19/2009,-0.586,1/4/1995,0.68,1/6/1995,-1.19138
1/5/1995,0.499,8/7/1998,-3.7059,1/5/1995,0.64,1/17/2002,5.622,1/9/1995,-0.318,1/5/1995,1.688,1/9/1995,-0.196,6/22/2009,0.049,1/5/1995,-0.46,1/9/1995,0.6678
1/6/1995,0.0509,8/10/1998,0.1308,1/6/1995,0.0509,1/18/2002,-1.0318,1/10/1995,-0.425,1/6/1995,0,1/10/1995,-1.029,6/23/2009,0.146,1/6/1995,0.49,1/10/1995,-0.16838
1/9/1995,0.1782,8/11/1998,-0.8008,1/9/1995,0.4322,1/21/2002,1.3358,1/11/1995,-0.961,1/9/1995,0.576,1/11/1995,-1.238,6/24/2009,-0.827,1/9/1995,-1.32,1/11/1995,0.9759
1/10/1995,-0.4954,8/12/1998,-0.3813,1/10/1995,-0.6329,1/22/2002,4.5188,1/12/1995,-0.862,1/10/1995,-1.651,1/12/1995,-1.379,6/25/2009,0.724,1/10/1995,0,1/12/1995,0.34741
1/11/1995,-0.6383,8/13/1998,3.2668,1/11/1995,-0.586,1/23/2002,8.9174,1/13/1995,0.435,1/11/1995,-1.713,1/13/1995,1.195,6/26/2009,2.089,1/11/1995,0.06,1/13/1995,-0.40586
1/12/1995,0.1413,8/14/1998,-3.1708,1/12/1995,-0.0513,1/24/2002,1.8844,1/17/1995,1.515,1/12/1995,-1.743,1/17/1995,2.11,6/29/2009,-0.546,1/12/1995,-1.42,1/17/1995,-1.15085
1/13/1995,-1.5268,8/17/1998,-0.6415,1/13/1995,-2.2308,1/25/2002,3.7221,1/18/1995,-1.28,1/13/1995,0,1/18/1995,-1.87,6/30/2009,5.923,1/13/1995,-0.27,1/18/1995,-0.77011
1/16/1995,0.0651,8/18/1998,1.3041,1/16/1995,0.1574,1/28/2002,-0.4391,1/19/1995,0.54,1/16/1995,-0.106,1/19/1995,0.251,7/1/2009,3.253,1/16/1995,0.02,1/19/1995,-0.99406
1/17/1995,0,8/19/1998,-1.3973,1/17/1995,0.4451,1/29/2002,-10.338,1/20/1995,0.43,1/17/1995,1.172,1/20/1995,0.275,7/2/2009,3.362,1/17/1995,0.7,1/20/1995,-1.59551
1/18/1995,0.2344,8/20/1998,-1.3348,1/18/1995,0.4041,1/30/2002,11.5973,1/23/1995,0.321,1/18/1995,1.158,1/23/1995,-0.274,7/3/2009,3.255,1/18/1995,0.42,1/23/1995,-5.01457
1/19/1995,0.5586,8/21/1998,-4.1576,1/19/1995,0.3895,1/31/2002,3.0114,1/24/1995,-0.213,1/19/1995,-1.735,1/24/1995,-0.35,7/6/2009,10.731,1/19/1995,-0.4,1/24/1995,1.533
1/20/1995,0.8526,8/24/1998,-0.4139,1/20/1995,0.6466,2/1/2002,-1.1587,1/25/1995,0,1/20/1995,-1.165,1/25/1995,-0.376,7/7/2009,11.306,1/20/1995,0.27,1/25/1995,1.11536
1/23/1995,0.2177,8/25/1998,-3.5978,1/23/1995,0.0514,2/4/2002,-2.8999,1/26/1995,-0.492,1/23/1995,-1.929,1/26/1995,-0.529,7/8/2009,-2.711,1/23/1995,0.4,1/26/1995,-0.45085
