Date,TPTRAN Index
6/30/2009,1.88979
7/1/2009,-0.55051
7/2/2009,-0.07381
7/3/2009,0.99673
7/6/2009,-0.41038
7/7/2009,-0.86014
7/8/2009,-1.13346
7/9/2009,-2.94047
7/10/2009,1.73032
7/13/2009,-2.52106
7/14/2009,3.15176
7/15/2009,-1.72447
7/16/2009,2.16208
7/17/2009,-0.40275
7/21/2009,4.34821
7/22/2009,-0.20341
7/23/2009,-0.14193
7/24/2009,2.47017
7/27/2009,0.79163
7/28/2009,1.61917
7/29/2009,-0.8386
7/30/2009,3.99606
7/31/2009,2.34521
8/3/2009,1.73672
8/4/2009,-2.0176
8/5/2009,-1.52711
8/6/2009,2.77569
8/7/2009,-2.82223
8/10/2009,3.03359
8/11/2009,0.23942
8/12/2009,-2.57481
8/13/2009,2.60448
8/14/2009,1.53991
8/17/2009,-2.44494
8/18/2009,-0.06635
8/19/2009,1.44905
8/20/2009,0.86916
8/21/2009,-3.54439
8/24/2009,2.81265
8/25/2009,-0.67406
8/26/2009,0.98444
8/27/2009,-0.95226
8/28/2009,0.0569
8/31/2009,-0.76729
9/1/2009,0.96336
9/2/2009,-1.2803
9/3/2009,-2.46441
9/4/2009,-0.20499
9/7/2009,1.29203
9/8/2009,0.7681
9/9/2009,-1.48969
9/10/2009,2.36402
9/11/2009,-0.25421
9/14/2009,-3.31787
9/15/2009,-0.11719
9/16/2009,0.15598
9/17/2009,0.94529
9/18/2009,0.67161
9/24/2009,0.88856
9/25/2009,-0.7626
9/28/2009,-3.6427
9/29/2009,-0.49299
9/30/2009,1.59815
10/1/2009,-1.67468
10/2/2009,-3.30551
10/5/2009,-1.52186
10/6/2009,2.87669
10/7/2009,1.8025
10/8/2009,1.78242
10/9/2009,0.05112
10/13/2009,2.2209
10/14/2009,-1.2259
10/15/2009,0.14266
10/16/2009,-0.49478
10/19/2009,0.4189
10/20/2009,-0.69894
10/21/2009,-0.03848
10/22/2009,0.2514
10/23/2009,-1.19972
10/26/2009,2.06771
10/27/2009,-1.26791
10/28/2009,1.65671
10/29/2009,-2.48707
10/30/2009,3.41841
11/2/2009,-2.87005
11/4/2009,0.29443
11/5/2009,-0.81737
11/6/2009,0.17165
11/9/2009,-0.21207
11/10/2009,-0.54726
11/11/2009,-0.06088
11/12/2009,0.76868
11/13/2009,0.73538
11/16/2009,0.24051
11/17/2009,-0.00114
11/18/2009,-1.00866
11/19/2009,-1.68853
11/20/2009,-1.1922
11/24/2009,-0.6384
11/25/2009,2.82913
11/26/2009,0.15332
11/27/2009,-3.14395
11/30/2009,3.8991
12/1/2009,2.61096
12/2/2009,0.57659
12/3/2009,4.299
12/4/2009,-1.3259
12/7/2009,1.51928
12/8/2009,0.92742
12/9/2009,-0.91902
12/10/2009,-2.44413
12/11/2009,1.57573
12/14/2009,0.6585
12/15/2009,-1.59288
12/16/2009,1.21191
12/17/2009,-0.5505
12/18/2009,-0.87834
12/21/2009,-0.90827
12/22/2009,1.56801
12/24/2009,2.01265
12/25/2009,-0.51624
12/28/2009,0.60912
12/29/2009,0.05118
12/30/2009,-0.88233
1/4/2010,0.60237
1/5/2010,-0.26004
1/6/2010,-0.02151
1/7/2010,-1.91022
1/8/2010,3.27525
1/12/2010,5.15607
1/13/2010,-1.70255
1/14/2010,2.25734
1/15/2010,1.46801
1/18/2010,-0.70789
1/19/2010,-1.68308
1/20/2010,-1.0993
1/21/2010,2.74596
1/22/2010,-2.19999
1/25/2010,-1.8234
1/26/2010,-1.75894
1/27/2010,-2.86286
1/28/2010,-0.77113
1/29/2010,-2.36192
2/1/2010,-1.79007
2/2/2010,3.86449
2/3/2010,-2.64781
2/4/2010,0.69104
2/5/2010,-1.5492
2/8/2010,-1.56454
2/9/2010,1.53758
2/10/2010,-0.53085
2/12/2010,0.83138
2/15/2010,-1.94381
2/16/2010,0.32662
2/17/2010,0.99361
2/18/2010,-0.83024
2/19/2010,-2.24601
2/22/2010,2.82961
2/23/2010,-0.11148
2/24/2010,-1.18839
2/25/2010,0.53694
2/26/2010,1.2153
3/1/2010,-0.5049
3/2/2010,0.59976
3/3/2010,2.32479
3/4/2010,-2.08552
3/5/2010,-0.3792
3/8/2010,3.47473
3/9/2010,0.33043
3/10/2010,-1.29729
3/11/2010,0.56632
3/12/2010,1.00231
3/15/2010,0.58036
3/16/2010,-0.10026
3/17/2010,1.48952
3/18/2010,-1.44884
3/19/2010,1.59382
3/23/2010,0.49325
3/24/2010,-1.10388
3/25/2010,-0.74983
3/26/2010,1.34436
3/29/2010,-0.08507
3/30/2010,0.99053
3/31/2010,-0.96706
4/1/2010,-0.55596
4/2/2010,0.41784
4/5/2010,1.33796
4/6/2010,-0.84888
4/7/2010,0.20357
4/8/2010,-1.58663
4/9/2010,0.40548
4/12/2010,0.30049
4/13/2010,-0.59362
4/14/2010,0.71571
4/15/2010,-0.16908
4/16/2010,0.24355
4/19/2010,-2.10322
4/20/2010,-0.57803
4/21/2010,1.26606
4/22/2010,-1.0253
4/23/2010,-1.02023
4/26/2010,3.09704
4/27/2010,1.62351
4/28/2010,-2.29119
4/30/2010,0.63346
5/6/2010,-1.56561
5/7/2010,-1.7848
5/10/2010,-0.50799
5/11/2010,-1.12615
5/12/2010,1.48946
5/13/2010,1.81045
5/14/2010,-1.24738
5/17/2010,-0.88388
5/18/2010,-0.6261
5/19/2010,0.67023
5/20/2010,-0.21351
5/21/2010,-2.83406
5/24/2010,-0.56624
5/25/2010,-1.63609
5/26/2010,-1.47417
5/27/2010,0.81562
5/28/2010,0.98008
5/31/2010,-0.65263
6/1/2010,-0.49387
6/2/2010,-2.4894
6/3/2010,3.68357
6/4/2010,0.90406
6/7/2010,-4.35341
6/8/2010,0.74207
6/9/2010,-2.1506
6/10/2010,1.00703
6/11/2010,0.07292
6/14/2010,2.09754
6/15/2010,1.3014
6/16/2010,1.54211
6/17/2010,-0.50726
6/18/2010,-1.07345
6/21/2010,2.05928
6/22/2010,-0.44999
6/23/2010,-1.19106
6/24/2010,0.19478
6/25/2010,-1.76246
6/28/2010,-0.64008
6/29/2010,-0.40047
6/30/2010,-0.87637
7/1/2010,-1.46637
7/2/2010,0.03422
7/5/2010,0.51763
7/6/2010,2.28534
7/7/2010,-0.82211
7/8/2010,1.60476
7/9/2010,-0.1656
7/12/2010,0.91069
7/13/2010,-0.22852
7/14/2010,3.34106
7/15/2010,-0.93512
7/16/2010,-0.99494
7/20/2010,-2.52253
7/21/2010,-1.01302
7/22/2010,-0.17055
7/23/2010,1.82624
7/26/2010,0.51673
7/27/2010,-1.74173
7/28/2010,2.37329
7/29/2010,1.1463
7/30/2010,-0.66568
8/2/2010,1.68245
8/3/2010,2.00038
8/4/2010,-2.68938
8/5/2010,1.89321
8/6/2010,1.71403
8/9/2010,-1.90905
8/10/2010,0.12037
8/11/2010,-2.10451
8/12/2010,-0.61689
8/13/2010,-0.09349
8/16/2010,0.40539
8/17/2010,-0.64932
8/18/2010,1.61965
8/19/2010,1.79494
8/20/2010,-2.205
8/23/2010,-0.38128
8/24/2010,0.52005
8/25/2010,-2.61003
8/26/2010,0.69215
8/27/2010,0.76798
8/30/2010,1.15645
8/31/2010,-1.82837
9/1/2010,-0.10227
9/2/2010,1.39849
9/3/2010,0.54824
9/6/2010,2.02456
9/7/2010,-0.45446
9/8/2010,-2.41856
9/9/2010,1.47319
9/10/2010,0.19685
9/13/2010,1.39147
9/14/2010,0.20638
9/15/2010,0.25248
9/16/2010,1.15044
9/17/2010,0.8367
9/21/2010,-0.07808
9/22/2010,0.04859
9/24/2010,-0.07417
9/27/2010,2.17685
9/28/2010,0.12454
9/29/2010,0.82381
9/30/2010,-1.70173
10/1/2010,0.27119
10/4/2010,0.18907
10/5/2010,0.57474
10/6/2010,0.39289
10/7/2010,0.58143
10/8/2010,-0.93531
10/12/2010,-1.75484
10/13/2010,0.44746
10/14/2010,2.6902
10/15/2010,-0.91909
10/18/2010,0.98682
10/19/2010,-0.28461
10/20/2010,-0.70696
10/21/2010,-0.53054
10/22/2010,0.16354
10/25/2010,0.29961
10/26/2010,-1.63252
10/27/2010,1.33232
10/28/2010,0.08459
10/29/2010,-0.11617
11/1/2010,-2.55525
11/2/2010,-0.50852
11/4/2010,2.17537
11/5/2010,2.19175
11/8/2010,2.09957
11/9/2010,-0.16545
11/10/2010,0.17708
11/11/2010,1.16476
11/12/2010,-1.57981
11/15/2010,1.17181
11/16/2010,-0.74463
11/17/2010,1.33718
11/18/2010,1.19252
11/19/2010,0.49712
11/22/2010,0.93771
11/24/2010,-1.06029
11/25/2010,0.88972
11/26/2010,-1.08229
11/29/2010,0.25131
11/30/2010,-1.4057
12/1/2010,1.04731
12/2/2010,1.72277
12/3/2010,1.29307
12/6/2010,-0.03605
12/7/2010,-1.66469
12/8/2010,-0.01652
12/9/2010,1.09475
12/10/2010,-1.58068
12/13/2010,1.47267
12/14/2010,0.39696
12/15/2010,-0.2999
12/16/2010,0.04581
12/17/2010,-0.28608
12/20/2010,0.36547
12/21/2010,0.67211
12/22/2010,-0.20371
12/24/2010,0.09691
12/27/2010,0.4569
12/28/2010,0.56287
