Date,TPTRAN Index,Date,TPTRAN Index,Date,TPTRAN Index,Date,TPTRAN Index,Date,TPTRAN Index,Date,TPTRAN Index,Date,TPTRAN Index,Date,TPTRAN Index,Date,TPTRAN Index
6/30/2009,16.39317,1/4/2010,18.87291,6/30/2010,16.40811,1/4/2011,20.49755,6/30/2011,20.70333,1/4/2012,17.43878,7/2/2012,19.0238,1/4/2013,21.63024,7/1/2013,25.93781
7/1/2009,16.30292,1/5/2010,18.82383,7/1/2010,16.1675,1/5/2011,20.27409,7/1/2011,20.78887,1/5/2012,17.3161,7/3/2012,19.09366,1/7/2013,21.48119,7/2/2013,26.42886
7/2/2009,16.29089,1/6/2010,18.81978,7/2/2010,16.17304,1/6/2011,20.69429,7/4/2011,21.11762,1/6/2012,17.20309,7/4/2012,19.13314,1/8/2013,21.2122,7/3/2013,26.68508
7/3/2009,16.45327,1/7/2010,18.46028,7/5/2010,16.25675,1/7/2011,21.10514,7/5/2011,20.97449,1/10/2012,17.26816,7/5/2012,19.11999,1/9/2013,21.33068,7/4/2013,26.46113
7/6/2009,16.38575,1/8/2010,19.0649,7/6/2010,16.62827,1/11/2011,21.03264,7/6/2011,21.30183,1/11/2012,17.26359,7/6/2012,19.0883,1/10/2013,21.60907,7/5/2013,26.72304
7/7/2009,16.24481,1/12/2010,20.0479,7/7/2010,16.49157,1/12/2011,21.18276,7/7/2011,21.05516,1/12/2012,17.14524,7/9/2012,18.63796,1/11/2013,21.72126,7/8/2013,26.45875
7/8/2009,16.06068,1/13/2010,19.70658,7/8/2010,16.75622,1/13/2011,21.50889,7/8/2011,21.42648,1/13/2012,17.50338,7/10/2012,18.37373,1/15/2013,21.9462,7/9/2013,27.08404
7/9/2009,15.58842,1/14/2010,20.15142,7/9/2010,16.72847,1/14/2011,21.31923,7/11/2011,21.44218,1/16/2012,17.39937,7/11/2012,18.26783,1/16/2013,21.41329,7/10/2013,27.19874
7/10/2009,15.85815,1/15/2010,20.44725,7/12/2010,16.88082,1/17/2011,21.16997,7/12/2011,21.21358,1/17/2012,17.48438,7/12/2012,17.9362,1/17/2013,21.32717,7/11/2013,27.44104
7/13/2009,15.45836,1/18/2010,20.3025,7/13/2010,16.84224,1/18/2011,21.19756,7/13/2011,21.34477,1/18/2012,17.47044,7/13/2012,17.9024,1/18/2013,21.8596,7/12/2013,27.59422
7/14/2009,15.94557,1/19/2010,19.9608,7/14/2010,17.40495,1/19/2011,21.45715,7/14/2011,21.40857,1/19/2012,17.59342,7/17/2012,17.70782,1/21/2013,21.72972,7/16/2013,27.80028
7/15/2009,15.67059,1/20/2010,19.74137,7/15/2010,17.2422,1/20/2011,21.0146,7/15/2011,21.38218,1/20/2012,18.17072,7/18/2012,17.8313,1/22/2013,21.75967,7/17/2013,27.96167
7/16/2009,16.0094,1/21/2010,20.28346,7/16/2010,17.07064,1/21/2011,20.66231,7/19/2011,21.20357,1/23/2012,18.14694,7/19/2012,18.08968,1/23/2013,21.36465,7/18/2013,27.67018
7/17/2009,15.94492,1/22/2010,19.83722,7/20/2010,16.64003,1/24/2011,21.09669,7/20/2011,21.39507,1/24/2012,18.16971,7/20/2012,17.84896,1/24/2013,21.44902,7/19/2013,27.66949
7/21/2009,16.63824,1/25/2010,19.47551,7/21/2010,16.47147,1/25/2011,21.38718,7/21/2011,21.42038,1/25/2012,18.74019,7/23/2012,17.5313,1/25/2013,21.73995,7/22/2013,28.08611
7/22/2009,16.6044,1/26/2010,19.13295,7/22/2010,16.44337,1/26/2011,21.23083,7/22/2011,21.65949,1/26/2012,18.73199,7/24/2012,17.45274,1/28/2013,21.68403,7/23/2013,28.00271
7/23/2009,16.58083,1/27/2010,18.5852,7/23/2010,16.74367,1/27/2011,21.43302,7/25/2011,21.43732,1/27/2012,18.65498,7/25/2012,17.03618,1/29/2013,21.92031,7/24/2013,27.76007
7/24/2009,16.99041,1/28/2010,18.44188,7/26/2010,16.83019,1/28/2011,21.50012,7/26/2011,21.59741,1/30/2012,18.58124,7/26/2012,17.28283,1/30/2013,22.09213,7/25/2013,27.74727
7/27/2009,17.12491,1/29/2010,18.0063,7/27/2010,16.53705,1/31/2011,21.37868,7/27/2011,21.31823,1/31/2012,18.57386,7/27/2012,17.72954,1/31/2013,22.16807,,
7/28/2009,17.40219,2/1/2010,17.68397,7/28/2010,16.92953,2/1/2011,21.60101,7/28/2011,21.02518,2/1/2012,18.80163,7/30/2012,17.96485,2/1/2013,22.27339,,
7/29/2009,17.25625,2/2/2010,18.36737,7/29/2010,17.12359,2/2/2011,22.01408,7/29/2011,21.05183,2/2/2012,19.10202,7/31/2012,18.25544,2/4/2013,22.8502,,
7/30/2009,17.94582,2/3/2010,17.88104,7/30/2010,17.0096,2/3/2011,21.81179,8/1/2011,21.36658,2/3/2012,18.91131,8/1/2012,17.90155,2/5/2013,22.26925,,
7/31/2009,18.36669,2/4/2010,18.0046,8/2/2010,17.29578,2/4/2011,21.6215,8/2/2011,21.20462,2/6/2012,19.44077,8/2/2012,18.01764,2/6/2013,23.28385,,
8/3/2009,18.68567,2/5/2010,17.72567,8/3/2010,17.64176,2/7/2011,21.69671,8/3/2011,20.74994,2/7/2012,19.32952,8/3/2012,17.90612,2/7/2013,23.37619,,
8/4/2009,18.30867,2/8/2010,17.44835,8/4/2010,17.1673,2/8/2011,21.89541,8/4/2011,20.21874,2/8/2012,19.92158,8/6/2012,18.45728,2/8/2013,23.44539,,
8/5/2009,18.02907,2/9/2010,17.71663,8/5/2010,17.49232,2/9/2011,22.22957,8/5/2011,19.62196,2/9/2012,19.74758,8/7/2012,18.62084,2/12/2013,23.25308,,
8/6/2009,18.5295,2/10/2010,17.62258,8/6/2010,17.79214,2/10/2011,22.12595,8/8/2011,19.38877,2/10/2012,19.38023,8/8/2012,18.74085,2/13/2013,22.8558,,
8/7/2009,18.00656,2/12/2010,17.76909,8/9/2010,17.45248,2/14/2011,22.60269,8/9/2011,19.15527,2/13/2012,19.45869,8/9/2012,18.86784,2/14/2013,22.86379,,
8/10/2009,18.55281,2/15/2010,17.4237,8/10/2010,17.47349,2/15/2011,22.64732,8/10/2011,19.128,2/14/2012,19.45856,8/10/2012,18.70841,2/15/2013,22.42263,,
