Date,TPTRAN Index,Date,TPTRAN Index
1/31/1995,11.46988,,
2/28/1995,10.79811,2/28/1995,-5.856818031
3/31/1995,11.96187,3/31/1995,10.77744161
4/28/1995,11.9157,4/28/1995,-0.38597644
5/31/1995,10.99289,5/31/1995,-7.744488364
6/30/1995,10.99102,6/30/1995,-0.017010995
7/31/1995,11.69208,7/31/1995,6.378479886
8/31/1995,11.62403,8/31/1995,-0.582017913
9/29/1995,11.37251,9/29/1995,-2.163793452
10/31/1995,11.10454,10/31/1995,-2.356296016
11/30/1995,11.60355,11/30/1995,4.493747602
12/29/1995,12.26178,12/29/1995,5.672660522
1/31/1996,12.59316,1/31/1996,2.702544003
2/29/1996,12.61628,2/29/1996,0.183591728
3/29/1996,12.99804,3/29/1996,3.025931574
4/30/1996,13.71416,4/30/1996,5.50944604
5/31/1996,13.55034,5/31/1996,-1.194531783
6/28/1996,14.27839,6/28/1996,5.372927912
7/31/1996,13.65821,7/31/1996,-4.343486906
8/30/1996,13.09837,8/30/1996,-4.09892658
9/30/1996,13.87378,9/30/1996,5.919896903
10/31/1996,12.93393,10/31/1996,-6.774289343
11/29/1996,13.99666,11/29/1996,8.216605471
12/31/1996,13.64042,12/31/1996,-2.545178635
1/31/1997,12.53539,1/31/1997,-8.101143513
2/28/1997,12.68951,2/28/1997,1.229479099
3/31/1997,12.28442,3/31/1997,-3.192321847
4/30/1997,13.20316,4/30/1997,7.478904173
5/30/1997,13.74115,5/30/1997,4.074706358
6/30/1997,14.19157,6/30/1997,3.277891588
7/31/1997,14.12315,7/31/1997,-0.482117201
8/29/1997,12.45547,8/29/1997,-11.80813062
9/30/1997,13.13521,9/30/1997,5.457361304
10/31/1997,12.06581,10/31/1997,-8.141476231
11/28/1997,11.63606,11/28/1997,-3.561716951
12/31/1997,11.27233,12/31/1997,-3.125886254
1/30/1998,11.59603,1/30/1998,2.87163346
2/27/1998,11.6109,2/27/1998,0.128233542
3/31/1998,10.94779,3/31/1998,-5.711099053
4/30/1998,10.56636,4/30/1998,-3.484082175
5/29/1998,10.21513,5/29/1998,-3.324039688
6/30/1998,10.66742,6/30/1998,4.427648008
7/31/1998,10.43772,7/31/1998,-2.153285424
8/31/1998,9.36089,8/31/1998,-10.31671668
9/30/1998,9.32009,9/30/1998,-0.435855992
10/30/1998,9.9921,10/30/1998,7.210338098
11/30/1998,10.77824,11/30/1998,7.867615416
12/31/1998,10.81787,12/31/1998,0.367685262
1/29/1999,11.13438,1/29/1999,2.925807021
2/26/1999,11.04778,2/26/1999,-0.777771192
3/31/1999,12.33736,3/31/1999,11.67275235
4/30/1999,12.45427,4/30/1999,0.947609537
5/31/1999,11.86765,5/31/1999,-4.710191766
6/30/1999,13.37542,6/30/1999,12.70487417
7/30/1999,14.69345,7/30/1999,9.854120469
8/31/1999,13.41684,8/31/1999,-8.688293083
9/30/1999,13.88086,9/30/1999,3.45848948
10/29/1999,14.31192,10/29/1999,3.105427185
11/30/1999,13.64951,11/30/1999,-4.6283797
12/31/1999,15.88636,12/31/1999,16.38776777
1/31/2000,14.8196,1/31/2000,-6.714942882
2/29/2000,13.70146,2/29/2000,-7.545007962
3/31/2000,17.01627,3/31/2000,24.19311519
4/28/2000,16.57395,4/28/2000,-2.599394579
5/31/2000,15.29263,5/31/2000,-7.730927148
6/30/2000,15.87734,6/30/2000,3.823475753
7/31/2000,14.94264,7/31/2000,-5.887006262
8/31/2000,15.17759,8/31/2000,1.572345984
9/29/2000,14.55147,9/29/2000,-4.125292619
10/31/2000,14.65323,10/31/2000,0.699310791
11/30/2000,13.64266,11/30/2000,-6.896568197
12/29/2000,12.7108,12/29/2000,-6.830486137
1/31/2001,13.33044,1/31/2001,4.874909526
2/28/2001,13.37,2/28/2001,0.296764398
3/30/2001,13.3644,3/30/2001,-0.041884817
4/30/2001,13.45811,4/30/2001,0.701191224
5/31/2001,14.02012,5/31/2001,4.175994995
6/29/2001,14.10428,6/29/2001,0.600280169
7/31/2001,13.41779,7/31/2001,-4.867245971
8/31/2001,12.20269,8/31/2001,-9.055887743
9/28/2001,10.12634,9/28/2001,-17.01551051
10/31/2001,10.20239,10/31/2001,0.751011718
11/30/2001,10.54416,11/30/2001,3.349901347
12/31/2001,10.46769,12/31/2001,-0.725235581
1/31/2002,10.54617,1/31/2002,0.749735615
2/28/2002,11.05378,2/28/2002,4.813216552
3/29/2002,11.54643,3/29/2002,4.456846436
4/30/2002,12.12398,4/30/2002,5.001978967
5/31/2002,11.99445,5/31/2002,-1.068378536
6/28/2002,11.60053,6/28/2002,-3.284185603
7/31/2002,11.14034,7/31/2002,-3.966973923
8/30/2002,11.34884,8/30/2002,1.871576631
9/30/2002,11.4885,9/30/2002,1.230610353
10/31/2002,10.92665,10/31/2002,-4.890542717
11/29/2002,11.44879,11/29/2002,4.778591792
12/31/2002,11.56377,12/31/2002,1.004298271
1/31/2003,10.69727,1/31/2003,-7.493231014
2/28/2003,10.89769,2/28/2003,1.873562133
3/31/2003,10.31989,3/31/2003,-5.302041075
4/30/2003,10.60055,4/30/2003,2.719602631
5/30/2003,11.13567,5/30/2003,5.04803996
6/30/2003,12.27075,6/30/2003,10.19318999
7/31/2003,12.39207,7/31/2003,0.988692623
8/29/2003,13.48126,8/29/2003,8.789411293
9/30/2003,14.00914,9/30/2003,3.915657735
10/31/2003,13.94801,10/31/2003,-0.436357978
11/28/2003,14.25427,11/28/2003,2.195725412
12/31/2003,15.40919,12/31/2003,8.102273915
1/30/2004,14.90125,1/30/2004,-3.296344584
2/27/2004,15.55022,2/27/2004,4.355137992
3/31/2004,16.6602,3/31/2004,7.13803406
4/30/2004,15.96939,4/30/2004,-4.14646883
5/31/2004,15.95432,5/31/2004,-0.094368038
6/30/2004,17.51404,6/30/2004,9.776160939
7/30/2004,17.30855,7/30/2004,-1.17328726
8/31/2004,17.34108,8/31/2004,0.187941798
9/30/2004,16.99118,9/30/2004,-2.017752066
10/29/2004,17.19807,10/29/2004,1.217631736
11/30/2004,16.71481,11/30/2004,-2.809966467
12/31/2004,17.87472,12/31/2004,6.939414806
1/31/2005,17.56957,1/31/2005,-1.707159609
2/28/2005,17.68032,2/28/2005,0.630351227
3/31/2005,17.02388,3/31/2005,-3.712828727
4/29/2005,16.49627,4/29/2005,-3.099234722
5/31/2005,16.39989,5/31/2005,-0.584253289
6/30/2005,16.39962,6/30/2005,-0.001646353
7/29/2005,17.16189,7/29/2005,4.648095505
8/31/2005,17.98437,8/31/2005,4.79247915
9/30/2005,19.96064,9/30/2005,10.98881974
10/31/2005,19.68258,10/31/2005,-1.393041506
11/30/2005,20.40423,11/30/2005,3.66644007
12/30/2005,21.5793,12/30/2005,5.758952923
1/31/2006,22.09303,1/31/2006,2.380661097
2/28/2006,22.56584,2/28/2006,2.140086715
3/31/2006,23.25898,3/31/2006,3.071633939
4/28/2006,24.95906,4/28/2006,7.309348905
5/31/2006,22.67723,5/31/2006,-9.142291416
6/30/2006,21.9696,6/30/2006,-3.120442841
7/31/2006,22.24557,7/31/2006,1.256144855
8/31/2006,22.80685,8/31/2006,2.523109095
9/29/2006,22.77394,9/29/2006,-0.144298752
10/31/2006,24.448,10/31/2006,7.350770222
11/30/2006,24.72695,11/30/2006,1.140993128
12/29/2006,26.50823,12/29/2006,7.203799903
1/31/2007,26.40518,1/31/2007,-0.388747193
2/28/2007,26.47217,2/28/2007,0.253700221
3/30/2007,25.19364,3/30/2007,-4.82971362
4/30/2007,24.38535,4/30/2007,-3.208309716
5/31/2007,24.31089,5/31/2007,-0.305347268
6/29/2007,25.4342,6/29/2007,4.620604182
7/31/2007,24.89901,7/31/2007,-2.104214011
8/31/2007,23.56781,8/31/2007,-5.346397307
9/28/2007,24.24233,9/28/2007,2.862039366
10/31/2007,24.87968,10/31/2007,2.629078971
11/30/2007,24.06187,11/30/2007,-3.287059962
12/31/2007,23.0219,12/31/2007,-4.322066406
1/31/2008,22.12984,1/31/2008,-3.874832225
2/29/2008,22.43998,2/29/2008,1.401456133
3/31/2008,20.46295,3/31/2008,-8.81030197
4/30/2008,21.17668,4/30/2008,3.487913522
5/30/2008,21.94048,5/30/2008,3.606797666
6/30/2008,20.75742,6/30/2008,-5.392133627
7/31/2008,19.09316,7/31/2008,-8.017663081
8/29/2008,19.24619,8/29/2008,0.801491215
9/30/2008,17.03899,9/30/2008,-11.46824384
10/31/2008,14.51649,10/31/2008,-14.80428124
11/28/2008,12.46071,11/28/2008,-14.16168785
12/31/2008,12.53747,12/31/2008,0.616016262
1/30/2009,12.74402,1/30/2009,1.647461569
2/27/2009,12.90466,2/27/2009,1.260512774
3/31/2009,12.81922,3/31/2009,-0.662086409
4/30/2009,15.88735,4/30/2009,23.93382749
5/29/2009,16.50298,5/29/2009,3.874969709
6/30/2009,16.39317,6/30/2009,-0.665394977
7/31/2009,18.36669,7/31/2009,12.0386722
8/31/2009,18.42163,8/31/2009,0.299128477
9/30/2009,17.58887,9/30/2009,-4.520555456
10/30/2009,18.02422,10/30/2009,2.475144793
11/30/2009,17.43309,11/30/2009,-3.279642614
12/31/2009,18.75991,12/31/2009,7.610928413
1/29/2010,18.0063,1/29/2010,-4.017130146
2/26/2010,17.67575,2/26/2010,-1.835746378
3/31/2010,18.74561,3/31/2010,6.05269932
4/30/2010,18.61623,4/30/2010,-0.690188263
5/31/2010,16.92747,5/31/2010,-9.071439276
6/30/2010,16.40811,6/30/2010,-3.068148991
7/30/2010,17.0096,7/30/2010,3.665809164
8/31/2010,16.84235,8/31/2010,-0.983268272
9/30/2010,18.18835,9/30/2010,7.99175887
10/29/2010,18.37781,10/29/2010,1.041655785
11/30/2010,19.28226,11/30/2010,4.921424261
12/31/2010,20.21728,12/31/2010,4.849120383
1/31/2011,21.37868,1/31/2011,5.744590766
2/28/2011,22.46341,2/28/2011,5.073886695
3/31/2011,19.80551,3/31/2011,-11.83213056
4/29/2011,20.02452,4/29/2011,1.105803385
5/31/2011,20.41861,5/31/2011,1.968037186
6/30/2011,20.70333,6/30/2011,1.394414213
7/29/2011,21.05183,7/29/2011,1.683304087
8/31/2011,18.05606,8/31/2011,-14.23044932
9/30/2011,17.63067,9/30/2011,-2.355940332
10/31/2011,17.5991,10/31/2011,-0.179062962
11/30/2011,16.71497,11/30/2011,-5.023722804
12/30/2011,16.90817,12/30/2011,1.155850115
1/31/2012,18.57386,1/31/2012,9.851391369
2/29/2012,20.4197,2/29/2012,9.937837369
3/30/2012,20.82827,3/30/2012,2.000861913
4/30/2012,19.99776,4/30/2012,-3.987417102
5/31/2012,18.33431,5/31/2012,-8.318181636
6/29/2012,19.01905,6/29/2012,3.734746494
7/31/2012,18.25544,7/31/2012,-4.01497446
8/31/2012,18.26928,8/31/2012,0.075813018
9/28/2012,17.78131,9/28/2012,-2.670986487
10/31/2012,17.736,10/31/2012,-0.254818121
11/30/2012,19.5824,11/30/2012,10.41046459
12/31/2012,21.06262,12/31/2012,7.558930468
1/31/2013,22.16807,1/31/2013,5.248397398
2/28/2013,23.08542,2/28/2013,4.138159073
3/29/2013,23.10783,3/29/2013,0.097074257
4/30/2013,25.32175,4/30/2013,9.580821739
5/31/2013,25.98275,5/31/2013,2.610404099
6/28/2013,25.72274,6/28/2013,-1.000702389
