Date,TPTRAN Index
1/4/1995,-1.69655
1/5/1995,0.05028
1/6/1995,-1.22812
1/9/1995,0.85675
1/10/1995,-0.3939
1/11/1995,1.16033
1/12/1995,0.43328
1/13/1995,-0.20533
1/17/1995,-0.93618
1/18/1995,-1.37769
1/19/1995,-1.45385
1/20/1995,-1.85938
1/23/1995,-4.32893
1/24/1995,1.0478
1/25/1995,0.65413
1/26/1995,0.06092
1/27/1995,-0.38251
1/30/1995,2.0505
1/31/1995,-2.94515
2/1/1995,0.28976
2/2/1995,-0.08699
2/3/1995,-0.77357
2/6/1995,0.82498
2/7/1995,-0.82454
2/8/1995,-0.20996
2/9/1995,-1.02074
2/10/1995,0.3943
2/13/1995,0.24319
2/14/1995,-1.36836
2/15/1995,-0.83352
2/16/1995,-0.07841
2/17/1995,0.83068
2/20/1995,-0.03186
2/21/1995,0.12781
2/22/1995,0.16624
2/23/1995,-0.8252
2/24/1995,-1.35546
2/27/1995,-3.71952
2/28/1995,2.36032
3/1/1995,-1.64364
3/2/1995,3.78346
3/3/1995,1.35167
3/6/1995,2.38287
3/7/1995,1.47764
3/8/1995,-2.47739
3/9/1995,1.01498
3/10/1995,-1.75404
3/13/1995,0.3324
3/14/1995,-1.24724
3/15/1995,3.42567
3/16/1995,-2.08956
3/17/1995,0.02806
3/20/1995,-0.99382
3/22/1995,-0.318
3/23/1995,-0.12542
3/24/1995,-1.27059
3/27/1995,2.01687
3/28/1995,2.45937
3/29/1995,0.80771
3/30/1995,-0.81552
3/31/1995,4.32177
4/3/1995,-3.96928
4/4/1995,0.82893
4/5/1995,0.80781
4/6/1995,0.47971
4/7/1995,0.68141
4/10/1995,2.37538
4/11/1995,0.25393
4/12/1995,0.2178
4/13/1995,0.24738
4/14/1995,-1.57472
4/17/1995,2.26838
4/18/1995,0.72356
4/19/1995,-0.11592
4/20/1995,-1.61496
4/21/1995,2.10285
4/24/1995,-1.71816
4/25/1995,2.35853
4/26/1995,-2.85109
