Date1,Price1
7/8/2010,6.6675
7/9/2010,6.6575
7/12/2010,6.6595
7/13/2010,6.657
7/14/2010,6.6585
7/15/2010,6.6588
7/16/2010,6.661
7/19/2010,6.6825
7/20/2010,6.6865
7/21/2010,6.6985
7/22/2010,6.7005
7/23/2010,6.6993
7/26/2010,6.6833
7/27/2010,6.686
7/28/2010,6.6945
7/29/2010,6.6855
7/30/2010,6.6885
8/2/2010,6.6735
8/3/2010,6.6753
8/4/2010,6.6835
8/5/2010,6.6845
8/6/2010,6.6705
8/9/2010,6.6705
8/10/2010,6.6648
8/11/2010,6.683
8/12/2010,6.689
8/13/2010,6.6935
8/16/2010,6.6945
8/17/2010,6.6765
8/18/2010,6.68
8/19/2010,6.6833
8/20/2010,6.6845
8/23/2010,6.6835
8/24/2010,6.6905
8/25/2010,6.6895
8/26/2010,6.6905
8/27/2010,6.6875
8/30/2010,6.705
8/31/2010,6.7205
9/1/2010,6.7035
9/2/2010,6.708
9/3/2010,6.698
9/6/2010,6.7025
9/7/2010,6.7115
9/8/2010,6.7075
9/9/2010,6.6895
9/10/2010,6.6555
9/13/2010,6.6475
9/14/2010,6.642
9/15/2010,6.659
9/16/2010,6.6333
9/17/2010,6.6215
9/20/2010,6.6065
9/21/2010,6.5775
9/22/2010,6.5645
9/23/2010,6.5785
9/24/2010,6.5535
9/27/2010,6.564
9/28/2010,6.566
9/29/2010,6.5435
9/30/2010,6.5335
10/1/2010,6.5135
10/4/2010,6.5245
10/5/2010,6.495
10/6/2010,6.464
10/7/2010,6.4825
10/8/2010,6.4655
10/11/2010,6.4365
10/12/2010,6.4485
10/13/2010,6.4485
10/14/2010,6.432
10/15/2010,6.3955
10/18/2010,6.4025
10/19/2010,6.4535
10/20/2010,6.409
10/21/2010,6.432
10/22/2010,6.461
10/25/2010,6.4495
10/26/2010,6.4848
10/27/2010,6.5035
10/28/2010,6.4603
10/29/2010,6.4475
11/1/2010,6.455
11/2/2010,6.4385
11/3/2010,6.4215
11/4/2010,6.4185
11/5/2010,6.4395
11/8/2010,6.4755
11/9/2010,6.4565
11/10/2010,6.4355
11/11/2010,6.444
11/12/2010,6.4585
11/15/2010,6.4898
11/16/2010,6.4965
11/17/2010,6.4875
11/18/2010,6.455
11/19/2010,6.4605
11/22/2010,6.4685
11/23/2010,6.51
11/24/2010,6.5035
11/25/2010,6.525
11/26/2010,6.5655
11/29/2010,6.554
11/30/2010,6.5445
12/1/2010,6.4935
12/2/2010,6.496
12/3/2010,6.4898
12/6/2010,6.5055
12/7/2010,6.4963
12/8/2010,6.5215
