"","ticker","short_name","country_full_name","industry_group","gics_sub_industry_name","date","chg_pct_1d","chg_pct_5d","rel_1d","rel_5d","rel_1m","rel_3m","last_price","eqy_rec_cons","tot_buy_rec","tot_sell_rec","tot_hold_rec","tot_analyst_rec","BEST_target_price","spr_val","spr","pct_1d_p_d","pct_5d_p_d","rel_1d_p_d","rel_5d_p_d","rel_1m_p_d","rel_3m_p_d","px_p_d","cons_p_d","buy_p_d","sell_p_d","hold_p_d","tot_recs_p_d","tp_p_d","spr_val_p_d","spr_p_d","pct_1d_p_w","pct_5d_p_w","rel_1d_p_w","rel_5d_p_w","rel_1m_p_w","rel_3m_p_w","px_p_w","cons_p_w","buy_p_w","sell_p_w","hold_p_w","tot_recs_p_w","tp_p_w","spr_val_p_w","spr_p_w","pct_1d_p_1m","pct_5d_p_1m","rel_1d_p_1m","rel_5d_p_1m","rel_1m_p_1m","rel_3m_p_1m","px_p_1m","cons_p_1m","buy_p_1m","sell_p_1m","hold_p_1m","tot_recs_p_1m","tp_p_1m","spr_val_p_1m","spr_p_1m","pct_1d_p_2m","pct_5d_p_2m","rel_1d_p_2m","rel_5d_p_2m","rel_1m_p_2m","rel_3m_p_2m","px_p_2m","cons_p_2m","buy_p_2m","sell_p_2m","hold_p_2m","tot_recs_p_2m","tp_p_2m","spr_val_p_2m","spr_p_2m","pct_1d_p_3m","pct_5d_p_3m","rel_1d_p_3m","rel_5d_p_3m","rel_1m_p_3m","rel_3m_p_3m","px_p_3m","cons_p_3m","buy_p_3m","sell_p_3m","hold_p_3m","tot_recs_p_3m","tp_p_3m","spr_val_p_3m","spr_p_3m","pct_1d_p_4m","pct_5d_p_4m","rel_1d_p_4m","rel_5d_p_4m","rel_1m_p_4m","rel_3m_p_4m","px_p_4m","cons_p_4m","buy_p_4m","sell_p_4m","hold_p_4m","tot_recs_p_4m","tp_p_4m","spr_val_p_4m","spr_p_4m","pct_1d_p_5m","pct_5d_p_5m","rel_1d_p_5m","rel_5d_p_5m","rel_1m_p_5m","rel_3m_p_5m","px_p_5m","cons_p_5m","buy_p_5m","sell_p_5m","hold_p_5m","tot_recs_p_5m","tp_p_5m","spr_val_p_5m","spr_p_5m","pct_1d_p_6m","pct_5d_p_6m","rel_1d_p_6m","rel_5d_p_6m","rel_1m_p_6m","rel_3m_p_6m","px_p_6m","cons_p_6m","buy_p_6m","sell_p_6m","hold_p_6m","tot_recs_p_6m","tp_p_6m","spr_val_p_6m","spr_p_6m","pct_1d_p_7m","pct_5d_p_7m","rel_1d_p_7m","rel_5d_p_7m","rel_1m_p_7m","rel_3m_p_7m","px_p_7m","cons_p_7m","buy_p_7m","sell_p_7m","hold_p_7m","tot_recs_p_7m","tp_p_7m","spr_val_p_7m","spr_p_7m","pct_1d_p_8m","pct_5d_p_8m","rel_1d_p_8m","rel_5d_p_8m","rel_1m_p_8m","rel_3m_p_8m","px_p_8m","cons_p_8m","buy_p_8m","sell_p_8m","hold_p_8m","tot_recs_p_8m","tp_p_8m","spr_val_p_8m","spr_p_8m","pct_1d_p_9m","pct_5d_p_9m","rel_1d_p_9m","rel_5d_p_9m","rel_1m_p_9m","rel_3m_p_9m","px_p_9m","cons_p_9m","buy_p_9m","sell_p_9m","hold_p_9m","tot_recs_p_9m","tp_p_9m","spr_val_p_9m","spr_p_9m","pct_1d_p_10m","pct_5d_p_10m","rel_1d_p_10m","rel_5d_p_10m","rel_1m_p_10m","rel_3m_p_10m","px_p_10m","cons_p_10m","buy_p_10m","sell_p_10m","hold_p_10m","tot_recs_p_10m","tp_p_10m","spr_val_p_10m","spr_p_10m","pct_1d_p_11m","pct_5d_p_11m","rel_1d_p_11m","rel_5d_p_11m","rel_1m_p_11m","rel_3m_p_11m","px_p_11m","cons_p_11m","buy_p_11m","sell_p_11m","hold_p_11m","tot_recs_p_11m","tp_p_11m","spr_val_p_11m","spr_p_11m","pct_1d_p_12m","pct_5d_p_12m","rel_1d_p_12m","rel_5d_p_12m","rel_1m_p_12m","rel_3m_p_12m","px_p_12m","cons_p_12m","buy_p_12m","sell_p_12m","hold_p_12m","tot_recs_p_12m","tp_p_12m","spr_val_p_12m","spr_p_12m","spr_v_p_1m","rel_i_p_1m","tp_v_p_1m","up_v_p_1m","down_v_p_1m","spr_v_p_2m","rel_i_p_2m","tp_v_p_2m","up_v_p_2m","down_v_p_2m","spr_v_p_3m","rel_i_p_3m","tp_v_p_3m","up_v_p_3m","down_v_p_3m","spr_v_p_4m","rel_i_p_4m","tp_v_p_4m","up_v_p_4m","down_v_p_4m","spr_v_p_5m","rel_i_p_5m","tp_v_p_5m","up_v_p_5m","down_v_p_5m","spr_v_p_6m","rel_i_p_6m","tp_v_p_6m","up_v_p_6m","down_v_p_6m","spr_v_p_7m","rel_i_p_7m","tp_v_p_7m","up_v_p_7m","down_v_p_7m","spr_v_p_8m","rel_i_p_8m","tp_v_p_8m","up_v_p_8m","down_v_p_8m","spr_v_p_9m","rel_i_p_9m","tp_v_p_9m","up_v_p_9m","down_v_p_9m","spr_v_p_10m","rel_i_p_10m","tp_v_p_10m","up_v_p_10m","down_v_p_10m","spr_v_p_11m","rel_i_p_11m","tp_v_p_11m","up_v_p_11m","down_v_p_11m","up_cor","down_cor","tp_cor","tp_avg"
"1","005490 KS Equity","POSCO","SOUTH KOREA","Iron/Steel","Steel","2015-06-12",-2.8078,-1.7467,NA,-1,-10,-17,225000,4.474,30,2,6,38,320642.844,95642.844,0.43,1.5351,-1.2793,NA,0,-8,-17,231500,4.474,30,2,6,38,321535.719,90035.719,0.39,-2.3454,-6.1475,NA,-4,-10,-20,229000,4.474,30,2,6,38,322607.156,93607.156,0.41,-0.1946,-2.2857,NA,-1,1,-9,256500,4.474,30,2,6,38,323576.938,67076.938,0.26,0.998,5.4167,NA,3,-10,-20,253000,4.538,32,2,5,39,333370.375,80370.375,0.32,-2.974,-5.6058,NA,-4,-2,-11,261000,4.6,33,1,6,40,342448.281,81448.281,0.31,-0.759,-0.1908,NA,0,-11,-12,261500,4.6,33,1,6,40,354034.469,92534.469,0.35,0,4.1219,NA,4,2,-3,290500,4.628,36,1,6,43,394076.938,103576.938,0.36,-1.0399,-6.3934,NA,-3,-3,-16,285500,4.644,38,1,6,45,395777.781,110277.781,0.39,0.3344,3.2702,NA,1,-3,-4,3e+05,4.628,36,1,6,43,395366.656,95366.656,0.32,-1.4587,-4.252,NA,-2,-8,4,304000,4.636,37,1,6,44,398322.594,94322.594,0.31,1.9774,8.7349,NA,9,11,22,361000,4.689,39,1,5,45,387500,26500,0.07,0.463,0.463,NA,2,8,2,325500,4.682,38,1,5,44,373214.281,47714.281,0.15,-1.9967,-2.8053,NA,-2,1,-5,294500,4.733,40,1,4,45,366733.344,72233.344,0.25,-0.5102,1.2111,NA,1,-7,1,292500,4.733,40,1,4,45,366375,73875,0.25,-0.06,11,-0.0293770464757103,0,-1,0.01,-8,-0.0265088379871296,0,-1,-0.04,9,-0.0327261580849066,0,0,-0.01,-13,-0.101610790022937,0,0,-0.03,5,-0.00429746964496724,0,0,0.07,0,0.00103985754428416,0,0,0.01,5,-0.00742096492773886,0,0,0.24,-19,0.0279292748387096,0,-1,-0.08,3,0.038277525076807,0,0,-0.17,18,0.119518436513742,2,0,-0.07,11,0.100077785856047,3,0,0.429877021390711,0.28712027621927,0.205796676108497,0.0068
"2","015760 KS Equity","KOREA ELEC POWER","SOUTH KOREA","Electric","Electric Utilities","2015-06-12",-0.7982,-2.9018,NA,-2,-6,-1,43500,4.931,28,0,1,29,58690.477,15190.477,0.35,0.3432,-1.4607,NA,-1,-4,-3,43850,4.931,28,0,1,29,58690.477,14840.477,0.34,0.6742,-3.0303,NA,-1,-4,-3,44800,4.931,28,0,1,29,59075,14275,0.32,0.641,-1.7727,NA,0,7,-3,47100,4.931,28,0,1,29,59075,11975,0.25,1.2761,-6.4309,NA,-8,-6,-4,43650,4.933,29,0,1,30,58252.633,14602.633,0.33,-3.4325,-4.955,NA,-4,-7,-12,42200,4.933,29,0,1,30,57990.91,15790.91,0.37,3.2184,5.7715,NA,6,6,2,44900,4.935,30,0,1,31,58116.668,13216.668,0.29,0,-0.5952,NA,-1,-11,-13,41750,4.818,30,0,3,33,57969.566,16219.566,0.39,1.8478,1.6269,NA,5,8,14,46850,4.771,31,0,4,35,58637.5,11787.5,0.25,-4.9041,-6.499,NA,-8,-10,6,44600,4.771,31,0,4,35,58230.434,13630.434,0.31,0.2058,-0.1026,NA,3,22,30,48700,4.829,32,0,3,35,55034.617,6334.617,0.13,2.1127,3.6949,NA,4,0,10,43500,4.771,31,0,4,35,51596,8096,0.19,0.5767,0.5767,NA,2,11,2,43600,4.611,30,1,5,36,51073.078,7473.078,0.17,-1.0376,2.4161,NA,3,1,-3,38150,4.714,30,0,5,35,48212.5,10062.5,0.26,1.5686,-1.7699,NA,-2,-7,3,38850,4.6,29,1,5,35,48350,9500,0.24,-0.08,13,0.0141172502880685,0,0,-0.04,1,0.00451317284036409,0,0,0.08,-13,-0.00216388867992216,0,0,-0.1,17,0.00253757290506537,0,0,0.14,-19,-0.0113909017267107,0,0,-0.06,18,0.00699060563416029,0,0,0.18,-32,0.0580692148725229,0,-1,-0.06,22,0.0666450306225288,1,0,0.02,-11,0.0102387014935736,2,0,-0.16,17,-0.123248592042183,0,0,-0.07,7,-0.172355007541033,0,0,0.175414614886983,0.278727990253838,-0.077459254184924,-0.0123
"3","034220 KS Equity","LG DISPLAY CO LT","SOUTH KOREA","Electronics","Electronic Components","2015-06-12",-2.7273,-7.1181,NA,-6,-7,-18,26750,4.537,34,2,5,41,40700,13950,0.52,-1.7857,-8.0268,NA,-7,-6,-14,27500,4.537,34,2,5,41,40700,13200,0.48,-3.6789,-1.5385,NA,1,-1,-13,28800,4.537,34,2,5,41,40986.207,12186.207,0.42,-2.0067,-2.6578,NA,-1,-5,-25,29300,4.537,34,2,5,41,41414.285,12114.285,0.41,0.3273,-3.0063,NA,-5,-5,-20,30650,4.537,34,2,5,41,41435.715,10785.715,0.35,1.6181,-1.5674,NA,0,-14,-15,31400,4.537,34,2,5,41,41690,10290,0.33,2.4113,3.7356,NA,4,2,6,36100,4.537,34,2,5,41,42190,6090,0.17,-0.1422,8.3333,NA,8,-2,5,35100,4.5,34,2,6,42,41510.344,6410.344,0.18,3.913,2.5751,NA,6,7,10,35850,4.523,36,2,6,44,41418.184,5568.184,0.16,-0.1449,5.1908,NA,3,1,8,34450,4.548,35,2,5,42,41327.273,6877.273,0.2,-0.1477,3.5222,NA,6,5,8,33800,4.512,35,2,6,43,40430.305,6630.305,0.2,-1.2784,0.2886,NA,1,4,16,34750,4.614,37,1,6,44,38662.855,3912.855,0.11,0,-2.2059,NA,-1,1,16,33250,4.614,37,1,6,44,37548.57,4298.57,0.13,-0.4637,-1.227,NA,0,11,17,32200,4.614,36,0,8,44,35093.938,2893.938,0.09,0.1695,8.8398,NA,9,5,23,29550,4.591,35,0,9,44,33675.758,4125.758,0.14,0.06,0,-0.000517186683034021,0,0,0.02,9,-0.00609942432237955,0,0,0.16,-16,-0.0118511495615075,0,0,-0.00999999999999998,4,0.016373171949623,0,0,0.02,-9,0.00222510962817675,0,0,-0.04,6,0.00219978221161604,0,0,0,-4,0.0221855363198472,0,0,0.09,1,0.0457144202103026,0,-2,-0.02,3,0.0296758305309631,0,0,-0.22,6,-0.0938114619236086,1,0,-0.26,16,-0.153050985122376,2,0,0.296078885962667,0.0714313187988652,-0.200115282926335,-0.001
"4","055550 KS Equity","SHINHAN FINANCIA","SOUTH KOREA","Diversified Finan Serv","Diversified Banks","2015-06-12",-1.4218,3.7406,NA,5,-6,-5,41600,4.703,32,0,5,37,53761.539,12161.539,0.29,0.2375,3.9409,NA,5,-2,-1,42200,4.703,32,0,5,37,53761.539,11561.539,0.27,-1.2315,-4.2959,NA,-2,-10,-7,40100,4.694,31,0,5,36,53866.668,13766.668,0.34,2.5057,-2.1739,NA,-1,11,1,45000,4.649,31,0,6,37,53841.668,8841.668,0.2,2.6718,-2.5362,NA,-5,-9,-17,40350,4.667,33,0,6,39,54827.586,14477.586,0.36,2.1898,0.3584,NA,2,0,-15,42000,4.615,32,0,7,39,55541.379,13541.379,0.32,-2.2512,-4.6243,NA,-4,-6,-15,41250,4.564,31,0,8,39,56092.855,14842.855,0.36,-3.4406,-1.5837,NA,-2,-10,-9,43500,4.553,30,0,8,38,57528.57,14028.57,0.32,-1.1294,-2.0346,NA,1,0,-2,48150,4.564,31,0,8,39,57741.379,9591.379,0.2,0.8188,-0.1014,NA,-2,1,2,49250,4.447,29,1,8,38,55920,6670,0.14,1.7951,0.6263,NA,3,-4,7,48200,4.378,27,1,9,37,56948.148,8748.148,0.18,0.7722,1.1628,NA,2,4,12,52200,4.324,26,1,10,37,56337.035,4137.035,0.08,0.4,-1.1811,NA,0,7,7,50200,4.486,28,0,9,37,53714.816,3514.816,0.07,-1.6112,-0.1091,NA,1,0,-1,45800,4.541,29,0,8,37,52800,7000,0.15,-0.6494,0.5476,NA,0,-1,-1,45900,4.553,30,0,8,38,52103.449,6203.449,0.14,-0.16,20,-0.0179821522691151,0,0,0.04,-9,-0.0128515534337021,1,0,-0.04,6,-0.00983148388506883,1,0,0.04,4,-0.024956556368427,0,0,0.12,-10,-0.00368555451368768,0,0,0.06,-1,0.0325711552217454,2,0,-0.04,5,-0.0180541077472792,1,0,0.1,-8,0.0108474469769309,1,0,0.01,-3,0.0488174249726557,0,-3,-0.29,16,-0.0202958051080346,0,-3,-0.21,9,-0.0369811284414383,0,-2,-0.0781896391115838,-0.254569572148075,-0.251372671530514,-0.0015
"5","1055 HK Equity","CHINA SOUTHERN-H","CHINA","Airlines","Airlines","2015-06-12",3.799,5.875,NA,5.796,15.931,89.942,8.47,3.778,10,3,5,18,8.472,0.00199999999999889,0,-1.2107,2.6415,NA,5.098,17.072,85.377,8.16,3.778,10,3,5,18,8.472,0.311999999999999,0.04,0.6289,0.6289,NA,1.234,14.401,101.13,8,3.778,10,3,5,18,8.095,0.0950000000000006,0.01,2.2284,3.0899,NA,4.4,-6.957,75.35,7.34,3.889,10,2,6,18,7.909,0.569,0.08,3.2895,44.0367,NA,31.512,86.914,66.708,7.85,4.263,13,1,5,19,5.754,-2.096,-0.27,0.2577,10.1983,NA,12.028,7.025,1.341,3.89,4.4,15,1,4,20,4.819,0.929,0.24,0.8108,-4.8469,NA,-3.509,-9.169,11.466,3.73,4.4,15,1,4,20,4.771,1.041,0.28,-2.1792,3.856,NA,2.537,4.248,44.862,4.04,4.4,15,1,4,20,4.41,0.37,0.09,-2.8497,8.0692,NA,11.571,17.717,48.581,3.75,4.095,13,2,6,21,3.802,0.052,0.01,1.8634,11.9454,NA,10.811,18.044,26.702,3.28,4,12,2,7,21,3.22,-0.0600000000000001,-0.02,-2.8986,3.4749,NA,3.367,5.429,12.394,2.68,4,11,1,9,21,2.972,0.292,0.11,-1.8382,-2.5547,NA,0.229,0.383,1.037,2.67,4.217,15,1,7,23,3.027,0.357,0.13,-1.1111,-2.1978,NA,-2.361,3.397,6.055,2.67,4.091,13,1,8,22,2.876,0.206,0.08,1.25,0.4132,NA,1.766,0.933,-6.383,2.43,4.091,13,1,8,22,2.951,0.521,0.21,3.3195,10.177,NA,9.866,5.368,-6.987,2.49,4,12,2,6,20,3.068,0.578,0.23,0.35,-93.871,0.374522071602364,0,-3,-0.51,79.889,0.194023656360241,0,-1,-0.04,16.194,0.0100607839027458,0,0,0.19,-13.417,0.0818594104308389,0,0,0.08,-13.469,0.159915833771699,3,0,0.03,-0.327000000000002,0.180745341614907,1,0,-0.13,12.615,0.0834454912516824,2,0,-0.02,5.046,-0.0181698050875455,0,-2,0.05,-3.014,0.0525034770514604,1,0,0.35,-83.517,-0.500173792144595,0,0,0.48,-85.981,-0.487139381299965,0,0,0.0353286579523497,0.18650500122128,0.348559266168692,0.0093
"6","105560 KS Equity","KB FINANCIAL GRO","SOUTH KOREA","Diversified Finan Serv","Diversified Banks","2015-06-12",-2.375,1.8253,NA,3,-3,-2,39050,4.583,29,0,7,36,48915.383,9865.383,0.25,0.1252,3.2258,NA,4,0,5,40000,4.583,29,0,7,36,48915.383,8915.383,0.22,-1.0323,-4.7205,NA,-3,-5,-1,38350,4.571,28,0,7,35,48866.668,10516.668,0.27,1.3547,-1.3189,NA,0,9,4,41150,4.583,29,0,7,36,48283.332,7133.332,0.17,2.5815,-3.2051,NA,-5,-2,-6,37750,4.658,32,0,6,38,46842.855,9092.855,0.24,4.0928,2.0053,NA,3,2,-3,38150,4.718,34,0,5,39,47468.965,9318.965,0.24,-0.6748,1.238,NA,2,2,-8,36800,4.769,35,0,4,39,47203.332,10403.332,0.28,-2.9851,0.9887,NA,1,-7,-6,35750,4.763,34,0,4,38,48003.57,12253.57,0.34,1.0512,-1.4103,NA,2,-3,-1,38450,4.769,35,0,4,39,47858.621,9408.621,0.24,0.3713,-2.7578,NA,-5,4,3,40550,4.816,35,0,3,38,48044.828,7494.828,0.18,-0.9044,1.9947,NA,5,-3,11,38350,4.378,28,2,7,37,46044.828,7694.828,0.2,0.6112,-2.3725,NA,-2,0,13,41150,4.361,27,2,7,36,46011.539,4861.539,0.12,0.6143,2.1197,NA,3,13,11,40950,4.306,26,2,8,36,44220.832,3270.832,0.08,-0.7003,2.3088,NA,3,1,-5,35450,4.25,25,2,9,36,43940.742,8490.742,0.24,0.8451,4.3732,NA,4,-1,-7,35800,4.289,27,2,9,38,44014.285,8214.285,0.23,-0.07,11,0.0307512639867916,0,-1,0,-4,-0.0131898810096237,0,-1,-0.04,0,0.00562742053887201,0,-1,-0.06,9,-0.0166703851401052,0,0,0.1,-4,0.00302869152874255,0,0,0.06,-7,-0.00387569292578178,0,0,-0.02,7,0.0434359316099519,8,0,0.08,-3,0.000723492426541184,0,0,0.04,-13,0.040494647409619,1,0,-0.16,15,-0.0559748759976308,0,-6,0,3,-0.0619542297325815,0,-7,0.156935500416501,-0.209671339174648,-0.228098090818972,4e-04
"7","1088 HK Equity","CHINA SHENHUA-H","CHINA","Coal","Coal & Consumable Fuels","2015-06-12",0.7368,0.2094,NA,0.135,0.15,-11.377,19.14,3.667,14,5,8,27,22.299,3.159,0.17,-0.8351,-1.2474,NA,1.116,0.784,-10.727,19,3.667,14,5,8,27,22.299,3.299,0.17,-0.7277,0.2099,NA,0.813,-2.472,-11.621,19.1,3.741,15,5,7,27,22.299,3.199,0.17,-1.1329,-3.7111,NA,-2.487,-11.956,-16.745,19.2,3.714,15,5,8,28,22.295,3.095,0.16,0.463,9.596,NA,0.066,-2.491,-16.707,21.7,3.857,16,4,8,28,22.834,1.134,0.05,0.4264,-1.7727,NA,-0.142,-5.917,-18.379,18.84,4,17,3,8,28,23.43,4.59,0.24,0.7353,-1.6746,NA,-0.292,-10.146,-5.655,20.55,4.111,17,2,8,27,24.144,3.594,0.17,-1.5317,-4.0512,NA,-5.27,-3.45,0.1,22.5,4.143,18,2,8,28,24.832,2.332,0.1,-0.4415,-3.838,NA,-0.722,8.751,5.556,22.55,4.097,21,4,6,31,24.527,1.977,0.09,0.4706,0,NA,-1.013,-4.666,-7.479,21.35,4.188,23,4,5,32,24.881,3.531,0.17,0.232,-1.1442,NA,-1.247,0.489,0.652,21.6,4.25,24,4,4,32,25.634,4.034,0.19,-0.6593,-3.0043,NA,-0.233,-4.679,-3.424,22.6,4.188,23,4,5,32,25.871,3.271,0.14,1.0616,1.4925,NA,1.323,3.448,-0.879,23.8,4.281,24,3,5,32,25.155,1.355,0.06,0.2315,-0.9153,NA,0.419,-1.936,-3.659,21.65,4.219,23,3,6,32,24.853,3.203,0.15,-0.2262,2.3202,NA,2.032,-2.167,7.973,22.05,4.061,22,4,7,33,24.674,2.624,0.12,0.11,-9.465,-0.0236051502145922,0,-2,-0.19,3.426,-0.0254374733247973,0,-2,0.07,4.229,-0.029572564612326,0,0,0.07,-6.696,-0.0277061855670104,0,0,0.01,-12.201,0.0124352754107718,2,0,-0.08,13.417,-0.0142277239660785,0,-1,-0.02,-5.155,-0.0293750487633612,0,-1,0.05,5.168,-0.00916083645780984,1,0,0.08,-8.127,0.0284635261379446,0,-2,0.01,5.939,0.101646667250591,5,0,0.1,0.555,0.0884207760357363,4,0,-0.277884852451683,-0.0992339234730842,-0.280252102128056,0.007
"8","1171 HK Equity","YANZHOU COAL-H","CHINA","Coal","Coal & Consumable Fuels","2015-06-12",1.8705,-0.8403,NA,-0.914,0.464,1.582,7.08,1.864,0,13,9,22,6.009,-1.071,-0.15,-0.9972,-3.8728,NA,-1.572,-0.149,-0.55,6.95,1.864,0,13,9,22,6.009,-0.941,-0.14,-1.2448,3.9301,NA,4.555,-3.07,1.225,7.14,1.864,0,13,9,22,5.97,-1.17,-0.16,-1.2552,-5.6,NA,-4.4,-21.107,-0.334,7.08,1.739,0,15,8,23,5.819,-1.261,-0.18,-1.8681,34.6908,NA,22.979,25.598,16.552,8.93,2.043,1,12,10,23,6.038,-2.892,-0.32,-1.2987,-2.8754,NA,-1.263,-1.43,-7.91,6.08,2.087,1,11,11,23,6.079,-0.00100000000000033,0,3.0945,2.0968,NA,3.532,-5.214,-9.817,6.33,2,0,11,11,22,6.014,-0.316,-0.05,-2.2321,-6.4103,NA,-7.599,-1.435,-1.505,6.57,2.13,0,10,13,23,5.962,-0.608000000000001,-0.09,-1.2251,-5.8394,NA,-2.788,-3.472,2.763,6.45,2.154,2,13,11,26,5.769,-0.681,-0.11,1.7751,7.5,NA,6.411,3.523,6.545,6.88,2.148,2,14,11,27,5.716,-1.164,-0.17,0.7862,-0.311,NA,-0.415,1.463,10.098,6.41,2.222,2,13,12,27,5.563,-0.847,-0.13,-0.4498,-4.3228,NA,-1.59,0.081,-0.69,6.64,2.222,2,13,12,27,5.488,-1.152,-0.17,0.4525,-0.1499,NA,-0.316,6.225,-0.413,6.66,2.321,3,13,12,28,4.967,-1.693,-0.25,0.6826,-0.8403,NA,0.495,-4.278,-10.541,5.9,2.321,3,13,12,28,5.342,-0.558000000000001,-0.09,2.107,2.7732,NA,2.483,0.36,19.078,6.3,2.25,3,14,11,28,5.372,-0.928,-0.15,0.14,-46.705,-0.0362702881748924,0,-4,-0.32,27.028,-0.00674453035038649,0,-1,0.05,3.784,0.0108081143997339,0,0,0.04,-3.779,0.00872190540087227,0,-1,0.02,2.037,0.0334546715201941,2,0,0.06,-6.995,0.00927221833449964,0,0,-0.04,2.06,0.0275031457846487,0,-1,0.04,1.382,0.0136661807580175,0,0,0.08,-6.144,0.104892289108114,0,0,0.07,-19.373,-0.177376614773104,0,0,0.23,-29.876,-0.115269956939384,0,0,0.348265925023445,0.412754917061442,0.13833147428887,0.0199
"9","1398 HK Equity","ICBC-H","CHINA","Banks","Diversified Banks","2015-06-12",1.5198,0.9063,NA,0.831,3.246,6.337,6.68,4.571,29,0,6,35,7.599,0.919,0.14,1.0753,-2.5185,NA,-0.185,3.012,7.806,6.58,4.571,29,0,6,35,7.599,1.019,0.15,-1.9259,-1.9259,NA,-1.336,3.379,8.198,6.62,4.571,29,0,6,35,7.561,0.941,0.14,-1.2158,-0.3067,NA,0.96,3.158,3.8,6.5,4.571,29,0,6,35,7.492,0.992,0.15,0.9662,9.6154,NA,0.084,1.178,-4.027,6.27,4.5,27,0,7,34,6.843,0.573,0.09,1.8587,0.9208,NA,2.596,0.784,1.203,5.48,4.559,28,0,6,34,6.88,1.4,0.26,1.2704,-1.5873,NA,-0.204,-3.352,8.305,5.58,4.559,28,0,6,34,6.768,1.188,0.21,-0.8726,-2.069,NA,-3.313,3.899,11.621,5.68,4.5,27,0,7,34,6.627,0.947,0.17,-0.7505,-3.4672,NA,-0.339,7.857,8.455,5.29,4.472,29,1,6,36,6.398,1.108,0.21,0,0.3976,NA,-0.62,-0.393,-0.602,5.05,4.306,27,2,7,36,6.07,1.02,0.2,-1.6097,0.4107,NA,0.306,0.818,-1.365,4.89,4.378,29,2,6,37,6.137,1.247,0.26,-0.1934,-2.6415,NA,0.14,-1.15,-0.164,5.16,4.486,31,2,4,37,6.092,0.931999999999999,0.18,0.1912,0,NA,-0.167,-0.984,0.1,5.24,4.432,30,2,5,37,6.116,0.875999999999999,0.17,-0.2004,-0.5988,NA,0.74,-4.864,2.51,4.98,4.432,30,2,5,37,6.175,1.195,0.24,-7.0611,-5.8027,NA,-6.068,-0.889,3.659,4.87,4.432,30,2,5,37,6.061,1.191,0.24,0.06,1.98,0.0948414438111939,1,0,-0.17,0.394,-0.00537790697674418,0,-1,0.05,4.136,0.016548463356974,0,0,0.04,-7.251,0.0212765957446809,1,0,-0.04,-3.958,0.03579243513598,1,0,0.00999999999999998,8.25,0.0540362438220757,3,0,-0.06,-1.211,-0.0109173863451198,0,-1,0.08,1.968,0.00738673670387407,0,-2,0.00999999999999998,-0.166,-0.0039241334205363,1,0,0.08,-2.162,-0.106239953236884,2,0,0.15,-6.042,-0.0976180037995032,2,0,-0.0814158211916503,0.056872393091948,-0.0590537894557705,8e-04
"10","2318 HK Equity","PING AN-H","CHINA","Insurance","Life & Health Insurance","2015-06-12",2.7728,3.3273,NA,3.25,3.807,20.834,114.9,4.571,25,2,1,28,130.155,15.255,0.13,2.0073,-0.8865,NA,1.486,3.012,20.252,111.8,4.571,25,2,1,28,129.963,18.163,0.16,-1.4184,-2.5416,NA,-1.955,5.518,20.279,111.2,4.571,25,2,1,28,129.963,18.763,0.17,-0.5367,3.6347,NA,4.952,6.091,19.384,111.2,4.571,25,2,1,28,121.762,10.562,0.09,6.1038,11.9099,NA,2.179,11.793,10.017,104.3,4.655,27,2,0,29,106.132,1.83200000000001,0.02,1.2203,1.0969,NA,2.775,2.561,9.51,82.95,4.7,28,2,0,30,99.408,16.458,0.2,0.4843,0,NA,1.406,-1.084,37.077,83,4.69,27,2,0,29,96.49,13.49,0.16,-0.7216,0.3647,NA,-0.91,7.945,34.796,82.55,4.679,26,2,0,28,90.676,8.126,0.1,0.4071,1.3699,NA,4.655,28.379,22.511,74,4.69,27,2,0,29,84.521,10.521,0.14,-1.412,-4.1195,NA,-5.091,-2.73,-6.331,59.35,4.69,26,1,2,29,84.019,24.669,0.42,-1.7529,-0.1696,NA,-0.273,-1.838,0.226,58.85,4.552,25,2,2,29,83.747,24.897,0.42,0,-3.5472,NA,-0.792,-1.845,-1.938,63.9,4.621,26,2,1,29,83.957,20.057,0.31,-0.8346,-0.8346,NA,-1,4.497,3.014,65.35,4.679,25,1,2,28,81.227,15.877,0.24,-0.423,-2.9678,NA,-1.661,-3.426,-5.101,58.85,4.533,26,3,1,30,79.752,20.902,0.36,0.6557,1.6556,NA,1.369,3.112,-4.087,61.4,4.645,28,2,1,31,80.601,19.201,0.31,0.07,-5.702,0.147269438058267,0,-1,-0.18,9.232,0.0676404313536134,0,0,0.04,3.645,0.0302414758006012,0,0,0.06,-9.029,0.0641183995765141,0,0,-0.04,-20.434,0.0728221388767289,0,0,-0.28,31.109,0.00597483902450631,2,0,0,-0.892,0.0032478775359118,2,0,0.11,0.0069999999999999,-0.00250128041735643,0,-1,0.07,-6.342,0.0336095140778311,1,0,0.22,-7.296,-0.234660611314212,2,0,0.34,-15.219,-0.248558398974862,0,-2,0.253601486488789,0.194625597173087,0.179081315358452,-0.0052
