Date,TPX
4/20/2012,-0.27
4/23/2012,-0.3
4/24/2012,-0.69
4/25/2012,0.69
4/26/2012,0.08
4/27/2012,-0.72
5/1/2012,-1.84
5/2/2012,0.43
5/7/2012,-2.62
5/8/2012,0.58
5/9/2012,-1.38
5/10/2012,-0.05
5/11/2012,-0.92
5/14/2012,-0.22
5/15/2012,-1.23
5/16/2012,-1.14
5/17/2012,1.12
5/18/2012,-2.89
5/21/2012,-0.05
5/22/2012,1.13
5/23/2012,-1.6
5/24/2012,0.09
5/25/2012,-0.02
5/28/2012,-0.14
5/29/2012,0.82
5/30/2012,-0.47
5/31/2012,-0.57
6/1/2012,-1.47
6/4/2012,-1.89
6/5/2012,1.83
6/6/2012,1.46
6/7/2012,1.7
6/8/2012,-1.78
6/11/2012,1.72
6/12/2012,-0.78
6/13/2012,0.29
6/14/2012,-0.11
6/15/2012,0.13
6/18/2012,1.68
6/19/2012,-0.56
6/20/2012,1.72
6/21/2012,0.89
6/22/2012,-0.4
6/25/2012,-0.76
6/26/2012,-0.85
6/27/2012,0.89
6/28/2012,1.79
6/29/2012,1.49
7/2/2012,-0.1
7/3/2012,1.01
7/4/2012,0.2
7/5/2012,-0.3
7/6/2012,-0.58
7/9/2012,-1.02
7/10/2012,-0.7
7/11/2012,-0.17
7/12/2012,-1.29
7/13/2012,-0.15
7/17/2012,-0.4
7/18/2012,-0.39
7/19/2012,0.9
7/20/2012,-1.78
7/23/2012,-1.8
7/24/2012,-0.41
7/25/2012,-1.56
7/26/2012,1.2
7/27/2012,1.61
7/30/2012,0.73
7/31/2012,0.62
8/1/2012,-0.89
8/2/2012,0.44
8/3/2012,-1.23
8/6/2012,1.63
8/7/2012,1.08
8/8/2012,0.26
8/9/2012,0.83
8/10/2012,-0.67
8/13/2012,0.02
8/14/2012,0.35
8/15/2012,-0.29
8/16/2012,1.58
8/17/2012,0.88
8/20/2012,-0.15
8/21/2012,0.08
8/22/2012,-0.33
8/23/2012,0.24
8/24/2012,-0.96
8/27/2012,-0.25
8/28/2012,-1.2
8/29/2012,0.5
8/30/2012,-0.83
8/31/2012,-1.63
9/3/2012,-0.41
9/4/2012,-0.27
9/5/2012,-1.18
9/6/2012,0.13
9/7/2012,2.25
9/10/2012,0.3
9/11/2012,-0.69
9/12/2012,1.31
9/13/2012,0.32
9/14/2012,1.7
9/18/2012,0.2
9/19/2012,0.85
9/20/2012,-1.44
9/21/2012,0.34
9/24/2012,-0.36
9/25/2012,0.53
9/26/2012,-2
9/27/2012,0.41
9/28/2012,-1.1
10/1/2012,-0.69
10/2/2012,-0.16
10/3/2012,-0.52
10/4/2012,1.1
10/5/2012,0.24
10/9/2012,-1.28
10/10/2012,-1.49
10/11/2012,-0.4
10/12/2012,0.61
10/15/2012,0.65
10/16/2012,1.3
10/17/2012,1.01
10/18/2012,1.69
10/19/2012,0.28
10/22/2012,-0.09
10/23/2012,-0.58
10/24/2012,-0.81
10/25/2012,1.1
10/26/2012,-1.36
10/29/2012,-0.13
10/30/2012,-0.92
10/31/2012,1.21
11/1/2012,0.13
11/2/2012,1.18
11/5/2012,-0.55
11/6/2012,-0.41
11/7/2012,0.11
11/8/2012,-1.39
11/9/2012,-0.63
11/12/2012,-1.12
11/13/2012,0
11/14/2012,-0.02
11/15/2012,2.09
11/16/2012,1.88
11/19/2012,1.44
11/20/2012,-0.02
11/21/2012,0.65
11/22/2012,1.23
11/26/2012,0.4
11/27/2012,0.27
11/28/2012,-1.31
11/29/2012,1.04
11/30/2012,0.26
12/3/2012,0.03
12/4/2012,0.03
12/5/2012,-0.01
12/6/2012,0.88
12/7/2012,0.19
12/10/2012,-0.22
12/11/2012,-0.31
12/12/2012,0.66
12/13/2012,1
12/14/2012,0.23
12/17/2012,0.85
12/18/2012,1.12
12/19/2012,2.75
12/20/2012,-0.09
12/21/2012,-0.7
12/25/2012,0.64
12/26/2012,1.16
12/27/2012,0.75
12/28/2012,0.67
1/4/2013,3.34
1/7/2013,-0.84
1/8/2013,-1.04
1/9/2013,0.82
1/10/2013,1.13
1/11/2013,1.09
1/15/2013,0.84
1/16/2013,-2
1/17/2013,0.26
1/18/2013,2.36
1/21/2013,-0.69
1/22/2013,-0.44
1/23/2013,-1.48
1/24/2013,1.11
1/25/2013,2.17
1/28/2013,-0.36
1/29/2013,0.76
1/30/2013,1.51
1/31/2013,0.6
2/1/2013,0.26
2/4/2013,1.39
2/5/2013,-1.68
2/6/2013,3.1
2/7/2013,0.04
2/8/2013,-1.22
2/12/2013,1.16
2/13/2013,-1.19
2/14/2013,-0.22
2/15/2013,-1.31
2/18/2013,2.15
2/19/2013,0.1
2/20/2013,1.05
2/21/2013,-1.11
2/22/2013,0.06
2/25/2013,1.79
2/26/2013,-1.42
2/27/2013,-1.35
2/28/2013,2.3
3/1/2013,0.89
3/4/2013,0.8
3/5/2013,-0.37
3/6/2013,1.48
3/7/2013,0.11
3/8/2013,1.61
3/11/2013,1.91
3/12/2013,-0.39
3/13/2013,-0.43
3/14/2013,0.65
3/15/2013,1.3
3/18/2013,-2.22
3/19/2013,1.71
3/21/2013,1.17
3/22/2013,-1.85
3/25/2013,0.84
3/26/2013,-0.27
3/27/2013,0.2
3/28/2013,-0.93
3/29/2013,-0.2
4/1/2013,-3.3
4/2/2013,-0.92
4/3/2013,1.93
4/4/2013,2.7
4/5/2013,2.74
4/8/2013,3.33
4/9/2013,0.03
4/10/2013,1.72
4/11/2013,2.34
4/12/2013,0.11
4/15/2013,-1.27
4/16/2013,-1.3
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
