,1171 HK Equity,,.CHCOALIN G Index,,CLSPCHQI Index,,1171 HK Equity,,.CHCOALIN G Index,,CLSPCHQI Index
10/29/2010,22.3,10/29/2010,19698700,10/29/2010,119.5,10/29/2010,2.5287,10/29/2010,0.00,10/29/2010,3.08
11/5/2010,24.6,11/5/2010,20118000,11/12/2010,127.32,11/5/2010,10.3139,11/5/2010,2.13,11/12/2010,6.54
11/12/2010,23.95,11/12/2010,20294000,11/26/2010,129,11/12/2010,-2.6423,11/12/2010,0.87,11/26/2010,1.32
11/19/2010,22.3,11/19/2010,20270700,12/10/2010,127.83,11/19/2010,-6.8894,11/19/2010,-0.11,12/10/2010,-0.91
11/26/2010,21.75,11/26/2010,20801100,1/14/2011,139.38,11/26/2010,-2.4664,11/26/2010,2.62,1/14/2011,9.04
12/3/2010,21.65,12/3/2010,21624700,1/28/2011,138.72,12/3/2010,-0.4598,12/3/2010,3.96,1/28/2011,-0.47
12/10/2010,22.2,12/10/2010,21926000,2/11/2011,138.72,12/10/2010,2.5404,12/10/2010,1.39,2/11/2011,0
12/17/2010,21.55,12/17/2010,22816300,2/25/2011,137.94,12/17/2010,-2.9279,12/17/2010,4.06,2/25/2011,-0.56
12/24/2010,23.05,12/24/2010,22313300,3/11/2011,137.95,12/24/2010,6.9606,12/24/2010,-2.20,3/11/2011,0.01
12/31/2010,23.75,12/31/2010,22435800,3/25/2011,138.4,12/31/2010,3.0369,12/31/2010,0.55,3/25/2011,0.33
1/7/2011,24.65,1/7/2011,21956100,4/8/2011,139.28,1/7/2011,3.7895,1/7/2011,-2.14,4/8/2011,0.64
1/14/2011,25.15,1/14/2011,21142100,5/6/2011,144.83,1/14/2011,2.0284,1/14/2011,-3.71,5/6/2011,3.98
1/21/2011,23.6,1/21/2011,20012000,5/20/2011,147.39,1/21/2011,-6.163,1/21/2011,-5.35,5/20/2011,1.77
1/28/2011,22.9,1/28/2011,20078500,6/3/2011,150.22,1/28/2011,-2.9661,1/28/2011,0.33,6/3/2011,1.92
2/4/2011,22.7,2/11/2011,20874000,6/17/2011,138.37,2/4/2011,-0.8734,2/11/2011,3.96,6/17/2011,-7.89
2/11/2011,21.8,2/18/2011,20945400,7/1/2011,152.2,2/11/2011,-3.9648,2/18/2011,0.34,7/1/2011,9.99
2/18/2011,23.55,2/25/2011,22524000,7/15/2011,150.05,2/18/2011,8.0275,2/25/2011,7.54,7/15/2011,-1.41
2/25/2011,23,3/4/2011,22620300,7/29/2011,149.06,2/25/2011,-2.3355,3/4/2011,0.43,7/29/2011,-0.66
3/4/2011,24.15,3/11/2011,22120800,8/12/2011,148.6,3/4/2011,5,3/11/2011,-2.21,8/12/2011,-0.31
3/11/2011,23.3,3/18/2011,21697600,8/26/2011,148.1,3/11/2011,-3.5197,3/18/2011,-1.91,8/26/2011,-0.34
3/18/2011,24.9,3/25/2011,21158400,9/9/2011,148.62,3/18/2011,6.867,3/25/2011,-2.49,9/9/2011,0.35
3/25/2011,25.25,4/1/2011,20346000,9/23/2011,150,3/25/2011,1.4056,4/1/2011,-3.84,9/23/2011,0.93
4/1/2011,29.85,4/8/2011,18898000,10/7/2011,151.62,4/1/2011,18.2178,4/8/2011,-7.12,10/7/2011,1.08
4/8/2011,29.2,4/15/2011,17914000,10/21/2011,154.34,4/8/2011,-2.1776,4/15/2011,-5.21,10/21/2011,1.79
4/15/2011,29.95,4/22/2011,16778000,11/4/2011,156.2,4/15/2011,2.5685,4/22/2011,-6.34,11/4/2011,1.21
4/22/2011,29.75,4/29/2011,16161000,11/18/2011,154.8,4/22/2011,-0.6678,4/29/2011,-3.68,11/18/2011,-0.9
4/29/2011,30.3,5/6/2011,14710000,12/2/2011,153.82,4/29/2011,1.8487,5/6/2011,-8.98,12/2/2011,-0.63
5/6/2011,27.6,5/13/2011,15935000,12/16/2011,151.73,5/6/2011,-8.9109,5/13/2011,8.33,12/16/2011,-1.36
5/13/2011,28.85,5/20/2011,16286000,1/13/2012,144.9,5/13/2011,4.529,5/20/2011,2.20,1/13/2012,-4.5
5/20/2011,30.3,5/27/2011,16740000,1/27/2012,143.76,5/20/2011,5.026,5/27/2011,2.79,1/27/2012,-0.79
