"","ann.ret.incep","ann.std.incep","downrisk.incep","drawdown.incep","sharpe.incep","sortino.incep","inforatio.incep","alpha.incep","beta.incep","corr.bhf.incep","corr.bidx.incep","omega.incep","wl.incep","skewness.incep","kurtosis.incep"
"X1798FEF.KY.Equity",0.0589264049824825,0.0817754578925032,0.066741302873944,-0.20998706412504,0.659444855122312,0.80799149342851,0.314682944095518,0.00425025242958367,0.260797838462383,0.631757594861697,0.522635651123077,1.77792676704065,0.680672268907563,-0.594198774884622,1.80001789124037
"X1798FUN.KY.Equity",0.051466413405213,0.0792682968580141,0.0668615948659185,-0.20998706412504,0.586191645929317,0.694964179337851,0.193752443734349,0.00359905247698339,0.256620214532596,0.638395041358326,0.526454497131522,1.7064882537859,0.677685950413223,-0.595092493857686,2.21297407757961
"X1837PAR.US.Equity",0.0335735202899299,0.130185538888029,0.104550957011388,-0.389493905633937,0.219483058825033,0.273297548934128,-0.0550546295114574,0.000948733661918658,0.531320450354467,0.553095032924631,0.601949442980647,1.28879117314506,0.590062111801242,-0.835619320313,3.25185625420838
"X1P2FUND.VI.Equity",0.0715723696801125,0.0698784719146345,0.113874472747138,-0.13076251114503,0.95268782868405,0.584611880732382,0.182098954583234,0.00571671221859282,0.0580896943347438,0.132232482661142,0.134847960153634,2.39559325290959,0.833333333333333,-3.66282159857268,16.8207317348021
"X36ONEOS.KY.Equity",0.119734237859306,0.0515451348602326,0.0260057609304679,-0.0923048590008622,2.22589849013712,4.41187774378427,0.964460945424506,0.00919426614537774,0.111592388327274,0.341129176894014,0.367953685023766,5.17145216826777,0.745283018867924,-0.0943075618576818,-0.239423988503059
"AAAGLBA.FP.Equity",-0.0285571409789847,0.0866744077116609,0.112593069882174,-0.401022851642153,-0.387163199206609,-0.298039133439574,-0.535540789946074,-0.00274612921310016,0.141089570925379,0.363376692732411,0.25313277846375,0.691207578239886,0.552,-6.30041170273422,52.2159046628023
"AAASYWB.KY.Equity",0.018090608113895,0.189191782429665,0.153013544102001,-0.431121033125517,0.0691922658890408,0.0855519567938937,-0.124394887523633,0.000647365456648059,0.567923887594177,0.583999457086803,0.493291951410568,1.16228811273013,0.587719298245614,-0.573956898250267,1.03359220413662
"AAAWRNO.ID.Equity",0.101118846270254,0.24372745073929,0.144849833668454,-0.547242461383882,0.394370211392684,0.663575813902966,0.24627225444395,0.0060041913369332,1.02124521135086,0.627265632247849,0.686424552289187,1.46404185594796,0.560344827586207,0.0335408343194776,0.132433676614539
"AABSTWO.LE.Equity",0.171828926334396,0.249514645700623,0.184869618871714,-0.691432710725017,0.668613763596721,0.902413968030969,0.536537891228293,0.0136471355206424,0.63952491807819,0.442297604987547,0.414080731134711,2.2522093140618,0.736,1.83630031875516,10.1261823295736
"AAS2AAF.MV.Equity",0.037843985266238,0.121332919702657,0.102602959644912,-0.259421953126938,0.270693109064932,0.320107581495742,-0.0976119727315798,0.0026631591480719,0.431089530261844,0.557311093821392,0.586366940965566,1.35967229382025,0.61864406779661,-0.618406176070647,2.34281126053253
"ABAFINE.KY.Equity",0.0613745370807575,0.0619468587700348,0.0373037743427786,-0.11675673381274,0.910046743290673,1.51122877172536,0.181859066137373,0.00491135843744697,0.0443907433932697,0.158263885219882,0.104832039551082,2.09666113575565,0.634146341463415,-0.0177532523879757,0.49754311710006
"ACAKITO.KY.Equity",0.183397469340156,0.0637233300433946,0.0313263737320488,-0.034743,2.79956287938296,5.69480115592327,1.33765277499283,0.0141897949309276,0.013760236087681,0.0661128805233678,0.0277973586583094,13.1308897413266,0.84,1.31407367731584,3.79610051060875
"ACCAPAA.US.Equity",0.0946464599320864,0.301264347516672,0.181240771548603,-0.667681168807153,0.297567437604363,0.494626342439985,0.139553796161521,0.00505659327930289,1.25135706667364,0.573201073523153,0.612571432528873,1.42114232266717,0.53416149068323,0.313535439658018,1.07284410421144
"ACCCAPA.LX.Equity",0.122406755190662,0.145815719626871,0.0736259052415336,-0.188482400554166,0.805172141186799,1.59463920756564,0.337383184246728,0.00881454590174408,0.412409039557079,0.446641186253081,0.4615234119975,1.90184704949174,0.564102564102564,0.274210967133884,0.181220864736595
"ACKASPA.US.Equity",0.124250739439212,0.0832480568025856,0.049856594886368,-0.1625705293452,1.43247475099633,2.39187493070887,0.886486621224172,0.00811912279764118,0.405557533142438,0.73070580150758,0.740871143053493,2.90742114331354,0.705479452054795,-0.17238280252535,0.726940191809566
"ACORNDP.CN.Equity",0.035475678234,0.157791741795504,0.0902471170898447,-0.43667078591668,0.193138613511828,0.337691432333071,-0.113973952892596,0.00422291698051811,-0.0577823584558284,0.075984100451292,-0.0551474515684619,1.25188649687412,0.493333333333333,0.160173207797244,0.482512478509905
"ACQUANY.AU.Equity",0.0115639285378941,0.0241331446110603,0.0201613321100652,-0.0364728399104713,0.271988116081891,0.325570180683507,-0.322153285809764,0.00103555708164635,-0.00698831608305177,-0.0461528027457771,-0.0432129809240418,1.47195068174972,0.636363636363636,-0.750024166932885,3.27342692175987
