"","mtd.ret","ytd.ret","ann.ret.incep","ann.std.incep","downrisk.incep","drawdown.incep","sharpe.incep","sortino.incep","inforatio.incep","alpha.incep","beta.incep","corr.bhf.incep","corr.bidx.incep","omega.incep","wl.incep","skewness.incep","kurtosis.incep"
"X1798FEF.KY.Equity",NA,0.138670143584119,0.0504681027206064,0.0623447399933524,0.0403132641109922,-0.111892792485222,0.729301344836061,1.12786954178212,0.150049754995958,0.00334314675069143,0.117224172523195,0.290694392552081,0.182900906708045,1.78854864310325,0.612903225806452,-0.419224906445888,-0.553345720825798
"X1798FUN.KY.Equity",0.003799,0.070720239811277,0.0367804190874688,0.0563726422012486,0.0396571521897923,-0.110990054447627,0.563756067597712,0.801379255256988,-0.0938022201924087,0.00229846933232452,0.103585555678958,0.29223631052907,0.176177626876808,1.62090876282777,0.609375,-0.54463842138194,-0.160805641145091
"X1P2FUND.VI.Equity",-0.020177,0.0330038315650103,0.0360261711385761,0.0751324218125943,0.102043329699432,-0.13076251114503,0.412953161765048,0.304048988110868,-0.176596437580012,0.00291005680959928,0.0349796716086506,0.0282225499363197,0.0446383657460969,1.59390316136675,0.734375,-3.18235522041012,14.6040942088068
"AAAGLBA.FP.Equity",NA,-0.0188892408555935,0.0103940696468185,0.035194324563672,0.029659942144822,-0.0825970712191043,0.153265326546041,0.18186379529942,-1.09556039501294,-0.00051838383766176,0.176627853060499,0.543087501820911,0.484943802570701,1.28433461015693,0.571428571428571,-0.916869489720822,2.37040585993794
"AAASYWB.KY.Equity",NA,0.107904891377651,0.0990479291576263,0.189873951013621,0.167110593267367,-0.356209095491683,0.495317702378666,0.562788554087383,0.304900205889401,0.000328513893891395,1.05356459745033,0.645602531606529,0.534900543609902,1.66389051830675,0.645161290322581,-0.491590305872598,1.77765585091862
"AAAWRNO.ID.Equity",-0.012487,0.4807384697492,0.352954844801559,0.209739423333664,0.0959842826797328,-0.187733924784675,1.65898637114118,3.62512314607348,0.812843752283174,0.0179966597282105,1.11944411042952,0.53895519967549,0.515654604784884,3.27389673015465,0.666666666666667,0.309637832314308,-0.178136601653766
"AABSTWO.LE.Equity",NA,0.131616033260985,0.177135730522006,0.0660114903041284,0.0470393641151445,-0.0594059661799999,2.60766314665737,3.65939748038784,1.66497272009855,0.0122382356848721,0.199798573938622,0.383580085608564,0.292467561926206,10.2466874966901,0.873015873015873,0.891197147757078,2.68886040702728
"ABAFINE.KY.Equity",NA,0.035715805587019,0.0394076932629686,0.0631050903267637,0.0370228315545961,-0.11675673381274,0.545244339003439,0.929364173894394,-0.137634991531626,0.00324008710331303,0.0183362955175851,0.00297060610281574,0.0280770881350882,1.6212313001778,0.603174603174603,0.110975100693818,-0.145630783263728
"ACAKITO.KY.Equity",NA,0.0601495216477885,0.17899070389017,0.0564992545707253,0.0169794699720967,-0.0251694337559999,3.07952211426737,10.2471222114765,1.75510755888695,0.0141648618609046,-0.0273252981531385,0.013907169822706,-0.0467333646251731,22.6118191211927,0.825396825396825,1.39543676836702,2.77660151455362
"ACCCAPA.LX.Equity",NA,0.121309557333082,0.175255176685865,0.145706267237173,0.0633337785916872,-0.110463973477,1.16848217934739,2.68822073262832,0.384179548884346,0.0119941492296946,0.296722676320491,0.241074697004314,0.196778372087653,2.39514189218286,0.571428571428571,0.389179052328288,0.19872185519207
