"","mtd.ret","ytd.ret","ann.ret.5","ann.std.5","downrisk.5","drawdown.5","sharpe.5","sortino.5","inforatio.5","alpha.5","beta.5","corr.bhf.5","corr.bidx.5","omega.5","wl.5","skewness.5","kurtosis.5"
"X1798FEF.KY.Equity",-0.0183,0.103694321255396,0.101053613454612,0.0619154261876634,0.0254220376838679,-0.0183,1.55136804135818,3.77836012396304,1.83898933674611,0.00550462404194764,0.215917967267212,0.340556196367695,0.161903158356472,3.11158798283262,0.666666666666667,-0.114296734796527,-1.40363680195716
"X1798FUN.KY.Equity",-0.009297,0.0533067906208888,0.0498547605445259,0.0377920074510712,0.0161937341894944,-0.0111,1.18688483544037,2.76988371055424,0.976159265356783,0.00214832564923179,0.157697544787841,0.403103472922334,0.193727098906156,2.55860176041897,0.583333333333333,-0.0988552795555553,-1.39291816129119
"X1837PAR.US.Equity",NA,-0.198581759688842,-0.103517332810937,0.159082119344924,0.082398743090275,-0.198581759688842,-0.682146637584376,-1.31697801132775,-0.599594414581496,0.00253205439366818,0.962931016018237,0.0311275318708918,0.279959174142956,0.624757519311683,0.416666666666667,0.697969341021379,0.0286476493236076
"X1P2FUND.VI.Equity",-0.003372,0.0392208546206607,0.048989153200107,0.0293556346565852,0.0122670929074496,-0.00993876675999983,1.49849096143588,3.58594766763307,-0.404485210289291,0.00611586515228457,0.167392402052168,0.0861468302533835,0.264733969737802,3.92534511988375,0.583333333333333,0.393047214096496,-0.825765537750303
"X36ONEOS.KY.Equity",NA,-0.000672628907058881,-0.0572147629444154,0.0441163736610343,0.0306427184452406,-0.0637226718429558,-1.41024199818505,-2.03032779404331,-2.08201665445673,-0.00666599252040707,0.178234570869338,0.325155760452002,0.242781421133756,0.374467671155883,0.416666666666667,-0.38942612321954,-0.106779937619678
"AAAGLBA.FP.Equity",-0.00209,-0.0229280780307309,-0.0376923991840147,0.0171545715719799,0.0156621601958351,-0.0376923991840145,-2.48868932720814,-2.72583083369097,-2.53487350861392,-0.00280907900020076,0.0301405340293113,0.264934220587432,0.0815711286287438,0.1243671683504,0.25,-0.869055230658562,0.172842135455202
"AAASYWB.KY.Equity",NA,0.0698823416771859,0.0343627341758841,0.0457884722560761,0.0333875235829194,-0.0331995455178931,0.64126913891493,0.879452293098661,0.157334545669186,0.00243466006507249,0.0420895868712676,0.0475506805444212,0.0425147280940251,1.71155143856205,0.666666666666667,-0.689169048517587,-0.406528039187879
"AAAWRNO.ID.Equity",0.098839,0.510459400646712,0.685567160860342,0.194912267379221,0.0693736270638922,-0.042114,3.49165893974354,9.81017123745813,1.38472992018762,0.0329703131842177,1.03197758203864,0.160272587810662,0.245808272207416,9.00689755529686,0.75,0.130869454113027,-0.992207761536278
"AABSTWO.LE.Equity",0.00417,0.119978590441083,0.14921769967658,0.020788724155176,NA,0,6.93730402116439,NA,4.54256166461003,0.00979327919623983,0.150645191222443,0.475614887505405,0.336428547860121,Inf,1,0.48247450269739,-0.296293571104947
"AAS2AAF.MV.Equity",NA,0.0222045898008121,0.100510671119932,0.0509293178327483,0.00857254662279535,-0.0146351214264329,1.87535736162005,11.1414583463399,0.233830711784409,0.00637939588401185,0.156661005971778,0.201805497096541,0.142270202012512,5.53248265263354,0.583333333333333,1.01245634125777,0.362642060545244
"ABAFINE.KY.Equity",0.016359,0.0560084152536906,0.0791943945754368,0.0715326748124113,0.0431040649011204,-0.033114367498751,1.03720984529106,1.72128532994827,0.399242831995321,0.0174319311147065,0.87046177153857,0.570393045126854,0.564950818969797,2.30649199900506,0.666666666666667,0.00774872445077366,-0.487688669990816
"ACAKITO.KY.Equity",0.002127,0.0435396941988127,0.0543667526242029,0.0152864220202707,0.0042239777461535,-0.00236188666299997,3.22945111411549,11.687266266769,-0.195193409569114,0.00500146880498837,0.0457518401859841,0.158539442542757,0.138953063450717,13.2837338262477,0.75,-0.226876041850005,-1.30191341935452
