,X2600.HK.Equity,X486.HK.Equity,AA.Equity,AWC.AU.Equity,HNDL.IN.Equity
1,-2.8501,-1.4553,-1.4706,-6.0976,-0.4392
2,-2.8501,-1.4553,-1.4706,-6.0976,-0.4392
3,-2.8501,-1.4553,-1.4706,-6.0976,-0.4392
4,0.3827,-1.0549,4.9489,1.6234,1.3912
5,1.1436,-0.3198,2.3204,4.4728,1.1044
6,2.6382,1.8182,-1.0997,1.5291,3.4426
7,-3.672,-1.1555,-4.2995,-0.6024,-6.464
8,-5.972,-3.6132,2.0914,-5.4545,-5.4738
9,-5.972,-3.6132,2.0914,-5.4545,2.2439
10,-5.972,-3.6132,2.0914,-5.4545,2.2439
11,-2.027,-4.5204,-0.9105,2.5641,-3.5752
12,1.1034,0.4619,1.6845,-0.9375,-1.3216
13,1.5007,0.8046,-0.9036,2.8391,1.5625
14,1.4785,-1.2543,3.1915,2.454,1.2821
15,-1.3245,-2.194,-2.2091,-1.5151,1.2821
16,-1.3245,-2.194,-2.2091,-1.5151,1.2821
17,-1.3245,-2.194,-2.2091,-1.5151,1.2821
18,-1.3245,-2.194,-2.2091,-2.1538,1.8807
19,-1.3245,-2.194,3.4639,-2.5157,3.2304
20,2.6846,-5.4309,-1.0189,7.0968,5.055
21,-2.7451,-6.7416,0.0735,-1.506,-0.0982
22,-4.1667,0.4016,-0.5878,-0.9174,-1.7693
23,-4.1667,0.4016,-0.5878,-0.9174,-1.7693
24,-4.1667,0.4016,-0.5878,-0.9174,-1.7693
25,3.5063,6.9333,0.0739,0.6173,2.8352
26,2.3035,3.4913,-2.6588,-0.9202,0.4217
27,-1.457,-1.0843,-0.9105,-2.7864,0.1292
28,-0.4032,-2.9233,1.9142,-3.8217,-1.0645
29,1.3495,-1.5056,-0.0751,-0.3311,6.0646
30,1.3495,-1.5056,-0.0751,-0.3311,6.0646
31,1.3495,-1.5056,-0.0751,-0.3311,6.0646
32,3.5952,-0.7643,0.0752,4.3189,6.0646
33,0.5141,-2.6958,-0.5259,0.9554,4.0578
