"","v_ticker","v_event","v_date","v_bnames","v_rate0","v_rate1","v_tgt0","v_tgt1"
"1","6594 JP Equity"," TP-","2016-01-13","Barclays","5","5","10600","9800"
"2","005380 KS Equity"," TP-","2016-01-04","Barclays","5","5","197000","183000"
"3","005380 KS Equity"," TP-","2016-01-06","Daiwa","5","5","190000","170000"
"4","6594 JP Equity"," TP+","2016-01-12","Credit Suisse","5","5","10400","11500"
"5","JPM Equity","DowngradeTP-","2016-01-10","Goldman Sachs","5","3","75","69"
"6","C Equity"," TP-","2016-01-10","Goldman Sachs","5","5","60","58"
"7","WFC Equity","UpgradeTP+","2016-01-10","Goldman Sachs","3","5","59","60"
"8","INTC Equity"," TP+","2016-01-12","JP Morgan","5.0","5.0","39.0","40.0"
"9","C Equity"," TP-","2016-01-07","JP Morgan","5.0","5.0","60.5","60.0"
"10","JPM Equity"," TP+","2016-01-11","Macquarie","5","5","71","72"
"11","6594 JP Equity"," TP+","2016-01-08","Macquarie","5","5","9500","9600"
"12","005380 KS Equity"," TP-","2016-01-13","Macquarie","3","3","150000","146000"
"13","6594 JP Equity"," TP-","2016-01-13","Mizuho","5.0","5.0","11500.0","11000.0"
"14","JPM Equity"," TP-","2016-01-11","Nomura","5","5","72","70"
"15","C Equity"," TP+","2016-01-11","Nomura","5","5","66","67"
"16","WFC Equity"," TP+","2016-01-06","Nomura","5","5","61","65"
"17","005380 KS Equity","Initiation","2016-01-07","Yuanta Securities",NA,"5",NA,"2e+05"
"18","2330 TT Equity","Initiation","2016-01-12","SinoPac",NA,"5.0",NA,"163.0"
"19","WFC Equity"," TP-","2016-01-11","Susquehanna Financial","3.0","3.0","60.0","56.0"
