"","1yr","3yr","5yr"
"last.mon.ret.apex",-0.0122,-0.0122,-0.0122
"ytd.ret.apex",0.17016210951172,0.17016210951172,0.17016210951172
"ann.ret",0.17016210951172,0.0989773329089887,0.0825804121307703
"ann.std",0.0933847709990524,0.0947401071603886,0.100331753130071
"downrisk",0.0403508364225576,0.0424642639673139,0.0443961076852066
"drawdown",-0.0414388800000001,-0.0905365874190697,-0.0905365874190697
"sharpe",1.76861931281489,0.991948771494331,0.773238877129897
"sortino",4.09315206708796,2.21309223636435,1.74745977014154
"inforatio",0.871977982552079,0.561315486299246,0.299255568250275
"alpha",0.019776272791754,0.00757707033540805,0.00682654884721125
"beta",0.406349397628567,0.108838782663582,0.0263884062993822
"corr.bhf",0.315397210461048,0.156358140961897,0.094384795239137
"corr.bidx",0.127607239195386,0.119145704773474,0.025885906654839
"omega",0.788742429640185,0.697198991105801,0.666380767385929
"wl",0.666666666666667,0.583333333333333,0.533333333333333
"skewness",0.33185683241574,0.655176034441338,1.01826993017986
"kurtosis",-0.275329416645054,0.327026710295971,1.81674811618406
