"","AAASYWB.KY.Equity","ACAKITO.KY.Equity","AESOPHK.KY.Equity","AHPACOB.KY.Equity","AISMERC.KY.Equity","AJAOPAR.KY.Equity","AKABONA.KY.Equity","AKAMFDA.KY.Equity","ALASOPP.KY.Equity","ALCINDA.KY.Equity","ALLIVFD.AU.Equity","ALTACIF.MP.Equity","APEXGCE.US.Equity","APSASPH.KY.Equity","APSCHIA.KY.Equity","APSCHIN.KY.Equity","ARASALP.KY.Equity","ARCJVAB.KY.Equity","ARMACRO.KY.Equity","ARNASIA.KY.Equity","ASCREHA.KY.Equity","ASEASCF.KY.Equity","ATCHSTA.KY.Equity","ATHASIE.SP.Equity","ATLRIVR.KY.Equity","CAMAMAP.KY.Equity","CAMCCGA.KY.Equity","CAMGCSM.KY.Equity","CCASIAU.KY.Equity","CCIOIGF.KY.Equity","CDIFORD.VI.Equity","CEASOPP.AU.Equity","CHCIMPE.KY.Equity","CHEAGLE.KY.Equity","CHINABS.KY.Equity","CLARCOB.BH.Equity","CMCHCSF.KY.Equity","CMSPRGS.KY.Equity","CMTFGRC.KY.Equity","CNALPHA.KY.Equity","CSVCHNO.VI.Equity","DALAOFF.KY.Equity","DALGCHI.KY.Equity","DBDHAAB.KY.Equity","DORASPS.KY.Equity","DRAGALT.KY.Equity","EDAF001.KY.Equity","ENAMIND.KY.Equity","EPICJPF.KY.Equity","EUPIRAQ.KY.Equity","EVENSTR.KY.Equity","EWADVJM.KY.Equity","FMGMONA.BH.Equity","FORASMA.KY.Equity","FOUCHOP.KY.Equity","FRTNHDG.KY.Equity","GAAOPPO.KY.Equity","GAMCOFA.KY.Equity","GBAMBOO.KY.Equity","GHKNCVF.KY.Equity","GLDCHPL.KY.Equity","GLXCDVA.KY.Equity","GOLDCHI.KY.Equity","GREASHI.KY.Equity","GRECVPD.MV.Equity","GRNDRGN.KY.Equity","GRSPOPA.KY.Equity","HADOHV1.VI.Equity","HARMFDR.KY.Equity","HARUSFD.KY.Equity","HJELSFJ.KY.Equity","HKPTRLP.US.Equity","INDMAXG.MP.Equity","INDSMLI.MP.Equity","INFCOPP.KY.Equity","IONISRL.KY.Equity","IVMAOPP.KY.Equity","JAPCHLP.US.Equity","K2AARFA.AU.Equity","KAMWANG.KY.Equity","KARSTAR.US.Equity","KINGSMD.KY.Equity","KISCUSD.KY.Equity","KISGLMS.AU.Equity","KKSPCFA.KY.Equity","KMEFUSD.KY.Equity","KNIASPR.VI.Equity","KOMOFUN.KY.Equity","LBNCHPO.KY.Equity","LEGCHNA.KY.Equity","LHASTRF.KY.Equity","LIMJAPA.KY.Equity","LUASVAL.KY.Equity","LYNASIA.KY.Equity","MIDASEQ.KY.Equity","MNJAPAR.KY.Equity","MQASALA.AU.Equity","MQASLSF.KY.Equity","MWJDA2U.ID.Equity","MWJMA1U.ID.Equity","NAVASIA.KY.Equity","NAVYILD.KY.Equity","NEWHBAS.KY.Equity","NHINDIA.MP.Equity","NORASXD.KY.Equity","NTADUSA.KY.Equity","NTASIAN.KY.Equity","OCMFUND.KY.Equity","OCTAPAF.KY.Equity","OPTJAPT.AU.Equity","OPTPJAI.BH.Equity","OZASIAM.KY.Equity","PANGOLN.KY.Equity","PANNOTI.VI.Equity","PASINLD.KY.Equity","PASINLP.US.Equity","PELAALA.NA.Equity","PENASEF.AU.Equity","PENASEU.KY.Equity","PHALJAM.US.Equity","PPASIAS.KY.Equity","PPCHINA.KY.Equity","PRABRHY.KY.Equity","PRUENHN.KY.Equity","PSAARFL.KY.Equity","PXPVEEF.KY.Equity","QDSPJPA.KY.Equity","QIEFMLB.MP.Equity","QUACHFA.KY.Equity","QUPANEF.VI.Equity","REALRTA.ID.Equity","REGCADY.KY.Equity","RMBJOPP.US.Equity","ROCIMAS.KY.Equity","RVCCLSA.KY.Equity","RVCUSCA.KY.Equity","SECZENU.ID.Equity","SENTCAP.KY.Equity","SENTCRE.KY.Equity","SENVISR.US.Equity","SERICAB.KY.Equity","SMCCNMI.KY.Equity","SPALSAI.BH.Equity","SPASJFA.KY.Equity","SPCHOPA.KY.Equity","SPGRCHC.KY.Equity","SPHERAN.VI.Equity","SPHRILS.VI.Equity","SRGJPPH.KY.Equity","START22.KY.Equity","STEVJPY.GU.Equity","SVGRCMN.KY.Equity","TANTALF.KY.Equity","TELLGNT.KY.Equity","TICHVIA.KY.Equity","TK5YRGA.CH.Equity","TKFUNDS.CH.Equity","TKPROST.CH.Equity","TKYJULB.CH.Equity","TKYJULS.CH.Equity","TOCCATA.KY.Equity","TROPHY1.KY.Equity","TTJPFJP.KY.Equity","UGFMSTA.KY.Equity","UGHDSOA.KY.Equity","UMJKOTA.KY.Equity","VAPAHED.KY.Equity","VERAIUS.ID.Equity","VISFICH.KY.Equity","VITCHBA.KY.Equity","WFASREC.KY.Equity","WFASSCF.KY.Equity","WYCAASV.KY.Equity","YECYOSP.KY.Equity","ZEALCHI.KY.Equity","ZENUSOF.KY.Equity"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.289,NA,NA,-2.7858,NA,NA,NA,14.4075,NA,NA,0.327,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2966,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.7086,NA,NA,NA,NA,NA,NA,NA,-2.1238,-7.955,NA,NA,NA,NA,NA,NA,-8.2046,NA,1.9466,NA,NA,-4.7555,NA,-0.7105,NA,6.5239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2827,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.0291,NA,NA,NA,NA,NA,-4.3173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5.12,NA,NA,1.9965,3.1004,NA,NA,NA,1.3201,-7.8147,NA,0.3163,NA,-1.69,NA,NA,-0.2745,NA,-4.6684,NA,NA,NA,-10.5893,NA,1.3363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2968,NA,NA,-1.6107,NA,NA,NA,-4.1319,NA,NA,-1.9554,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7.2981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-12.0223,NA,NA,NA,NA,NA,NA,NA,-3.5116,-0.7231,NA,NA,NA,NA,NA,NA,1.1355,NA,-18.4397,NA,NA,-3.0239,NA,-0.2036,NA,-12.5698,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2631,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.5329,NA,NA,NA,NA,NA,-0.0666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.47,NA,NA,-1.7215,-2.3247,NA,NA,NA,-1.663,-9.9494,NA,-0.1841,NA,-2.67,NA,NA,0.8827,NA,0.305,NA,NA,NA,-4.068,NA,0.0162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",NA,NA,NA,NA,0.56,NA,NA,NA,NA,NA,-6.0853,NA,NA,-0.5715,NA,NA,NA,7.1466,NA,NA,0.2783,NA,NA,NA,NA,NA,NA,NA,NA,-0.1501,-0.9467,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.4675,NA,NA,NA,NA,NA,NA,NA,0.5619,-1.1044,NA,NA,NA,NA,NA,NA,-4.5893,NA,-1.6054,NA,NA,-2.9732,NA,NA,NA,2.7922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.8089,NA,NA,NA,NA,NA,1.6532,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.85,NA,NA,1.6916,2.9712,NA,NA,NA,2.607,6.675,NA,2.8365,NA,-0.53,NA,NA,2.3897,NA,-4.8568,NA,NA,NA,1.9324,NA,-1.2691,NA,NA,NA,NA,NA,NA,NA,-8.3211,NA,NA,NA,NA
"4",NA,NA,NA,NA,0.0099,NA,NA,NA,NA,NA,11.3265,NA,NA,-3.3004,NA,NA,NA,-2.1101,NA,NA,0.848,NA,NA,NA,NA,NA,NA,NA,NA,-1.5334,-2.346,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.3158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.7769,NA,NA,NA,NA,NA,NA,-2.1672,1.7155,-0.6963,NA,NA,NA,NA,NA,NA,1.3906,NA,5.4385,NA,NA,-6.2033,NA,-9.4573,NA,5.6804,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0937,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.3756,NA,NA,NA,NA,NA,-3.2351,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-14.48,NA,NA,-1.5639,-0.6487,NA,NA,NA,-2.69,-10.1132,NA,-3.8609,NA,-1.4201,NA,NA,-0.827,NA,0.9766,NA,NA,NA,-6.2138,NA,-0.2144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",NA,NA,NA,NA,0.2486,NA,NA,NA,NA,NA,1.0884,NA,NA,1.1183,-3.5967,NA,NA,0.3595,NA,NA,0.1452,NA,NA,NA,NA,NA,NA,NA,NA,-2.402,0.9107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.8978,NA,NA,NA,NA,NA,NA,-0.9877,0.8658,-0.9142,NA,NA,NA,NA,NA,NA,2.0948,NA,3.9329,NA,NA,1.9124,NA,1.3381,NA,5.018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0563,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.1239,NA,NA,NA,NA,NA,1.7349,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5.9,NA,NA,-0.5246,-0.2777,NA,NA,NA,0.897,-0.9014,NA,4.0488,NA,-0.18,0.06,NA,-0.315,NA,-1.3012,NA,NA,NA,-3.032,NA,0.3494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,7.2803,NA,NA,NA,NA,NA,0.9421,NA,NA,0.0286,10.2498,NA,NA,-1.8806,NA,NA,0.687,NA,NA,NA,NA,NA,NA,NA,NA,5.0579,3.7448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.7661,NA,NA,NA,NA,NA,NA,6.1112,2.6608,2.1093,NA,NA,NA,NA,NA,NA,8.5369,NA,6.7618,NA,NA,4.0657,NA,2.1827,NA,2.2833,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8343,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.3198,NA,NA,NA,NA,NA,0.7594,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.16,NA,NA,-0.5462,-1.4223,NA,NA,NA,2.359,-5.7534,NA,-2.3905,NA,5.4201,0.69,NA,0.4554,NA,4.641,NA,NA,NA,17.7186,NA,0.3061,NA,NA,NA,NA,NA,NA,NA,14.7182,NA,NA,NA,NA
"7",NA,NA,NA,NA,-0.5362,NA,NA,NA,NA,NA,2,NA,NA,0.4036,1.5011,NA,NA,-2.3448,NA,NA,0.9097,NA,NA,NA,NA,NA,NA,NA,NA,-2.4221,4.9645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8522,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.0205,NA,NA,NA,NA,NA,NA,1.6737,1.1635,-0.064,NA,NA,NA,NA,NA,NA,-1.4436,NA,-0.9297,NA,NA,2.3291,NA,0.9032,NA,3.8201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6415,NA,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.0035,NA,NA,NA,NA,NA,1.4148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.42,NA,NA,-0.3409,-1.8093,NA,NA,NA,1.0559,-1,NA,-1.4626,NA,3.17,-1.02,NA,0.4811,NA,-1.9154,NA,NA,NA,19.2277,NA,1.5772,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",NA,NA,NA,NA,-4.6477,NA,NA,NA,NA,NA,0.5229,NA,NA,0.4331,-1.4502,NA,NA,0.0288,NA,NA,1.2246,NA,NA,NA,NA,NA,NA,NA,NA,3.3978,6.0062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.4606,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.4647,NA,NA,NA,NA,NA,NA,4.6164,4.0686,3.7234,NA,NA,NA,NA,NA,NA,6.8241,NA,13.4311,NA,NA,7.5624,NA,6.8148,NA,10.6601,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0739,NA,6.3988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9562,NA,NA,NA,4.1729,NA,3.442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.1944,NA,NA,NA,NA,NA,NA,NA,NA,13.6,NA,NA,0.399,0.3654,NA,NA,NA,8.82,4.6864,NA,2.7909,NA,2.41,3.0599,NA,0.267,NA,0.9634,NA,NA,NA,52.4815,NA,2.2034,NA,NA,3.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",NA,NA,NA,NA,2.3201,NA,NA,NA,NA,NA,3.251,NA,NA,-3.6754,-2.372,NA,NA,4.5278,NA,NA,1.1949,NA,NA,NA,NA,NA,NA,NA,NA,-1.525,1.0604,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.2105,NA,NA,NA,NA,NA,NA,4.8078,2.1341,0.0669,NA,NA,NA,NA,NA,NA,-1.1032,NA,14.2192,NA,NA,1.9113,NA,2.2327,NA,9.8622,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6656,NA,-1.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.599,NA,NA,NA,3.0975,NA,-1.4495,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9757,NA,NA,NA,NA,NA,NA,NA,NA,9.43,NA,NA,1.9684,0.2246,NA,NA,NA,6.34,3.6127,NA,0.6565,NA,3.65,0.35,NA,0.2296,NA,-1.5215,NA,NA,NA,23.3496,NA,0.0644,NA,NA,0,NA,NA,NA,NA,25.7553,NA,NA,NA,NA
"10",NA,NA,NA,NA,0.0286,NA,NA,1.55,NA,NA,2.267,NA,NA,2.0838,-1.7255,NA,NA,2.5784,NA,NA,0.132,NA,NA,NA,NA,NA,NA,NA,NA,0.9591,1.1782,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.3112,NA,2.0765,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.0474,NA,NA,NA,NA,NA,NA,6.3798,0.9285,1.3928,NA,NA,NA,NA,NA,NA,6.2851,NA,-9.1897,NA,NA,-0.4019,NA,1.071,NA,1.3299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0276,NA,3.9331,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0136,NA,NA,NA,-0.4915,NA,5.5207,NA,-1.1258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.1112,NA,NA,NA,NA,NA,NA,NA,NA,5.98,NA,NA,-0.9095,1.0666,NA,NA,NA,3.82,-0.8988,NA,3.9169,NA,-0.55,-0.3599,NA,0.449,NA,-1.2046,NA,NA,NA,-14.7839,NA,0.0734,NA,NA,-0.7744,NA,NA,NA,NA,NA,NA,NA,NA,NA
