"","mtd.ret","ytd.ret","ann.ret.incep","ann.std.incep","downrisk.incep","drawdown.incep","sharpe.incep","sortino.incep","inforatio.incep","alpha.incep","beta.incep","corr.bhf.incep","corr.bidx.incep","omega.incep","wl.incep","skewness.incep","kurtosis.incep"
"AAASYWB.KY.Equity",NA,0.107904891377651,0.0990479291576263,0.189873951013621,0.167110593267367,-0.356209095491683,0.495317702378666,0.562788554087383,0.304900205889401,0.000328513893891395,1.05356459745033,0.645602531606529,0.534900543609902,1.66389051830675,0.645161290322581,-0.491590305872598,1.77765585091862
"ACAKITO.KY.Equity",NA,0.0601495216477885,0.17899070389017,0.0564992545707253,0.0169794699720967,-0.0251694337559999,3.07952211426737,10.2471222114765,1.75510755888695,0.0141648618609046,-0.0273252981531385,0.013907169822706,-0.0467333646251731,22.6118191211927,0.825396825396825,1.39543676836702,2.77660151455362
"AESOPHK.KY.Equity",NA,0.239297106845278,0.212258891899095,0.154222429582738,0.131262821419362,-0.263892341836713,1.34389590709894,1.57896112286767,0.889149536541151,0.0110031518068906,0.757826941178793,0.604824380792609,0.474818201110777,2.95079773304388,0.666666666666667,-0.376403255336047,4.03830331891931
"AHPACOB.KY.Equity",NA,0.0577337486570848,0.068463673495698,0.0315300071830735,0.0236353202109159,-0.0264114405459999,2.01280237987918,2.68512010539158,0.513241773104087,0.00389554801467487,0.207137632345248,0.640392341988396,0.634804207230008,5.14831614633167,0.777777777777778,-0.268998343887965,1.64988413493446
"AISMERC.KY.Equity",NA,-0.111904075576025,0.0939429430395848,0.199961100898472,0.105828373108887,-0.223550562361312,0.444801227038376,0.8404451512079,0.1730466906275,0.0111158410385927,-0.252694709426897,-0.0423848401809375,-0.122978441136812,1.53405242646649,0.580645161290323,0.560232994229062,0.856355909909341
"AJAOPAR.KY.Equity",NA,0.341308111405412,0.11877041101645,0.133836189643848,0.10710849516065,-0.265028190457778,0.850072101717813,1.06219782890057,0.595036848583922,0.00423359828660737,0.728096960328506,0.673889221279184,0.525678860320263,2.03683501136733,0.682539682539683,-0.481508915460476,1.71276578840646
"AKABONA.KY.Equity",NA,0.258937358618367,0.27571117343207,0.139294855472659,0.073120432060696,-0.118621631752738,1.94343985291836,3.702264412324,1.34332096507957,0.0155064740395958,0.711549423238276,0.50249205448638,0.493599660361006,4.14507139756181,0.666666666666667,0.328516914462847,0.52436041956623
"AKAMFDA.KY.Equity",NA,0.161925549338314,0.0908256992735115,0.0814529797738754,0.0499741257009377,-0.123376681951978,1.05368397217358,1.71740271730059,0.714385209621938,0.00469510263448323,0.359758737590786,0.426576485874238,0.429627435301256,2.26886359812653,0.629032258064516,-0.199673620972513,-0.0885201527632216
"ALASOPP.KY.Equity",NA,0.151802366905679,0.0447578415778425,0.122626306036986,0.0801607936082318,-0.286577621898878,0.324219515883084,0.495976147294027,0.142153628695963,-0.00206639253017067,0.782539618881222,0.601758386622965,0.616634113180634,1.3452402617542,0.587301587301587,-0.389108526646196,-0.0919458690398569
"ALCINDA.KY.Equity",0.072359,0.503595814428719,0.217767194456538,0.231218078020358,0.154253378176776,-0.352363103439851,0.920201379918938,1.37933572004307,0.630436368038571,0.0099432105765031,1.0759681251984,0.441540029907504,0.446167123417059,2.06824096952163,0.703125,-0.216961403859285,0.238437101561968
"ALLIVFD.AU.Equity",NA,0.0107170638306193,0.0372699415041393,0.117086122952558,0.125436697597955,-0.200078547929571,0.27560859212338,0.257260770748046,-0.158071871885349,0.00172044747390276,0.236415607411136,0.222838229604527,0.195108224431716,1.36840404131364,0.698412698412698,-1.61587576310637,4.11800378095049
"ALTACIF.MP.Equity",NA,0.261088231546693,0.119182757348952,0.129522156640329,0.0987081001173254,-0.167374601936871,0.881569302972825,1.15677190841717,0.450455670373552,0.00480792129843611,0.655258437521593,0.451201428999803,0.488847516396344,2.0047457456148,0.698412698412698,-0.53024500103086,0.44027858472975
"APEXGCE.US.Equity",NA,0.184615475874902,0.103173034865886,0.102357260158847,0.0444883756807808,-0.0905346604242415,0.959121362896318,2.20671205373536,0.53408246350236,0.00820548560719397,0.0529953128609079,0.144445933657177,0.0500292124393831,2.29187574359352,0.555555555555556,0.935887416561443,1.41508704257938
"APSASPH.KY.Equity",NA,-0.00690773118995791,0.083960147222957,0.161056297539152,0.0997546389969987,-0.251581737601589,0.490264264294055,0.791543611574121,0.311722017987813,0.00348806887748461,0.529854407987602,0.426946360770113,0.317895001294934,1.64230252772374,0.587301587301587,0.591161761452328,2.19220787078213
