"","AAASYWB.KY.Equity","ACAKITO.KY.Equity","AESOPHK.KY.Equity","AHPACOB.KY.Equity","AISMERC.KY.Equity","AJAOPAR.KY.Equity","AKABONA.KY.Equity","AKAMFDA.KY.Equity","ALASOPP.KY.Equity","ALCINDA.KY.Equity","ALLIVFD.AU.Equity","ALTACIF.MP.Equity","APEXGCE.US.Equity","APSASPH.KY.Equity","APSCHIA.KY.Equity","APSCHIN.KY.Equity","ARASALP.KY.Equity","ARCJVAB.KY.Equity","ARMACRO.KY.Equity","ARNASIA.KY.Equity","ASCREHA.KY.Equity","ASEASCF.KY.Equity","ATCHSTA.KY.Equity","ATHASIE.SP.Equity","ATLRIVR.KY.Equity","CAMAMAP.KY.Equity","CAMCCGA.KY.Equity","CAMGCSM.KY.Equity","CCASIAU.KY.Equity","CCIOIGF.KY.Equity","CDIFORD.VI.Equity","CEASOPP.AU.Equity","CHCIMPE.KY.Equity","CHEAGLE.KY.Equity","CHINABS.KY.Equity","CLARCOB.BH.Equity","CMCHCSF.KY.Equity","CMSPRGS.KY.Equity","CMTFGRC.KY.Equity","CNALPHA.KY.Equity","CSVCHNO.VI.Equity","DALAOFF.KY.Equity","DALGCHI.KY.Equity","DBDHAAB.KY.Equity","DORASPS.KY.Equity","DRAGALT.KY.Equity","EDAF001.KY.Equity","ENAMIND.KY.Equity","EPICJPF.KY.Equity","EUPIRAQ.KY.Equity","EVENSTR.KY.Equity","EWADVJM.KY.Equity","FMGMONA.BH.Equity","FORASMA.KY.Equity","FOUCHOP.KY.Equity","FRTNHDG.KY.Equity","GAAOPPO.KY.Equity","GAMCOFA.KY.Equity","GBAMBOO.KY.Equity","GHKNCVF.KY.Equity","GLDCHPL.KY.Equity","GLXCDVA.KY.Equity","GOLDCHI.KY.Equity","GREASHI.KY.Equity","GRECVPD.MV.Equity","GRNDRGN.KY.Equity","GRSPOPA.KY.Equity","HADOHV1.VI.Equity","HARMFDR.KY.Equity","HARUSFD.KY.Equity","HJELSFJ.KY.Equity","HKPTRLP.US.Equity","INDMAXG.MP.Equity","INDSMLI.MP.Equity","INFCOPP.KY.Equity","IONISRL.KY.Equity","IVMAOPP.KY.Equity","JAPCHLP.US.Equity","K2AARFA.AU.Equity","KAMWANG.KY.Equity","KARSTAR.US.Equity","KINGSMD.KY.Equity","KISCUSD.KY.Equity","KISGLMS.AU.Equity","KKSPCFA.KY.Equity","KMEFUSD.KY.Equity","KNIASPR.VI.Equity","KOMOFUN.KY.Equity","LBNCHPO.KY.Equity","LEGCHNA.KY.Equity","LHASTRF.KY.Equity","LIMJAPA.KY.Equity","LUASVAL.KY.Equity","LYNASIA.KY.Equity","MIDASEQ.KY.Equity","MNJAPAR.KY.Equity","MQASALA.AU.Equity","MQASLSF.KY.Equity","MWJDA2U.ID.Equity","MWJMA1U.ID.Equity","NAVASIA.KY.Equity","NAVYILD.KY.Equity","NEWHBAS.KY.Equity","NHINDIA.MP.Equity","NORASXD.KY.Equity","NTADUSA.KY.Equity","NTASIAN.KY.Equity","OCMFUND.KY.Equity","OCTAPAF.KY.Equity","OPTJAPT.AU.Equity","OPTPJAI.BH.Equity","OZASIAM.KY.Equity","PANGOLN.KY.Equity","PANNOTI.VI.Equity","PASINLD.KY.Equity","PASINLP.US.Equity","PELAALA.NA.Equity","PENASEF.AU.Equity","PENASEU.KY.Equity","PHALJAM.US.Equity","PPASIAS.KY.Equity","PPCHINA.KY.Equity","PRABRHY.KY.Equity","PRUENHN.KY.Equity","PSAARFL.KY.Equity","PXPVEEF.KY.Equity","QDSPJPA.KY.Equity","QIEFMLB.MP.Equity","QUACHFA.KY.Equity","QUPANEF.VI.Equity","REALRTA.ID.Equity","REGCADY.KY.Equity","RMBJOPP.US.Equity","ROCIMAS.KY.Equity","RVCCLSA.KY.Equity","RVCUSCA.KY.Equity","SECZENU.ID.Equity","SENTCAP.KY.Equity","SENTCRE.KY.Equity","SENVISR.US.Equity","SERICAB.KY.Equity","SMCCNMI.KY.Equity","SPALSAI.BH.Equity","SPASJFA.KY.Equity","SPCHOPA.KY.Equity","SPGRCHC.KY.Equity","SPHERAN.VI.Equity","SPHRILS.VI.Equity","SRGJPPH.KY.Equity","START22.KY.Equity","STEVJPY.GU.Equity","SVGRCMN.KY.Equity","TANTALF.KY.Equity","TELLGNT.KY.Equity","TICHVIA.KY.Equity","TK5YRGA.CH.Equity","TKFUNDS.CH.Equity","TKPROST.CH.Equity","TKYJULB.CH.Equity","TKYJULS.CH.Equity","TOCCATA.KY.Equity","TROPHY1.KY.Equity","TTJPFJP.KY.Equity","UGFMSTA.KY.Equity","UGHDSOA.KY.Equity","UMJKOTA.KY.Equity","VAPAHED.KY.Equity","VERAIUS.ID.Equity","VISFICH.KY.Equity","VITCHBA.KY.Equity","WFASREC.KY.Equity","WFASSCF.KY.Equity","WYCAASV.KY.Equity","YECYOSP.KY.Equity","ZEALCHI.KY.Equity","ZENUSOF.KY.Equity"
"1",2.7732,0.9523,4.153,0.9126,-7.982,5.1623,2.419,-0.1103,4.4447,15.7482,3.4635,4.5707,2.36,2.2914,3.4865,2.6855,5.6213,1.3788,2.3317,5.6674,2.1672,-3.8216,1.5557,4.1361,7.7012,4.7715,2.5213,4.0475,NA,3.8587,5.075,4.8329,1.8516,4.3583,-2.6015,-0.0525,3.4457,6.1609,3.5925,-3.7094,4.6723,3.9897,6.4,1.4523,4.4573,2.5637,0.353,14.5641,-0.4772,2.6025,2.084,-2.4422,-2.5528,2.0903,6.8056,4.6349,4.7147,3.1237,13.7995,10.9205,-2.1199,-0.6007,0.49,2.5904,5.7198,0.1709,0.7723,2.44,3.801,3.4814,1.6511,2.6966,14.1935,15.5062,4.4286,-0.8736,7.0087,1.2997,4.8924,2.8068,14.571,5.9738,-0.5959,-0.1896,1.2678,-0.4675,3.4677,3.663,-1.7813,5.5305,0.315,1.5872,3.4105,4.9544,-1.212,0.1852,-0.7471,-1.1,0.3266,0.1568,4.0349,7.1203,5.8454,12.0342,-1.6152,7.8589,7.844,2.2612,2.3701,1.1719,2.331,1.1,0.2291,1.2772,12.27,11.64,1.8079,0.8756,0.629,-0.8201,0.3734,1.7096,4.2,0.8314,6.9777,-3.7369,-3.6623,13.3933,8.1555,4.1058,2.423,-1.2791,1.87,5.9866,3.9267,3.9267,1.0409,1.3157,1.3157,7.43,1.3303,4.8457,0.8696,1.4729,4.861,4.5514,1.4693,1.4248,2.7314,1.2488,4.2779,-0.5858,5.81,2.74,5.5525,0.777,1.8737,3.3485,2.4811,0.2093,1.6943,7.3171,-0.1565,-0.1705,0.5199,4.2908,0.6316,0.8358,4.1262,-3.4526,5.9119,8.0437,2.581,-2.0122,3.5706,1.3498
"2",1.3653,1.2001,2.6809,1.006,0.8513,1.7208,2.9036,-0.6843,2.3852,-3.0498,1.7288,-0.1655,-1.01,2.3358,-1.5897,1.8359,1.247,5.8154,1.2161,1.0656,1.4434,-1.886,3.0802,-0.1844,-1.8185,0.3247,1.5944,1.1711,3.8779,3.0552,1.5198,0.0288,1.3378,6.0418,0.2137,-0.055,3.9995,5.2881,4.51,-1.487,2.3314,-0.6498,-0.3,2.0502,0.5235,2.6689,0.7328,-0.5216,0.0879,4.8757,0.7345,0.0207,-4.7988,2.01,3.381,6.1385,7.0931,0.6221,6.6795,4.2325,5.1022,0.6356,-0.0398,-1.7052,2.5389,-1.8771,7.0629,0.95,9.7649,9.0476,0.4076,3.7055,-1.6949,-3.556,2.7225,-2.2841,3.2185,-1.3001,3.8961,-1.734,-1.388,7.7496,1.0417,1.39,1.1254,-4.3667,-4.8913,2.9327,-0.2702,6.5247,0.3439,1.3435,3.163,2.1054,-0.2968,0.1438,0.9258,0.84,1.6864,0.6386,0.4034,-0.517,1.8383,-0.6366,-0.9486,2.6121,2.6594,2.9645,-0.798,0.3861,-0.5374,-0.66,3.1907,4.3652,-3.03,-3.44,-0.4819,-0.8228,-1.0812,-1.87,1.755,2.7397,-3.0199,1.8894,-0.3388,0.5952,-2.9842,-3.827,0.0985,0.9783,0.7364,1.1412,0.22,3.9193,3.3017,3.3017,0.9342,1.5924,1.5924,-3.17,0.6608,0.8062,-0.5651,0.5198,-4.4269,3.7427,1.2455,1.1854,0.9168,1.9666,5.9162,3.5152,0.95,0.9401,4.8374,0.5686,1.2828,1.5104,-1.0873,0.7239,2.7682,7.2058,-0.0431,-1.2124,-0.728,1.3184,-1.7085,1.2892,7.0217,-0.298,-0.5447,1.8871,1.4845,-1.578,2.3262,1.5166
"3",-2.2378,0.171,3.4785,0.8185,-2.0112,2.7429,4.3799,0.7187,3.9154,8.9481,0.197,0.0535,2.31,-0.1815,-4.1628,-4.4215,2.1075,4.9956,-1.2497,1.7933,2.1391,-0.7612,-0.9668,3.3063,4.1904,-0.3668,3.0625,2.3286,-1.8483,3.27,1.2551,3.2453,3.2946,-0.7653,-0.9595,-0.0525,1.7679,0,-0.9385,2.3123,7.8468,3.5603,6.6799,-0.1943,3.7489,2.9618,0.0776,7.0305,-0.0479,8.3677,0.4801,0.3413,-3.2645,3.58,0.1192,4.0495,2.2689,-1.9661,6.8639,4.1204,5.926,-5.3382,5.0174,-0.065,1.8989,3.1304,0.6285,2.65,16.4601,15.3889,2.3147,1.2577,7.4713,4.743,2.4975,2.538,3.7724,3.5,1.997,4.8182,7.978,4.3649,-0.5714,-0.13,1.2145,-24.8863,-4.9048,0.3546,0.8817,3.2732,0.4321,0.8038,1.893,2.4559,-0.7244,1.0668,0.823,0.57,1.2468,-0.2603,2.1323,1.4105,3.3018,13.1114,0.1345,3.4446,3.4541,7.1221,1.7181,1.7308,3.638,1.03,-0.434,-0.2582,-5.61,-5.88,1.2628,2.0786,1.839,3.01,1.0348,-0.6238,-2.69,2.1092,5.5097,-2.4698,-1.5086,1.7905,6.6705,2.3206,1.7031,10.2603,0.11,3.1059,1.3962,1.3962,2.7258,1.101,1.101,2.5,2.0617,-3.5128,1.7548,2.1173,-8.7988,-0.4498,2.2262,2.4288,8.2154,3.0387,3.8108,-2.1583,2.81,2.2598,1.1034,0.2013,-5.8391,-15.4191,-6.185,-0.2419,2.3008,10.9121,0.455,-0.812,-1.6234,0.501,3.7957,5.1457,-0.9263,-1.1717,4.5666,5.0337,-1.1417,0.5845,3.5413,3.6744
"4",6.5741,1.4261,4.8068,0.8308,1.4782,3.2577,8.4123,2.1701,3.8137,0.8808,1.952,-2.7472,7.29,3.5704,15.7925,21.1648,2.1845,10.2692,6.6923,1.8042,1.8966,10.9277,6.8737,1.5621,13.4331,1.5018,4.0723,1.9693,3.1199,4.8327,4.0373,2.8364,4.0961,8.8961,4.8439,-0.053,6.9036,7.7785,7.5368,6.5759,3.4805,-1.0599,-0.14,1.3716,6.5217,3.1653,-0.3683,1.9667,0.5991,8.3886,2.1021,2.5665,7.4088,3.66,8.1531,4.8305,5.6281,21.3888,6.3597,6.6816,10.2014,20.9585,9.2047,-2.1781,5.395,1.6863,5.2689,7.3001,38.5557,36.1267,-1.5818,3.1627,1.0695,5.0222,4.4257,0.2412,2.9628,8.6004,6.0006,3.7431,0.889,12.7052,0.95,1.17,1.5782,8.2102,7.6615,0.2409,4.3708,6.1682,0.4525,1.5353,4.7846,-1.4514,1.9192,1.3092,-0.4761,-0.69,3.7796,0.1386,2.0877,4.978,1.7836,1.5636,2.0118,5.1704,5.1849,4.7442,1.8942,6.0491,6.1378,2.48,2.0022,6.2435,-0.6,-1.01,-0.5256,2.0273,1.7073,3.58,1.789,3.7127,0.19,3.9025,1.7258,9.1269,7.3006,0.9672,1.8161,2.9312,2.1685,4.8446,-0.38,3.3351,1.1486,1.1486,11.3915,1.0613,1.0613,0.2,1.3844,13.059,5.7322,6.4112,14.1059,3.4391,0.4433,0.3386,16.5627,6.69,19.8414,NA,4.5,1.1702,2.6655,0.4591,9.8012,16.4865,11.4748,1.4548,4.815,37.7389,0.6868,4.3335,7.097,-0.9525,-0.2734,4.7611,7.8062,0.0484,1.7918,1.6712,0.805,7.4867,1.9302,1.4907
"5",5.7919,5.4995,9.2564,0.2932,2.8168,6.965,9.2203,4.3344,4.341,-2.4937,1.6748,2.6757,1.58,4.3571,4.689,0,4.7513,11.1262,2.7834,4.0861,1.1039,6.4619,-3.397,1.2049,10.9772,-0.5597,8.6026,5.4919,3.9769,6.6327,4.5462,4.4854,8.9507,4.0822,2.5667,-0.8225,6.2362,5.7116,5.4039,7.1225,4.4878,5.64,7.5,1.3197,5.4716,10.7837,2.6556,2.3784,2.8826,1.4832,2.3414,7.0244,-1.3964,1.85,5.8144,7.8744,3.7375,7.2157,5.8748,4.8114,5.9623,7.1891,9.809,0.79,6.9478,5.141,0.6653,5.23,-11.9744,-11.7456,7.3342,3.6916,-0.5291,4.491,6.0952,4.8597,4.3061,10.0237,4.3003,6.1457,0.31,5.7286,-1.29,-0.94,1.4398,5.282,1.1628,1.5857,4.4552,10.1448,0.4062,3.4873,8.8319,6.8901,-1.4123,1.9585,5.2114,5.04,3.9217,1.4349,2.786,3.7657,1.4592,1.6338,6.3195,5.8528,6.0232,9.4635,3.2867,6.4171,3.8962,3.7,1.232,2.0076,-2.23,-2.48,2.3941,1.812,1.6248,1.45,2.1802,5.3424,-12.17,4.214,2.3237,12.0619,9.974,5.5561,21.1845,7.0229,2.2876,11.097,4.31,5.3618,3.1949,3.1949,4.6313,0.9862,0.9862,6.76,0.8507,4.3689,7.1296,2.8823,7.1184,2.8846,1.9035,1.8995,15.4954,4.1249,8.4983,1.7507,6.23,6.86,6.0956,1.0092,4.1974,5.5143,5.1573,1.5022,1.6747,44.8365,2.4238,4.6811,6.2444,3.5309,7.2653,5.1395,5.0519,-0.4111,6.6231,7.2549,1.1295,2.363,3.1414,3.7658
"6",2.9635,4.3328,2.1616,0.9048,0.3972,1.9397,6.1419,0.9247,1.8238,-10.0402,1.3659,-0.7084,1.4401,1.8403,0.8022,0.4042,-2.0044,1.7086,1.2219,-1.7603,0.9319,-1.1322,-0.9455,1.9529,-4.4281,0.8547,-0.4184,-2.2211,2.5282,2.5616,0.7385,2.4667,-0.2023,-0.7466,-3.1031,0.1045,-2.9301,-2.8484,-0.9925,3.2634,-3.1606,0.3599,-0.97,0.6464,-3.1382,1.1924,-0.0284,-11.8756,1.0266,5.6861,0.0605,6.8451,-5.445,0.18,5.2522,-0.558,-0.6104,-5.3044,5.6324,-5.2309,-1.6374,-8.0279,-0.4743,-4.0597,-1.7266,5.0615,0.8916,2.65,5.7167,5.372,8.8856,3.2141,-5.8511,-8.2561,-0.8977,1.6684,1.0761,1.9,2.1021,1.1493,-8.171,-2.1324,2.13,2.2,0.7115,-5.4634,-0.7356,3.0535,4.2963,0.0893,0.331,1.6651,3.8594,7.5974,2.109,0.226,2.2574,2.07,-0.8978,-0.7907,2.0473,4.3011,0.451,-4.1116,-0.7844,5.3057,5.3068,2.5876,1.0298,0.7538,1.8965,0.42,2.1516,-1.5668,-11.19,-11.48,1.5336,0.834,0.4658,3.06,1.7857,2.7105,-4.54,1.5257,3.9707,-2.0276,1.2643,-4.3983,0.4456,4.4496,1.7714,7.5909,1.97,-0.4447,1.9131,1.9131,1.6519,0.8229,0.8229,1.67,0.5953,-2.9026,2.7895,3.7703,5.5427,0.1793,1.8558,1.8039,4.3703,-0.2891,4.616,2.4787,5.97,1.3801,-1.6548,0.4241,-0.4668,1.0651,0.5397,0.5785,2.0932,0.104,1.0492,-0.9679,-1.1608,1.9229,1.0863,0.8058,-3.7258,0.2914,0.1887,-0.8945,1.54,3.2251,-1.3639,1.9176
"7",-2.2989,3.1961,-0.4505,0.4426,1.7102,-0.416,10.6742,4.3829,4.0911,-5.2976,-2.0656,-0.1087,-0.1201,-1.4817,-3.0082,-5.315,-3.1033,10.9862,0.781,-2.6779,-0.0091,-1.4618,0.142,-0.2315,-7.4213,3.5036,1.0648,-3.4065,4.4284,-1.4218,-0.6984,-2.3566,1.0423,-1.2521,-0.8264,-3e-04,-4.4203,-4.968,-5.8491,-2.9636,-3.8662,-0.13,2.71,1.0618,-1.5815,-1.944,0.1706,-2.0048,1.612,-0.5182,0.4919,2.7507,-8.2634,0.77,-5.2811,-4.5562,-4.269,-2.5084,-3.5605,-4.9454,-5.2895,-0.4533,-2.2875,1.0722,-2.8905,-1.3917,0.3405,4.67,12.5989,11.9296,21.7382,-10.6608,-2.8249,-3.3488,-3.2156,0.102,0.5807,6.7998,-0.0397,2.6905,2.092,-1.4667,0.1804,0.5402,0.8935,-10.6814,5.7434,6.0692,-0.647,-4.216,0.3592,3.1085,0.6227,1.763,-4.0238,1.5931,1.2308,1.34,2.6752,1.0748,-0.7347,2.8995,0.2493,-0.4986,0.3158,5.0346,5.069,-0.2521,0.932,3.8238,6.1953,1.58,3.7565,-5.8138,-12.85,-13.19,1.1631,0.6054,0.5692,3.34,-1.0449,-0.5022,5.66,1.7171,0.5185,4.0511,3.1796,-4.6227,0.1832,3.8894,3.1074,1.7607,4.3901,-2.7295,2.2782,2.2782,7.3233,0.1614,0.1614,4.92,0.0707,-3.899,8.8452,6.4256,1.3687,-3.9419,NA,2.1153,32.3389,2.2318,7.0498,2.5829,2.9,-0.1599,0.9467,1.0934,0.33,-1.8315,-0.9146,0.9832,1.6918,-1.5433,0.3283,-5.3943,-8.7873,6.6567,1.7699,0.2063,-4.0594,1.6828,2.5821,3.9825,0.4422,6.7149,-4.8223,0.86
"8",0.2487,6.0125,-0.0823,2.0094,7.8803,0.8875,13.3212,5.8758,2.1828,6.6701,0.8225,0.9524,0.95,-0.94,-0.8232,-0.316,0.6132,11.3723,2.9544,0.5338,1.3896,-4.8295,4.963,3.1627,4.853,-1.594,0.4528,2.6304,0.32,-1.2636,0.5951,6.2803,0.5253,-1.6875,2.0833,-3e-04,-2.4409,2.6322,-0.9687,-0.6039,0.7501,-0.3,-0.25,1.1133,8.1126,1.8872,5.5924,7.151,4.0677,1.9769,1.9088,6.3462,-7.4877,4.25,2.3009,2.2465,-2.8008,1.6531,1.5364,-1.1225,6.3689,11.6903,2.4061,-7.2165,-0.0889,3.0252,0.041,3.35,12.7919,12.1828,20.2258,7.3549,1.1628,2.2362,3.0884,-2.4037,0.5774,5.9,3.2119,3.8883,NA,-4.8184,0.5496,0.8298,0.8122,-9.8187,-3.7232,0.5438,3.6408,0,0.3068,2.1071,2.5951,-0.2905,-2.4465,0.3136,3.679,3.46,6.2066,4.4233,4.4406,6.387,2.0303,9.2981,-1.9,2.9515,2.9712,1.9313,1.9561,NA,10.7418,4.85,2.7744,-3.0709,10.6,10.36,0.3665,1.3052,1.059,2.78,1.2645,1.6428,-1.33,2.9238,4.2123,0.5925,15.3114,4.1339,1.0998,1.6929,2.6036,-12.4824,6.3699,2.2959,1.6539,1.6539,6.0471,1.1372,1.1372,-6.61,0.4876,0.5114,6.9425,6.8753,-2.2413,1.3521,2.8484,0.6473,-7.4276,21.4253,12.8247,1.5104,3.62,3.43,0.6285,0.3899,0.2857,-1.8966,-0.9365,0.2384,3.487,45.7649,4.5492,1.3831,1.051,10.8337,-0.528,0.4561,-2.7337,-0.2857,2.4642,3.7261,3.6121,4.1361,0.0834,2.3623
"9",4.055,7.547,7.3767,-0.0682,5.5303,5.0246,1.3694,0.7734,-1.0428,-1.9866,6.2768,-2.5507,10.99,3.888,7.8705,5.0029,-0.4213,-2.2723,5.341,-0.3616,-0.5938,9.8004,2.3341,-2.6331,7.4661,4.5441,2.1969,4.1879,1.0981,2.2494,2.8598,5.4859,3.4964,2.9964,7.551,-2e-04,2.48,0.501,-0.2425,2.1177,3.7158,3.6097,6.05,0.1797,-0.2477,-0.0934,-5.6546,-0.255,2.955,4.9284,2.8805,5.1713,-4.0469,4.47,3.4616,5.3953,0.0644,-0.5457,3.6823,5.2007,7.9724,-0.5492,4.9532,-3.9392,1.1365,4.3314,-1.3516,-0.79,13.0842,13.3166,-2.6912,8.3191,-4.5977,-3.468,4.4031,3.6246,2.4684,0.5,2.3805,13.3233,NA,1.6543,2.3301,3,0.6565,-12.1161,-0.1365,-0.5012,7.5437,5.4935,0.3568,-0.9418,4.4557,3.4446,1.0406,2.376,-1.2484,-1.42,0.2583,0.141,-1.4445,-4.0612,0.35,0.2668,2.8237,2.0971,2.1031,5.7204,0.2499,8.727,-1.3473,-0.88,5.8267,2.7429,-1.47,-1.81,-0.7864,1.6314,0.4968,3.72,-1.5384,1.6337,-3.12,1.3872,6.1228,5.9318,-4.9671,-4.7922,16.0328,0.0093,-0.5104,19.6063,-2.52,1.7456,0.3442,0.3442,-0.9107,0.0531,0.0531,6.17,-0.2282,7.4337,0.4091,3.0982,13.5834,0.9631,2.3303,2.1814,-2.6104,2.714,-5.4631,2.2351,-3.88,3.0101,3.4131,0.8,6.3617,6.3281,6.2053,1.3678,-0.6494,-33.5005,1.2864,6.2408,7.3732,0.1385,1.3113,4.5906,0.7023,6.7343,1.199,0.6365,3.102,6.6952,2.8525,2.625
"10",-8.6558,1.0732,-3.8088,-2.5747,3.89,-6.1512,-3.0175,-1.1174,-7.2484,-10.3353,-5.0302,-4.5755,-0.69,-4.7003,-13.6875,-8.1403,-8.6014,-4.15,-0.2368,-7.8249,-4.9537,-2.4054,-0.5867,-5.5764,-7.5498,-0.4283,0.9264,-5.9945,-2.1045,-6.7802,-6.5846,-2.3148,-0.2938,-5.6947,-6.4516,-8e-04,-3.5764,-7.4659,-7.3096,-4.0551,-4.0736,-1.71,-0.87,-2.933,-1.1244,-0.8819,0.6649,0.5977,-0.1193,3.8172,0.0114,4.657,-3.1552,0.83,-7.135,-6.199,-8.9125,-4.4681,-10.8991,-4.7484,-7.97,-3.9238,-4.0085,-9.2398,-9.3006,-3.789,0.0332,2.17,-14.2201,-13.811,-4.2128,-10.7888,-9.0361,-10.6849,-5.3913,1.8447,-10.4202,-2.6,-3.6162,-6.1799,NA,-6.5007,0.14,0.3599,0.9508,-10.5146,-2.9613,-4.8947,-6.2231,-6.3869,0.2975,-0.3953,-6.8827,-7.5929,-2.1215,0.4698,-4.0607,-2.21,2.4285,2.5674,-7.9369,-5.3988,-4.8413,-10.3555,-6.287,-7.6315,-7.6359,-4.6729,-1.7936,2.5773,-0.7317,-0.7601,-5.0412,-3.9114,-9.23,-9.52,-3.3192,-9.9605,-1.63,2.69,-3.5759,-6.4921,-6.46,-0.5525,-5.6057,-4.4083,-5.374,-7.8489,-3.0002,-8.6207,-2.0806,-5.9568,-1.5899,-14.1126,-2.2538,-2.2538,-2.4709,-2.8228,-2.8228,2.2,-2.4585,-8.449,3.4544,-0.8176,-11.6435,-5.4366,-1.6788,-1.7112,-0.2933,-1.3453,-2.0832,-1.528,-5.55,-4.1201,-8.7401,-1,-7.166,-5.5705,-7.3813,-1.1603,-4.3024,-20.353,0.3846,-14.9916,-16.3789,-1.6299,-1.6641,-4.0104,-9.8599,0.9061,-4.712,-5.2614,-0.5159,-7.3075,-5.5305,-4.6252
