"","mtd.ret","ytd.ret","ann.ret.5","ann.std.5","downrisk.5","drawdown.5","sharpe.5","sortino.5","inforatio.5","alpha.5","beta.5","corr.bhf.5","corr.bidx.5","omega.5","wl.5","skewness.5","kurtosis.5"
"AAASYWB.KY.Equity",NA,0.0698823416771859,0.0343627341758841,0.0457884722560761,0.0333875235829194,-0.0331995455178931,0.64126913891493,0.879452293098661,0.157334545669186,0.00243466006507249,0.0420895868712676,0.0475506805444212,0.0425147280940251,1.71155143856205,0.666666666666667,-0.689169048517587,-0.406528039187879
"ACAKITO.KY.Equity",0.002127,0.0435396941988127,0.0543667526242029,0.0152864220202707,0.0042239777461535,-0.00236188666299997,3.22945111411549,11.687266266769,-0.195193409569114,0.00500146880498837,0.0457518401859841,0.158539442542757,0.138953063450717,13.2837338262477,0.75,-0.226876041850005,-1.30191341935452
"AESOPHK.KY.Equity",NA,0.109981728106446,0.158758922894486,0.0584589628527412,0.0368574578613338,-0.0249459758126537,2.63020271642188,4.17171806783207,1.90006936340592,0.0125193703241895,0.00312551953449718,0.151360036062622,0.00247281717138788,5.89345440292657,0.666666666666667,-0.768926875253817,-0.449763439985265
"AHPACOB.KY.Equity",NA,0.0518537068859701,0.0389913851100008,0.0225121795621029,0.0154914480924154,-0.0123023194207057,1.50991089140129,2.19420320858468,-0.898140218514774,0.00123217388532758,0.179162242655121,0.346354802768004,0.368086459968001,4.12519257277224,0.75,-0.00397129486388189,-0.325840549279883
"AISMERC.KY.Equity",NA,-0.146056073577036,-0.106680643801863,0.1234525343821,0.0745338098207786,-0.166389500871772,-0.904644399249012,-1.49838904076427,-1.6582945207752,-0.00858029061038611,0.0171305631626454,0.264768826978144,0.00641789380612211,0.522986056968796,0.5,0.0510228341425066,-0.387857294629194
"AJAOPAR.KY.Equity",NA,0.210738722830784,0.13169500629006,0.082686449108556,0.0310019781788195,-0.0652855277940678,1.53223421317473,4.08667490697797,1.18904461761625,0.00216567402811989,0.765278368495938,0.427850740568749,0.428061325551145,2.90742985409652,0.666666666666667,-0.123443788109845,-1.16555826479175
"AKABONA.KY.Equity",0.030916,0.212914991235347,0.300981091664125,0.0591021642143347,0.0133154262417694,-0.00639515392299994,5.00795690984761,22.228435371874,2.92048713512434,0.0281382262125489,0.467728401539295,0.487411066380245,0.367414052242027,42.8244763988746,0.833333333333333,-0.128323587840156,-1.08152503481333
"AKAMFDA.KY.Equity",0.029814,0.150262106561765,0.208556733733336,0.0553315417682767,0.0396841833228303,-0.0198893866180001,3.67885526461223,5.129417230976,1.78051304342266,0.0171877711421047,0.093005698966999,0.240586462319223,0.0780372926452379,10.6532148772775,0.833333333333333,-0.699461100936002,-0.325065598452566
"ALASOPP.KY.Equity",0.025986,0.0749848048737325,0.0143437394555943,0.0849635395770124,0.0723685692521277,-0.07772306617,0.109973519254397,0.129113226254913,-0.580338657130224,0.00655412739586901,0.407513543060268,0.432848622391403,0.222676739824417,1.171057106488,0.583333333333333,-0.915771086884822,0.293864544892469
"ALCINDA.KY.Equity",-0.023534,0.311272729162081,0.199282847523899,0.169890213697231,0.160010005399662,-0.114423179338,1.14357880478118,1.21419186905614,0.72501084098159,0.0162264625281954,0.0127199576879536,0.0285728946353805,0.00347602353848878,2.38301329394387,0.666666666666667,-1.11725469820269,0.992410965299396
