"","temp.xts","data2","data2.1"
"2017-04-27 15:17:00",1055.31,196.29,43.72
"2017-04-27 15:18:00",1055.17,196.23,43.7
"2017-04-27 15:19:00",1055.07,196.19,43.69
"2017-04-27 15:20:00",1055.09,196.191,43.68
"2017-04-27 15:21:00",1055.19,196.21,43.68
"2017-04-27 15:22:00",1055.35,196.219,43.69
"2017-04-27 15:23:00",1055.34,196.22,43.685
"2017-04-27 15:24:00",1055.34,196.22,43.68
"2017-04-27 15:25:00",1055.24,196.2,43.68
"2017-04-27 15:26:00",1055.27,196.22,43.69
"2017-04-27 15:27:00",1055.35,196.22,43.67
"2017-04-27 15:28:00",1055.21,196.19,43.68
"2017-04-27 15:29:00",1055.38,196.27,43.685
"2017-04-27 15:30:00",1055.5,196.26,43.69
"2017-04-27 15:31:00",1055.45,196.22,43.685
"2017-04-27 15:32:00",1055.56,196.26,43.69
"2017-04-27 15:33:00",1055.5,196.3,43.67
"2017-04-27 15:34:00",1055.46,196.32,43.68
"2017-04-27 15:35:00",1055.34,196.22,43.675
"2017-04-27 15:36:00",1055.23,196.225,43.67
"2017-04-27 15:37:00",1055.13,196.17,43.66
"2017-04-27 15:38:00",1054.94,196.15,43.64
"2017-04-27 15:39:00",1055.03,196.09,43.62
"2017-04-27 15:40:00",1055.2,196.08,43.65
"2017-04-27 15:41:00",1055.3,196.055,43.655
"2017-04-27 15:42:00",1055.33,196.015,43.65
"2017-04-27 15:43:00",1055.32,196,43.64
"2017-04-27 15:44:00",1055.3,195.98,43.62
"2017-04-27 15:45:00",1055.42,196.015,43.63
"2017-04-27 15:46:00",1055.29,195.98,43.635
"2017-04-27 15:47:00",1055.01,195.935,43.625
"2017-04-27 15:48:00",1055.09,195.91,43.63
"2017-04-27 15:49:00",1055.03,195.92,43.6201
"2017-04-27 15:50:00",1054.66,195.95,43.62
"2017-04-27 15:51:00",1054.53,195.89,43.62
"2017-04-27 15:52:00",1054.93,195.93,43.635
"2017-04-27 15:53:00",1054.95,195.95,43.64
