"","intraday.1","interday.1","security.1","intraday.5","interday.5","security.5"
"2017-09-14",7.87200000000036,0.078884,246.6021,NA,NA,NA
"2017-09-15",6.95200000000003,0.33154,246.9337,NA,NA,NA
"2017-09-18",7.96999999999997,0.525201,247.4589,NA,NA,NA
"2017-09-19",7.4789999999999,0.247736,247.7066,NA,NA,NA
"2017-09-20",11.6720000000002,0.089185,247.7958,41.9450000000004,1.272546,1236.4971
"2017-09-21",9.6719999999998,0.663933,247.1318,43.7449999999999,1.857595,1237.0268
"2017-09-22",7.14800000000048,0.049547,247.1814,43.9410000000003,1.575602,1237.2745
"2017-09-25",13.8039999999999,0.505382,246.676,49.7750000000003,1.555783,1236.4916
"2017-09-26",11.4179999999999,0.148642,246.8247,53.7140000000003,1.456689,1235.6097
"2017-09-27",10.5779999999997,0.961217,247.7859,52.6199999999998,2.328721,1235.5998
"2017-09-28",9.34999999999994,0.297284,248.0832,52.2979999999999,1.962072,1236.5512
"2017-09-29",7.9880000000002,0.872032,248.9552,53.1379999999997,2.784557,1238.325
"2017-10-02",9.12599999999949,1.08013,250.0353,48.4599999999992,3.359305,1241.6843
"2017-10-03",6.32799999999966,0.53511,250.5704,43.369999999999,3.745773,1245.43
"2017-10-04",7.90800000000024,0.297284,250.8677,40.6999999999995,3.08184,1248.5118
"2017-10-05",7.64600000000004,1.486418,252.3541,38.9959999999996,4.270974,1252.7827
"2017-10-06",8.7380000000002,0.287374,252.0668,39.7459999999996,3.686316,1255.8943
"2017-10-09",7.29999999999984,0.416197,251.6506,37.92,3.022383,1257.5096
"2017-10-10",10.3679999999998,0.663933,252.3145,41.9600000000002,3.151206,1259.2537
"2017-10-11",7.07200000000012,0.396378,252.7109,41.124,3.2503,1261.0969
"2017-10-12",7.94899999999978,0.376559,252.3343,41.4269999999998,2.140441,1261.0771
"2017-10-13",7.0799999999999,0.307193,252.6415,39.7689999999995,2.16026,1261.6518
"2017-10-16",7.20799999999963,0.336921,252.9784,39.6769999999993,2.080984,1262.9796
"2017-10-17",6.56400000000016,0.17837,253.1568,35.8729999999996,1.595421,1263.8219
"2017-10-18",7.1759999999995,0.247736,253.4045,35.976999999999,1.446779,1264.5155
"2017-10-19",9.95100000000005,0.069366,253.4739,37.9789999999992,1.139586,1265.6551
"2017-10-20",7.94399999999928,1.308048,254.7819,38.8429999999986,2.140441,1267.7955
