,HFRIFWI.Index,MXWO.Index
1,0.01309,0.0252
2,-0.00381,-0.0076
3,0.00405,0.0107
4,0.01441,0.0175
5,0.02513,0.05
6,0.00109,-2.00E-04
7,0.00948,0.0209
8,0.00633,0.029
9,0.00479,-0.0029
10,-0.01468,-0.0261
11,0.01295,0.0519
12,-0.00696,-0.0233
13,0.01577,0.0482
14,0.01506,0.0383
15,0.00885,0.0159
16,0.01049,0.0201
17,-0.00538,-0.0377
18,0.01965,0.0481
19,-0.00295,-9.00E-04
20,-0.00215,0.0083
21,0.00923,0.0163
22,0.01302,0.0165
23,-0.00626,-0.0167
24,0.01245,0.02
25,-0.00921,-0.0288
26,-0.004,0.0057
27,0.00783,0.0184
28,-0.00233,-0.0171
29,-0.00044,-0.0188
30,0.01878,0.0568
31,0.00369,-0.0181
32,0.00951,0.0216
33,0.00588,5.00E-04
34,-0.0123,-0.0246
35,-0.0051,0.0173
36,-0.02387,-0.0681
37,-0.01384,-0.0386
38,0.0173,0.0783
39,0.00156,-0.0067
40,-0.01153,-0.0187
41,-0.02595,-0.0605
42,-0.00033,-0.0096
43,0.02078,0.0652
44,0.01027,0.0138
45,0.00368,0.0023
46,0.0041,-0.0128
47,0.01879,0.0415
48,0.00427,-0.0013
49,0.00647,0.0036
50,-0.00595,-0.0201
51,0.00766,0.0125
52,0.01006,0.0229
53,0.01202,0.0235
54,0.00899,0.0258
55,0.00392,0.0082
56,0.00534,0.0133
57,0.00194,0.0178
58,0.003,0.0025
59,0.01068,0.0233
60,0.00484,-7.00E-04
61,0.00669,0.0208
62,0.01102,0.0181
63,0.00467,0.0199
