 CAB,ABC International
ACE,ACE Research Institute
ALP,AlphaValue
APL,Argonaut Securities Pty Ltd
RWB,Baird
BOC,Bank of China International
BCA,Barclays
 BER,Berenberg
SCB,Bernstein
 BMO,BMO Capital Markets
BNP,BNP Paribas Equity Research
BCM,BOCOM International Holdings
 BMU,Brean Capital
CAN,Canaccord Genuity
 CFG,Cantor Fitzgerald
CSL,Capital Securities Corp
 CSN,Cathay Securities
CBI,CCB International Securities Ltd
CMS,China Merchants Securities
RHK,China Renaissance
ZXJ,"China Securities Co., Ltd"
 CIC,CICC
 CIM,CIMB
 ZXS,Citic Securities
 CMW,CM Research
CMB,CMB International Capital Corp Ltd
FBC,Credit Suisse
DSK,"Daishin Securities(AGCO, Maybank, OKasa"
DIR,Daiwa Securities
DBG,Deutsche Bank
 DNG,Dongbu Securities
 ETD,EBEST Investment
EUG,"Eugene Investment & Securities Co., Ltd"
GDZ,"Everbright Securities Co., Ltd"
 EVR,Evercore
FSG,First Shanghai Securities Ltd
FBS,Fubon Securities
GFS,GF Securities Co. Ltd.
GSR,Goldman Sachs
 GTJ,Guotai Junan
EXN,Haitong
 JIN,Haitong International
 TFS,Haitong International Securities
HAN,Hana Daetoo Securities
 HWS,"Hanwha Securities Co., Ltd"
CJK,HI Investment Securities
HMC,HMC Investment Securities Co Ltd
 HSB,HSBC
HTS,"Hua Tai Securities Co., Ltd"
 IBK,IBK Securities
 ICI,ICBC Research
XYZ,Industrial Securities
 IVS,Investec
 COS,Iwai Cosmo Securities Co. Ltd
JPM,J.P. Morgan
JEF,Jefferies
 JIH,Jih Sun Securities
 KBI,KB Investment
 HYD,KB Securities
 KGI,KGI Securities
 KIW,KIWOOM Securities Co Ltd
KIS,Korea Investment & Securities
 KTB,KTB Securities
 KYB,Kyobo Securities
MAC,Macquarie
 MAR,Marusan Securities
 MLS,Masterlink Securities
 ABM,Maybank Kim Eng
 BSC,Mega Securities
 MRZ,Meritz Securities
DWI,"Mirae Asset Daewoo Co.,Ltd."
 MIO,Mito Securities
MUS,Mitsubishi UFJ Morgan Stanley
MZS,Mizuho Securities Co Ltd
MZU,Mizuho Securities USA Inc
MSR,Morgan Stanley
MSV,"Morningstar, Inc"
NDH,Needham & Co
 NSR,New Street Research
 NHS,NH Investment
WRS,NH Investment & Securities Co Ltd
NMR,Nomura
 NDB,Nord/LB
OKA,Okasan Securities (AGCO Partner)
 PHS,Phillip Securities
 PJE,Piper Jaffray
RBC,RBC Capital Markets
 SSS,Samsung Securities
GMS,Shinhan Investment Corp
 SYS,Shinyoung Securities
SKS,SK Securities Co Ltd
SGE,Societe Generale
SNR,Stifel
 SUS,Susquehanna Financial
SWR,SWS Research
 TBA,Tachibana Securities
TTC,Tokai Tokyo Securities
UBS,UBS
 KAY,UOB Kay Hian
YUT,Yuanta Securities Investment Consulting
