,time,event,date,broker,name,is_forced,newtp_to_px,oldtp_to_px,chg_tgt,newtp_avgtp,chg_2d,chg_5d,char_newrating,newrating,oldrating,chg_rating,score
1,A,TP- ,4/20/2018,Bank of China International,JD.COM INC-ADR,,21.62162162,35.13513514,(10.00),-12.78634945,-7.0216861,-8.095295,,5,5,,0.5
2,A,TP- ,4/20/2018,Bank of China International,ALIBABA GRP-ADR,,18.32338003,19.99776748,(1.40),-6.506402166,-1.0286941,3.084266,,5,5,,0.5
3,A,TP- ,4/20/2018,Goldman Sachs,SOFTBANK GROUP C,,42.56373082,48.60456687,(4.07),-6.927827241,0.84327199,1.842796,,5,5,,0.5
4,A,TP+ Upgrade,4/20/2018,Goldman Sachs,KDDI CORP,,23.7258348,15.99297012,6.67 ,4.664560491,0.60669899,1.28215, Buy/Neutral,5,3,2,2.5
5,A,TP+ ,4/20/2018,Goldman Sachs,NTT DOCOMO INC,,6.826000362,3.204780011,3.51 ,-1.227681263,0.11612029,-0.2714646,,3,3,,1.5
6,A,TP- Downgrade,4/20/2018,Goldman Sachs,NIPPON TELEGRAPH,,19.17198684,20.913136,(1.44),-0.172858214,0.01337986,0.633523, neutral/neutral,3,5,-2,-0.5
7,A,TP- ,4/20/2018,Goldman Sachs,NITTO DENKO CORP,,13.08177598,26.77062254,(10.80),-10.37735849,-1.20161731,-0.224573,,3,3,,0.5
8,A,TP- ,4/20/2018,Goldman Sachs,NIDEC CORP,,25.11170688,26.89901698,(1.41),10.35207567,-0.11322394,-0.2660682,,5,5,,0.5
9,A,TP- ,4/20/2018,Goldman Sachs,KYOCERA CORP,,9.184328838,14.00128452,(4.23),-9.246899277,1.88119269,1.310322,,3,3,,0.5
10,A,TP+ ,4/20/2018,Credit Suisse,CANON INC,,8.191653787,5.61566203,2.44 ,-0.63151941,0.04552139,-0.8190032,,3,3,,1.5
11,B/D,TP+ Upgrade,4/20/2018,Aton LLC,NORILSK NICKEL,,32.3426408,9.815428301,20.51 ,14.35608306,-0.5025102,-1.8191044, buy,5,3,2,1.5
12,A,TP- ,4/20/2018,Nomura,NIDEC CORP,,15.57938636,19.15400655,(3.00),1.944298476,-0.11322394,-0.2660682,,5,5,,0.5
13,A,TP- ,4/20/2018,Morgan Stanley,MITSUI OSK LINES,,32.13213213,53.15315315,(13.73),9.452736318,4.46914569,5.130928,,5,5,,0.5
14,A,TP- ,4/20/2018,Morgan Stanley,NIPPON YUSEN KK,,3.986135182,16.98440208,(11.11),-6.341463415,3.41431369,4.12928,,3,3,,0.5
15,A,TP+ ,4/20/2018,HI Investment Securities,SK HYNIX INC,,6.63507109,0.710900474,5.88 ,-18.66527456,-0.089228,-0.6284306,,3,3,,1.5
16,B/D, Initiation,4/20/2018,Vertical Group,GCL-POLY ENERGY,,,,,,2.7151566,-1.704243, sell,,,,0
17,B/D,TP+ ,4/20/2018,Barclays,ASML HOLDING NV,Forced,23.26169406,13.78002528,8.33 ,10.79545455,-4.0252621,-5.694564,,5,5,,0.5
18,A,TP- ,4/20/2018,Morgan Stanley,APPLE INC,,19.48073672,21.27294777,(1.48),3.659495261,-4.9828071,-5.260314,,5,5,,0.5
19,B/D,TP- ,4/20/2018,President Capital Management,TSMC,,22.27074236,31.00436681,(6.67),7.083467552,-3.1499616,-4.643134,,5,5,,-0.5
20,B/D,TP+ ,4/19/2018,Motilal Oswal Securities Ltd,HINDALCO INDS,,42.69362839,31.24761541,8.72 ,22.42225859,7.7045483,9.5666832,,5,5,,0.5
21,B/D,TP- ,4/19/2018,E Sun Securities,TSMC,,29.25764192,46.72489083,(11.90),13.20252284,-3.1499616,-4.643134,,5,5,,-0.5
22,B/D,TP+ ,4/19/2018,"China Securities Co., Ltd",ANGANG STEEL-H,,12.78195489,0.250626566,12.50 ,-4.404877009,-0.3172679,1.1408976,,5,5,,0.5
23,B/D,TP- ,4/19/2018,Masterlink Securities,TSMC,,13.5371179,23.1441048,(7.80),-0.565351559,-3.1499616,-4.643134,,5,5,,-0.5
24,B/D, Initiation,4/19/2018,BNK Securities Co Ltd,KOREA ELEC POWER,,,,,,3.3172076,2.9021557, buy,,,,0
25,B/D,TP- ,4/19/2018,"Meritz Securities Co., Ltd",KB FINANCIAL GRO,,23.96694215,25.61983471,(1.32),-4.49915427,2.8636476,0.1357087,,5,5,,-0.5
26,B/D,TP+ ,4/19/2018,KTB Securities,KB FINANCIAL GRO,,27.27272727,,,-1.952465051,2.8636476,0.1357087,,5,,,0
27,B/D,TP- ,4/19/2018,Mizuho Securities Co Ltd,TSMC,,24.45414847,26.63755459,(1.72),8.99567233,-3.1499616,-4.643134,,5,5,,-0.5
28,B/D,TP- ,4/19/2018,Yuanta Securities Investment Consulting,TSMC,,13.5371179,15.72052402,(1.89),-0.565351559,-3.1499616,-4.643134,,3,3,,-0.5
29,B/D,TP- ,4/19/2018,Macquarie,TSMC,,31.00436681,35.37117904,(3.23),14.73228666,-3.1499616,-4.643134,,5,5,,-0.5
30,B/D,TP- ,4/19/2018,Macquarie,BHP BILLITON LTD,,14.06351264,15.68373299,(1.40),12.41427263,2.5017215,3.1198263,,5,5,,-0.5
31,B/D,TP+ ,4/19/2018,Macquarie,ALUMINA LTD,,6.007067138,2.473498233,3.45 ,15.6024849,5.4715335,8.5853603,,5,5,,0.5
32,A,TP+ ,4/19/2018,"Morningstar, Inc",ALCOA CORP,,-39.96569468,-51.97255575,25.00 ,-42.46575222,-0.9591531,5.017028,,1,1,,1.5
33,B/D,TP- Upgrade,4/19/2018,Nomura,CHINA PACIFIC-H,,53.53891336,53.68575624,(0.10),6.980821434,0.1481035,-0.748334, buy,5,5,,-0.5
34,B/D,TP- ,4/19/2018,Nomura,NEW CHINA LIFE-H,,119,119.6848138,(0.31),33.98369242,-0.4427384,-6.405904,,5,5,,-0.5
35,B/D,TP- ,4/19/2018,Nomura,CHINA LIFE-H,,63.86206897,66.66666667,(1.68),18.61668254,0.251706,0.8083881,,5,5,,-0.5
36,B/D,TP- ,4/19/2018,Nomura,CHINA PACIFIC-H,,53.53891336,53.68575624,(0.10),6.980821434,0.1481035,-0.748334,,5,5,,-0.5
37,B/D,TP- ,4/19/2018,Nomura,PING AN,,20.3190184,20.80981595,(0.41),-8.798276118,0.3612195,-1.65235,,5,5,,-0.5
38,B/D,TP- ,4/19/2018,Nomura,GUANGZHOU AUTO-H,,11.35693215,59.2920354,(30.09),-30.16807033,4.6735406,-7.970894,,3,3,,-0.5
39,B/D,TP- ,4/19/2018,Nomura,NEW CHINA LIFE-H,,111.0601719,119.6848138,(3.93),29.126124,-0.4427384,-6.405904,,5,5,,-0.5
40,B/D,TP- ,4/19/2018,Credit Suisse,INNOLUX,,-3.829787234,8.936170213,(11.72),-6.611573192,1.0589018,-4.678168,,3,3,,-0.5
41,B/D,TP- ,4/19/2018,Nomura,TSMC,,6.113537118,10.48034934,(3.95),-7.066847803,-3.1499616,-4.643134,,3,3,,-0.5
42,B/D,TP- ,4/19/2018,CIMB,TSMC,,-2.183406114,12.22707424,(12.84),-14.33322596,-3.1499616,-4.643134,,3,3,,-0.5
