"","AAASYWB.KY.Equity","AESOPHK.KY.Equity","AHPACOB.KY.Equity","AISMERC.KY.Equity","AJAOPAR.KY.Equity","ALASOPP.KY.Equity","ALCINDA.KY.Equity","ALLIVFD.AU.Equity","ALTACIF.MP.Equity","ALTOGLA.KY.Equity","APEXGCE.US.Equity","APSASPH.KY.Equity","APSCHIA.KY.Equity","APSCHIN.KY.Equity","ARASALP.KY.Equity","ARMACRO.KY.Equity","ARMLLOA.KY.Equity","ARNASIA.KY.Equity","ARQCALA.KY.Equity","ARQVALA.KY.Equity","ARXBRLS.KY.Equity","ASCREHA.KY.Equity","ASEASCF.KY.Equity","ATCHSTA.KY.Equity","ATHASIE.SP.Equity","ATLRIVR.KY.Equity","ATMOSBE.KY.Equity","BERINUR.KY.Equity","BRASCEH.KY.Equity","BRASFXI.KY.Equity","BRAXFDA.KY.Equity","BRAXFDB.KY.Equity","BRVBRZL.KY.Equity","CAMAMAP.KY.Equity","CAMCCGA.KY.Equity","CAMGCSM.KY.Equity","CCASIAU.KY.Equity","CCIOIGF.KY.Equity","CDIFORD.VI.Equity","CEASOPP.AU.Equity","CHCIMPE.KY.Equity","CHEAGLE.KY.Equity","CHEETAH.US.Equity","CHINABS.KY.Equity","CLARCOB.BH.Equity","CMCHCSF.KY.Equity","CMTFGRC.KY.Equity","CNALPHA.KY.Equity","CONSTEB.KY.Equity","CONSTEQ.KY.Equity","COPLATA.KY.Equity","CSVCHNO.VI.Equity","DALAOFF.KY.Equity","DALGCHI.KY.Equity","DBDHAAB.KY.Equity","DORASPS.KY.Equity","DRAGALT.KY.Equity","EDAF001.KY.Equity","EMMENAA.BH.Equity","ENAMIND.KY.Equity","EVENSTR.KY.Equity","EXPIRES.KY.Equity","FABRAFF.KY.Equity","FAFRICA.BH.Equity","FAVRORC.KY.Equity","FBDREOI.KY.Equity","FIREFND.KY.Equity","FORASMA.KY.Equity","FOUCHOP.KY.Equity","FPP395A.KY.Equity","FRTNHDG.KY.Equity","GAAOPPO.KY.Equity","GAMCOFA.KY.Equity","GBAMBOO.KY.Equity","GHKNCVF.KY.Equity","GLDCHPL.KY.Equity","GLXCDVA.KY.Equity","GOLDCHI.KY.Equity","GREASHI.KY.Equity","GRECVPD.MV.Equity","GRNDRGN.KY.Equity","GRSPOPA.KY.Equity","HALCYON.KY.Equity","HARMFDR.KY.Equity","HARUSFD.KY.Equity","HKPTRLP.US.Equity","ICAPNIT.SJ.Equity","ILASCON.US.Equity","INDMAXG.MP.Equity","INDSMLI.MP.Equity","INFCOPP.KY.Equity","IVMAOPP.KY.Equity","JABEMX1.KY.Equity","K2AARFA.AU.Equity","KARSTAR.US.Equity","KINGSMD.KY.Equity","KISCUSD.KY.Equity","KISGLMS.AU.Equity","KKSPCFA.KY.Equity","KNIASPR.VI.Equity","KNOSSPA.KY.Equity","KOMOFUN.KY.Equity","KONDORA.KY.Equity","LAUOSSP.KY.Equity","LBNCHPO.KY.Equity","LEBEQPR.KY.Equity","LEGCHNA.KY.Equity","LHASTRF.KY.Equity","LUASVAL.KY.Equity","LWLASDF.NT.Equity","LYNASIA.KY.Equity","MERINHE.KY.Equity","MERINTF.KY.Equity","MIDASEQ.KY.Equity","MNJAPAR.KY.Equity","MQASALA.AU.Equity","MQASLSF.KY.Equity","NAVABRT.KY.Equity","NAVASIA.KY.Equity","NAVYILD.KY.Equity","NEWHBAS.KY.Equity","NHINDIA.MP.Equity","NORASXD.KY.Equity","NTADUSA.KY.Equity","NTASIAN.KY.Equity","OCMFUND.KY.Equity","OCTAPAF.KY.Equity","OPAFFRA.VI.Equity","OZASIAM.KY.Equity","PANGOLN.KY.Equity","PANNOTI.VI.Equity","PARAMEE.BM.Equity","PASINLD.KY.Equity","PASINLP.US.Equity","PELAALA.NA.Equity","PENASEF.AU.Equity","PENASEU.KY.Equity","PERUEQU.KY.Equity","PHALJAM.US.Equity","PPASIAS.KY.Equity","PPCHINA.KY.Equity","PRUENHN.KY.Equity","PSAARFL.KY.Equity","PSFZAR1.SJ.Equity","PSLATON.US.Equity","PXPVEEF.KY.Equity","QIEFMLB.MP.Equity","QUACHFA.KY.Equity","QUPANEF.VI.Equity","REALRTA.ID.Equity","REGCADY.KY.Equity","ROCIMAS.KY.Equity","RVCCLSA.KY.Equity","RVCUSCA.KY.Equity","SALAOPA.KY.Equity","SCICTFA.KY.Equity","SENTCAP.KY.Equity","SENTCRE.KY.Equity","SERICAB.KY.Equity","SMCCNMI.KY.Equity","SPCHOPA.KY.Equity","SPGRCHC.KY.Equity","SQEBLBE.KY.Equity","SQEBLOE.KY.Equity","SVGRCMN.KY.Equity","TANTALF.KY.Equity","TARPLNG.US.Equity","TELLGNT.KY.Equity","TICHVIA.KY.Equity","TK5YRGA.CH.Equity","TKFUNDS.CH.Equity","TKPROST.CH.Equity","TKYJULB.CH.Equity","TKYJULS.CH.Equity","TOCCATA.KY.Equity","TROPHY1.KY.Equity","UGFMSTA.KY.Equity","UGHDSOA.KY.Equity","UIFLORG.BM.Equity","VAPAHED.KY.Equity","VERAIUS.ID.Equity","VGBRZEM.KY.Equity","VICTBRZ.KY.Equity","VICTLAT.KY.Equity","VIOLETF.KY.Equity","VISDYHE.KY.Equity","VISFICH.KY.Equity","VITCHBA.KY.Equity","WFASREC.KY.Equity","WFASSCF.KY.Equity","WYCAASV.KY.Equity","YECYOSP.KY.Equity","ZEALCHI.KY.Equity","ZENUSOF.KY.Equity"
"1",NA,NA,NA,NA,NA,NA,NA,0.289,NA,NA,NA,-2.7858,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.327,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2966,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1951,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.0624,NA,NA,-5.6537,-10.9049,NA,NA,-2.2261,-6.7086,NA,NA,NA,NA,NA,NA,NA,-2.1238,-7.955,NA,NA,-0.819,NA,NA,-8.2046,NA,NA,NA,1.9466,NA,-4.7555,NA,-0.7105,6.5239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.1612,-0.2473,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.0291,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.69,-6.8,NA,NA,-0.2745,NA,-4.6684,NA,NA,NA,-10.5893,1.3363,NA,2.0535,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",NA,NA,NA,NA,NA,NA,NA,1.2968,NA,NA,NA,-1.6107,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.9554,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7.2981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1318,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.0764,NA,NA,0.7821,-2.1896,NA,NA,-2.8479,-12.0223,NA,NA,NA,NA,NA,NA,NA,-3.5116,-0.7231,NA,NA,-1.5501,NA,NA,1.1355,NA,NA,NA,-18.4397,NA,-3.0239,NA,-0.2036,-12.5698,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0072,-0.263,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.5329,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.67,-5.34,NA,NA,0.8827,NA,0.305,NA,NA,NA,-4.068,0.0162,NA,5.1829,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",NA,NA,NA,0.56,NA,NA,NA,-6.0853,NA,NA,NA,-0.5715,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2783,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.1501,-0.9467,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0834,NA,NA,NA,NA,1.08,NA,NA,NA,NA,NA,NA,5.1667,NA,NA,-0.3461,-0.8127,NA,NA,0.6737,-3.4675,NA,NA,NA,NA,NA,NA,NA,0.5619,-1.1044,NA,NA,-0.0106,NA,NA,-4.5893,NA,NA,NA,-1.6054,NA,-2.9732,NA,NA,2.7922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.1295,0.1196,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.8089,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.53,10.1,NA,NA,2.3897,NA,-4.8568,NA,NA,NA,1.9324,-1.2691,NA,-4.8696,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.3211,NA,NA,NA,NA
"4",NA,NA,NA,0.0099,NA,NA,NA,11.3265,NA,NA,NA,-3.3004,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.848,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.5334,-2.346,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6802,NA,NA,NA,NA,-1.3158,NA,NA,NA,NA,NA,NA,13.6782,NA,NA,0.3127,-3.6419,NA,NA,0.3882,5.7769,NA,NA,NA,NA,NA,NA,-2.1672,1.7155,-0.6963,NA,NA,-0.9144,NA,NA,1.3906,NA,NA,NA,5.4385,NA,-6.2033,NA,-9.4573,5.6804,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0093,1.099,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.3756,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.4201,10.08,NA,NA,-0.827,NA,0.9766,NA,NA,NA,-6.2138,-0.2144,NA,-3.1079,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",NA,NA,NA,0.2486,NA,NA,NA,1.0884,NA,NA,NA,1.1183,-3.5967,NA,NA,NA,NA,NA,NA,NA,NA,0.1452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.402,0.9107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3015,NA,NA,NA,NA,-0.0301,NA,NA,NA,NA,NA,NA,13.227,NA,NA,1.804,4.2631,NA,NA,0.11,4.8978,NA,NA,NA,NA,NA,NA,-0.9877,0.8658,-0.9142,NA,NA,3.0094,NA,NA,2.0948,NA,NA,NA,3.9329,NA,1.9124,NA,1.3381,5.018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8194,3.0216,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.1239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.18,18.34,0.06,NA,-0.315,NA,-1.3012,NA,NA,NA,-3.032,0.3494,NA,-1.2579,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,7.2803,NA,NA,NA,0.9421,NA,NA,NA,0.0286,10.2498,NA,NA,NA,NA,NA,NA,NA,NA,0.687,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.0579,3.7448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2262,NA,NA,NA,NA,1.2034,NA,NA,NA,NA,NA,NA,9.0655,NA,NA,5.5132,8.6222,NA,NA,1.3112,2.7661,NA,NA,NA,NA,NA,NA,6.1112,2.6608,2.1093,NA,NA,4.4165,NA,NA,8.5369,NA,NA,NA,6.7618,NA,4.0657,NA,2.1827,2.2833,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7934,1.8356,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.3198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.4201,6.22,0.69,NA,0.4554,NA,4.641,NA,NA,NA,17.7186,0.3061,NA,3.8217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.7182,NA,NA,NA,NA
"7",NA,NA,NA,-0.5362,NA,NA,NA,2,NA,NA,NA,0.4036,1.5011,NA,NA,NA,NA,NA,NA,NA,NA,0.9097,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.4221,4.9645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4922,NA,NA,NA,NA,0.8522,NA,NA,NA,NA,NA,NA,0.3316,NA,NA,7.6255,6.5526,NA,NA,-0.1783,5.0205,NA,NA,NA,NA,NA,NA,1.6737,1.1635,-0.064,NA,NA,5.4636,NA,NA,-1.4436,NA,NA,NA,-0.9297,NA,2.3291,NA,0.9032,3.8201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,0.268,0.1023,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.0035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.17,-4.49,-1.02,NA,0.4811,NA,-1.9154,NA,NA,NA,19.2277,1.5772,NA,2.454,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",NA,NA,NA,-4.6477,NA,NA,NA,0.5229,NA,NA,NA,0.4331,-1.4502,NA,NA,NA,NA,NA,NA,NA,NA,1.2246,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.3978,6.0062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.0513,NA,NA,NA,NA,4.4606,NA,NA,NA,NA,NA,NA,9.4024,NA,NA,3.1942,-0.6387,NA,NA,-0.528,-0.4647,NA,NA,NA,NA,NA,NA,4.6164,4.0686,3.7234,NA,NA,-1.3789,NA,NA,6.8241,NA,NA,NA,13.4311,NA,7.5624,NA,6.8148,10.6601,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.3988,0.4538,0.8315,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9562,NA,NA,NA,4.1729,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.1944,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.41,11.05,3.0599,NA,0.267,NA,0.9634,NA,NA,NA,52.4815,2.2034,NA,0,3.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",NA,NA,NA,2.3201,NA,NA,NA,3.251,NA,NA,NA,-3.6754,-2.372,NA,NA,NA,NA,NA,NA,NA,NA,1.1949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.525,1.0604,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.41,NA,1.7216,NA,NA,NA,NA,1.0064,NA,NA,NA,NA,NA,NA,7.6279,NA,NA,0.5721,-2.1072,NA,NA,3.0674,14.2105,NA,NA,NA,NA,NA,NA,4.8078,2.1341,0.0669,NA,NA,-2.6711,NA,NA,-1.1032,NA,NA,NA,14.2192,NA,1.9113,NA,2.2327,9.8622,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.38,1.8311,1.8739,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.599,NA,NA,NA,3.0975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9757,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.65,9.89,0.35,NA,0.2296,NA,-1.5215,NA,NA,NA,23.3496,0.0644,NA,49.4012,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.7553,NA,NA,NA,NA
"10",NA,NA,NA,0.0286,NA,NA,NA,2.267,NA,NA,NA,2.0838,-1.7255,NA,NA,NA,NA,NA,NA,NA,NA,0.132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9591,1.1782,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.46,NA,0.9766,NA,NA,3.3112,NA,2.0765,NA,NA,NA,NA,NA,NA,0.7572,NA,NA,3.7081,2.6557,NA,NA,2.2037,6.0474,NA,NA,NA,NA,NA,NA,6.3798,0.9285,1.3928,NA,NA,0.8947,NA,NA,6.2851,NA,NA,NA,-9.1897,NA,-0.4019,NA,1.071,1.3299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.9331,1.2748,0.0353,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0136,NA,NA,NA,-0.4915,NA,NA,-1.1258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.1112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.55,-7.07,-0.3599,NA,0.449,NA,-1.2046,NA,NA,NA,-14.7839,0.0734,NA,16.2325,-0.7744,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
