"","AAASYWB.KY.Equity","AESOPHK.KY.Equity","AHPACOB.KY.Equity","AISMERC.KY.Equity","AJAOPAR.KY.Equity","ALASOPP.KY.Equity","ALCINDA.KY.Equity","ALLIVFD.AU.Equity","ALTACIF.MP.Equity","ALTOGLA.KY.Equity","APEXGCE.US.Equity","APSASPH.KY.Equity","APSCHIA.KY.Equity","APSCHIN.KY.Equity","ARASALP.KY.Equity","ARMACRO.KY.Equity","ARMLLOA.KY.Equity","ARNASIA.KY.Equity","ARQCALA.KY.Equity","ARQVALA.KY.Equity","ARXBRLS.KY.Equity","ASCREHA.KY.Equity","ASEASCF.KY.Equity","ATCHSTA.KY.Equity","ATHASIE.SP.Equity","ATLRIVR.KY.Equity","ATMOSBE.KY.Equity","BERINUR.KY.Equity","BRASCEH.KY.Equity","BRASFXI.KY.Equity","BRAXFDA.KY.Equity","BRAXFDB.KY.Equity","BRVBRZL.KY.Equity","CAMAMAP.KY.Equity","CAMCCGA.KY.Equity","CAMGCSM.KY.Equity","CCASIAU.KY.Equity","CCIOIGF.KY.Equity","CDIFORD.VI.Equity","CEASOPP.AU.Equity","CHCIMPE.KY.Equity","CHEAGLE.KY.Equity","CHEETAH.US.Equity","CHINABS.KY.Equity","CLARCOB.BH.Equity","CMCHCSF.KY.Equity","CMTFGRC.KY.Equity","CNALPHA.KY.Equity","CONSTEB.KY.Equity","CONSTEQ.KY.Equity","COPLATA.KY.Equity","CSVCHNO.VI.Equity","DALAOFF.KY.Equity","DALGCHI.KY.Equity","DBDHAAB.KY.Equity","DORASPS.KY.Equity","DRAGALT.KY.Equity","EDAF001.KY.Equity","EMMENAA.BH.Equity","ENAMIND.KY.Equity","EVENSTR.KY.Equity","EXPIRES.KY.Equity","FABRAFF.KY.Equity","FAFRICA.BH.Equity","FAVRORC.KY.Equity","FBDREOI.KY.Equity","FIREFND.KY.Equity","FORASMA.KY.Equity","FOUCHOP.KY.Equity","FPP395A.KY.Equity","FRTNHDG.KY.Equity","GAAOPPO.KY.Equity","GAMCOFA.KY.Equity","GBAMBOO.KY.Equity","GHKNCVF.KY.Equity","GLDCHPL.KY.Equity","GLXCDVA.KY.Equity","GOLDCHI.KY.Equity","GREASHI.KY.Equity","GRECVPD.MV.Equity","GRNDRGN.KY.Equity","GRSPOPA.KY.Equity","HALCYON.KY.Equity","HARMFDR.KY.Equity","HARUSFD.KY.Equity","HKPTRLP.US.Equity","ICAPNIT.SJ.Equity","ILASCON.US.Equity","INDMAXG.MP.Equity","INDSMLI.MP.Equity","INFCOPP.KY.Equity","IVMAOPP.KY.Equity","JABEMX1.KY.Equity","K2AARFA.AU.Equity","KARSTAR.US.Equity","KINGSMD.KY.Equity","KISCUSD.KY.Equity","KISGLMS.AU.Equity","KKSPCFA.KY.Equity","KNIASPR.VI.Equity","KNOSSPA.KY.Equity","KOMOFUN.KY.Equity","KONDORA.KY.Equity","LAUOSSP.KY.Equity","LBNCHPO.KY.Equity","LEBEQPR.KY.Equity","LEGCHNA.KY.Equity","LHASTRF.KY.Equity","LUASVAL.KY.Equity","LWLASDF.NT.Equity","LYNASIA.KY.Equity","MERINHE.KY.Equity","MERINTF.KY.Equity","MIDASEQ.KY.Equity","MNJAPAR.KY.Equity","MQASALA.AU.Equity","MQASLSF.KY.Equity","NAVABRT.KY.Equity","NAVASIA.KY.Equity","NAVYILD.KY.Equity","NEWHBAS.KY.Equity","NHINDIA.MP.Equity","NORASXD.KY.Equity","NTADUSA.KY.Equity","NTASIAN.KY.Equity","OCMFUND.KY.Equity","OCTAPAF.KY.Equity","OPAFFRA.VI.Equity","OZASIAM.KY.Equity","PANGOLN.KY.Equity","PANNOTI.VI.Equity","PARAMEE.BM.Equity","PASINLD.KY.Equity","PASINLP.US.Equity","PELAALA.NA.Equity","PENASEF.AU.Equity","PENASEU.KY.Equity","PERUEQU.KY.Equity","PHALJAM.US.Equity","PPASIAS.KY.Equity","PPCHINA.KY.Equity","PRUENHN.KY.Equity","PSAARFL.KY.Equity","PSFZAR1.SJ.Equity","PSLATON.US.Equity","PXPVEEF.KY.Equity","QIEFMLB.MP.Equity","QUACHFA.KY.Equity","QUPANEF.VI.Equity","REALRTA.ID.Equity","REGCADY.KY.Equity","ROCIMAS.KY.Equity","RVCCLSA.KY.Equity","RVCUSCA.KY.Equity","SALAOPA.KY.Equity","SCICTFA.KY.Equity","SENTCAP.KY.Equity","SENTCRE.KY.Equity","SERICAB.KY.Equity","SMCCNMI.KY.Equity","SPCHOPA.KY.Equity","SPGRCHC.KY.Equity","SQEBLBE.KY.Equity","SQEBLOE.KY.Equity","SVGRCMN.KY.Equity","TANTALF.KY.Equity","TARPLNG.US.Equity","TELLGNT.KY.Equity","TICHVIA.KY.Equity","TK5YRGA.CH.Equity","TKFUNDS.CH.Equity","TKPROST.CH.Equity","TKYJULB.CH.Equity","TKYJULS.CH.Equity","TOCCATA.KY.Equity","TROPHY1.KY.Equity","UGFMSTA.KY.Equity","UGHDSOA.KY.Equity","UIFLORG.BM.Equity","VAPAHED.KY.Equity","VERAIUS.ID.Equity","VGBRZEM.KY.Equity","VICTBRZ.KY.Equity","VICTLAT.KY.Equity","VIOLETF.KY.Equity","VISDYHE.KY.Equity","VISFICH.KY.Equity","VITCHBA.KY.Equity","WFASREC.KY.Equity","WFASSCF.KY.Equity","WYCAASV.KY.Equity","YECYOSP.KY.Equity","ZEALCHI.KY.Equity","ZENUSOF.KY.Equity"
"1",2.7732,4.153,0.9126,-7.982,5.1623,4.4447,15.7482,3.4635,4.5707,12.33,2.36,2.2914,3.4865,2.6855,5.6213,2.3317,4.2294,5.6674,0.65,-0.1974,-1.0735,2.1672,-3.8216,1.5557,4.1361,7.7012,2.6526,1.75,5.5616,1.4393,0.5513,-0.0159,8.0715,4.7715,2.5213,4.0475,NA,3.8587,5.075,4.8329,1.8516,4.3583,4.5114,-2.6015,-0.0525,3.4457,3.5925,-3.7094,0.5786,2.503,0.0231,4.6723,3.9897,6.4,1.4523,4.4573,2.5637,0.353,2.3611,14.5641,2.084,-2.5994,2.1501,6.42,4.514,4.0784,5.55,2.0903,6.8056,3.8985,4.6349,4.7147,3.1237,13.7995,10.9205,-2.1199,-0.6007,0.49,2.5904,5.7198,0.1709,0.7723,2.576,3.801,3.4814,2.6966,1.7615,4.5398,14.1935,15.5062,4.4286,7.0087,0.3974,4.8924,14.571,5.9738,-0.5959,-0.1896,1.2678,3.4677,1.4755,3.663,-0.7297,1.9373,-1.7813,2.8443,5.5305,0.315,3.4105,0.6655,4.9544,0.2355,0.5021,-1.212,0.1852,-0.7471,-1.1,0.6733,4.0349,7.1203,5.8454,12.0342,-1.6152,7.8589,7.844,2.2612,2.3701,8.286,1.1,0.2291,1.2772,0.3765,12.27,11.64,1.8079,0.8756,0.629,5.4772,-0.8201,0.3734,1.7096,0.8314,6.9777,0.2939,1.46,-3.7369,13.3933,8.1555,4.1058,2.423,-1.2791,5.9866,3.9267,3.9267,0.048,0.8575,1.3157,1.3157,1.3303,4.8457,4.861,4.5514,-0.41,0.08,-0.5858,5.81,4.7801,2.74,5.5525,0.777,1.8737,3.3485,2.4811,0.2093,1.6943,7.3171,-0.1705,0.5199,-0.5682,0.6316,0.8358,-2.4257,2.4631,-2.5664,4.7593,1.2294,4.1262,-3.4526,5.9119,8.0437,2.581,-2.0122,3.5706,1.3498
"2",1.3653,2.6809,1.006,0.8513,1.7208,2.3852,-3.0498,1.7288,-0.1655,9.45,-1.01,2.3358,-1.5897,1.8359,1.247,1.2161,3.4698,1.0656,-0.53,1.7847,0.9638,1.4434,-1.886,3.0802,-0.1844,-1.8185,-0.4999,-0.2457,5.8802,2.4269,1.9061,1.6333,2.4036,0.3247,1.5944,1.1711,3.8779,3.0552,1.5198,0.0288,1.3378,6.0418,1.8921,0.2137,-0.055,3.9995,4.51,-1.487,0.8631,2.6143,0.1992,2.3314,-0.6498,-0.3,2.0502,0.5235,2.6689,0.7328,0.2719,-0.5216,0.7345,1.9273,1.1165,1.46,-2.9683,-3.5598,-3.6095,2.01,3.381,-2.6705,6.1385,7.0931,0.6221,6.6795,4.2325,5.1022,0.6356,-0.0398,-1.7052,2.5389,-1.8771,7.0629,-3.7234,9.7649,9.0476,3.7055,0.0311,-0.1108,-1.6949,-3.556,2.7225,3.2185,1.0383,3.8961,-1.388,7.7496,1.0417,1.39,1.1254,-4.8913,-1.1478,2.9327,-1.2273,2.9768,-0.2702,4.11,6.5247,0.3439,3.163,0.6242,2.1054,2.5063,2.0769,-0.2968,0.1438,0.9258,0.84,0.6794,0.4034,-0.517,1.8383,-0.6366,-0.9486,2.6121,2.6594,2.9645,-0.798,3.6358,-0.66,3.1907,4.3652,0.3889,-3.03,-3.44,-0.4819,-0.8228,-1.0812,-0.5619,-1.87,1.755,2.7397,1.8894,-0.3388,5.6879,5.64,0.5952,-3.827,0.0985,0.9783,0.7364,1.1412,3.9193,3.3017,3.3017,1.7988,0.7718,1.5924,1.5924,0.6608,0.8062,-4.4269,3.7427,1.59,1.96,3.5152,0.95,2.2299,0.9401,4.8374,0.5686,1.2828,1.5104,-1.0873,0.7239,2.7682,7.2058,-1.2124,-0.728,-7.4286,-1.7085,1.2892,2.1104,2.6373,1.7972,3.0518,1.6129,7.0217,-0.298,-0.5447,1.8871,1.4845,-1.578,2.3262,1.5166
"3",-2.2378,3.4785,0.8185,-2.0112,2.7429,3.9154,8.9481,0.197,0.0535,15.46,2.31,-0.1815,-4.1628,-4.4215,2.1075,-1.2497,0.9524,1.7933,-2.56,-1.1295,0.4531,2.1391,-0.7612,-0.9668,3.3063,4.1904,0.8314,-0.1232,-1.7329,-2.9617,-4.8336,-0.1779,-1.9932,-0.3668,3.0625,2.3286,-1.8483,3.27,1.2551,3.2453,3.2946,-0.7653,0.5225,-0.9595,-0.0525,1.7679,-0.9385,2.3123,-2.4609,-1.822,-0.7251,7.8468,3.5603,6.6799,-0.1943,3.7489,2.9618,0.0776,-3.2168,7.0305,0.4801,1.6576,1.1114,-1.1,-3.7924,-2.7834,-1.6743,3.58,0.1192,-2.374,4.0495,2.2689,-1.9661,6.8639,4.1204,5.926,-5.3382,5.0174,-0.065,1.8989,3.1304,0.6285,-0.4626,16.4601,15.3889,1.2577,0.2482,-0.8714,7.4713,4.743,2.4975,3.7724,0.8089,1.997,7.978,4.3649,-0.5714,-0.13,1.2145,-4.9048,5.3294,0.3546,1.2395,1.0572,0.8817,-1.8009,3.2732,0.4321,1.893,0.5054,2.4559,0.4477,0.2307,-0.7244,1.0668,0.823,0.57,0.6625,2.1323,1.4105,3.3018,13.1114,0.1345,3.4446,3.4541,7.1221,1.7181,-0.9598,1.03,-0.434,-0.2582,0.3732,-5.61,-5.88,1.2628,2.0786,1.839,0.1072,3.01,1.0348,-0.6238,2.1092,5.5097,0.4486,-0.5001,-2.4698,1.7905,6.6705,2.3206,1.7031,10.2603,3.1059,1.3962,1.3962,-1.0602,0.8137,1.101,1.101,2.0617,-3.5128,-8.7988,-0.4498,-2.51,-2.59,-2.1583,2.81,-1.03,2.2598,1.1034,0.2013,-5.8391,-15.4191,-6.185,-0.2419,2.3008,10.9121,-0.812,-1.6234,-1.8519,3.7957,5.1457,1.8382,-4.1459,0.0714,-0.5384,0.9803,-0.9263,-1.1717,4.5666,5.0337,-1.1417,0.5845,3.5413,3.6744
"4",6.5741,4.8068,0.8308,1.4782,3.2577,3.8137,0.8808,1.952,-2.7472,15.8,7.29,3.5704,15.7925,21.1648,2.1845,6.6923,1.7455,1.8042,1.15,3.514,1.2427,1.8966,10.9277,6.8737,1.5621,13.4331,4.5426,-6.7818,11.0411,7.069,5.3365,0.6215,2.436,1.5018,4.0723,1.9693,3.1199,4.8327,4.0373,2.8364,4.0961,8.8961,8.4684,4.8439,-0.053,6.9036,7.5368,6.5759,5.8036,10.4725,1.9816,3.4805,-1.0599,-0.14,1.3716,6.5217,3.1653,-0.3683,0.6377,1.9667,2.1021,4.4818,8.3207,4.14,4.3877,4.0789,5.7145,3.66,8.1531,-0.5162,4.8305,5.6281,21.3888,6.3597,6.6816,10.2014,20.9585,9.2047,-2.1781,5.395,1.6863,5.2689,3.5415,38.5557,36.1267,3.1627,1.8792,7.9886,1.0695,5.0222,4.4257,2.9628,3.7598,6.0006,0.889,12.7052,0.95,1.17,1.5782,7.6615,3.767,0.2409,-0.6596,0.7447,4.3708,7.703,6.1682,0.4525,4.7846,0.9047,-1.4514,0.1728,0.1338,1.9192,1.3092,-0.4761,-0.69,0.6573,2.0877,4.978,1.7836,1.5636,2.0118,5.1704,5.1849,4.7442,1.8942,4.8905,2.48,2.0022,6.2435,0.3857,-0.6,-1.01,-0.5256,2.0273,1.7073,1.8589,3.58,1.789,3.7127,3.9025,1.7258,2.2416,2.4501,9.1269,0.9672,1.8161,2.9312,2.1685,4.8446,3.3351,1.1486,1.1486,-0.1349,0.6647,1.0613,1.0613,1.3844,13.059,14.1059,3.4391,5.6599,6.32,NA,4.5,6.52,1.1702,2.6655,0.4591,9.8012,16.4865,11.4748,1.4548,4.815,37.7389,4.3335,7.097,1.2579,-0.2734,4.7611,4.6621,11.9041,3.6098,9.0171,2.1599,7.8062,0.0484,1.7918,1.6712,0.805,7.4867,1.9302,1.4907
"5",5.7919,9.2564,0.2932,2.8168,6.965,4.341,-2.4937,1.6748,2.6757,5.18,1.58,4.3571,4.689,0,4.7513,2.7834,1.5059,4.0861,2.75,3.688,1.2534,1.1039,6.4619,-3.397,1.2049,10.9772,1.6571,2.2487,6.9456,1.7379,4.1891,0.4999,5.4986,-0.5597,8.6026,5.4919,3.9769,6.6327,4.5462,4.4854,8.9507,4.0822,3.6302,2.5667,-0.8225,6.2362,5.4039,7.1225,3.0356,5.5204,2.175,4.4878,5.64,7.5,1.3197,5.4716,10.7837,2.6556,4.0803,2.3784,2.3414,2.3084,2.5882,6.0675,9.0307,10.5916,5.6188,1.85,5.8144,2.8749,7.8744,3.7375,7.2157,5.8748,4.8114,5.9623,7.1891,9.809,0.79,6.9478,5.141,0.6653,12.0973,-11.9744,-11.7456,3.6916,1.3219,4.9389,-0.5291,4.491,6.0952,4.3061,3.0642,4.3003,0.31,5.7286,-1.29,-0.94,1.4398,1.1628,0.6749,1.5857,1.5854,5.2916,4.4552,3.4871,10.1448,0.4062,8.8319,0.5235,6.8901,4.1756,3.4133,-1.4123,1.9585,5.2114,5.04,0.6657,2.786,3.7657,1.4592,1.6338,6.3195,5.8528,6.0232,9.4635,3.2867,12.5433,3.7,1.232,2.0076,0.4255,-2.23,-2.48,2.3941,1.812,1.6248,1.0415,1.45,2.1802,5.3424,4.214,2.3237,-12.0052,4.99,12.0619,5.5561,21.1845,7.0229,2.2876,11.097,5.3618,3.1949,3.1949,4.0458,0.8077,0.9862,0.9862,0.8507,4.3689,7.1184,2.8846,1.52,0.46,1.7507,6.23,3.46,6.86,6.0956,1.0092,4.1974,5.5143,5.1573,1.5022,1.6747,44.8365,4.6811,6.2444,-0.9317,7.2653,5.1395,2.4907,4.3199,1.2384,9.2179,2.3813,5.0519,-0.4111,6.6231,7.2549,1.1295,2.363,3.1414,3.7658
"6",2.9635,2.1616,0.9048,0.3972,1.9397,1.8238,-10.0402,1.3659,-0.7084,-0.03,1.4401,1.8403,0.8022,0.4042,-2.0044,1.2219,1.2111,-1.7603,-0.51,1.2754,-0.0834,0.9319,-1.1322,-0.9455,1.9529,-4.4281,2.2263,-0.2587,1.3955,3.6876,1.4979,0.8755,-2.3168,0.8547,-0.4184,-2.2211,2.5282,2.5616,0.7385,2.4667,-0.2023,-0.7466,3.0959,-3.1031,0.1045,-2.9301,-0.9925,3.2634,1.8747,2.436,-0.2572,-3.1606,0.3599,-0.97,0.6464,-3.1382,1.1924,-0.0284,0.9501,-11.8756,0.0605,0.6812,5.9246,1.82,-2.0632,-2.7186,-2.0598,0.18,5.2522,-0.9618,-0.558,-0.6104,-5.3044,5.6324,-5.2309,-1.6374,-8.0279,-0.4743,-4.0597,-1.7266,5.0615,0.8916,-2.914,5.7167,5.372,3.2141,2.6436,-1.8433,-5.8511,-8.2561,-0.8977,1.0761,-0.0189,2.1021,-8.171,-2.1324,2.13,2.2,0.7115,-0.7356,2.5265,3.0535,0.7219,-0.6797,4.2963,2.9712,0.0893,0.331,3.8594,0.5192,7.5974,0.3613,0.1897,2.109,0.226,2.2574,2.07,0.5969,2.0473,4.3011,0.451,-4.1116,-0.7844,5.3057,5.3068,2.5876,1.0298,2.0274,0.42,2.1516,-1.5668,0.3406,-11.19,-11.48,1.5336,0.834,0.4658,1.8818,3.06,1.7857,2.7105,1.5257,3.9707,10.4585,1.2999,-2.0276,-4.3983,0.4456,4.4496,1.7714,7.5909,-0.4447,1.9131,1.9131,1.4439,0.7252,0.8229,0.8229,0.5953,-2.9026,5.5427,0.1793,1.87,1.97,2.4787,5.97,-1.66,1.3801,-1.6548,0.4241,-0.4668,1.0651,0.5397,0.5785,2.0932,0.104,-0.9679,-1.1608,8.1505,1.0863,0.8058,0.8769,0.3874,-2.4,-2.5291,1.7398,-3.7258,0.2914,0.1887,-0.8945,1.54,3.2251,-1.3639,1.9176
"7",-2.2989,-0.4505,0.4426,1.7102,-0.416,4.0911,-5.2976,-2.0656,-0.1087,-2.4601,-0.1201,-1.4817,-3.0082,-5.315,-3.1033,0.781,-1.3086,-2.6779,1.09,3.8931,-0.5375,-0.0091,-1.4618,0.142,-0.2315,-7.4213,0.01,-0.2594,-6.3169,0.5579,-1.5137,0.0239,0.1367,3.5036,1.0648,-3.4065,4.4284,-1.4218,-0.6984,-2.3566,1.0423,-1.2521,-2.7495,-0.8264,-3e-04,-4.4203,-5.8491,-2.9636,-2.2646,-3.7857,0.1458,-3.8662,-0.13,2.71,1.0618,-1.5815,-1.944,0.1706,3.0793,-2.0048,0.4919,-4.455,-3.7478,-0.61,-2.2506,-1.3999,-3.0024,0.77,-5.2811,-4.6712,-4.5562,-4.269,-2.5084,-3.5605,-4.9454,-5.2895,-0.4533,-2.2875,1.0722,-2.8905,-1.3917,0.3405,-13.7367,12.5989,11.9296,-10.6608,1.832,1.4491,-2.8249,-3.3488,-3.2156,0.5807,0.0566,-0.0397,2.092,-1.4667,0.1804,0.5402,0.8935,5.7434,-1.6338,6.0692,0.2085,1.711,-0.647,-1.9956,-4.216,0.3592,0.6227,0.3646,1.763,-3.2885,-2.6402,-4.0238,1.5931,1.2308,1.34,0.674,-0.7347,2.8995,0.2493,-0.4986,0.3158,5.0346,5.069,-0.2521,0.932,-1.1581,1.58,3.7565,-5.8138,0.3807,-12.85,-13.19,1.1631,0.6054,0.5692,-1.3458,3.34,-1.0449,-0.5022,1.7171,0.5185,1.0882,1.34,4.0511,-4.6227,0.1832,3.8894,3.1074,1.7607,-2.7295,2.2782,2.2782,-1.0618,0.6445,0.1614,0.1614,0.0707,-3.899,1.3687,-3.9419,-2.89,-2.62,2.5829,2.9,-2.76,-0.1599,0.9467,1.0934,0.33,-1.8315,-0.9146,0.9832,1.6918,-1.5433,-5.3943,-8.7873,-13.913,1.7699,0.2063,-4.285,0.2536,5.8305,-4.2274,2.4228,-4.0594,1.6828,2.5821,3.9825,0.4422,6.7149,-4.8223,0.86
"8",0.2487,-0.0823,2.0094,7.8803,0.8875,2.1828,6.6701,0.8225,0.9524,1.13,0.95,-0.94,-0.8232,-0.316,0.6132,2.9544,-1.3054,0.5338,2.78,5.2868,1.674,1.3896,-4.8295,4.963,3.1627,4.853,1.03,-1.6905,2.549,1.0142,1.8924,0.4776,-3.459,-1.594,0.4528,2.6304,0.32,-1.2636,0.5951,6.2803,0.5253,-1.6875,1.7946,2.0833,-3e-04,-2.4409,-0.9687,-0.6039,2.1318,3.4377,1.564,0.7501,-0.3,-0.25,1.1133,8.1126,1.8872,5.5924,2.9519,7.151,1.9088,0.6003,3.0433,0.55,0.3585,-0.4727,-0.7162,4.25,2.3009,-2.7467,2.2465,-2.8008,1.6531,1.5364,-1.1225,6.3689,11.6903,2.4061,-7.2165,-0.0889,3.0252,0.041,-15.1257,12.7919,12.1828,7.3549,0.6425,0.2326,1.1628,2.2362,3.0884,0.5774,0.6652,3.2119,NA,-4.8184,0.5496,0.8298,0.8122,-3.7232,0.0305,0.5438,-0.7231,-0.8053,3.6408,3.2378,0,0.3068,2.5951,0.5278,-0.2905,-0.6403,-0.5688,-2.4465,0.3136,3.679,3.46,0.6381,4.4406,6.387,2.0303,9.2981,-1.9,2.9515,2.9712,1.9313,1.9561,-1.7291,4.85,2.7744,-3.0709,0.3653,10.6,10.36,0.3665,1.3052,1.059,-5.6638,2.78,1.2645,1.6428,2.9238,4.2123,3.1331,2.66,0.5925,4.1339,1.0998,1.6929,2.6036,-12.4824,2.2959,1.6539,1.6539,-0.6089,0.5192,1.1372,1.1372,0.4876,0.5114,-2.2413,1.3521,2.03,1.88,1.5104,3.62,6.04,3.43,0.6285,0.3899,0.2857,-1.8966,-0.9365,0.2384,3.487,45.7649,1.3831,1.051,-6.3973,-0.528,0.4561,0.7895,-0.6343,-7.2924,4.003,0.1799,-2.7337,-0.2857,2.4642,3.7261,3.6121,4.1361,0.0834,2.3623
"9",4.055,7.3767,-0.0682,5.5303,5.0246,-1.0428,-1.9866,6.2768,-2.5507,-0.64,10.99,3.888,7.8705,5.0029,-0.4213,5.341,-0.1524,-0.3616,1.8,-0.4359,-0.5091,-0.5938,9.8004,2.3341,-2.6331,7.4661,-2.39,-5.8201,-7.4874,-7.1055,-3.6762,2.4761,-9.6699,4.5441,2.1969,4.1879,1.0981,2.2494,2.8598,5.4859,3.4964,2.9964,-5.8896,7.551,-2e-04,2.48,-0.2425,2.1177,-3.9752,-6.0952,-1.4127,3.7158,3.6097,6.05,0.1797,-0.2477,-0.0934,-5.6546,4.2277,-0.255,2.8805,-6.7929,-5.7139,5.71,0.2655,0.9827,-2.2579,4.47,3.4616,-1.4095,5.3953,0.0644,-0.5457,3.6823,5.2007,7.9724,-0.5492,4.9532,-3.9392,1.1365,4.3314,-1.3516,2.0437,13.0842,13.3166,8.3191,1.436,-5.4037,-4.5977,-3.468,4.4031,2.4684,1.1013,2.3805,NA,1.6543,2.3301,3,0.6565,-0.1365,-3.5077,-0.5012,2.4411,5.5991,7.5437,-6.1759,5.4935,0.3568,4.4557,0.5637,3.4446,-1.3903,-1.2483,1.0406,2.376,-1.2484,-1.42,0.669,-1.4445,-4.0612,0.35,0.2668,2.8237,2.0971,2.1031,5.7204,0.2499,8.8115,-0.88,5.8267,2.7429,0.3775,-1.47,-1.81,-0.7864,1.6314,0.4968,-6.0138,3.72,-1.5384,1.6337,1.3872,6.1228,-0.9263,4.19,5.9318,-4.7922,16.0328,0.0093,-0.5104,19.6063,1.7456,0.3442,0.3442,-0.291,0.5854,0.0531,0.0531,-0.2282,7.4337,13.5834,0.9631,-4.86,-5.43,2.2351,-3.88,-8.95,3.0101,3.4131,0.8,6.3617,6.3281,6.2053,1.3678,-0.6494,-33.5005,6.2408,7.3732,0.3597,1.3113,4.5906,-1.6394,-4.2644,-1.1784,2.2245,3.6502,0.7023,6.7343,1.199,0.6365,3.102,6.6952,2.8525,2.625
"10",-8.6558,-3.8088,-2.5747,3.89,-6.1512,-7.2484,-10.3353,-5.0302,-4.5755,-0.93,-0.69,-4.7003,-13.6875,-8.1403,-8.6014,-0.2368,2.5858,-7.8249,-2.44,-3.4189,-0.8825,-4.9537,-2.4054,-0.5867,-5.5764,-7.5498,-5.05,0,-9.331,-6.7621,-6.5425,-2.816,-9.1346,-0.4283,0.9264,-5.9945,-2.1045,-6.7802,-6.5846,-2.3148,-0.2938,-5.6947,-9.5652,-6.4516,-8e-04,-3.5764,-7.3096,-4.0551,-5.9081,-10.3335,-0.4103,-4.0736,-1.71,-0.87,-2.933,-1.1244,-0.8819,0.6649,-2.6353,0.5977,0.0114,-11.479,-11.8346,-4.48,-2.7828,-2.699,-2.9929,0.83,-7.135,-4.5658,-6.199,-8.9125,-4.4681,-10.8991,-4.7484,-7.97,-3.9238,-4.0085,-9.2398,-9.3006,-3.789,0.0332,-9.4639,-14.2201,-13.811,-10.7888,0.7327,-6.9276,-9.0361,-10.6849,-5.3913,-10.4202,-1.1866,-3.6162,NA,-6.5007,0.14,0.3599,0.9508,-2.9613,-5.43,-4.8947,-0.3821,-2.2273,-6.2231,-11.3812,-6.3869,0.2975,-6.8827,-0.8385,-7.5929,-2.8185,-2.3768,-2.1215,0.4698,-4.0607,-2.21,0.6337,-7.9369,-5.3988,-4.8413,-10.3555,-6.287,-7.6315,-7.6359,-4.6729,-1.7936,-5.3419,-0.7601,-5.0412,-3.9114,0.4042,-9.23,-9.52,-3.3192,-9.9605,-1.63,-1.3264,2.69,-3.5759,-6.4921,-0.5525,-5.6057,-1.3661,1.38,-4.4083,-7.8489,-3.0002,-8.6207,-2.0806,-5.9568,-14.1126,-2.2538,-2.2538,-2.3656,0.4394,-2.8228,-2.8228,-2.4585,-8.449,-11.6435,-5.4366,-8.17,-10.33,-1.528,-5.55,-8.64,-4.1201,-8.7401,-1,-7.166,-5.5705,-7.3813,-1.1603,-4.3024,-20.353,-14.9916,-16.3789,-0.3584,-1.6641,-4.0104,-11.2799,-10.8956,-3.1716,-0.2147,-2.6079,-9.8599,0.9061,-4.712,-5.2614,-0.5159,-7.3075,-5.5305,-4.6252
