"","mtd.ret","ytd.ret","ann.ret.5","ann.std.5","downrisk.5","drawdown.5","sharpe.5","sortino.5","inforatio.5","alpha.5","beta.5","corr.bhf.5","corr.bidx.5","omega.5","wl.5","skewness.5","kurtosis.5"
"AAASYWB.KY.Equity",NA,0.0698823416771859,0.0930358669466713,0.229746307271469,0.200141934464474,-0.356209095491683,0.383187299035226,0.439867173175035,0.19247613052378,0.004900548880882,1.3019665409689,0.70878289375346,0.597890957439285,1.53615987531238,0.666666666666667,-0.4261428528238,0.749791288589871
"AESOPHK.KY.Equity",NA,0.109981728106446,0.0706411345010733,0.176673763927809,0.146580433357082,-0.263892341836713,0.371538665627202,0.447816485445681,0.335070566414646,0.00411526776827244,0.788935996486508,0.5917226174888,0.471129622641456,1.51985275382254,0.555555555555556,-0.0272111250165667,3.71330565144819
"AHPACOB.KY.Equity",NA,0.0518537068859701,0.0633329203636603,0.0333694579585527,0.0143285138479505,-0.0203856697928069,1.7480931346297,4.07110751210281,0.880786314885942,0.00436569269342246,0.223653591993795,0.719405901220329,0.707127010750904,4.50959781482528,0.694444444444444,0.550820219616804,0.105544782880761
"AISMERC.KY.Equity",NA,-0.146056073577036,0.0721986709329856,0.22196171895607,0.112093610053488,-0.223550562361312,0.302748921070869,0.599487079601772,0.181452652635921,0.00847181801233451,0.198361077851438,0.0101513372561595,0.0942864059237895,1.4055219403061,0.527777777777778,0.788513199934982,0.999707580134985
"AJAOPAR.KY.Equity",NA,0.210738722830784,0.022617280160584,0.148219684646136,0.117229161524646,-0.265028190457779,0.118859247357353,0.1502806974942,0.188651003606758,0.000121071747916315,0.729949478703089,0.642268770749079,0.519586213491749,1.20216984372491,0.583333333333333,-0.276088619802914,1.5270451944491
"ALASOPP.KY.Equity",0.025986,0.0749848048737325,-0.0164549709239873,0.120037950083059,0.0755532871484833,-0.246597823189204,-0.178734899330935,-0.28397137614704,-0.488152154118937,-0.00423368231954929,0.687735205690797,0.592269033448289,0.596746210974839,0.942163355408389,0.5,0.0265479366208258,0.327069444251031
"ALCINDA.KY.Equity",-0.023534,0.311272729162081,0.147231344752071,0.200806875999423,0.170212800381953,-0.266122422424356,0.708299175733803,0.835608981421536,0.396015735015606,0.00842648799453915,0.948240312376824,0.493327716035713,0.49184336637788,1.83966168477298,0.722222222222222,-0.517546236115583,1.17365435807225
"ALLIVFD.AU.Equity",0.005257,-0.0299024390548189,-4.85664136128383e-05,0.132599525881038,0.140941742119346,-0.200078547929571,-0.0380737893297006,-0.0358202356356417,-0.361011352148267,-0.00085175254613998,0.318566379438796,0.277666925246746,0.250233212901255,1.05836498320038,0.666666666666667,-1.63333008321238,3.40514583141139
"ALTACIF.MP.Equity",0.003794,0.233366838674661,0.107545252942069,0.132077555953383,0.108730534594474,-0.167374601936871,0.776401805756176,0.943113664662154,0.281273955447115,0.00657797882667769,0.537063714505855,0.38261619665527,0.423529602861174,1.86570392237809,0.722222222222222,-0.661836075790365,0.729237581077499
"ALTOGLA.KY.Equity",NA,-0.0328544606967914,-0.0338460750064782,0.203465773823791,0.150894204008387,-0.368757082557077,-0.190921914169802,-0.257439145935115,-0.207425144657968,-0.00330175659497992,0.690623760534029,0.284573365134303,0.359571499773145,0.929342275766697,0.388888888888889,0.160092005787547,5.81296076550712
