,ann.ret.5,ann.std.5,downrisk.5,drawdown.5,sharpe.5,sortino.5,inforatio.5,alpha.5,beta.5,corr.bhf.5,corr.bidx.5,omega.5,wl.5,skewness.5,kurtosis.5
AESOPHK.KY.Equity,0.197300671,0.155006287,0.133940791,-0.263892342,1.240599172,1.435714015,0.878469638,0.010465118,0.748853248,0.606856651,0.47645643,2.774390457,0.666666667,-0.350699067,4.178931848
AHPACOB.KY.Equity,0.070812779,0.031891996,0.02458253,-0.026411441,2.0636143,2.677217471,0.634941533,0.004162967,0.211996376,0.652460835,0.65557521,5.345876198,0.783333333,-0.306857241,1.662308769
AISMERC.KY.Equity,0.08865028,0.202576568,0.104862918,-0.223550562,0.41293167,0.797710785,0.138859131,0.010698364,-0.259804874,-0.043427202,-0.1264835,1.498278186,0.583333333,0.572473912,0.798931762
AJAOPAR.KY.Equity,0.10225581,0.131956002,0.10932951,-0.26502819,0.737032103,0.889565956,0.552174414,0.003466479,0.716981593,0.68180087,0.535864077,1.886608884,0.683333333,-0.549107179,1.924328269
ALASOPP.KY.Equity,0.023750229,0.121886271,0.080160794,-0.286577622,0.153833806,0.233907725,0.041628464,-0.003102579,0.760871159,NA,0.614768497,1.197698501,0.566666667,-0.352847445,-0.065673386
ALCINDA.KY.Equity,0.165945069,0.228659259,0.154253378,-0.352363103,0.703864211,1.043381163,0.605054972,0.007381612,1.024479815,NA,0.441234929,1.802752833,0.683333333,-0.237860383,0.201520745
ALLIVFD.AU.Equity,0.029599029,0.119425447,0.125436698,-0.200078548,0.205978119,0.196107115,-0.202346221,0.001306609,0.23009838,0.217292871,0.190017007,1.293233228,0.683333333,-1.554691126,3.801715525
ALTACIF.MP.Equity,0.119660871,0.132717333,0.0987081,-0.167374602,0.863947968,1.161615617,0.451786966,0.005202877,0.662107904,0.454201017,0.492013379,1.963512451,0.683333333,-0.523607861,0.28589683
APEXGCE.US.Equity,0.109954233,0.101841583,0.045063581,-0.090535584,1.030563643,2.329025561,0.575245885,0.008670182,0.063061231,0.144270109,0.061067915,2.461654031,0.566666667,0.971371948,1.585001013
APSASPH.KY.Equity,0.08105101,0.160989225,0.100789109,-0.251581738,0.472398138,0.754555834,0.337767586,0.003580662,0.532883995,NA,0.325980137,1.634792498,0.583333333,0.638851558,2.407286948
APSCHIA.KY.Equity,0.14593488,0.269514755,0.21331902,-0.430832761,0.522920831,0.660676578,0.43798757,0.006242869,1.098390367,NA,0.401355704,1.741121226,0.6,-0.295339255,1.666495986
