Date,JPY,Date,5 yr breakeven spread,Date,tan US Equity,Date,SPY Equity,Date,SPX Index,Date,USGGBE10 Index
5/14/2012,79.85,5/14/2012,0.376,9/22/2011,35.6,5/27/2009,89.67,5/1/2008,1409.34,5/1/2008,2.3235
5/15/2012,80.18,5/15/2012,0.39,9/23/2011,36.5,5/28/2009,90.92,5/2/2008,1413.9,5/2/2008,2.3607
5/16/2012,80.33,5/16/2012,0.416,9/26/2011,36.1,5/29/2009,92.53,5/5/2008,1407.49,5/5/2008,2.3968
5/17/2012,79.28,5/17/2012,0.433,9/27/2011,36.8,6/1/2009,94.77,5/6/2008,1418.26,5/6/2008,2.4118
5/18/2012,79.02,5/18/2012,0.438,9/28/2011,34.3,6/2/2009,94.85,5/7/2008,1392.57,5/7/2008,2.42
5/21/2012,79.31,5/21/2012,0.442,9/29/2011,34.1,6/3/2009,93.65,5/8/2008,1397.68,5/8/2008,2.401
5/22/2012,79.96,5/22/2012,0.462,9/30/2011,32.3,6/4/2009,94.53,5/9/2008,1388.28,5/9/2008,2.419
5/23/2012,79.47,5/23/2012,0.462,10/3/2011,29.6,6/5/2009,94.55,5/12/2008,1403.58,5/12/2008,2.413
5/24/2012,79.6,5/24/2012,0.464,10/4/2011,31.2,6/8/2009,94.16,5/13/2008,1403.04,5/13/2008,2.447
5/25/2012,79.68,5/25/2012,0.46,10/5/2011,32.3,6/9/2009,94.64,5/14/2008,1408.66,5/14/2008,2.474
5/28/2012,79.47,5/28/2012,0.463,10/6/2011,34.1,6/10/2009,94.4,5/15/2008,1423.57,5/15/2008,2.461
5/29/2012,79.49,5/29/2012,0.465,10/7/2011,32.7,6/11/2009,94.82,5/16/2008,1425.35,5/16/2008,2.484
5/30/2012,79.07,5/30/2012,0.468,10/10/2011,33.9,6/12/2009,95.08,5/19/2008,1426.63,5/19/2008,2.509
5/31/2012,78.32,5/31/2012,0.466,10/11/2011,33.3,6/15/2009,92.9,5/20/2008,1413.4,5/20/2008,2.506
6/1/2012,78.02,6/1/2012,0.473,10/12/2011,34.2,6/16/2009,91.64,5/21/2008,1390.71,5/21/2008,2.557
6/4/2012,78.34,6/4/2012,0.465,10/13/2011,34.6,6/17/2009,91.55,5/22/2008,1394.35,5/22/2008,2.545
