"","ann.ret.60","ann.std.60","downrisk.60","drawdown.60","sharpe.60","sortino.60","omega.60","wl.60","skewness.60","kurtosis.60"
"X1837PAR.US.Equity",0.0353531242178762,0.133575451538549,0.0275635305912655,-0.389494590825193,-0.0348989905863553,0.132577283637352,1.29495302284634,0.589403973509934,-0.838398394985654,3.02874321465982
"ABAFINE.KY.Equity",0.0648960912088743,0.0628197249289621,0.010079554401877,-0.11675673381274,0.0229444574525138,0.537333881714719,2.16796006969238,0.635761589403974,-0.0131247935170328,0.497101325133436
"ACCAPAA.US.Equity",0.100703520773409,0.308426281185917,0.053840868951971,-0.667681168807153,0.077505573607597,0.221034854023021,1.43510570218692,0.529801324503311,0.302178831107327,0.931809102492442
"AEUFDLI.KY.Equity",0.0725473394490546,0.100103711016988,0.0177191980741434,-0.2622572874642,0.0438584460655249,0.353706602565667,1.7123119918049,0.609271523178808,-0.161622137747547,0.451313166719493
"AGLOBAL.US.Equity",0.125462642507037,0.220298513791646,0.0395939615103044,-0.504012659998151,0.10847877509057,0.30051742848697,1.62526535583783,0.596026490066225,-0.0385921741485533,0.639931531685172
"AGSUPER.US.Equity",0.061405574976924,0.0605758305593097,0.0121777000082144,-0.289800363299106,0.00757433124304055,0.421463028951587,2.20006379693992,0.695364238410596,-1.52091023809088,4.47221613480833
"AIMSPHG.VI.Equity",0.0453222442916905,0.385118432315956,0.0708083546578906,-0.831734646187112,0.0438472760207136,0.139456454918557,1.26397821716797,0.529801324503311,0.169649362800667,1.76251689954977
"AISBALA.US.Equity",0.0682980326423546,0.165007088152224,0.0307498408352097,-0.401478493447566,0.0347782808447692,0.216476218761468,1.43059563384626,0.562913907284768,-0.322583023825606,1.18103669140877
"AISFUT2.US.Equity",-0.0165006007447951,0.341513428890779,0.0675757085486174,-0.772643350080512,-0.0148317759920384,0.052352955750733,1.09970181243616,0.509933774834437,-0.0137711373701598,1.97753418347499
"AISFUTU.US.Equity",-0.0739307912642743,0.516869892696815,0.101187004483993,-0.927649756802588,0.000477267746506254,0.0501172254914613,1.0941152713674,0.503311258278146,0.113945171548857,1.96606751792193
"AISGOLD.US.Equity",0.0646820112604023,0.585662534456291,0.108743524527162,-0.879683445273242,0.0930987974335948,0.190722721351302,1.380222226566,0.536423841059603,-0.131446396656527,2.17037527269061
"AISMERC.KY.Equity",0.136955437832999,0.214474454463902,0.0363276161536093,-0.367935138187809,0.123319249543976,0.34781030365084,1.69427117107085,0.596026490066225,0.111005079667931,0.347934272155369
"AJRINTL.VI.Equity",0.0211454848386985,0.157444612366583,0.0342194466776883,-0.444414147834005,-0.0480492352847251,0.0822966461699223,1.19234071116282,0.596026490066225,-1.2326437304225,5.40670588757029
"AKAMFDA.KY.Equity",0.0586807358642003,0.0768452310983508,0.0133544937455029,-0.123376681951978,0.000329285242272606,0.374952786019897,1.79892962240925,0.596026490066225,-0.184404514042498,0.410709823933241
"ALLIVFD.AU.Equity",0.0412646654214519,0.136725650404256,0.0273086680043569,-0.200078547929571,-0.0214335441257029,0.152114087436269,1.36682027380277,0.615894039735099,-0.208752523988243,4.11336828769234
"ALPGCAP.KY.Equity",0.0596249714236921,0.0461308561841979,0.00707665577470336,-0.0779089614467489,-0.00557925625000237,0.696049397282072,2.56514300865291,0.662251655629139,-0.141906209821694,0.553862938002134
"ALPQORI.US.Equity",0.0972941893263706,0.196152854076284,0.0319809404756741,-0.294979303457146,0.076351308929423,0.291528355786446,1.55324327871739,0.556291390728477,0.505146896756951,0.886223728851713
"ALPTECH.ID.Equity",0.111983649073132,0.154420577028573,0.0271821800228514,-0.255086658399828,0.109256401894325,0.363118934173522,1.78659859867045,0.622516556291391,-0.167730744026767,1.1149159021012
"ALTOLEV.KY.Equity",0.105425037233207,0.058114810467994,0.00758751257393374,-0.0552585700047999,0.21016520614006,1.12366136054606,3.83065892120562,0.735099337748344,0.22686794169997,0.789689800485671
"ANTEECU.BH.Equity",0.0811512313685985,0.113224870207278,0.0221834202880326,-0.328038525406516,0.0630817852266153,0.318338694750887,1.76804200563965,0.655629139072848,-0.89690203594496,2.1083778419038
"ANTEUSD.BH.Equity",0.083070861459563,0.113088348854065,0.0219668991792121,-0.326774484793065,0.0676500637152176,0.328152371776112,1.7798065102204,0.655629139072848,-0.839813675239833,1.72416624311935
"APFIIBL.KY.Equity",0.0505449704515162,0.0400326602984835,0.00726166003816853,-0.055553289721705,-0.0705945467521527,0.576201417575907,2.65831835063452,0.708609271523179,-1.09969546716544,3.10669908518902
"APISCAP.US.Equity",0.101450243922623,0.103808368295692,0.0186901938050465,-0.250483874387093,0.117965054244208,0.45665906125122,2.15648232647498,0.635761589403974,-0.787082273982398,2.74494885545511
"APISOSC.KY.Equity",0.100126470305422,0.104281933378857,0.0187884242724712,-0.253827386768715,0.114214405216143,0.44912041469204,2.1344046053598,0.622516556291391,-0.788956697022882,2.82062306343394
"APSASPH.KY.Equity",0.0739402103885363,0.184223748240317,0.0345770741591968,-0.510337128263692,0.044671165576906,0.213310385160531,1.48877276551373,0.596026490066225,-0.194728892111706,2.1687864939946
"APSCHIA.KY.Equity",0.158466543107844,0.2919006305758,0.0552600584879596,-0.634920830986951,0.129968545221264,0.28866651453684,1.66042419180866,0.615894039735099,-0.517398222579028,1.0289682799561
"ARCJVAB.KY.Equity",0.0885947779539691,0.194716534322696,0.0377426735348238,-0.658526035628496,0.0656723388977882,0.230281261224298,1.49231465229593,0.622516556291391,-0.468356343076313,1.14327982576392
"ARCZNAY.KY.Equity",0.0416206459894044,0.111541745651823,0.0213474220408011,-0.336575338384243,-0.0335122780503646,0.1836721616701,1.39567369317278,0.56953642384106,-0.260474351298199,1.90831094406214
"ARDPFII.US.Equity",0.0356076727823782,0.200019611315267,0.041089069638308,-0.604352940475845,-0.00668655162642534,0.112290542178233,1.24722409996824,0.596026490066225,-0.497759038743373,2.36436533347867
"ARGFNDI.KY.Equity",0.0279122356846542,0.135514786526856,0.02963946019519,-0.432903483454928,-0.0478867558503759,0.105490521710402,1.4423790114781,0.635761589403974,-2.41558901199651,32.0161996895798
"ARGMPLP.US.Equity",0.0537541305001039,0.104008199038747,0.0177334710298974,-0.188582775045016,-0.00613095886595801,0.271572357249295,1.52456542532702,0.543046357615894,0.360605459669861,1.20543742345013
"ARMORLP.US.Equity",0.0534584598256691,0.222912620443019,0.0418971159457251,-0.666013072771673,0.0222454034162288,0.153506432985115,1.36944989930177,0.602649006622517,0.0649251282154594,7.16954692712289
"ARTPAII.US.Equity",0.087747344061188,0.0298349538934381,0.00207481368189279,-0.0256451430375079,0.240362196385327,3.40760510549282,11.5173188320132,0.774834437086093,0.671289731621593,1.22541201522942
"ASCDLVG.US.Equity",0.0526595667549161,0.0401394569005914,0.00724518309998566,-0.0546190863886088,-0.0558537461427328,0.600786465566133,2.74019661054644,0.721854304635762,-1.11788690501655,3.1186246746937
"ASCDPLP.US.Equity",0.041094761520222,0.0343407826745691,0.00619373749088224,-0.0574219047520463,-0.160323295866995,0.550663029661241,2.58757706535142,0.71523178807947,-0.921232140176619,4.36271613795541
"ASCOSLV.VI.Equity",0.0534549374463447,0.040149362011132,0.00719772860833231,-0.0540809137269491,-0.0503843048927597,0.613532403817949,2.77429800730663,0.728476821192053,-1.09822518232716,3.05275374634243
