"","ann.ret.60","ann.std.60","downrisk.60","drawdown.60","sharpe.60","sortino.60","omega.60","wl.60","skewness.60","kurtosis.60"
"ABAFINU.KY.Equity",0.0686414442303294,0.0641425632831754,0.0101697826791786,-0.115388904291978,0.0387275142415384,0.56216468882239,2.22516026209612,0.635761589403974,-0.00207874833904332,0.479974446402891
"ARTPAII.US.Equity",0.087747344061188,0.0298349538934381,0.00207481368189279,-0.0256451430375079,0.240362196385327,3.40760510549282,11.5173188320132,0.774834437086093,0.671289731621593,1.22541201522942
"CASSIOA.KY.Equity",0.0848858952709253,0.0874728669777947,0.0140392795698732,-0.14496951503239,0.0842631175929431,0.507700434975755,2.23260813050215,0.602649006622517,-0.0266828695983677,2.27478353447886
"CAYENRG.US.Equity",0.087171137242642,0.0865148022965683,0.0130672242904004,-0.183208179468227,0.0919047654594211,0.558289291482343,2.17824440258797,0.629139072847682,0.354385026033431,0.746171353291062
"EMEVALU.BM.Equity",-0.141567457019282,0.738186470821744,0.118887646582201,-0.969370085565632,0.0108844973659165,0.0615660576942154,1.12501012309228,0.437086092715232,1.84175298793648,7.71294457349398
"HILCMNEA.CN.Equity",0.0149332021740709,0.100928077781947,0.0220998868923718,-0.397583025336545,-0.114349536761874,0.0754925801914207,1.16815054755305,0.589403973509934,-1.24739379641116,4.1946931120578
"LMLSMOME.CN.Equity",0.0232254377829411,0.0924791602742989,0.0191740663281499,-0.265473300336797,-0.10211126394235,0.118597345944555,1.28027680531148,0.589403973509934,-0.758516792644935,4.39019991281565
"OAKPAMN.US.Equity",0.0306578635699903,0.125666114097874,0.0247161627422621,-0.285042346415592,-0.0502389742011647,0.128559466203406,1.24992290863632,0.543046357615894,-0.305713915288331,0.950234354342704
"PEGAEUR.VI.Equity",0.0011969465348618,0.0777419115499177,0.017134677147827,-0.176537842315733,-0.20688653848634,0.0208361012273257,1.06527021578762,0.576158940397351,-1.32689903570913,32.1930956919329
"REALRTA.ID.Equity",0.0915836771948331,0.10703133334849,0.017928875957313,-0.238918928014156,0.0906335675022921,0.435070840157503,1.9021543401218,0.635761589403974,0.000276154842417336,0.464313767484422
"TALACTE.KY.Equity",0.0399692695607734,0.0440353751971696,0.00907809746201269,-0.1177309975227,-0.129616073047538,0.369276837999994,2.01285978690411,0.71523178807947,-1.52023407067322,4.27404905544594
"TALENHE.KY.Equity",0.0781058367093543,0.0891615908494443,0.0186048748445168,-0.25025774128648,0.0630924782358253,0.356031447948898,1.9920405618917,0.71523178807947,-1.67574992286215,5.37037040196231
"ZALUSMN.US.Equity",0.0435322846850501,0.102592528882151,0.0189493364578302,-0.306558852187165,-0.0339597288625115,0.210785832238397,1.4499510981104,0.503311258278146,-0.244891119491152,2.56455818468408
