"","Information Ratio: bench_h[, 3]/100"
"X1798FEF.KY.Equity",0.0559160688207736
"X4THSTOP.US.Equity",3.55073722641951
"ACKASPA.US.Equity",0.087155047106449
"ADAIUSE.VI.Equity",0.259965166906379
"ADAWEAG.US.Equity",0.672818615594298
"AGLOBAL.US.Equity",-0.0286075546035627
"AISGOLD.US.Equity",-0.63527986634726
"AJRINTL.VI.Equity",-0.439306908439973
"AKJSTOI.MV.Equity",-0.348687585305362
"ALIILTD.KY.Equity",-0.0177675255978138
"ALIINST.US.Equity",0.00751094181173162
"ALIOPLP.US.Equity",0.152634107936665
"ALIOPLT.KY.Equity",0.134169902609099
"ALLOYIN.US.Equity",0.428736022616956
"ALPGBAU.LX.Equity",0.0170094009258407
"ALPOAKP.TL.Equity",0.421539744643683
"ALSOX.US.Equity",-0.531030668899888
"ALTINVS.US.Equity",-0.00872854232395117
"ALTOLEV.KY.Equity",0.530289578318009
"AMESEHU.LX.Equity",-0.55872878102002
"ANABATI.US.Equity",-0.409200126167722
"ANINMAS.KY.Equity",0.414511840695664
"APCAGRN.KY.Equity",-0.30299397157825
"AQUAOPA.KY.Equity",-0.880470830674908
"ARDPFII.US.Equity",-1.0094740687593
"ARESX.US.Equity",-1.36866178257988
"AROYIPA.US.Equity",-0.00939244968417185
"ARTPAII.US.Equity",0.880150978267084
"ASCDLVG.US.Equity",-0.178708399555896
"ASCDPLP.US.Equity",-0.215784593347698
"ASHFORC.US.Equity",1.34383427415717
"ATESX.US.Equity",0.571507476204876
"ATRMSCH.US.Equity",0.138793533097391
"AVWORLD.US.Equity",-0.0551638116965259
"BASSFIN.US.Equity",2.20975509739134
"BKHYDRA.US.Equity",-0.0711748614719704
"BLAUCAP.US.Equity",0.302480618966833
"BLULIOU.US.Equity",0.541853297543169
"BOOTHAR.US.Equity",1.35051556457363
"BPCENHO.US.Equity",-0.306755485824536
"BPIPMNF.US.Equity",0.784844419222581
"BPLSREF.US.Equity",1.15414547613144
"BPPMNEU.US.Equity",0.892162110291542
"BRAPART.US.Equity",0.211209333146778
"BROOELS.US.Equity",0.691976043966731
"BUCKPII.US.Equity",-0.0566736176937124
"BVASX.US.Equity",0.0313209607970204
"CADMAST.US.Equity",0.875090455180517
"CANGROA.BH.Equity",0.489944328320725
"CARIROY.US.Equity",0.190706335301007
"CARROYA.BH.Equity",0.407166412376087
"CASPAII.US.Equity",1.89580079336483
"CAYENQP.US.Equity",1.02343863345828
"CAYENRG.US.Equity",1.03281789442963
"CCMPART.US.Equity",-0.118364589728017
"CENSQCA.US.Equity",0.0621334654875147
