"","Information Ratio: bench_h[, 3]/100"
"X01311028.JP.Equity",-0.542418674948855
"X01311029.JP.Equity",-0.528710536721436
"X0131102C.JP.Equity",-0.523866414274007
"X01311031.JP.Equity",-0.532977014421062
"X01311032.JP.Equity",-0.53617174062874
"X01311033.JP.Equity",-0.544325323156329
"X01311034.JP.Equity",-0.566232989543472
"X01311035.JP.Equity",-0.546532795263116
"X01311036.JP.Equity",-0.585241108978314
"X01311037.JP.Equity",-0.624677683841017
"X01311091.JP.Equity",-0.301467298723991
"X0131202B.JP.Equity",-0.554528221678564
"X0131302A.JP.Equity",-0.54572789661577
"X02311043.JP.Equity",0.0451216199776371
"X02312043.JP.Equity",-0.303676877667048
"X03318114.JP.Equity",-0.182185148758279
"X0431110A.JP.Equity",-0.152164770885023
"X22319072.JP.Equity",-0.0437131485803286
"X35311049.JP.Equity",-0.0270539762737212
"X4731609A.JP.Equity",-0.187176044995016
"X4731709A.JP.Equity",0.0989013734960179
"X4731809A.JP.Equity",-0.178119430517318
"X4731909A.JP.Equity",0.05673247708896
"X4731A09A.JP.Equity",-0.0840284778936736
"X5831109B.JP.Equity",-0.255419800977281
"X5831113A.JP.Equity",-0.0220698682114618
"X5831209B.JP.Equity",-0.162986736257099
"X58312104.JP.Equity",-0.0274959236629722
"X5831213A.JP.Equity",-0.386058974385335
"X58313104.JP.Equity",-0.00612870390251091
"X5831313A.JP.Equity",-0.4376818985523
"X58314104.JP.Equity",-0.331864522762827
"X5AC9451.KS.Equity",-0.0951888365997717
"X7AB6437.KS.Equity",0.103836753366617
"X7AB6445.KS.Equity",-0.159785278897124
"X7AB6510.KS.Equity",0.0929853069420284
"X87311023.JP.Equity",-0.102095651394899
"X9A44610.KS.Equity",-0.357815985677112
"X9A51011.KS.Equity",-0.335061530770059
"X9AA1581.KS.Equity",1.95232622258941e-05
"X9AC4963.KS.Equity",-0.252962479624962
"X9AC5127.KS.Equity",-0.252605735538233
"ALPHOPP.US.Equity",-0.367626693669654
"AMETHARB.CN.Equity",0.30074123154869
"ASATARV.US.Equity",-0.447263454629936
"BCCREDV.US.Equity",0.359885741132829
"BLUELEP.US.Equity",-0.0388773456268934
"BRELFII.US.Equity",0.466955557598042
"BVDFX.US.Equity",-0.410404434434919
"CADTX.US.Equity",-0.301973054833847
"CASTCRH.US.Equity",-0.234033167231387
"CCPTRNI.US.Equity",0.742516811868201
"CDRINVI.US.Equity",0.0012935883609978
"CENAX.US.Equity",-0.438960170184854
"CLFLX.US.Equity",-0.379438518260747
"CONCIS2.KY.Equity",-0.0176076535512372
"CONCISP.US.Equity",0.000751751636451329
"CRCAAAB.KY.Equity",0.19955276119836
"CRSTFND.US.Equity",-0.468343038299186
"DFAPX.US.Equity",-0.342588936188735
"EADDX.US.Equity",-0.387031898974191
"EJFINCO.US.Equity",-0.144221673705609
"FAUDX.US.Equity",-0.40732297875516
"FHYSX.US.Equity",-0.0386026777155107
"FPCIX.US.Equity",-0.302446754581036
"FPIOX.US.Equity",-0.214070176602252
"FRAFRBI.ID.Equity",-0.325056454456305
"FTFINOP.US.Equity",-0.328119819678861
"GMCOX.US.Equity",-0.43549588481986
"GOUSLIV.ID.Equity",-0.113988666749848
"GUGGUSL.ID.Equity",-0.136154253281717
"GUGUL3E.ID.Equity",-0.197198612993129
"GUGUSII.ID.Equity",-0.140650064134991
"HILLAIR.US.Equity",0.144702459301898
"HORCRLP.US.Equity",-0.558386846603031
"HORMDLP.US.Equity",-0.534435550899981
"KWKPART.US.Equity",0.0691863542687665
"LHYF001.US.Equity",0.392475239800615
"MARSCLP.US.Equity",-0.2358717328965
"MEMOROU.US.Equity",-0.293111757441194
"METAMOR.KY.Equity",-0.32914164150386
"METARRF.KY.Equity",-0.409972406394981
"MOHICAN.US.Equity",-0.192438007896072
"NEXLTRF.US.Equity",0.799419931848598
"PALSDOM.US.Equity",-0.365893142718988
"PENNCON.US.Equity",-0.461898171207512
"RIROLOV.US.Equity",-0.29453888378281
"SAIAX.US.Equity",-0.410735285944567
"SPMD2LP.US.Equity",0.0791887738672016
"SPMDPLT.KY.Equity",0.0915441165866704
"SRTTX.US.Equity",-0.279146324268044
"STDVMBS.ID.Equity",0.253773372856005
"SUMCORE.US.Equity",-0.173233969991722
"THHYX.US.Equity",-0.195388926358648
"TRANQFD.US.Equity",-0.26255832044112
"TUIFX.US.Equity",-0.314857031723319
"UDDEVED.RU.Equity",0.687894977644386
"UOBUSHY.TB.Equity",-0.227731926164183
"USHIYFA.TB.Equity",-0.227729557735033
"VARADA1.KY.Equity",0.0729543887140406
"VENAINF.CN.Equity",-0.130240261197554
"VOYAMIF.ID.Equity",0.011122945651857
"WAFFDLP.US.Equity",-0.0298942384313172
"WHASOPU.US.Equity",-0.0250157280573944
"ZAISCDO.KY.Equity",0.00879320569085851
"ZAISCLP.US.Equity",0.000579770383024009
