,489 HK,,7201 JP,,7203 JP,,7267 JP,,7269 JP,,7270 JP,,MSIL IN,,TTMT IN,,6902 JP,,7202 jp,,5108 jp,,volvb ss,,bmw gr,,000270 KS,,dai gr,,f,,005380 KS
7/16/2010,-0.5133,7/16/2010,-3.0864,7/16/2010,-1.2598,7/16/2010,-1.0813,7/16/2010,-2.0032,7/16/2010,-2.7944,7/16/2010,-0.0836,7/16/2010,2.8289,7/16/2010,-3.2126,7/16/2010,-4.3011,7/16/2010,-2.0422,7/16/2010,-1.7024,7/16/2010,-0.638,7/16/2010,-2.4038,7/16/2010,-0.6238,7/16/2010,-4.3845,7/16/2010,-4.3011
7/19/2010,-1.3416,7/20/2010,-2.3885,7/20/2010,-2.5518,7/20/2010,-1.8093,7/20/2010,-2.1547,7/20/2010,-3.4908,7/19/2010,-0.786,7/19/2010,-0.853,7/20/2010,-0.2702,7/20/2010,-0.7491,7/20/2010,-1.345,7/19/2010,-0.838,7/19/2010,-0.9988,7/19/2010,0.6568,7/19/2010,-1.1393,7/19/2010,1.2346,7/19/2010,0.3745
7/20/2010,5.2301,7/21/2010,-0.9788,7/21/2010,-0.8183,7/21/2010,-0.1919,7/21/2010,0,7/21/2010,-0.8511,7/20/2010,-0.3521,7/20/2010,-1.4843,7/21/2010,-1.5093,7/21/2010,-5.283,7/21/2010,0.2045,7/20/2010,-1.6901,7/20/2010,-0.8407,7/20/2010,0.4894,7/20/2010,-2.0814,7/20/2010,2.3519,7/20/2010,2.9851
7/21/2010,0.1988,7/22/2010,0,7/22/2010,0.165,7/22/2010,-0.5385,7/22/2010,-0.6211,7/22/2010,-2.5751,7/21/2010,0.2871,7/21/2010,0.8979,7/22/2010,-1.1395,7/22/2010,-2.3904,7/22/2010,-1.0204,7/21/2010,2.9799,7/21/2010,-0.4845,7/21/2010,-1.2987,7/21/2010,-0.8646,7/21/2010,-1.7021,7/21/2010,-0.7246
7/22/2010,-1.1905,7/23/2010,2.9654,7/23/2010,1.6474,7/23/2010,2.1655,7/23/2010,3.5227,7/23/2010,4.4053,7/22/2010,-0.6055,7/22/2010,2.0296,7/23/2010,1.9078,7/23/2010,3.6735,7/23/2010,2.1993,7/22/2010,0.1669,7/22/2010,2.057,7/22/2010,-3.9474,7/22/2010,1.9988,7/22/2010,4.6753,7/22/2010,-2.5547
7/23/2010,1.004,7/26/2010,0.64,7/26/2010,0.1621,7/26/2010,0.3407,7/26/2010,-3.1833,7/26/2010,-1.4768,7/23/2010,0.2991,7/23/2010,0.1673,7/26/2010,-0.624,7/26/2010,-0.3937,7/26/2010,0.807,7/23/2010,1.6111,7/23/2010,0.0358,7/23/2010,0.6849,7/23/2010,1.0808,7/23/2010,5.2109,7/23/2010,2.6217
7/26/2010,3.1809,7/27/2010,0.7949,7/27/2010,-1.6181,7/27/2010,-0.0377,7/27/2010,1.644,7/27/2010,-2.1413,7/26/2010,-12.2773,7/26/2010,-2.0515,7/27/2010,-1.5306,7/27/2010,-1.1858,7/27/2010,-0.2001,7/26/2010,1.5856,7/26/2010,0.5246,7/26/2010,4.932,7/26/2010,1.3159,7/26/2010,1.7296,7/26/2010,2.1898
7/27/2010,2.1195,7/28/2010,3.6278,7/28/2010,1.3158,7/28/2010,2.1887,7/28/2010,2.3424,7/28/2010,6.7834,7/27/2010,1.3471,7/27/2010,2.8434,7/28/2010,2.5508,7/28/2010,4,7/28/2010,2.4733,7/27/2010,-1.3455,7/27/2010,-1.352,7/27/2010,0.1621,7/27/2010,-3.0964,7/27/2010,0.6955,7/27/2010,2.5
7/28/2010,-0.7547,7/29/2010,1.8265,7/29/2010,-0.3247,7/29/2010,0.3323,7/29/2010,-0.3815,7/29/2010,-0.4098,7/28/2010,-0.4058,7/28/2010,1.2137,7/29/2010,-0.8162,7/29/2010,-0.7692,7/29/2010,2.9354,7/28/2010,-1.0366,7/28/2010,-1.611,7/28/2010,-1.2945,7/28/2010,-1.2925,7/28/2010,-0.921,7/28/2010,1.0453
7/29/2010,2.8517,7/30/2010,-0.7474,7/30/2010,-0.6515,7/30/2010,-0.2944,7/30/2010,-0.9847,7/30/2010,-1.8519,7/29/2010,-0.4033,7/29/2010,1.3921,7/30/2010,-2.9389,7/30/2010,-1.5504,7/30/2010,-1.9645,7/29/2010,-1.2128,7/29/2010,0,7/29/2010,-0.9836,7/29/2010,0.4971,7/29/2010,0.4648,7/29/2010,-0.6897
