,XLE Equity,,XLB Equity,,XLI Equity,,XLF Equity,,XLU Equity,,XLK Equity,,XLV Equity,,XLP Equity,,XLY Equity,,,,,,,
5/1/2008,79.96,5/1/2008,42.01,5/1/2008,38.75,5/1/2008,27.52,5/1/2008,40.35,5/1/2008,24.8,5/1/2008,32.04,5/1/2008,28.15,5/1/2008,33.26,,,,,,,
5/2/2008,81.47,5/2/2008,42.44,5/2/2008,38.9,5/2/2008,27.71,5/2/2008,41.02,5/2/2008,24.79,5/2/2008,32.05,5/2/2008,28.112,5/2/2008,33.19,,,,,,,
5/5/2008,82.65,5/5/2008,43.4,5/5/2008,38.8,5/5/2008,27.23,5/5/2008,40.43,5/5/2008,24.68,5/5/2008,31.96,5/5/2008,28.01,5/5/2008,32.82,,,,,,,
5/6/2008,84.84,5/6/2008,43.75,5/6/2008,38.95,5/6/2008,27.52,5/6/2008,40.42,5/6/2008,24.98,5/6/2008,31.9,5/6/2008,28.19,5/6/2008,32.96,,,,,,,
5/7/2008,83.26,5/7/2008,43.26,5/7/2008,38.35,5/7/2008,26.53,5/7/2008,39.81,5/7/2008,24.54,5/7/2008,31.62,5/7/2008,27.92,5/7/2008,32.34,,,,,,,
5/8/2008,84.93,5/8/2008,44,5/8/2008,38.48,5/8/2008,25.99,5/8/2008,39.91,5/8/2008,24.58,5/8/2008,31.5,5/8/2008,28,5/8/2008,32.39,,,,,,,
5/9/2008,84.77,5/9/2008,43.45,5/9/2008,38.24,5/9/2008,25.99,5/9/2008,40.04,5/9/2008,24.5,5/9/2008,31.47,5/9/2008,27.84,5/9/2008,32.2,,,,,,,
5/12/2008,84.3,5/12/2008,44.34,5/12/2008,38.85,5/12/2008,26.3,5/12/2008,40.43,5/12/2008,24.9,5/12/2008,31.71,5/12/2008,28.15,5/12/2008,32.86,,,,,,,
5/13/2008,85.68,5/13/2008,44.59,5/13/2008,39.11,5/13/2008,26.06,5/13/2008,40.37,5/13/2008,24.9,5/13/2008,31.41,5/13/2008,28.05,5/13/2008,32.98,,,,,,,
5/14/2008,84.7,5/14/2008,44.84,5/14/2008,39.15,5/14/2008,26.24,5/14/2008,40.52,5/14/2008,24.95,5/14/2008,31.67,5/14/2008,28.16,5/14/2008,33.35,,,,,,,
5/15/2008,85.82,5/15/2008,45.35,5/15/2008,39.38,5/15/2008,26.5,5/15/2008,40.48,5/15/2008,25.43,5/15/2008,31.58,5/15/2008,28.5,5/15/2008,33.67,,,,,,,
5/16/2008,88.95,5/16/2008,45.91,5/16/2008,39.28,5/16/2008,26.39,5/16/2008,40.78,5/16/2008,25.37,5/16/2008,31.7,5/16/2008,28.49,5/16/2008,33.44,,,,,,,
5/19/2008,89.5,5/19/2008,45.79,5/19/2008,39.72,5/19/2008,26.14,5/19/2008,41.24,5/19/2008,25.5,5/19/2008,31.9,5/19/2008,28.65,5/19/2008,33.45,,,,,,,
5/20/2008,90.39,5/20/2008,46.03,5/20/2008,39.09,5/20/2008,25.53,5/20/2008,41.52,5/20/2008,25.1,5/20/2008,31.81,5/20/2008,28.22,5/20/2008,32.93,,,,,,,
5/21/2008,89.05,5/21/2008,44.68,5/21/2008,38.43,5/21/2008,24.88,5/21/2008,41.31,5/21/2008,24.44,5/21/2008,31.53,5/21/2008,27.93,5/21/2008,32.23,,,,,,,
5/22/2008,87.75,5/22/2008,44.48,5/22/2008,38.34,5/22/2008,25.02,5/22/2008,41.55,5/22/2008,24.53,5/22/2008,31.87,5/22/2008,28.23,5/22/2008,32.09,,,,,,,
5/23/2008,86.26,5/23/2008,43.87,5/23/2008,37.79,5/23/2008,24.65,5/23/2008,40.91,5/23/2008,24.48,5/23/2008,31.35,5/23/2008,28.08,5/23/2008,31.7,,,,,,,
5/27/2008,85.7,5/27/2008,43.67,5/27/2008,38.19,5/27/2008,24.78,5/27/2008,41.12,5/27/2008,24.88,5/27/2008,31.48,5/27/2008,28.16,5/27/2008,31.94,,,,,,,
5/28/2008,87.51,5/28/2008,44.76,5/28/2008,38.45,5/28/2008,24.64,5/28/2008,41.15,5/28/2008,25.02,5/28/2008,31.45,5/28/2008,28.2,5/28/2008,31.94,,,,,,,
5/29/2008,85.12,5/29/2008,44.46,5/29/2008,38.6,5/29/2008,25.08,5/29/2008,41.59,5/29/2008,25.2,5/29/2008,32.13,5/29/2008,28.31,5/29/2008,32.56,,,,,,,
5/30/2008,86,5/30/2008,44.51,5/30/2008,38.84,5/30/2008,24.76,5/30/2008,41.31,5/30/2008,25.35,5/30/2008,32.08,5/30/2008,28.49,5/30/2008,32.31,,,,,,,
6/2/2008,86.51,6/2/2008,44.17,6/2/2008,38.51,6/2/2008,24.39,6/2/2008,41.01,6/2/2008,24.99,6/2/2008,31.7,6/2/2008,28.24,6/2/2008,31.99,,,,,,,
6/3/2008,84.65,6/3/2008,44.22,6/3/2008,38.38,6/3/2008,24.31,6/3/2008,40.65,6/3/2008,24.85,6/3/2008,31.91,6/3/2008,28.39,6/3/2008,32.03,,,,,,,
6/4/2008,83.39,6/4/2008,44.03,6/4/2008,38.23,6/4/2008,24.16,6/4/2008,41.14,6/4/2008,24.9,6/4/2008,31.92,6/4/2008,28.37,6/4/2008,32.22,,,,,,,
6/5/2008,87.74,6/5/2008,45.51,6/5/2008,38.51,6/5/2008,24.64,6/5/2008,41.63,6/5/2008,25.41,6/5/2008,32.2,6/5/2008,28.66,6/5/2008,32.64,,,,,,,
6/6/2008,86.02,6/6/2008,44.17,6/6/2008,37.01,6/6/2008,23.33,6/6/2008,40.54,6/6/2008,24.72,6/6/2008,31.42,6/6/2008,27.95,6/6/2008,31.26,,,,,,,
6/9/2008,88.55,6/9/2008,44.84,6/9/2008,37.39,6/9/2008,23.01,6/9/2008,41.17,6/9/2008,24.67,6/9/2008,31.25,6/9/2008,28.05,6/9/2008,31.24,,,,,,,
6/10/2008,86.37,6/10/2008,44.27,6/10/2008,37.17,6/10/2008,23.08,6/10/2008,41.13,6/10/2008,24.56,6/10/2008,30.95,6/10/2008,28.1,6/10/2008,31.36,,,,,,,
6/11/2008,86.9,6/11/2008,43.48,6/11/2008,36.47,6/11/2008,22.41,6/11/2008,41.09,6/11/2008,23.93,6/11/2008,30.64,6/11/2008,27.95,6/11/2008,30.7,,,,,,,
6/12/2008,85.58,6/12/2008,43.46,6/12/2008,36.6,6/12/2008,23.02,6/12/2008,40.92,6/12/2008,24.2,6/12/2008,30.38,6/12/2008,28.14,6/12/2008,30.95,,,,,,,
6/13/2008,86.6,6/13/2008,44.54,6/13/2008,37.02,6/13/2008,23.38,6/13/2008,41.29,6/13/2008,24.46,6/13/2008,30.86,6/13/2008,28.12,6/13/2008,31.72,,,,,,,
6/16/2008,86.91,6/16/2008,44.5,6/16/2008,36.82,6/16/2008,23.6,6/16/2008,41.33,6/16/2008,24.52,6/16/2008,30.96,6/16/2008,27.82,6/16/2008,31.62,,,,,,,
6/17/2008,88.35,6/17/2008,44.74,6/17/2008,36.74,6/17/2008,22.91,6/17/2008,41.56,6/17/2008,24.42,6/17/2008,30.88,6/17/2008,27.73,6/17/2008,31.3,,,,,,,
6/18/2008,88.69,6/18/2008,44.44,6/18/2008,36.21,6/18/2008,22.53,6/18/2008,41.4,6/18/2008,24.16,6/18/2008,30.53,6/18/2008,27.42,6/18/2008,30.61,,,,,,,
6/19/2008,86.56,6/19/2008,44.52,6/19/2008,36.68,6/19/2008,22.77,6/19/2008,41.45,6/19/2008,24.25,6/19/2008,30.57,6/19/2008,27.51,6/19/2008,31,,,,,,,
6/20/2008,85.75,6/20/2008,43.42,6/20/2008,35.9,6/20/2008,22.18,6/20/2008,40.67,6/20/2008,23.75,6/20/2008,30,6/20/2008,27.08,6/20/2008,29.98,,,,,,,
6/23/2008,89.14,6/23/2008,43.7,6/23/2008,35.97,6/23/2008,21.48,6/23/2008,41.16,6/23/2008,23.53,6/23/2008,30.22,6/23/2008,26.98,6/23/2008,29.46,,,,,,,
6/24/2008,87.45,6/24/2008,42.87,6/24/2008,35.54,6/24/2008,21.73,6/24/2008,40.82,6/24/2008,23.5,6/24/2008,30.33,6/24/2008,27.07,6/24/2008,29.58,,,,,,,
6/25/2008,87.12,6/25/2008,43,6/25/2008,35.28,6/25/2008,21.68,6/25/2008,41.3,6/25/2008,23.7,6/25/2008,30.67,6/25/2008,27.68,6/25/2008,29.8,,,,,,,
6/26/2008,86.49,6/26/2008,41.94,6/26/2008,34.7,6/26/2008,20.9,6/26/2008,40.07,6/26/2008,23.25,6/26/2008,30.05,6/26/2008,26.84,6/26/2008,29.1,,,,,,,
6/27/2008,87.25,6/27/2008,41.9,6/27/2008,33.7,6/27/2008,20.57,6/27/2008,39.73,6/27/2008,22.94,6/27/2008,30.25,6/27/2008,26.56,6/27/2008,28.61,,,,,,,
6/30/2008,88.48,6/30/2008,41.73,6/30/2008,34.01,6/30/2008,20.26,6/30/2008,40.7,6/30/2008,22.91,6/30/2008,30.58,6/30/2008,26.75,6/30/2008,28.48,,,,,,,
7/1/2008,88.85,7/1/2008,40.96,7/1/2008,33.99,7/1/2008,20.32,7/1/2008,40.91,7/1/2008,22.75,7/1/2008,30.58,7/1/2008,26.72,7/1/2008,28.12,,,,,,,
7/2/2008,86.17,7/2/2008,39.21,7/2/2008,32.95,7/2/2008,20.01,7/2/2008,40.8,7/2/2008,22.45,7/2/2008,30.37,7/2/2008,26.69,7/2/2008,27.81,,,,,,,
7/3/2008,84.9,7/3/2008,39.45,7/3/2008,33.41,7/3/2008,19.94,7/3/2008,40.38,7/3/2008,22.35,7/3/2008,30.5,7/3/2008,26.67,7/3/2008,28.05,,,,,,,
7/7/2008,82.77,7/7/2008,39.65,7/7/2008,33.37,7/7/2008,19.28,7/7/2008,39.98,7/7/2008,22.6,7/7/2008,30.3,7/7/2008,26.94,7/7/2008,27.73,,,,,,,
7/8/2008,81.4,7/8/2008,39.23,7/8/2008,34.14,7/8/2008,20.53,7/8/2008,40.19,7/8/2008,22.83,7/8/2008,31.1,7/8/2008,27.29,7/8/2008,28.45,,,,,,,
7/9/2008,79.85,7/9/2008,39.3,7/9/2008,33.19,7/9/2008,19.36,7/9/2008,40.67,7/9/2008,22.15,7/9/2008,31.25,7/9/2008,27.02,7/9/2008,27.85,,,,,,,
7/10/2008,82.3,7/10/2008,39.45,7/10/2008,33.7,7/10/2008,19.22,7/10/2008,40.77,7/10/2008,22.43,7/10/2008,31.42,7/10/2008,27.22,7/10/2008,27.36,,,,,,,
7/11/2008,81.8,7/11/2008,39.42,7/11/2008,33.09,7/11/2008,18.68,7/11/2008,40.46,7/11/2008,22.22,7/11/2008,30.82,7/11/2008,26.93,7/11/2008,26.79,,,,,,,
7/14/2008,82.34,7/14/2008,39.86,7/14/2008,33.24,7/14/2008,17.72,7/14/2008,40.18,7/14/2008,22.05,7/14/2008,31.03,7/14/2008,26.95,7/14/2008,26.65,,,,,,,
7/15/2008,78.87,7/15/2008,39.47,7/15/2008,32.58,7/15/2008,17.17,7/15/2008,39.9,7/15/2008,22,7/15/2008,31.18,7/15/2008,26.9,7/15/2008,26.65,,,,,,,
7/16/2008,76.84,7/16/2008,39.62,7/16/2008,33.33,7/16/2008,19.42,7/16/2008,39.11,7/16/2008,22.32,7/16/2008,31.4,7/16/2008,27.24,7/16/2008,27.72,,,,,,,
7/17/2008,75.58,7/17/2008,39.87,7/17/2008,34.25,7/17/2008,20.26,7/17/2008,38.49,7/17/2008,22.55,7/17/2008,31.71,7/17/2008,27.29,7/17/2008,27.85,,,,,,,
7/18/2008,76.9,7/18/2008,39.6,7/18/2008,34.3,7/18/2008,20.67,7/18/2008,38.53,7/18/2008,22.8,7/18/2008,31.7,7/18/2008,26.83,7/18/2008,28.71,,,,,,,
7/21/2008,79.2,7/21/2008,40.42,7/21/2008,34.33,7/21/2008,20.75,7/21/2008,39.21,7/21/2008,22.35,7/21/2008,31.14,7/21/2008,26.77,7/21/2008,28.2,,,,,,,
