Date,Last Price 
8/5/2013,0.778
8/6/2013,0.788
8/7/2013,0.757
8/8/2013,0.755
8/9/2013,0.757
8/12/2013,0.752
8/13/2013,0.742
8/14/2013,0.752
8/15/2013,0.746
8/16/2013,0.757
8/19/2013,0.769
8/20/2013,0.744
8/21/2013,0.733
8/22/2013,0.753
8/23/2013,0.774
8/26/2013,0.766
8/27/2013,0.745
8/28/2013,0.725
8/29/2013,0.714
8/30/2013,0.72
9/2/2013,0.746
9/3/2013,0.752
9/4/2013,0.775
9/5/2013,0.78
9/6/2013,0.784
9/9/2013,0.752
9/10/2013,0.747
9/11/2013,0.734
9/12/2013,0.732
9/13/2013,0.728
9/16/2013,0.728
9/17/2013,0.72
9/18/2013,0.706
9/19/2013,0.678
9/20/2013,0.695
9/23/2013,0.695
9/24/2013,0.673
9/25/2013,0.673
9/26/2013,0.697
9/27/2013,0.682
9/30/2013,0.686
10/1/2013,0.667
10/2/2013,0.644
10/3/2013,0.641
10/4/2013,0.652
10/7/2013,0.646
10/8/2013,0.656
10/9/2013,0.655
10/10/2013,0.656
10/11/2013,0.657
10/14/2013,0.657
10/15/2013,0.671
10/16/2013,0.643
10/17/2013,0.629
10/18/2013,0.62
10/21/2013,0.625
10/22/2013,0.621
10/23/2013,0.608
10/24/2013,0.615
10/25/2013,0.617
10/28/2013,0.62
10/29/2013,0.614
10/30/2013,0.588
10/31/2013,0.595
11/1/2013,0.599
11/4/2013,0.599
11/5/2013,0.601
11/6/2013,0.612
11/7/2013,0.595
11/8/2013,0.594
11/11/2013,0.597
11/12/2013,0.604
11/13/2013,0.601
11/14/2013,0.602
11/15/2013,0.634
11/18/2013,0.633
11/19/2013,0.621
11/20/2013,0.615
11/21/2013,0.631
11/22/2013,0.628
11/25/2013,0.644
11/26/2013,0.619
11/27/2013,0.607
11/28/2013,0.606
11/29/2013,0.605
12/2/2013,0.617
12/3/2013,0.634
12/4/2013,0.633
12/5/2013,0.634
12/6/2013,0.669
12/9/2013,0.66
12/10/2013,0.663
12/11/2013,0.65
12/12/2013,0.664
12/13/2013,0.696
12/16/2013,0.69
12/17/2013,0.668
12/18/2013,0.666
12/19/2013,0.674
12/20/2013,0.681
12/23/2013,0.681
12/24/2013,0.682
12/25/2013,0.696
12/26/2013,0.708
12/27/2013,0.706
12/30/2013,0.741
12/31/2013,0.741
1/1/2014,0.741
1/2/2014,0.741
1/3/2014,0.741
1/6/2014,0.727
1/7/2014,0.697
1/8/2014,0.708
1/9/2014,0.701
1/10/2014,0.702
1/13/2014,0.702
1/14/2014,0.657
1/15/2014,0.666
1/16/2014,0.678
1/17/2014,0.674
1/20/2014,0.669
1/21/2014,0.689
1/22/2014,0.676
1/23/2014,0.661
1/24/2014,0.632
1/27/2014,0.64
1/28/2014,0.634
1/29/2014,0.635
1/30/2014,0.625
1/31/2014,0.622
2/3/2014,0.615
2/4/2014,0.614
2/5/2014,0.6
2/6/2014,0.617
2/7/2014,0.62
2/10/2014,0.608
2/11/2014,0.608
2/12/2014,0.613
2/13/2014,0.604
2/14/2014,0.599
2/17/2014,0.603
2/18/2014,0.603
2/19/2014,0.605
2/20/2014,0.588
2/21/2014,0.604
2/24/2014,0.596
2/25/2014,0.592
2/26/2014,0.592
2/27/2014,0.587
2/28/2014,0.586
3/3/2014,0.58
3/4/2014,0.589
3/5/2014,0.609
3/6/2014,0.622
3/7/2014,0.628
3/10/2014,0.632
3/11/2014,0.635
3/12/2014,0.63
3/13/2014,0.644
3/14/2014,0.627
3/17/2014,0.624
3/18/2014,0.622
3/19/2014,0.614
3/20/2014,0.601
3/21/2014,0.601
3/24/2014,0.616
3/25/2014,0.611
3/26/2014,0.632
3/27/2014,0.632
3/28/2014,0.626
3/31/2014,0.642
4/1/2014,0.62
4/2/2014,0.626
4/3/2014,0.645
4/4/2014,0.648
4/7/2014,0.618
4/8/2014,0.62
4/9/2014,0.616
4/10/2014,0.609
4/11/2014,0.605
4/14/2014,0.608
4/15/2014,0.605
4/16/2014,0.61
4/17/2014,0.605
4/18/2014,0.601
4/21/2014,0.608
4/22/2014,0.605
4/23/2014,0.616
4/24/2014,0.617
4/25/2014,0.623
4/28/2014,0.617
4/29/2014,0.617
4/30/2014,0.627
5/1/2014,0.622
5/2/2014,0.611
5/5/2014,0.611
5/6/2014,0.611
5/7/2014,0.601
5/8/2014,0.612
5/9/2014,0.608
5/12/2014,0.611
5/13/2014,0.612
5/14/2014,0.602
5/15/2014,0.595
5/16/2014,0.584
5/19/2014,0.59
5/20/2014,0.592
5/21/2014,0.598
5/22/2014,0.601
5/23/2014,0.592
5/26/2014,0.589
5/27/2014,0.593
5/28/2014,0.584
5/29/2014,0.576
5/30/2014,0.578
6/2/2014,0.587
6/3/2014,0.589
6/4/2014,0.616
6/5/2014,0.618
6/6/2014,0.6
6/9/2014,0.603
6/10/2014,0.602
6/11/2014,0.604
6/12/2014,0.602
6/13/2014,0.603
6/16/2014,0.602
6/17/2014,0.595
6/18/2014,0.602
6/19/2014,0.591
6/20/2014,0.587
6/23/2014,0.584
6/24/2014,0.582
6/25/2014,0.574
6/26/2014,0.572
6/27/2014,0.564
6/30/2014,0.566
7/1/2014,0.559
7/2/2014,0.561
7/3/2014,0.566
7/4/2014,0.57
7/7/2014,0.567
7/8/2014,0.557
7/9/2014,0.551
7/10/2014,0.546
7/11/2014,0.537
7/14/2014,0.541
7/15/2014,0.544
7/16/2014,0.547
7/17/2014,0.537
7/18/2014,0.546
7/21/2014,0.546
7/22/2014,0.54
7/23/2014,0.537
7/24/2014,0.526
7/25/2014,0.536
7/28/2014,0.535
7/29/2014,0.524
7/30/2014,0.53
7/31/2014,0.538
8/1/2014,0.539
8/4/2014,0.532
8/5/2014,0.523
8/6/2014,0.521
8/7/2014,0.527
8/8/2014,0.505
8/11/2014,0.517
8/12/2014,0.514
8/13/2014,0.515
8/14/2014,0.506
8/15/2014,0.503
8/18/2014,0.502
8/19/2014,0.504
8/20/2014,0.52
8/21/2014,0.529
8/22/2014,0.51
8/25/2014,0.511
8/26/2014,0.503
8/27/2014,0.498
8/28/2014,0.493
8/29/2014,0.496
9/1/2014,0.496
9/2/2014,0.505
9/3/2014,0.534
9/4/2014,0.535
9/5/2014,0.543
9/8/2014,0.531
9/9/2014,0.536
9/10/2014,0.55
9/11/2014,0.566
9/12/2014,0.578
9/15/2014,0.578
9/16/2014,0.582
9/17/2014,0.56
9/18/2014,0.569
9/19/2014,0.564
9/22/2014,0.542
9/23/2014,0.542
9/24/2014,0.528
9/25/2014,0.525
9/26/2014,0.523
9/29/2014,0.524
9/30/2014,0.531
10/1/2014,0.531
10/2/2014,0.526
10/3/2014,0.518
10/6/2014,0.523
10/7/2014,0.513
10/8/2014,0.503
10/9/2014,0.492
10/10/2014,0.505
10/13/2014,0.505
10/14/2014,0.5
10/15/2014,0.491
10/16/2014,0.487
10/17/2014,0.476
10/20/2014,0.488
10/21/2014,0.485
10/22/2014,0.485
10/23/2014,0.478
10/24/2014,0.47
10/27/2014,0.474
10/28/2014,0.461
10/29/2014,0.466
10/30/2014,0.469
