"","ann.ret.36","ann.std.36","downrisk.36","drawdown.36","sharpe.36","sortino.36","info_ratio.36","omega.36","wl.36","skewness.36","kurtosis.36"
"X1798FEF.KY.Equity",0.0145864995591982,0.0647574821719284,0.0128346913036937,-0.111888269309187,-0.193769647995393,0.107341455423081,-0.12001697456528,1.19838879355517,0.555555555555556,-0.246387059351607,-0.834791449804255
"X4THSTOP.US.Equity",0.29071046178001,0.090044768447489,0.00500248717028729,-0.0325892722,0.646633536870261,4.35950920942321,3.62674609710962,16.3334244756064,0.861111111111111,1.3678539699539,2.68148792870077
"ACKASPA.US.Equity",0.0591475975719133,0.0742908927808209,0.0121053844826268,-0.0719391757518824,0.00102583550527345,0.414856711673006,0.150535281342918,1.80243225849404,0.666666666666667,0.246892787614308,0.0788127824818718
"ADAIUSE.VI.Equity",0.0382144550052737,0.0441543156158575,0.00672271182881829,-0.0858188217791118,-0.14055546795476,0.477254495825745,0.353503731211367,1.9302984906329,0.638888888888889,0.592410553663661,1.41801015197299
"ADAWEAG.US.Equity",-0.0558139543634945,0.446059088210765,0.0865906739310495,-0.69247898420774,-0.0125992808887266,0.039006959243422,0.0770013566685689,1.07075663836285,0.5,0.0762876733936382,0.0753818624323337
"AGLOBAL.US.Equity",0.0724171524501891,0.177887804930122,0.0326672406412159,-0.240229804267243,0.0413812286629731,0.218108412591496,-0.103071987284476,1.40553359683794,0.555555555555556,-0.139977916988843,-0.702124322330195
"AISGOLD.US.Equity",-0.0313649916484295,0.540613554496705,0.0967990291798769,-0.556870946664442,0.0248665909429818,0.0917439182754572,-0.683749744282576,1.1693001157595,0.527777777777778,0.491455818526702,0.601271513191948
"AJRINTL.VI.Equity",-0.0450899371959861,0.140755299545193,0.0298350071937313,-0.26179375628521,-0.197628887933231,-0.101564133938045,-0.319574496526933,0.816126634382158,0.527777777777778,-0.0132424011182357,0.52274760999964
"ALIILTD.KY.Equity",0.0259384682474768,0.0491923182086681,0.00971194043147117,-0.0982133441526536,-0.194733568476273,0.230094766584988,-0.04737913691291,1.49014208076426,0.611111111111111,-0.625959145834271,0.352360038773886
"ALIINST.US.Equity",0.0267854137783992,0.0498956872688269,0.00986589430676318,-0.100184784478325,-0.187007071878489,0.233776745924147,-0.0330948656816714,1.50231401658832,0.611111111111111,-0.62477175503223,0.326585550380901
"ALIOPLP.US.Equity",0.0197338646311724,0.0386415498578803,0.00775350154589668,-0.0879753658879824,-0.2966894589505,0.218026940759025,0.221136211959658,1.45817084004638,0.666666666666667,-0.630625278816622,-0.148547426146614
"ALIOPLT.KY.Equity",0.0190368201039601,0.0383822583512599,0.00771453563987418,-0.0874495773080115,-0.303918373095389,0.211624316685373,0.203310399885058,1.44521964411517,0.666666666666667,-0.618408013307525,-0.128702507091463
"ALLOYIN.US.Equity",0.0744456934878839,0.0732085862335443,0.0128249914814787,-0.0985438037650278,0.0576927668126645,0.484932095976952,0.473099555337109,2.28377541541955,0.722222222222222,-0.541264501318053,1.49862026612468
"ALPGBAU.LX.Equity",0.0292178875442928,0.0347537219497697,0.00558946981932196,-0.040790671278331,-0.25400968142961,0.438617430299729,0.00146070128201123,1.77800304998986,0.583333333333333,-0.0427748107736854,-1.25828633237748
"ALPOAKP.TL.Equity",0.0907732788536344,0.154476789480954,0.0265991067033588,-0.199982914448957,0.0722936196075713,0.309177049629824,0.412180521227404,1.67688501839349,0.611111111111111,0.206243222734932,1.90955620793587
"ALSOX.US.Equity",0.000294047786137508,0.0385185253414015,0.00771633413610375,-0.0679975835503532,-0.442057592758576,0.010965195340003,-0.642876493614365,1.02040269535279,0.416666666666667,-0.0100249500717256,-0.156037095679246
"ALTINVS.US.Equity",0.0263615880014698,0.0488302405665841,0.00970013014517503,-0.0966623625240977,-0.193832505291446,0.233782659436814,-0.0282127008963572,1.49171816462482,0.611111111111111,-0.706857312797231,0.251526716356519
"ALTOLEV.KY.Equity",0.0367317845445083,0.0322265843764341,0.00534091909745463,-0.02141636,-0.209322851792648,0.571562049708168,0.65793122521589,2.30513164614087,0.694444444444444,-0.360871652403535,-0.0253870214870644
"AMESEHU.LX.Equity",0.00246407432369367,0.0579372710703239,0.0127951678422407,-0.130821447878584,-0.278492781070287,0.0267440371758749,-0.612847669541707,1.05582291100236,0.611111111111111,-0.733012838701301,0.653579820797354
"ANABATI.US.Equity",0.0169637499952453,0.150890831251131,0.0251701631290789,-0.233520542968944,-0.0618479577175183,0.0916164105959207,-0.499204970673083,1.14790215396676,0.388888888888889,0.730526747996966,0.295699539443462
"ANINMAS.KY.Equity",0.0736199871044925,0.0775746533545959,0.01367980364747,-0.087718589299,0.0527897358515157,0.451919254543542,0.567771483566041,2.07237228844838,0.611111111111111,-0.684948859748794,1.24382166091334
"ARDPFII.US.Equity",-0.07444457357431,0.129049857109568,0.0321116404149475,-0.298664167598532,-0.288040166907551,-0.178455535934955,-1.01579000811366,0.656624971912216,0.5,-0.92474747374752,0.665411652017765
"AROYIPA.US.Equity",0.0742615489106451,0.178827936175824,0.0322286735553744,-0.171,0.0442862006735478,0.226078011927035,-0.139090998542763,1.65422497798906,0.666666666666667,-0.000972176566971163,4.95998575767517
"ARTPAII.US.Equity",0.0502593111404439,0.0201708079107265,0.00158447684145623,-0.00808669189900013,-0.152646785355132,2.59465241719043,1.08701948440687,6.99125612273813,0.722222222222222,0.539146859698421,0.0677256159573636
"ASCDLVG.US.Equity",0.00417792574294995,0.0272875621413685,0.00589627942953106,-0.0496954484919999,-0.586781896549539,0.0640705350370112,-0.0576670139573444,1.13229571984436,0.611111111111111,-0.813247919303537,0.799577059684764
"ASCDPLP.US.Equity",0.00175111774702041,0.0267964230022271,0.00581568759668384,-0.0484472967159768,-0.623750800308329,0.0300910248514358,-0.0980229183117576,1.0606936416185,0.611111111111111,-0.712501751350038,0.59772217903811
"ASHFORC.US.Equity",0.123625125172233,0.132040983804813,0.024470718420753,-0.16027916828935,0.143577861721098,0.427970679893008,1.05830267882586,1.99877609734,0.722222222222222,-0.656200417230161,0.941679845908189
"ATRMSCH.US.Equity",0.0400743918319957,0.0372825032370286,0.00667031150363726,-0.0724576995237518,-0.154600139125989,0.500143225588784,0.273200505148245,2.17399804496579,0.666666666666667,-0.658739112582901,0.774409701431845
"AVWORLD.US.Equity",0.0673231105540397,0.177797861502807,0.0328487717515181,-0.242358023825459,0.0336088141646084,0.204726071673873,-0.131517463457038,1.37952716652636,0.555555555555556,-0.135254924520923,-0.694997186651415
