"","ann.ret.incep","ann.std.incep","downrisk.incep","drawdown.incep","sharpe.incep","sortino.incep","inforatio.incep","alpha.incep","beta.incep","corr.bhf.incep","corr.bidx.incep","omega.incep","wl.incep","skewness.incep","kurtosis.incep"
"ABAFINU.KY.Equity",0.064868975756931,0.0631754720422269,0.0376608119204178,-0.115388904291978,0.947661708279982,1.58968892873159,0.249613678371683,0.0051483048051838,0.0532783049415467,0.183903775080392,0.123373762553453,2.15059673631289,0.634146341463415,-0.00235675496285761,0.489218780685709
"ALGOTRE.KY.Equity",-0.0528396037347717,0.0361719979444614,0.0259882688149865,-0.0970840102377983,-1.59901600745358,-2.22560433503819,-1.25340316608052,-0.00530984710885658,0.148311447613396,0.390126231516063,0.384418583192334,0.298335735814441,0.277777777777778,0.125634894851838,1.12772336777875
"APEXGCE.US.Equity",0.103173034865886,0.102357260158847,0.0444883756807808,-0.0905346604242415,0.959121362896318,2.20671205373536,0.53408246350236,0.00820548560719397,0.0529953128609079,0.144445933657177,0.0500292124393831,2.29187574359352,0.555555555555556,0.935887416561443,1.41508704257938
"APHSIFA.LX.Equity",0.0914843531328149,0.14684566024716,0.110457533317401,-0.240555257937395,0.588947286472415,0.782964733462778,0.365132268716456,0.00825824410185144,-0.00766608786043315,0.127457306220652,-0.00855407543296476,1.65801696375609,0.626086956521739,-0.7551084841978,2.72400177516593
"AROYIPA.US.Equity",0.115795869668436,0.160372272164983,0.143804908031544,-0.171,0.690866745059616,0.77045958434279,0.232362925390304,0.000280795094938973,1.25010325576804,0.616814783391271,0.767194045247295,2.09283584853914,0.7,-0.112086854837598,4.8625655644323
"ARTPAII.US.Equity",0.0875772574011686,0.0313987565937903,0.0123140200778605,-0.0256451430375078,2.62995310513346,6.70595442260445,0.496008762959555,0.00686616885103788,0.0387837644849293,0.280680275375186,0.18070010996393,10.1899180204274,0.768292682926829,0.750858785000459,1.4925135285648
"ASLNDMB.KY.Equity",0.138393416271728,0.162968961180822,0.11833268207165,-0.239421422484647,0.818520381459151,1.12727451061203,0.556366110668707,0.00391572593104279,0.899034536786668,0.757237370364281,0.729610036159615,1.97853120628614,0.640776699029126,-0.367815411920785,1.28087332361164
"BAOBABG.VI.Equity",0.0506636511888481,0.208130410909633,0.131364881895094,-0.581279738012654,0.21939922661602,0.347609273727468,-0.197852077004786,0.00197435103995786,0.806573592459486,0.555324669061144,0.573211845673142,1.32499494672403,0.568627450980392,0.606562820400471,3.57266398969454
"BBHEDG1.US.Equity",0.0309065891670084,0.0663959328054903,0.0488440359991627,-0.161260330736795,0.390183375281477,0.530394113366318,-0.359943200268131,0.00127600424226821,0.316697904616494,0.728656340795183,0.715253689969196,1.47685473788522,0.578947368421053,-0.311206403825906,1.5508695045073
"BPCENHO.US.Equity",0.0015250235449813,0.157445829834846,0.0917883460268397,-0.324921523806164,-0.0220709335945182,-0.037858580151369,-0.3663681652466,0.000103296799978642,0.206091595983231,0.186939894547735,0.130588584547438,1.06676641265252,0.5,0.269866768801942,-0.138301184328306
"BWAGUSD.KY.Equity",2.47776236498749,1.34155471884363,0.177770506766449,-0.2097000478,1.84320649039118,13.9098572084072,2.66792526218347,0.356180489501366,-14.1163043743527,-0.385301444378988,-0.376231224670872,3.47830531753836,0.5,0.605057758963567,-1.50781676419098
"CALYPSV.AV.Equity",0.00849223903894214,0.0569544039948861,0.0346480452306864,-0.116523159896806,0.0613164003832909,0.100791805589344,-0.850284273083759,-0.00293935188322789,0.411443568432779,0.697711485232196,0.689327016462883,1.12768697645229,0.535714285714286,-0.319000252731461,-0.943995767458976
"CAMCAPR.KY.Equity",-0.00522856846104025,0.260350005166449,0.185179375554815,-0.648479293349004,-0.0392877597774613,-0.0552360025537105,-0.230448345332391,-0.00340485417041055,1.25317504375483,0.831689664594016,0.733617459418915,1.09220978796772,0.531034482758621,-0.417468767693653,2.39763767954516
"CARMOTT.KY.Equity",0.0365011053814572,0.125226196065218,0.0598060813495849,-0.207164715892519,0.251553639504082,0.526720772714126,-0.628809774476972,0.00242491686395236,0.173354590615686,0.0512045608094345,0.139689665235235,1.36266525628109,0.481481481481481,1.84785947284605,6.69944619280094
"CASSIOA.KY.Equity",0.0988398523127616,0.0885829619726471,0.0578243470626581,-0.14496951503239,1.05934426014946,1.6228432672327,0.358978154012984,0.00815222925569036,0.0110382358420115,0.0545651770316712,0.0181754380896489,2.49264449803163,0.618181818181818,0.0252232883858479,1.97624615245407
"CAYENRG.US.Equity",0.0867733809913471,0.0850298557922854,0.0461367070152372,-0.198175889579472,0.961701983725653,1.77241477083183,0.240112036922826,0.00686044045754142,0.0784479904847089,0.186401907646561,0.134968147422609,2.19182199034699,0.628048780487805,0.344788622963161,0.747321506927145
"CCLDMNA.CN.Equity",-0.0291512164509191,0.0784614965999522,0.0577368301086923,-0.200469775396935,-0.435260834050161,-0.591497946572887,-0.255036269506032,-0.00096997500208473,-0.240614333681068,-0.245973063228877,-0.302531584874875,0.768221129801535,0.418604651162791,-0.424284641456472,1.10905703575817
