"","mtd.ret","ytd.ret","ann.ret.incep","ann.std.incep","downrisk.incep","drawdown.incep","sharpe.incep","sortino.incep","inforatio.incep","alpha.incep","beta.incep","corr.bhf.incep","corr.bidx.incep","omega.incep","wl.incep","skewness.incep","kurtosis.incep"
"ABAFINU.KY.Equity",NA,0.0497455097877992,0.0449402790125644,0.065439674292218,0.0343102201277898,-0.115388904291978,0.610337374758511,1.16409276489061,0.0182282260550513,0.00332902499156689,0.0636122709190875,0.0962478502843066,0.0939300663516378,1.68584915277274,0.619047619047619,0.200335902044281,-0.2650701402776
"APEXGCE.US.Equity",NA,0.184615475874902,0.103173034865886,0.102357260158847,0.0444883756807808,-0.0905346604242415,0.959121362896318,2.20671205373536,0.53408246350236,0.00820548560719397,0.0529953128609079,0.144445933657177,0.0500292124393831,2.29187574359352,0.555555555555556,0.935887416561443,1.41508704257938
"APHSIFA.LX.Equity",-0.001112,-0.0633239255783457,0.0542229194845141,0.130545562392116,0.0782054678391774,-0.196740099653301,0.377055478428785,0.629405089497535,0.184711232272884,0.00794565027495104,-0.347132296630096,-0.121956085082018,-0.254948730906702,1.40827689221881,0.59375,-0.0781495110457874,-0.363730879306023
"AROYIPA.US.Equity",0.00601,0.0484002254866831,0.115795869668436,0.160372272164983,0.143804908031544,-0.171,0.690866745059616,0.77045958434279,0.232362925390304,0.000280795094938973,1.25010325576804,0.616814783391271,0.767194045247295,2.09283584853914,0.7,-0.112086854837598,4.8625655644323
"ARTPAII.US.Equity",NA,0.0136347963407857,0.0671437576949896,0.0225018817855174,0.00552951597945362,-0.00808669189900002,2.76171381075277,11.2385528726024,0.321297959648431,0.00552288655992182,-0.00889904675886168,-0.00135527722432125,-0.0382146167324755,11.3729950158586,0.777777777777778,0.608729143327292,0.0768357953634866
"ASLNDMB.KY.Equity",NA,0.490277751186697,0.0975279653980161,0.141075133051438,0.101006966254182,-0.239421422484647,0.655877215187736,0.916055286376695,0.581325265455504,0.000100101031708906,1.04916301410564,0.718446248796849,0.718616793132729,1.76674178347968,0.634920634920635,-0.298630463460791,1.2855595635661
"BAOBABG.VI.Equity",NA,0.109540742140292,0.10418747111595,0.195394488245483,0.138132003182174,-0.268930303348777,0.507626760645041,0.71806293133343,-0.257625772796366,0.00507400375233482,0.624415719132133,0.249851092082276,0.313734595640156,1.67022993262672,0.56140350877193,-0.0499386125277133,3.49345798560831
"BBHEDG1.US.Equity",NA,0.0875914071456114,0.0106372081169637,0.0450914593187613,0.028338939076825,-0.131427025517136,0.125017202861256,0.198920930020759,-0.853653344217643,-0.000642446039429107,0.203168238118208,0.397040935409584,0.438288448230506,1.20561302997829,0.564516129032258,-0.140962499527332,0.14698959932125
"BPCENHO.US.Equity",NA,-0.187802312041477,0.0015250235449813,0.157445829834846,0.0917883460268397,-0.324921523806164,-0.0220709335945182,-0.037858580151369,-0.3663681652466,0.000103296799978642,0.206091595983231,0.186939894547735,0.130588584547438,1.06676641265252,0.5,0.269866768801942,-0.138301184328306
"CALYPSV.AV.Equity",0.012345,0.139862614776432,0.00849223903894214,0.0569544039948861,0.0346480452306864,-0.116523159896806,0.0613164003832909,0.100791805589344,-0.850284273083759,-0.00293935188322789,0.411443568432779,0.697711485232196,0.689327016462883,1.12768697645229,0.535714285714286,-0.319000252731461,-0.943995767458976
"CAMCAPR.KY.Equity",0.078,-0.0825994535326362,-0.0482092722506937,0.214531464140517,0.117057828662244,-0.520333068981434,-0.248025493434576,-0.454555435196243,-0.479123439946395,-0.0123404711406049,1.23584127102201,0.595164797307464,0.552321111962092,0.912223749201605,0.453125,0.379078411177919,0.130389225674347
"CARMOTT.KY.Equity",NA,-0.0514021232516682,0.0365011053814572,0.125226196065218,0.0598060813495849,-0.207164715892519,0.251553639504082,0.526720772714126,-0.628809774476972,0.00242491686395236,0.173354590615686,0.0512045608094345,0.139689665235235,1.36266525628109,0.481481481481481,1.84785947284605,6.69944619280094
"CASSIOA.KY.Equity",0.006859,0.0118923289930601,0.028588048615829,0.050038586618794,0.0276608466665517,-0.0605697067194682,0.47139717985099,0.852759458167719,-0.0507782382314167,0.00230461655516778,0.0182560024259593,0.0361393629683487,0.0349800637779006,1.58196378081725,0.5,0.300317851114468,0.00785427004299066
"CAYENRG.US.Equity",NA,-0.164149525554708,0.0722817743289192,0.0885149934988843,0.045911144673497,-0.198175889579471,0.760117260018409,1.46547804040614,0.428205119084265,0.00635120165436413,-0.0249347908831573,0.0408376977728498,-0.0272203526183525,1.93509734914865,0.571428571428571,0.602075986604135,1.05359557989499
"CCLDMNA.CN.Equity",-0.009168,-0.0650159173667599,-0.0291512164509191,0.0784614965999522,0.0577368301086923,-0.200469775396935,-0.435260834050161,-0.591497946572887,-0.255036269506032,-0.00096997500208473,-0.240614333681068,-0.245973063228877,-0.302531584874875,0.768221129801535,0.418604651162791,-0.424284641456472,1.10905703575817
"CCLMKNA.CN.Equity",-0.003371,-0.120940066169758,-0.00476311736058832,0.124401842051704,0.111316617235738,-0.390676881867549,-0.0784804887095688,-0.0877058394607221,-0.341446229875494,0.000284235424404058,-0.00266641277113845,-0.0292990237274407,-0.00205504111899961,1.02007623614798,0.546875,-1.51028099434137,3.95731590461619
"CEDMNLP.US.Equity",NA,0.0320527539659989,0.0335720174532412,0.0526923544628508,0.0361406708117046,-0.0445180526192801,0.5422421856929,0.790577950312638,0.182406651582308,0.00154462521740847,0.163489250496017,0.240684180575603,0.299810236144152,1.6006119438686,0.603174603174603,-0.513963973022337,0.202637878129853
"CHCIMPE.KY.Equity",-0.01384,-0.0839839798016908,0.0965253186840807,0.239774556941211,0.0577308685981612,-0.224552657669024,0.381714056118645,1.58537920711271,0.292194637874393,0.0026865192768505,0.845313008947952,0.34526927846941,0.338013776922617,2.04244597722999,0.40625,5.72231680605032,38.1010809250112
"CHESSIC.US.Equity",0.015699,0.138967788636597,0.119685960677014,0.0594256797364814,0.0824030273053782,-0.0629999999999999,1.92990574420991,1.39176877873671,0.96758192803138,0.00617365731604523,0.420645894061745,0.665676060563397,0.678675923261748,4.4974189880614,0.828125,-2.20532453916032,7.51190125712161
"CHROEHF.BM.Equity",0.010528,0.155844987694829,0.0493328200511673,0.085509092412448,0.0616007382618098,-0.0772997392,0.518457380383956,0.719680011995117,-0.200234664544878,0.000766810680637581,0.600245525514999,0.604310868245821,0.715802990931845,1.58950719305558,0.552631578947368,-0.22418656124713,1.60716972203892
"CLASABE.LX.Equity",-0.001383,0.147175384935551,0.0991076190686671,0.150874378127402,0.141923724484834,-0.306500164054119,0.623748182008744,0.66308588934138,0.0614779109983268,-0.00012433543842667,1.09750089460877,0.656341951232108,0.697443990051306,1.82754967080986,0.71875,-0.425933110545971,3.32356539042904
"COLOMLP.US.Equity",NA,-0.131702171388694,0.0907354356990595,0.119301866627625,0.0646745483169384,-0.153690184274304,0.718642868905514,1.32564413560203,0.122697538776834,0.00732329825949506,0.0641073436189009,-0.0677676663837107,0.0519236723948045,1.78217666613899,0.603174603174603,0.077579917671858,0.0915290091584615
"CRJBJPY.KY.Equity",NA,0.224584816610285,0.108842315472769,0.0869139636308174,0.0647874328359032,-0.143819595781811,1.19477137084506,1.60281571482831,0.638053733913008,0.00664853197631471,0.428002316061252,0.540243630594321,0.514598153151583,2.52250256274594,0.722222222222222,-0.442962260887357,0.109724559952113
"CURCMAF.CN.Equity",0.000371,-0.00105753548293475,0.00655562959544431,0.0375515210048512,0.0329118394513696,-0.052506966145901,0.0414265402257167,0.0472665649011476,-0.500425953216707,0.00229817855820214,-0.15501800701001,-0.44187769957722,-0.377512651325553,1.17197276894898,0.592592592592593,-0.913979958086182,1.70518868921841
"DONEHF1.NA.Equity",0.003368,-0.0506650449320037,0.0873315988480867,0.0458003544140855,0.0193163790395612,-0.074246065819808,1.79761925210706,4.26226875541561,0.402606068014928,0.00706402831301114,0.00281891731271667,-0.0333878379025604,0.0059634999878684,3.82547327537425,0.741935483870968,0.00209859923339777,-0.611805718414314
"EMEVALU.BM.Equity",NA,-0.557062459757591,0.074116944998623,1.05002371572693,0.541238717104614,-0.788082548607849,0.0658241751718661,0.127701405709421,-0.0836672148705015,0.0382429080536653,0.806922821423988,0.125897483714036,0.074257059660256,1.65455562051653,0.444444444444444,1.33657486575473,2.71365284838439
"FIEMKNA.CN.Equity",NA,-0.0642518110568823,0.0503225635049342,0.0556839361477188,0.0287463434404387,-0.113080692371118,0.813925283311549,1.57663751561449,0.0415179467111141,0.00529735575107347,-0.132188429920933,-0.22201425236853,-0.229386775085424,1.98604840651099,0.619047619047619,0.358182789996782,0.386212801084922
"GLGELNU.KY.Equity",NA,0.0680385807045329,0.0298753507606524,0.0474893091058239,0.0426030854362183,-0.0954401456148228,0.523809489525754,0.583886131859948,-0.326914565853412,0.00256110349648604,-0.00141290197953102,0.082841430611148,-0.00289599024560611,1.61882800632664,0.661290322580645,-1.24180701319658,1.99857613664433
"GUEVORA.KY.Equity",0.011618,0.192501529806055,0.203468933110853,0.0626062613363938,0.0633273640348309,-0.053154159731,3.17011316239516,3.13401538396091,1.59341014167555,0.0138095252963191,0.23260967323314,0.36198119454848,0.356229554552815,12.1026445094683,0.90625,0.596800476502885,6.24668888288857
"HERACPW.BM.Equity",NA,0.102478783454232,0.128826400216873,0.00721272874518465,NA,0,17.1677605787604,NA,2.14540955130934,0.0101635450761368,-0.00241547653602447,-0.0464491086892712,-0.0349031426921317,Inf,1,3.35846606932723,14.4339025301885
